gene ID,log2_foldChange,p_value,adjusted p_value,Protein ID,Locus Tag,Annotation,resolved_locus_tag,resolution_method
gene-H6G84_RS05025,-0.357291108,0.013777759,0.021585156,WP_011243287.1,NaH1 Synpcc7942_0546,cation:proton antiporter,Synpcc7942_0546,tier1:gene ID
gene-H6G84_RS05030,0.416717189,0.02827841,0.041739868,WP_011243288.1,Synpcc7942_0545,hypothetical protein,Synpcc7942_0545,tier1:gene ID
gene-H6G84_RS05055,0.717134352,7.48221e-05,0.00016802,WP_011243292.1,Synpcc7942_0541,hypothetical protein,Synpcc7942_0541,tier1:gene ID
gene-H6G84_RS05065,0.209204065,0.287615975,0.340036716,WP_011243294.1,,CPBP family glutamic-type intramembrane protease,,unresolved
gene-H6G84_RS05070,0.796989185,2.11294e-05,5.10882e-05,WP_011243295.1,Synpcc7942_0538,transketolase,Synpcc7942_0538,tier1:gene ID
gene-H6G84_RS05075,1.026059778,5.02461e-09,1.86698e-08,WP_011243296.1,Synpcc7942_0537,beta-ketoacyl-ACP synthase II,Synpcc7942_0537,tier1:gene ID
gene-H6G84_RS05080,-0.225446765,0.189675295,0.23492377,WP_011243297.1,acpP Synpcc7942_0536,acyl carrier protein,Synpcc7942_0536,tier1:gene ID
gene-H6G84_RS05085,-1.222592085,1.56599e-12,8.45823e-12,WP_011243298.1,psaC Synpcc7942_0535,photosystem I iron-sulfur center protein PsaC,Synpcc7942_0535,tier1:gene ID
gene-H6G84_RS05090,0.660223311,1.11061e-05,2.80163e-05,WP_011243299.1,,glutamine--fructose-6-phosphate transaminase (isomerizing),,unresolved
gene-H6G84_RS05095,1.326401238,1.42772e-13,8.40631e-13,WP_011243300.1,Synpcc7942_0533,DUF433 domain-containing protein,Synpcc7942_0533,tier1:gene ID
gene-H6G84_RS05100,0.879250305,5.0523e-06,1.32697e-05,WP_011243301.1,Synpcc7942_0532,DUF5615 family PIN-like protein,Synpcc7942_0532,tier1:gene ID
gene-H6G84_RS05135,-1.296557003,5.4735e-19,5.0390100000000004e-18,WP_011243308.1,aroB Synpcc7942_0525,3-dehydroquinate synthase,Synpcc7942_0525,tier1:gene ID
gene-H6G84_RS05155,0.079787671,0.68587173,0.726434281,WP_011243311.1,Synpcc7942_0521,pentapeptide repeat-containing protein,Synpcc7942_0521,tier1:gene ID
gene-H6G84_RS05160,-0.458116798,0.011171185,0.017931459,WP_011243312.1,,hypothetical protein,,unresolved
gene-H6G84_RS05170,0.180921091,0.304165593,0.357237889,WP_011243314.1,,AI-2E family transporter,,unresolved
gene-H6G84_RS05175,0.435969424,0.002456857,0.00439674,WP_011243315.1,Synpcc7942_0517,single-stranded-DNA-specific exonuclease RecJ,Synpcc7942_0517,tier1:gene ID
gene-H6G84_RS05180,-0.275954352,0.114496972,0.148613075,WP_011243316.1,Synpcc7942_0516,S41 family peptidase,Synpcc7942_0516,tier1:gene ID
gene-H6G84_RS05205,0.698644524,1.14219e-05,2.87858e-05,WP_011243321.1,ccsA Synpcc7942_0511,c-type cytochrome biogenesis protein CcsB,Synpcc7942_0511,tier1:gene ID
gene-H6G84_RS05210,0.094019612,0.506244805,0.559962772,WP_011243322.1,Synpcc7942_0510,HAD-IB family phosphatase,Synpcc7942_0510,tier1:gene ID
gene-H6G84_RS05220,0.488101427,0.00162533,0.002996737,WP_011243324.1,Synpcc7942_0508,geranylgeranyl reductase family protein,Synpcc7942_0508,tier1:gene ID
gene-H6G84_RS05240,0.110154918,0.43574348,0.48945777,WP_011243328.1,hemA Synpcc7942_0504,glutamyl-tRNA reductase,Synpcc7942_0504,tier1:gene ID
gene-H6G84_RS05245,0.106037244,0.490216702,0.544481983,WP_011243329.1,Synpcc7942_0503,TIGR03792 family protein,Synpcc7942_0503,tier1:gene ID
gene-H6G84_RS05250,0.166793166,0.319433925,0.37304424,WP_011243330.1,Synpcc7942_0502,GNAT family N-acetyltransferase,Synpcc7942_0502,tier1:gene ID
gene-H6G84_RS05255,0.666647629,8.337e-06,2.1251e-05,WP_011243331.1,Synpcc7942_0501,SDR family oxidoreductase,Synpcc7942_0501,tier1:gene ID
gene-H6G84_RS05260,0.076213708,0.633020492,0.679976703,WP_011243332.1,Synpcc7942_0500,hypothetical protein,Synpcc7942_0500,tier1:gene ID
gene-H6G84_RS05270,-1.889283055,8.692170000000001e-18,7.29979e-17,WP_011243334.1,Synpcc7942_0498,mannose-1-phosphate guanyltransferase,Synpcc7942_0498,tier1:gene ID
gene-H6G84_RS05275,0.804630962,2.38174e-06,6.46472e-06,WP_011243335.1,,hypothetical protein,,unresolved
gene-H6G84_RS05280,0.582094818,4.4575e-05,0.000103212,WP_011243336.1,Synpcc7942_0496,class I SAM-dependent methyltransferase,Synpcc7942_0496,tier1:gene ID
gene-H6G84_RS05315,1.74328584,1.03736e-30,2.3353800000000001e-29,WP_011243342.1,Synpcc7942_0489,aldehyde dehydrogenase family protein,Synpcc7942_0489,tier1:gene ID
gene-H6G84_RS05320,0.585026562,0.000106136,0.000232874,WP_011243343.1,Synpcc7942_0488,dihydroorotase,Synpcc7942_0488,tier1:gene ID
gene-H6G84_RS05325,-0.543069077,0.000717628,0.001398201,WP_011243344.1,Synpcc7942_0487,signal peptidase I,Synpcc7942_0487,tier1:gene ID
gene-H6G84_RS05330,0.439868832,0.014808402,0.023051545,WP_011243345.1,Synpcc7942_0486,dihydroorotase,Synpcc7942_0486,tier1:gene ID
gene-H6G84_RS05345,0.512752892,0.000408976,0.000825658,WP_011243348.1,Synpcc7942_0483,hypothetical protein,Synpcc7942_0483,tier1:gene ID
gene-H6G84_RS05350,0.801968548,8.83531e-07,2.50739e-06,WP_011243349.1,Synpcc7942_0482,penicillin-binding protein 2,Synpcc7942_0482,tier1:gene ID
gene-H6G84_RS05370,1.203639096,9.91904e-15,6.49709e-14,WP_011243353.1,Synpcc7942_0478,signal peptidase I,Synpcc7942_0478,tier1:gene ID
gene-H6G84_RS05375,-0.255975382,0.101756719,0.133827319,WP_011243354.1,,YggT family protein,,unresolved
gene-H6G84_RS05385,-0.833495917,2.41712e-08,8.34469e-08,WP_011243356.1,petN Synpcc7942_0475,cytochrome b6-f complex subunit PetN,Synpcc7942_0475,tier1:gene ID
gene-H6G84_RS05400,0.558513573,0.002339094,0.004208484,WP_011243358.1,xseB Synpcc7942_0472,exodeoxyribonuclease VII small subunit,Synpcc7942_0472,tier1:gene ID
gene-H6G84_RS05415,0.036996259,0.828311412,0.854465257,WP_011243361.1,gpmI Synpcc7942_0469,2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase,Synpcc7942_0469,tier1:gene ID
gene-H6G84_RS05420,-0.107862995,0.45581337,0.50922603,WP_011243362.1,secG Synpcc7942_0468,preprotein translocase subunit SecG,Synpcc7942_0468,tier1:gene ID
gene-H6G84_RS05435,0.270321874,0.150632734,0.191525911,WP_011243365.1,Synpcc7942_0465,DUF4079 domain-containing protein,Synpcc7942_0465,tier1:gene ID
gene-H6G84_RS05440,0.331254994,0.038774033,0.055847116,WP_011243366.1,Synpcc7942_0464 sek0006,YbaB/EbfC family nucleoid-associated protein,Synpcc7942_0464,tier1:gene ID
gene-H6G84_RS05450,0.287590061,0.096525443,0.127825834,WP_011243368.1,Synpcc7942_0462,DUF924 domain-containing protein,Synpcc7942_0462,tier1:gene ID
gene-H6G84_RS05455,0.041767282,0.807225848,0.836903269,WP_011243369.1,sek0009 Synpcc7942_0461,hypothetical protein,Synpcc7942_0461,tier1:gene ID
gene-H6G84_RS05460,-0.234747185,0.339598996,0.394529797,WP_011243370.1,sek0010 Synpcc7942_0460,GNAT family N-acetyltransferase,Synpcc7942_0460,tier1:gene ID
gene-H6G84_RS05465,0.994608146,2.70644e-12,1.44596e-11,WP_011243371.1,Synpcc7942_0459,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase,Synpcc7942_0459,tier1:gene ID
gene-H6G84_RS05470,0.807171204,3.64873e-07,1.1016e-06,WP_011243372.1,Synpcc7942_0458,S-formylglutathione hydrolase,Synpcc7942_0458,tier1:gene ID
gene-H6G84_RS05475,-0.682354203,0.000521139,0.00103209,WP_011243373.1,sel0013 Synpcc7942_0457,hypothetical protein,Synpcc7942_0457,tier1:gene ID
gene-H6G84_RS05490,0.773578293,0.000570415,0.001125289,WP_011243375.1,cobS Synpcc7942_0454 sek0016,adenosylcobinamide-GDP ribazoletransferase,Synpcc7942_0454,tier1:gene ID
gene-H6G84_RS05510,1.014146521,2.95167e-10,1.24528e-09,WP_011243379.1,sek0020 Synpcc7942_0450,NifU family protein,Synpcc7942_0450,tier1:gene ID
gene-H6G84_RS05520,1.072761022,1.56946e-10,6.81456e-10,WP_011243381.1,Synpcc7942_0448,RIP metalloprotease RseP,Synpcc7942_0448,tier1:gene ID
gene-H6G84_RS05530,-0.49438011,0.008667707,0.014176305,WP_011243383.1,sek0024 rps14 rpsN Synpcc7942_0446,30S ribosomal protein S14,Synpcc7942_0446,tier1:gene ID
gene-H6G84_RS05535,0.203793854,0.188023015,0.23298504,WP_011243384.1,sek0025 Synpcc7942_0445,ABC transporter permease,Synpcc7942_0445,tier1:gene ID
gene-H6G84_RS05540,0.700931274,0.000306926,0.000631067,WP_011243385.1,sek0026 Synpcc7942_0444,TrbI/VirB10 family protein,Synpcc7942_0444,tier1:gene ID
gene-H6G84_RS05545,0.96613062,5.78164e-06,1.50671e-05,WP_011243386.1,sek0027 Synpcc7942_0443,S-layer homology domain-containing protein,Synpcc7942_0443,tier1:gene ID
gene-H6G84_RS05565,-0.342183115,0.021755975,0.032743964,WP_011243390.1,Synpcc7942_0439,magnesium protoporphyrin IX methyltransferase,Synpcc7942_0439,tier1:gene ID
gene-H6G84_RS05585,1.15940523,5.36691e-09,1.98317e-08,WP_011243392.1,sel0034 Synpcc7942_0436,hypothetical protein,Synpcc7942_0436,tier1:gene ID
gene-H6G84_RS05590,1.832342061,8.757739999999999e-35,2.5502200000000002e-33,WP_011243393.1,Synpcc7942_0435,TIGR03943 family protein,Synpcc7942_0435,tier1:gene ID
gene-H6G84_RS05595,1.25234646,2.37564e-17,1.95226e-16,WP_011243394.1,sel0036 Synpcc7942_0434,permease,Synpcc7942_0434,tier1:gene ID
gene-H6G84_RS05610,1.220790345,1.03224e-15,7.37434e-15,WP_011243396.1,dpdX Synpcc7942_0432,M15 family metallopeptidase,Synpcc7942_0432,tier1:gene ID
gene-H6G84_RS05630,0.289933734,0.032331112,0.047201662,WP_011243400.1,leu1 Synpcc7942_0428,citramalate synthase,Synpcc7942_0428,tier1:gene ID
gene-H6G84_RS05635,0.287194066,0.041990513,0.059996045,WP_011243401.1,sek0043 Synpcc7942_0427,heme ABC exporter ATP-binding protein CcmA,Synpcc7942_0427,tier1:gene ID
gene-H6G84_RS05640,-0.351752115,0.038878549,0.055937505,WP_011243402.1,sek0044 Synpcc7942_0426,SMC-Scp complex subunit ScpB,Synpcc7942_0426,tier1:gene ID
gene-H6G84_RS05645,0.258790572,0.283682226,0.335830616,WP_011243403.1,sek0045 Synpcc7942_0425,DUF760 domain-containing protein,Synpcc7942_0425,tier1:gene ID
gene-H6G84_RS05650,0.308213538,0.206482353,0.253862425,WP_011243404.1,psbA1 psbA-I Synpcc7942_0424,photosystem II q(b) protein,Synpcc7942_0424,tier1:gene ID
gene-H6G84_RS05655,-0.536996779,0.0004792,0.000957329,WP_011243405.1,Synpcc7942_0423,hypothetical protein,Synpcc7942_0423,tier1:gene ID
gene-H6G84_RS05660,-1.463114726,1.10795e-12,6.06994e-12,WP_011243406.1,Synpcc7942_0422,hypothetical protein,Synpcc7942_0422,tier1:gene ID
gene-H6G84_RS05675,-1.119832222,4.94594e-12,2.58288e-11,WP_011243409.1,bioB Synpcc7942_0419,biotin synthase BioB,Synpcc7942_0419,tier1:gene ID
gene-H6G84_RS05680,0.686304012,0.000176316,0.000372517,WP_011243410.1,Synpcc7942_0418,DUF1257 domain-containing protein,Synpcc7942_0418,tier1:gene ID
gene-H6G84_RS05685,1.792540013,4.273e-25,6.395e-24,WP_011243411.1,Synpcc7942_0417,AAA family ATPase,Synpcc7942_0417,tier1:gene ID
gene-H6G84_RS05695,-2.810183825,1.06965e-54,1.14624e-52,WP_011243413.1,Synpcc7942_0415,pentapeptide repeat-containing protein,Synpcc7942_0415,tier1:gene ID
gene-H6G84_RS05705,1.278644606,7.91608e-16,5.7472e-15,WP_011243415.1,,NAD(P)H-quinone oxidoreductase subunit L,,unresolved
gene-H6G84_RS05710,1.23031273,6.973240000000001e-18,5.91181e-17,WP_011243416.1,Synpcc7942_0412,DUF3007 family protein,Synpcc7942_0412,tier1:gene ID
gene-H6G84_RS05715,1.000218072,2.80842e-11,1.32694e-10,WP_011243417.1,trpA Synpcc7942_0411,tryptophan synthase subunit alpha,Synpcc7942_0411,tier1:gene ID
gene-H6G84_RS05720,0.524810521,0.012466111,0.01979651,WP_011243418.1,Synpcc7942_0410,BrnT family toxin,Synpcc7942_0410,tier1:gene ID
gene-H6G84_RS05735,-2.390721552,7.680609999999999e-37,2.47908e-35,WP_011243420.1,psaK Synpcc7942_0407,photosystem I reaction center subunit PsaK,Synpcc7942_0407,tier1:gene ID
gene-H6G84_RS05740,0.556419682,0.000368662,0.000747649,WP_011243421.1,Synpcc7942_0406,DUF4168 domain-containing protein,Synpcc7942_0406,tier1:gene ID
gene-H6G84_RS05755,0.529239297,0.002871366,0.005074136,WP_011243424.1,Synpcc7942_0403,DUF3285 domain-containing protein,Synpcc7942_0403,tier1:gene ID
gene-H6G84_RS05780,1.313454628,6.52253e-12,3.34748e-11,WP_011243429.1,Synpcc7942_0398,DUF4079 domain-containing protein,Synpcc7942_0398,tier1:gene ID
gene-H6G84_RS05800,-0.782103563,2.34458e-06,6.3703e-06,WP_011243433.1,Synpcc7942_0394,phosphatidate cytidylyltransferase,Synpcc7942_0394,tier1:gene ID
gene-H6G84_RS05815,-1.294794873,2.74662e-10,1.16243e-09,WP_011243436.1,Synpcc7942_0391,alpha/beta hydrolase,Synpcc7942_0391,tier1:gene ID
gene-H6G84_RS05820,-0.723290118,2.8353e-06,7.62626e-06,WP_011243437.1,Synpcc7942_0390,chromate efflux transporter,Synpcc7942_0390,tier1:gene ID
gene-H6G84_RS05835,0.022971724,0.883958614,0.899743589,WP_011243439.1,Synpcc7942_0387,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,Synpcc7942_0387,tier1:gene ID
gene-H6G84_RS05860,-1.68678091,3.31134e-16,2.47795e-15,WP_011243444.1,Synpcc7942_0382,TM2 domain-containing protein,Synpcc7942_0382,tier1:gene ID
gene-H6G84_RS05875,0.361607682,0.011703991,0.018674802,WP_011243446.1,Synpcc7942_0380,DUF3086 domain-containing protein,Synpcc7942_0380,tier1:gene ID
gene-H6G84_RS05885,0.592957048,1.82572e-05,4.47084e-05,WP_011243448.1,Synpcc7942_0378,MlaE family lipid ABC transporter permease subunit,Synpcc7942_0378,tier1:gene ID
gene-H6G84_RS05890,-0.230925921,0.215464175,0.263695077,WP_011243449.1,Synpcc7942_0377,hypothetical protein,Synpcc7942_0377,tier1:gene ID
gene-H6G84_RS05925,-1.411946271,4.47534e-12,2.35549e-11,WP_011243455.1,Synpcc7942_0370,aminotransferase class V-fold PLP-dependent enzyme,Synpcc7942_0370,tier1:gene ID
gene-H6G84_RS05945,0.505753005,0.00080402,0.001548504,WP_011243459.1,Synpcc7942_0366,SulP family inorganic anion transporter,Synpcc7942_0366,tier1:gene ID
gene-H6G84_RS05960,2.973385796,3.0905e-49,2.23769e-47,WP_011243461.1,cpcS Synpcc7942_0364,phycobiliprotein lyase,Synpcc7942_0364,tier1:gene ID
gene-H6G84_RS05970,0.896674656,1.43523e-08,5.07924e-08,WP_011243463.1,Synpcc7942_0362,DUF3177 family protein,Synpcc7942_0362,tier1:gene ID
gene-H6G84_RS05975,0.252645449,0.169263436,0.212292484,WP_011243464.1,cp12 Synpcc7942_0361,Calvin cycle protein CP12,Synpcc7942_0361,tier1:gene ID
gene-H6G84_RS05980,-0.935902529,5.43865e-10,2.22445e-09,WP_011243465.1,Synpcc7942_0360,FIST C-terminal domain-containing protein,Synpcc7942_0360,tier1:gene ID
gene-H6G84_RS05990,0.274492287,0.159767425,0.201497754,WP_011243467.1,trmB dc13 Synpcc7942_0358,tRNA (guanosine(46)-N7)-methyltransferase TrmB,Synpcc7942_0358,tier1:gene ID
gene-H6G84_RS05995,0.254878108,0.103818484,0.136204563,WP_011243468.1,dc14 Synpcc7942_0357,IctB family putative bicarbonate transporter,Synpcc7942_0357,tier1:gene ID
gene-H6G84_RS06000,-0.61961535,0.000197933,0.000415892,WP_011243469.1,Synpcc7942_0356,DUF751 family protein,Synpcc7942_0356,tier1:gene ID
gene-H6G84_RS06005,-0.133392866,0.388121399,0.442835276,WP_011243470.1,rbfA Synpcc7942_0355,30S ribosome-binding factor RbfA,Synpcc7942_0355,tier1:gene ID
gene-H6G84_RS06025,1.547448192,2.1e-26,3.566e-25,WP_011243473.1,Synpcc7942_0352,peptide-methionine (R)-S-oxide reductase MsrB,Synpcc7942_0352,tier1:gene ID
gene-H6G84_RS06030,-0.836663489,2.61401e-07,8.0217e-07,WP_011243474.1,Synpcc7942_0351,MlaD family protein,Synpcc7942_0351,tier1:gene ID
gene-H6G84_RS06045,-1.164783293,3.9617e-13,2.2344e-12,WP_011243477.1,recA Synpcc7942_0348,recombinase RecA,Synpcc7942_0348,tier1:gene ID
gene-H6G84_RS06050,-0.902046187,3.40265e-07,1.03353e-06,WP_011243478.1,,hypothetical protein,,unresolved
gene-H6G84_RS06055,0.410158038,0.02001171,0.030374715,WP_011243479.1,Synpcc7942_0346,peptidoglycan editing factor PgeF,Synpcc7942_0346,tier1:gene ID
gene-H6G84_RS06060,0.032441509,0.831497959,0.856433307,WP_011243480.1,Synpcc7942_0345,biotin--[acetyl-CoA-carboxylase] ligase,Synpcc7942_0345,tier1:gene ID
gene-H6G84_RS06080,-0.154596288,0.402283223,0.456853223,WP_011243484.1,Synpcc7942_0341,hypothetical protein,Synpcc7942_0341,tier1:gene ID
gene-H6G84_RS06085,-0.065760191,0.706244522,0.74372212,WP_011243485.1,,CPBP family intramembrane metalloprotease,,unresolved
gene-H6G84_RS06090,0.615503362,7.02902e-05,0.000158109,WP_011243486.1,Synpcc7942_0339,DUF3326 domain-containing protein,Synpcc7942_0339,tier1:gene ID
gene-H6G84_RS06100,0.218484572,0.192853621,0.238639654,WP_011243487.1,Synpcc7942_0338,ferredoxin PetF2,Synpcc7942_0338,tier1:gene ID
gene-H6G84_RS06115,1.088068965,1.25048e-07,3.95987e-07,WP_011243490.1,atpH atpD Synpcc7942_0335,ATP synthase F1 subunit delta,Synpcc7942_0335,tier1:gene ID
gene-H6G84_RS06125,0.788012819,1.21626e-05,3.05376e-05,WP_011243492.1,atpF2 atpG Synpcc7942_0333,F0F1 ATP synthase subunit B',Synpcc7942_0333,tier1:gene ID
gene-H6G84_RS06130,0.113573724,0.55933903,0.610374444,WP_011243493.1,atpE atpH Synpcc7942_0332,ATP synthase F0 subunit C,Synpcc7942_0332,tier1:gene ID
gene-H6G84_RS06145,-0.437352797,0.009087875,0.014782282,WP_011243496.1,,methyltransferase domain-containing protein,,unresolved
gene-H6G84_RS06150,-0.040659088,0.837272087,0.860725986,WP_011243497.1,Synpcc7942_0328,phycobilisome rod-core linker polypeptide,Synpcc7942_0328,tier1:gene ID
gene-H6G84_RS06155,-0.944041447,6.25471e-07,1.81739e-06,WP_011243498.1,Synpcc7942_0327,allophycocyanin subunit alpha,Synpcc7942_0327,tier1:gene ID
gene-H6G84_RS06160,-0.84519382,1.9859e-05,4.84538e-05,WP_011243499.1,Synpcc7942_0326,allophycocyanin subunit beta,Synpcc7942_0326,tier1:gene ID
gene-H6G84_RS06165,-0.702166075,0.00013984,0.000300908,WP_011243500.1,,phycobilisome linker polypeptide,,unresolved
gene-H6G84_RS06175,0.64958071,7.60316e-05,0.000170172,WP_011243502.1,Synpcc7942_0323,sulfite exporter TauE/SafE family protein,Synpcc7942_0323,tier1:gene ID
gene-H6G84_RS06180,0.630517349,6.68512e-05,0.000150753,WP_011243503.1,ccsB ccs1 Synpcc7942_0322,cytochrome c biogenesis protein,Synpcc7942_0322,tier1:gene ID
gene-H6G84_RS06185,-0.862595093,1.41924e-07,4.46262e-07,WP_011243504.1,glnB Synpcc7942_0321,P-II family nitrogen regulator,Synpcc7942_0321,tier1:gene ID
gene-H6G84_RS06210,-0.457728675,0.006406579,0.010706941,WP_011243509.1,Synpcc7942_0316,hypothetical protein,Synpcc7942_0316,tier1:gene ID
gene-H6G84_RS06225,0.79233911,2.5921e-08,8.8801e-08,WP_011243512.1,Synpcc7942_0313,pentapeptide repeat-containing protein,Synpcc7942_0313,tier1:gene ID
gene-H6G84_RS06235,-2.268159339,1.7486899999999999e-22,2.09141e-21,WP_011243514.1,rsmA ksgA Synpcc7942_0311,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA,Synpcc7942_0311,tier1:gene ID
gene-H6G84_RS06240,-0.993245798,1.6302e-11,7.95504e-11,WP_011243515.1,ispE Synpcc7942_0310,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,Synpcc7942_0310,tier1:gene ID
gene-H6G84_RS06250,0.236043774,0.104667083,0.137183521,WP_011243517.1,chpX Synpcc7942_0308,CO2 hydration protein,Synpcc7942_0308,tier1:gene ID
gene-H6G84_RS06270,-0.909918342,6.36241e-07,1.84668e-06,WP_011243520.1,Synpcc7942_0304,Coq4 family protein,Synpcc7942_0304,tier1:gene ID
gene-H6G84_RS06275,-0.000430078,1.0,1.0,WP_011243521.1,syc1209_c,potassium channel protein,,unresolved
gene-H6G84_RS06295,0.601106501,3.5544e-05,8.32364e-05,WP_011243525.1,Synpcc7942_0299,rod shape-determining protein MreC,Synpcc7942_0299,tier1:gene ID
gene-H6G84_RS06300,-0.095797811,0.654379688,0.698141147,WP_011243526.1,syc1214_d,rod shape-determining protein MreD,,unresolved
gene-H6G84_RS06320,0.506272433,0.012910332,0.02044136,WP_011243530.1,psbO woxA Synpcc7942_0294,photosystem II manganese-stabilizing polypeptide,Synpcc7942_0294,tier1:gene ID
gene-H6G84_RS06325,0.343211731,0.11474752,0.148722112,WP_011243531.1,Synpcc7942_0293,hypothetical protein,Synpcc7942_0293,tier1:gene ID
gene-H6G84_RS06335,-0.645436483,4.71394e-05,0.000108774,WP_011243533.1,Synpcc7942_0291,DUF2555 domain-containing protein,Synpcc7942_0291,tier1:gene ID
gene-H6G84_RS06350,0.382914227,0.018781417,0.028686098,WP_011243535.1,secA Synpcc7942_0289,preprotein translocase subunit SecA,Synpcc7942_0289,tier1:gene ID
gene-H6G84_RS06355,0.584078596,0.000281851,0.000583072,WP_011243536.1,,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,,unresolved
gene-H6G84_RS06365,0.776569408,7.54767e-05,0.000169207,WP_011243538.1,Synpcc7942_0286,DUF1823 family protein,Synpcc7942_0286,tier1:gene ID
gene-H6G84_RS06370,0.439851449,0.001408232,0.002614452,WP_011243539.1,ccmK4 Synpcc7942_0285,carbon dioxide-concentrating mechanism protein CcmK,Synpcc7942_0285,tier1:gene ID
gene-H6G84_RS06375,-0.064749076,0.68175854,0.723339061,WP_011243540.1,ccmK3 Synpcc7942_0284,carbon dioxide-concentrating mechanism protein CcmK,Synpcc7942_0284,tier1:gene ID
gene-H6G84_RS06390,1.803868644,1.0000000000000001e-28,2e-27,WP_011243544.1,,undecaprenyl/decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase,,unresolved
gene-H6G84_RS06405,-1.35794694,2.09081e-08,7.2744e-08,WP_011243547.1,Synpcc7942_0278,bidirectional hydrogenase complex protein HoxE,Synpcc7942_0278,tier1:gene ID
gene-H6G84_RS06410,-0.104401799,0.516050199,0.568929417,WP_011243548.1,ligA Synpcc7942_0277,NAD-dependent DNA ligase LigA,Synpcc7942_0277,tier1:gene ID
gene-H6G84_RS06415,-1.423561047,3.39311e-15,2.32804e-14,WP_011243549.1,glcD syc1237_d,FAD-binding protein,,unresolved
gene-H6G84_RS06420,0.067938469,0.694919172,0.733814924,WP_011243550.1,Synpcc7942_0275,DUF86 domain-containing protein,Synpcc7942_0275,tier1:gene ID
gene-H6G84_RS06425,0.703285112,0.002484578,0.004443381,WP_011243551.1,Synpcc7942_0274,nucleotidyltransferase family protein,Synpcc7942_0274,tier1:gene ID
gene-H6G84_RS06430,-0.610700307,0.003239357,0.00567576,WP_011243552.1,coaE Synpcc7942_0273,dephospho-CoA kinase,Synpcc7942_0273,tier1:gene ID
gene-H6G84_RS06435,-0.610723833,0.000124642,0.000270378,WP_011243553.1,hemD Synpcc7942_0272,uroporphyrinogen-III synthase,Synpcc7942_0272,tier1:gene ID
gene-H6G84_RS06440,0.210913518,0.169241362,0.212292484,WP_011243554.1,cobA Synpcc7942_0271,uroporphyrinogen-III C-methyltransferase,Synpcc7942_0271,tier1:gene ID
gene-H6G84_RS06445,-0.163730019,0.257334464,0.308594014,WP_011243555.1,Synpcc7942_0270,glycosyltransferase,Synpcc7942_0270,tier1:gene ID
gene-H6G84_RS06475,0.223199565,0.177277373,0.221204509,WP_011243560.1,Synpcc7942_0265,DUF3143 domain-containing protein,Synpcc7942_0265,tier1:gene ID
gene-H6G84_RS06480,-1.036411465,3.91849e-12,2.06646e-11,WP_011243561.1,Synpcc7942_0264,polyprenyl diphosphate synthase,Synpcc7942_0264,tier1:gene ID
gene-H6G84_RS06485,-0.259576896,0.070513168,0.096725436,WP_011243562.1,,diadenylate cyclase CdaA,,unresolved
gene-H6G84_RS06490,-0.129221542,0.448386833,0.502185754,WP_011243563.1,lysA Synpcc7942_0262,diaminopimelate decarboxylase,Synpcc7942_0262,tier1:gene ID
gene-H6G84_RS06505,0.654501486,0.000156022,0.000333319,WP_011243566.1,Synpcc7942_0259,hypothetical protein,Synpcc7942_0259,tier1:gene ID
gene-H6G84_RS06515,0.085141746,0.68958353,0.729618593,WP_011243568.1,Synpcc7942_0257,TIGR00297 family protein,Synpcc7942_0257,tier1:gene ID
gene-H6G84_RS06530,0.63672749,0.000480429,0.000958848,WP_011243571.1,gyrA Synpcc7942_0254,DNA gyrase subunit A,Synpcc7942_0254,tier1:gene ID
gene-H6G84_RS06540,-0.61597509,0.025037288,0.037346823,WP_011243573.1,Synpcc7942_0252,Calvin cycle protein CP12,Synpcc7942_0252,tier1:gene ID
gene-H6G84_RS06545,0.056028701,0.843881401,0.865859162,WP_011243574.1,Synpcc7942_0251,3'-5' exonuclease,Synpcc7942_0251,tier1:gene ID
gene-H6G84_RS06550,0.193022503,0.348311839,0.402904757,WP_011243575.1,Synpcc7942_0250,pentapeptide repeat-containing protein,Synpcc7942_0250,tier1:gene ID
gene-H6G84_RS06570,0.430891269,0.003112165,0.005463623,WP_011243579.1,Synpcc7942_0246,amino acid ABC transporter substrate-binding protein,Synpcc7942_0246,tier1:gene ID
gene-H6G84_RS06575,-2.64831766,1.0000000000000001e-28,1.8e-27,WP_011243580.1,Synpcc7942_0245,type I glyceraldehyde-3-phosphate dehydrogenase,Synpcc7942_0245,tier1:gene ID
gene-H6G84_RS06580,-1.558529289,2.087e-08,7.27058e-08,WP_011243581.1,Synpcc7942_0244,glycogen/starch/alpha-glucan phosphorylase,Synpcc7942_0244,tier1:gene ID
gene-H6G84_RS06585,2.173436438,1.4505899999999999e-22,1.75843e-21,WP_011243582.1,Synpcc7942_0243,chlorophyll a/b-binding protein,Synpcc7942_0243,tier1:gene ID
