gene ID,log2_foldChange,p_value,adjusted p_value,Protein ID,Locus Tag,Annotation,resolved_locus_tag,resolution_method
gene-H6G84_RS12005,1.006716118,8.53736e-11,3.81193e-10,WP_231621327.1,,hypothetical protein,,unresolved
gene-H6G84_RS12065,-2.090437332,9.51964e-33,2.4760299999999998e-31,WP_231621330.1,,response regulator,,unresolved
gene-H6G84_RS12120,-0.172913847,0.314694959,0.367991181,WP_231621331.1,,D-hexose-6-phosphate mutarotase,,unresolved
gene-H6G84_RS12305,0.504188545,0.001342201,0.002504008,WP_231621332.1,,glycosyltransferase family 39 protein,,unresolved
gene-H6G84_RS12430,-1.776479416,5.5340699999999995e-22,6.39042e-21,WP_231621333.1,,hypothetical protein,,unresolved
gene-H6G84_RS12455,1.730792071,1.31549e-23,1.71078e-22,WP_231621334.1,,HDIG domain-containing protein,,unresolved
gene-H6G84_RS12555,0.187050376,0.223370556,0.272375839,WP_231621336.1,,helix-turn-helix transcriptional regulator,,unresolved
gene-H6G84_RS12715,1.856897329,1.07956e-23,1.4247e-22,WP_231621338.1,,electron transfer flavoprotein,,unresolved
gene-H6G84_RS12745,0.057676974,0.82606736,0.853464889,WP_231621339.1,,hypothetical protein,,unresolved
gene-H6G84_RS13115,0.752862626,4.61595e-06,1.21834e-05,WP_231621341.1,,hypothetical protein,,unresolved
gene-H6G84_RS13250,-0.181356758,0.345354877,0.400175482,WP_231621342.1,,leucyl/phenylalanyl-tRNA--protein transferase,,unresolved
gene-H6G84_RS13210,-0.044275528,0.806578839,0.836556217,WP_231621343.1,,peptidoglycan DD-metalloendopeptidase family protein,,unresolved
gene-H6G84_RS04875,0.735910095,6.03647e-07,1.7578e-06,WP_231621344.1,,hypothetical protein,,unresolved
gene-H6G84_RS05060,0.660604862,0.00252266,0.004505471,WP_231621346.1,,PIN domain-containing protein,,unresolved
gene-H6G84_RS05200,0.134468408,0.389619143,0.444354911,WP_231621348.1,,LptF/LptG family permease,,unresolved
gene-H6G84_RS05310,-0.202929302,0.175825622,0.219597596,WP_231621349.1,,diguanylate cyclase,,unresolved
gene-H6G84_RS05340,0.079804965,0.597972292,0.645694385,WP_231621350.1,,CPBP family intramembrane metalloprotease,,unresolved
gene-H6G84_RS05430,1.28365596,1.47765e-14,9.4931e-14,WP_231621351.1,,glycosyltransferase,,unresolved
gene-H6G84_RS05505,0.44709636,0.003073708,0.005410292,WP_231621352.1,,esterase,,unresolved
gene-H6G84_RS13875,0.983121839,0.001113953,0.002110523,WP_231621353.1,,DUF2281 domain-containing protein,,unresolved
gene-H6G84_RS05765,-0.75651103,1.43935e-05,3.577e-05,WP_231621354.1,,diacylglycerol kinase family protein,,unresolved
gene-H6G84_RS05865,-1.412111947,6.4408300000000004e-18,5.49522e-17,WP_231621355.1,,DUF2752 domain-containing protein,,unresolved
gene-H6G84_RS05955,1.090633935,1.61008e-08,5.66808e-08,WP_231621356.1,,response regulator,,unresolved
