Operon profiles of Prochlorococcus MED4,,,,,,,,,,,,,,,,,,,,,,,,,
Operon_ID,start,end,strand,length,Num. of genes,sysName,,,,,,,,,,,,,,,,,,,
149,564052,560476,-,3577,2,PMM0593,PMM0594,,,,,,,,,,,,,,,,,,
150,569580,564197,-,5384,5,PMM0595,PMM0596,PMM0597,PMM0598,PMM0599,,,,,,,,,,,,,,,
151,575813,574845,-,969,2,PMM0605,PMM0606,,,,,,,,,,,,,,,,,,
152,575865,581398,+,5534,4,PMM0607,PMM0608,PMM0609,PMM0610,,,,,,,,,,,,,,,,
153,585009,582791,-,2219,2,PMM0612,PMM0613,,,,,,,,,,,,,,,,,,
154,585243,587812,+,2570,3,PMM0614,PMM0615,PMM0616,,,,,,,,,,,,,,,,,
155,587809,589602,+,1794,2,PMM0617,PMM0618,,,,,,,,,,,,,,,,,,
156,602798,600795,-,2004,2,PMM0632,PMM0633,,,,,,,,,,,,,,,,,,
157,608444,606272,-,2173,2,PMM0638,PMM0639,,,,,,,,,,,,,,,,,,
158,610226,613191,+,2966,3,PMM0641,PMM0642,PMM0643,,,,,,,,,,,,,,,,,
159,620976,620091,-,886,2,PMM0650,PMM0651,,,,,,,,,,,,,,,,,,
160,622279,621167,-,1113,4,PMM0652,Yfr13,HyPMM60,PMM0653,,,,,,,,,,,,,,,,
161,627811,628378,+,568,2,Yfr14,HyPMM67,,,,,,,,,,,,,,,,,,
162,631134,628383,-,2752,2,PMM0660,PMM0661,,,,,,,,,,,,,,,,,,
163,631192,634280,+,3089,3,PMM0662,PMM0663,PMM0664,,,,,,,,,,,,,,,,,
164,635821,634282,-,1540,2,PMM0665,PMM0666,,,,,,,,,,,,,,,,,,
165,635907,637881,+,1975,3,PMM0667,PMM0668,PMM0669,,,,,,,,,,,,,,,,,
166,642922,640101,-,2822,3,PMM0672,PMM0673,PMM0674,,,,,,,,,,,,,,,,,
167,643694,646302,+,2609,2,PMM0676,PMM0677,,,,,,,,,,,,,,,,,,
168,651412,653243,+,1832,3,PMM0683,Yfr7,PMM0684,,,,,,,,,,,,,,,,,
169,653119,653401,+,283,2,asRNA_07401,HyPMM68,,,,,,,,,,,,,,,,,,
170,653377,653791,+,415,2,PMM0685,HyPMM69,,,,,,,,,,,,,,,,,,
171,655672,655057,-,616,2,HyPMM72,PMM0687,,,,,,,,,,,,,,,,,,
172,656062,655649,-,414,2,asRNA_07481,HyPMM73,,,,,,,,,,,,,,,,,,
173,656592,655989,-,604,2,HyPMM74,PMM0688,,,,,,,,,,,,,,,,,,
174,657258,656770,-,489,2,HyPMM75,HyPMM76,,,,,,,,,,,,,,,,,,
175,657730,658111,+,382,2,HyPMM77,HyPMM78,,,,,,,,,,,,,,,,,,
176,659028,658635,-,394,2,PMM0689,PMM0690,,,,,,,,,,,,,,,,,,
177,660585,660182,-,404,2,PMM0692,HyPMM81,,,,,,,,,,,,,,,,,,
178,661104,660634,-,471,2,HyPMM82,PMM0693,,,,,,,,,,,,,,,,,,
179,663662,663181,-,482,2,PMM0696,PMM0697,,,,,,,,,,,,,,,,,,
180,664191,663762,-,430,2,HyPMM84,PMM0698,,,,,,,,,,,,,,,,,,
181,665181,665674,+,494,2,PMM0699,PMM0700,,,,,,,,,,,,,,,,,,
182,666574,667189,+,616,2,PMM0702,HyPMM87,,,,,,,,,,,,,,,,,,
183,667306,667876,+,571,2,PMM0703,HyPMM88,,,,,,,,,,,,,,,,,,
184,669400,671273,+,1874,2,PMM0705,PMM0706,,,,,,,,,,,,,,,,,,
185,680425,678132,-,2294,2,PMM0712,PMM0713,,,,,,,,,,,,,,,,,,
