sysName,locus_tag,start,stop,strand,Core/Flexible,ExpressionLevel,name,desc,COG,COGFun,COGDesc,resolved_locus_tag,resolution_method
PMM0472,PMED4_05201,447410.0,448609.0,+,Core,MEG,nhaP,"putative Na+/H+ antiporter, CPA1 family (NCBI)",COG25,P,NhaP-type Na+/H+ and K+/H+ antiporters,PMM0472,locus_tag:sysName
PMM0473,PMED4_05211,448610.0,450046.0,-,Core,MEG,gltX,Glutamyl-tRNA synthetase (NCBI),COG8,J,Glutamyl- and glutaminyl-tRNA synthetases,PMM0473,locus_tag:sysName
RNA_30,--,450064.0,450137.0,-,,--,tRNALys1,tRNA-Lys (RefSeq),,,,,unresolved
PMM0474,PMED4_05221,450293.0,450481.0,-,Core,HEG,PMM0474,Conserved hypothetical protein (NCBI),,,,PMM0474,locus_tag:sysName
RNA_29,--,450520.0,450592.0,-,,--,tRNAMet3,tRNA-Met (RefSeq),,,,,unresolved
PMM0475,PMED4_05231,450648.0,451130.0,-,Core,VEG,rplS,Ribosomal protein L19 (NCBI),COG335,J,Ribosomal protein L19,PMM0475,locus_tag:sysName
PMM0476,PMED4_05241,451145.0,451453.0,-,Flexible,VEG,PMM0476,conserved hypothetical protein (NCBI),,,,PMM0476,locus_tag:sysName
PMM0477,PMED4_05251,451543.0,452382.0,+,Core,HEG,map,putative methionine aminopeptidase (NCBI),COG24,J,Methionine aminopeptidase,PMM0477,locus_tag:sysName
PMM0478,PMED4_05261,452379.0,453092.0,-,Core,VEG,PMM0478,conserved hypothetical protein (NCBI),,,,PMM0478,locus_tag:sysName
PMM0479,PMED4_05271,453269.0,454378.0,+,Core,VEG,pta,BioD-like N-terminal domain of phosphotransacetylase  (Katherine Huang),COG857,R,BioD-like N-terminal domain of phosphotransacetylase,PMM0479,locus_tag:sysName
PMM0480,PMED4_05281,454404.0,454916.0,+,Core,VEG,PMM0480,conserved hypothetical protein (NCBI),,,,PMM0480,locus_tag:sysName
PMM0481,PMED4_05291,454984.0,455481.0,+,Core,VEG,PMM0481,Uncharacterized protein conserved in bacteria (Katherine Huang),COG1666,S,Uncharacterized protein conserved in bacteria,PMM0481,locus_tag:sysName
HyPMM58,PMED4_05301,455506.0,455709.0,+,Flexible,MEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,unresolved
PMM0482,PMED4_05311,455827.0,456633.0,+,Core,HEG,hflC,Band 7 protein (NCBI),COG330,O,"Membrane protease subunits, stomatin/prohibitin homologs",PMM0482,locus_tag:sysName
PMM0483,PMED4_05321,456638.0,457939.0,-,Core,HEG,hemL,"glutamate-1-semialdehyde 2,1-aminomutase (NCBI)",COG1,H,Glutamate-1-semialdehyde aminotransferase,PMM0483,locus_tag:sysName
PMM0484,PMED4_05331,458167.0,459012.0,-,Core,MEG,xthA,exodeoxyribonuclease III (NCBI),COG708,L,Exonuclease III,PMM0484,locus_tag:sysName
PMM0485,PMED4_05341,459085.0,459381.0,+,Core,VEG,PMM0485,conserved hypothetical protein (NCBI),,,,PMM0485,locus_tag:sysName
PMM0486,PMED4_05351,459427.0,460026.0,+,Core,VEG,PMM0486,conserved hypothetical protein (NCBI),,,,PMM0486,locus_tag:sysName
PMM0487,PMED4_05361,460093.0,461316.0,+,Core,VEG,PMM0487,Uncharacterized conserved protein (Katherine Huang),COG1641,S,Uncharacterized conserved protein,PMM0487,locus_tag:sysName
PMM0488,PMED4_05371,461325.0,462269.0,+,Core,VEG,PMM0488,conserved hypothetical protein (NCBI),,,,PMM0488,locus_tag:sysName
PMM0489,PMED4_05381,462266.0,463861.0,-,Core,VEG,"futB, hitB",putative iron ABC transporter (NCBI),COG1178,P,"ABC-type Fe3+ transport system, permease component",PMM0489,locus_tag:sysName
PMM0490,PMED4_05391,463824.0,464918.0,-,Core,VEG,PMM0490,Putative GTPases (G3E family)  (Katherine Huang),COG523,R,Putative GTPases (G3E family),PMM0490,locus_tag:sysName
PMM0491,PMED4_05401,464964.0,465254.0,-,Core,VEG,PMM0491,4a-hydroxytetrahydrobiopterin dehydratase (PCD) (NCBI),COG2154,H,Pterin-4a-carbinolamine dehydratase,PMM0491,locus_tag:sysName
PMM0492,PMED4_05411,465261.0,465746.0,-,Core,VEG,PMM0492,Uncharacterized conserved protein (Katherine Huang),COG432,S,Uncharacterized conserved protein,PMM0492,locus_tag:sysName
PMM0493,PMED4_05421,465856.0,467361.0,+,Core,MEG,cxp,Carboxypeptidase Taq (M32) metallopeptidase (NCBI),COG2317,E,Zn-dependent carboxypeptidase,PMM0493,locus_tag:sysName
PMM0494,PMED4_05431,467424.0,468011.0,+,Core,HEG,ppa,putative inorganic pyrophosphatase (NCBI),COG221,C,Inorganic pyrophosphatase,PMM0494,locus_tag:sysName
PMM0495,PMED4_05441,468018.0,468968.0,-,Core,VEG,hemC,Porphobilinogen deaminase (NCBI),COG181,H,Porphobilinogen deaminase,PMM0495,locus_tag:sysName
PMM0496,PMED4_05451,469063.0,470253.0,-,Core,VEG,"sigA, rpoD",Putative principal RNA polymerase sigma factor (NCBI),COG568,K,"DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)",PMM0496,locus_tag:sysName
PMM0497,PMED4_05461,470582.0,472858.0,+,Core,VEG,priA,primosomal protein N' (replication factor Y) (NCBI),COG1198,L,Primosomal protein N' (replication factor Y) - superfamily II helicase,PMM0497,locus_tag:sysName
PMM0498,PMED4_05471,472859.0,473965.0,-,Core,LEG,PMM0498,conserved hypothetical protein (NCBI),,,,PMM0498,locus_tag:sysName
PMM0499,PMED4_05481,473968.0,474822.0,-,Core,MEG,argB,Aspartokinase superfamily:Acetylglutamate kinase (NCBI),COG548,E,Acetylglutamate kinase,PMM0499,locus_tag:sysName
PMM0500,PMED4_05491,474834.0,475364.0,-,Core,HEG,PMM0500,conserved hypothetical protein (NCBI),,,,PMM0500,locus_tag:sysName
PMM0501,PMED4_05501,475395.0,475577.0,+,Flexible,HEG,PMM0501,conserved hypothetical protein (NCBI),,,,PMM0501,locus_tag:sysName
PMM0502,PMED4_05511,475580.0,476029.0,-,Core,HEG,PMM0502,Single-stranded DNA-binding protein  (Katherine Huang),COG629,L,Single-stranded DNA-binding protein,PMM0502,locus_tag:sysName
PMM0503,PMED4_05521,476059.0,476868.0,+,Core,VEG,cobK,possible precorrin-6X reductase (NCBI),COG2099,H,Precorrin-6x reductase,PMM0503,locus_tag:sysName
PMM0504,PMED4_05531,476865.0,477191.0,+,Flexible,VEG,cutA,CutA1 divalent ion tolerance protein (NCBI),COG1324,P,Uncharacterized protein involved in tolerance to divalent cations,PMM0504,locus_tag:sysName
PMM0505,PMED4_05541,477171.0,478187.0,-,Core,VEG,PMM0505,Possible carbohydrate kinase (NCBI),COG524,G,"Sugar kinases, ribokinase family",PMM0505,locus_tag:sysName
PMM0506,PMED4_05551,478206.0,479516.0,-,Core,VEG,purA,Adenylosuccinate synthetase (NCBI),COG104,F,Adenylosuccinate synthase,PMM0506,locus_tag:sysName
PMM0507,PMED4_05561,479598.0,480035.0,-,Core,HEG,psb27,possible Photosystem II reaction center Psb27 protein (NCBI),,,,PMM0507,locus_tag:sysName
PMM0508,PMED4_05571,480062.0,481864.0,-,Core,MEG,proS,Prolyl-tRNA synthetase (NCBI),,,,PMM0508,locus_tag:sysName
PMM0509,PMED4_05581,482041.0,482391.0,+,Core,VEG,PMM0509,possible Helix-turn-helix domain of resolvase (NCBI),,,,PMM0509,locus_tag:sysName
PMM0510,PMED4_05591,482478.0,482732.0,+,Flexible,VEG,PMM0510,possible Reverse transcriptase (RNA-dependent (NCBI),,,,PMM0510,locus_tag:sysName
PMM0511,PMED4_05601,482722.0,483270.0,+,Core,MEG,PMM0511,Inorganic pyrophosphatase (NCBI),COG221,C,Inorganic pyrophosphatase,PMM0511,locus_tag:sysName
PMM0512,PMED4_05611,483260.0,483628.0,+,Core,NEG,arsC,putative arsenate reductase (NCBI),COG1393,P,"Arsenate reductase and related proteins, glutaredoxin family",PMM0512,locus_tag:sysName
PMM0513,PMED4_05621,483658.0,484344.0,+,Core,MEG,lepB,Signal peptidase I (NCBI),COG681,U,Signal peptidase I,PMM0513,locus_tag:sysName
PMM0514,PMED4_05631,484307.0,485560.0,-,Flexible,VEG,PMM0514,putative dihydroorotase (NCBI),COG44,F,Dihydroorotase and related cyclic amidohydrolases,PMM0514,locus_tag:sysName
PMM0515,PMED4_05641,485563.0,486891.0,-,Core,MEG,gpmB,possible alpha-ribazole-5'-P phosphatase (NCBI),COG406,G,"Fructose-2,6-bisphosphatase",PMM0515,locus_tag:sysName
PMM0516,PMED4_05651,487009.0,488367.0,+,Core,VEG,PMM0516,Possible membrane associated protease (NCBI),COG1266,R,Predicted metal-dependent membrane protease,PMM0516,locus_tag:sysName
PMM0517,PMED4_05661,488453.0,488884.0,+,Core,NEG,PMM0517,hypothetical protein (NCBI),,,,PMM0517,locus_tag:sysName
PMM0518,PMED4_05671,488884.0,490635.0,+,Core,VEG,ftsI,putative peptidoglycan synthetase (pbp transpeptidase domain) (NCBI),COG768,M,Cell division protein FtsI/penicillin-binding protein 2,PMM0518,locus_tag:sysName
PMM0519,PMED4_05681,490726.0,491727.0,+,Core,HEG,tal,Transaldolase (NCBI),COG176,G,Transaldolase,PMM0519,locus_tag:sysName
PMM0520,PMED4_05691,491753.0,492886.0,-,Core,MEG,fixC,NAD binding site (NCBI),COG644,C,Dehydrogenases (flavoproteins),PMM0520,locus_tag:sysName
PMM0521,PMED4_05701,492883.0,493431.0,-,Core,VEG,frr,Ribosome recycling factor (NCBI),COG233,J,Ribosome recycling factor,PMM0521,locus_tag:sysName
PMM0522,PMED4_05711,493460.0,494164.0,-,Core,MEG,pyrH,uridylate kinase (NCBI),COG528,F,Uridylate kinase,PMM0522,locus_tag:sysName
PMM0523,PMED4_05721,494294.0,494989.0,-,Core,MEG,cobO,possible cob(I)alamin adenosyltransferase (NCBI),COG2109,H,ATP:corrinoid adenosyltransferase,PMM0523,locus_tag:sysName
PMM0524,PMED4_05731,495020.0,496189.0,-,Core,LEG,PMM0524,Phage integrase family (NCBI),,,,PMM0524,locus_tag:sysName
PMM0525,PMED4_05741,496255.0,497430.0,+,Core,MEG,hemH,Ferrochelatase (NCBI),COG276,H,Protoheme ferro-lyase (ferrochelatase),PMM0525,locus_tag:sysName
PMM0526,PMED4_05751,497565.0,499328.0,+,Core,HEG,ilvH,Acetolactate synthase large subunit (NCBI),COG28,EH,"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",PMM0526,locus_tag:sysName
PMM0527,PMED4_05761,499386.0,499739.0,+,Core,NEG,PMM0527,conserved hypothetical protein (NCBI),,,,PMM0527,locus_tag:sysName
PMM0528,PMED4_05771,499746.0,500528.0,-,Flexible,VEG,PMM0528,DUF152 (NCBI),COG1496,S,Uncharacterized conserved protein,PMM0528,locus_tag:sysName
PMM0529,PMED4_05781,500539.0,501444.0,-,Core,VEG,PMM0529,conserved hypothetical protein (NCBI),,,,PMM0529,locus_tag:sysName
PMM0530,PMED4_05791,501441.0,502658.0,-,Core,HEG,"rps1b, rpsA2, nbp1","30S ribosomal protein S1 homolog B, putative Nbp1 (NCBI)",,,,PMM0530,locus_tag:sysName
PMM0531,PMED4_05801,502722.0,503519.0,+,Core,MEG,PMM0531,Creatininase (NCBI),COG1402,R,"Uncharacterized protein, putative amidase",PMM0531,locus_tag:sysName
PMM0532,PMED4_05811,503631.0,504347.0,+,Core,HEG,PMM0532,conserved hypothetical protein (NCBI),,,,PMM0532,locus_tag:sysName
PMM0533,PMED4_05821,504457.0,505497.0,+,Core,MEG,PMM0533,Predicted dehydrogenase  (Katherine Huang),COG5322,R,Predicted dehydrogenase,PMM0533,locus_tag:sysName
PMM0534,PMED4_05831,505501.0,506508.0,+,Core,MEG,accA,"acetyl-CoA carboxylase, alpha subunit (NCBI)",COG825,I,Acetyl-CoA carboxylase alpha subunit,PMM0534,locus_tag:sysName
PMM0535,PMED4_05841,506510.0,507217.0,+,Core,VEG,PMM0535,putative short-chain dehydrogenase (NCBI),COG1028,IQR,Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases),PMM0535,locus_tag:sysName
PMM0536,PMED4_05851,507372.0,508112.0,+,Core,VEG,folE,putative GTP cyclohydrolase I (NCBI),COG302,H,GTP cyclohydrolase I,PMM0536,locus_tag:sysName
PMM0537,PMED4_05861,508109.0,508771.0,-,Core,VEG,trpF,phosphoribosylanthranilate isomerase (NCBI),COG135,E,Phosphoribosylanthranilate isomerase,PMM0537,locus_tag:sysName
PMM0538,PMED4_05871,508827.0,510053.0,+,Core,VEG,PMM0538,Zn-dependent proteases  (Katherine Huang),COG1994,R,Zn-dependent proteases,PMM0538,locus_tag:sysName
PMM0539,PMED4_05881,510061.0,510732.0,-,Core,LEG,lplA,Biotin/lipoate A/B protein ligase family (NCBI),COG95,H,Lipoate-protein ligase A,PMM0539,locus_tag:sysName
PMM0540,PMED4_05891,510866.0,510970.0,+,Flexible,HEG,psaM,possible photosystem I reaction centre subunit XII (PsaM) (NCBI),,,,PMM0540,locus_tag:sysName
PMM0541,PMED4_05901,511060.0,511407.0,+,Core,VEG,PMM0541,conserved hypothetical protein (NCBI),,,,PMM0541,locus_tag:sysName
PMM0542,PMED4_05911,511465.0,512469.0,+,Core,VEG,"por, pcr",Light dependent protochlorophyllide oxido-reductase (NCBI),COG1028,IQR,Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases),PMM0542,locus_tag:sysName
PMM0543,PMED4_05921,512474.0,513361.0,-,Core,HEG,chlL,Protochlorophyllide reductase iron-sulfur ATP-binding protein (NCBI),COG1348,P,Nitrogenase subunit NifH (ATPase),PMM0543,locus_tag:sysName
PMM0544,PMED4_05931,513553.0,515133.0,-,Core,HEG,chlB,Light-independent protochlorophyllide reductase subunit B (NCBI),COG2710,C,"Nitrogenase molybdenum-iron protein, alpha and beta chains",PMM0544,locus_tag:sysName
PMM0545,PMED4_05941,515137.0,516393.0,-,Core,HEG,chlN,Light-independent protochlorophyllide reductase subunit N (NCBI),COG2710,C,"Nitrogenase molybdenum-iron protein, alpha and beta chains",PMM0545,locus_tag:sysName
PMM0546,PMED4_05951,516550.0,516918.0,-,Core,HEG,PMM0546,conserved hypothetical (NCBI),,,,PMM0546,locus_tag:sysName
PMM0547,PMED4_05961,517017.0,517787.0,+,Core,VEG,PMM0547,conserved hypothetical protein (NCBI),,,,PMM0547,locus_tag:sysName
PMM0548,PMED4_05971,517796.0,518383.0,-,Core,VEG,PMM0548,HAM1 family protein (NCBI),COG127,F,Xanthosine triphosphate pyrophosphatase,PMM0548,locus_tag:sysName
PMM0549,PMED4_05981,518725.0,519021.0,+,Core,HEG,ccmK,carboxysome shell protein CsoS1 (NCBI),COG4577,QC,Carbon dioxide concentrating mechanism/carboxysome shell protein,PMM0549,locus_tag:sysName
PMM0550,PMED4_05991,519087.0,520502.0,+,Core,HEG,rbcL,"Ribulose bisphosphate carboxylase, large chain (NCBI)",COG1850,G,"Ribulose 1,5-bisphosphate carboxylase, large subunit",PMM0550,locus_tag:sysName
PMM0551,PMED4_06001,520592.0,520933.0,+,Core,HEG,rbcS,"Ribulose bisphosphate carboxylase, small chain (NCBI)",COG4451,C,Ribulose bisphosphate carboxylase small subunit,PMM0551,locus_tag:sysName
PMM0552,PMED4_06011,521024.0,523321.0,+,Core,VEG,csoS2,carboxysome shell protein CsoS2 (NCBI),,,,PMM0552,locus_tag:sysName
PMM0553,PMED4_06021,523329.0,524858.0,+,Core,MEG,csoS3,carboxysome shell protein CsoS3 (NCBI),,,,PMM0553,locus_tag:sysName
PMM0554,PMED4_06031,524862.0,525128.0,+,Core,MEG,PMM0554,putative carboxysome peptide A (NCBI),COG4576,QC,Carbon dioxide concentrating mechanism/carboxysome shell protein,PMM0554,locus_tag:sysName
PMM0555,PMED4_06041,525161.0,525382.0,+,Core,MEG,PMM0555,putative carboxysome peptide B (NCBI),COG4576,QC,Carbon dioxide concentrating mechanism/carboxysome shell protein,PMM0555,locus_tag:sysName
PMM0556,PMED4_06051,525483.0,525722.0,+,Core,VEG,PMM0556,conserved hypothetical protein (NCBI),,,,PMM0556,locus_tag:sysName
PMM0557,PMED4_06061,525728.0,525955.0,-,Core,HEG,PMM0557,conserved hypothetical (NCBI),,,,PMM0557,locus_tag:sysName
PMM0558,PMED4_06071,526041.0,526433.0,-,Core,MEG,tdcF,"Putative translation initiation inhibitor, yjgF family  (Katherine Huang)",COG251,J,"Putative translation initiation inhibitor, yjgF family",PMM0558,locus_tag:sysName
PMM0559,PMED4_06081,526458.0,527198.0,-,Core,VEG,PMM0559,Putative hydroxyacylglutathione hydrolase (NCBI),COG491,R,"Zn-dependent hydrolases, including glyoxylases",PMM0559,locus_tag:sysName
PMM0560,PMED4_06091,527242.0,527889.0,+,Core,VEG,hisG,possible ATP phosphoribosyltransferase (NCBI),COG40,E,ATP phosphoribosyltransferase,PMM0560,locus_tag:sysName
PMM0561,PMED4_06101,527894.0,529690.0,+,Core,VEG,PMM0561,putative multidrug efflux ABC transporter (NCBI),COG1132,V,"ABC-type multidrug transport system, ATPase and permease components",PMM0561,locus_tag:sysName
PMM0562,PMED4_06111,529690.0,530220.0,+,Core,VEG,PMM0562,possible acetyltransferase (NCBI),COG456,R,Acetyltransferases,PMM0562,locus_tag:sysName
PMM0563,PMED4_06121,530222.0,530905.0,-,Core,VEG,PMM0563,Glycosyltransferases involved in cell wall biogenesis  (Katherine Huang),COG1216,R,Predicted glycosyltransferases,PMM0563,locus_tag:sysName
PMM0564,PMED4_06131,530911.0,531519.0,-,Core,LEG,PMM0564,Uncharacterized protein conserved in bacteria (Katherine Huang),COG3222,S,Uncharacterized protein conserved in bacteria,PMM0564,locus_tag:sysName
PMM0565,PMED4_06141,531716.0,533107.0,+,Core,MEG,dnaA,chromosomal replication initiator protein DnaA (NCBI),COG593,L,ATPase involved in DNA replication initiation,PMM0565,locus_tag:sysName
PMM0566,PMED4_06151,533102.0,534340.0,-,Core,VEG,PMM0566,Glutathione S-transferase  (Katherine Huang),COG625,O,Glutathione S-transferase,PMM0566,locus_tag:sysName
PMM0567,PMED4_06161,534377.0,535756.0,+,Core,VEG,gshR,probable glutathione reductase (NADPH) (NCBI),COG1249,C,"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes",PMM0567,locus_tag:sysName
PMM0568,PMED4_06171,535762.0,536841.0,-,Core,VEG,ECM27,putative CaCA family sodium/calcium exchanger (NCBI),COG530,P,Ca2+/Na+ antiporter,PMM0568,locus_tag:sysName
PMM0569,PMED4_06181,536949.0,537998.0,+,Core,VEG,pyrC,Dihydroorotase (NCBI),COG418,F,Dihydroorotase,PMM0569,locus_tag:sysName
RNA_5,--,538180.0,538265.0,+,,--,tRNATrp1,tRNA-Trp (RefSeq),,,,,unresolved
PMM0570,PMED4_06191,538345.0,538578.0,+,Flexible,VEG,ndhL,NADH dehydrogenase subunit NdhL (ndhL) (NCBI),,,,PMM0570,locus_tag:sysName
PMM0571,PMED4_06201,538582.0,538902.0,+,Core,MEG,PMM0571,conserved hypothetical protein (NCBI),,,,PMM0571,locus_tag:sysName
PMM0572,PMED4_06211,538941.0,539780.0,+,Core,MEG,trpA,"Tryptophan synthase, alpha subunit (Katherine Huang)",COG159,E,Tryptophan synthase alpha chain,PMM0572,locus_tag:sysName
PMM0573,PMED4_06221,539879.0,540154.0,-,Core,HEG,PMM0573,conserved hypothetical protein (NCBI),,,,PMM0573,locus_tag:sysName
PMM0574,PMED4_06231,540325.0,540597.0,+,Core,VEG,PMM0574,Uncharacterized protein conserved in bacteria (Katherine Huang),COG2350,S,Uncharacterized protein conserved in bacteria,PMM0574,locus_tag:sysName
PMM0575,PMED4_06241,540814.0,541134.0,-,Core,VEG,PMM0575,conserved hypothetical (NCBI),,,,PMM0575,locus_tag:sysName
PMM0576,PMED4_06251,541131.0,541505.0,-,Core,VEG,PMM0576,conserved hypothetical protein (NCBI),,,,PMM0576,locus_tag:sysName
PMM0577,PMED4_06261,541511.0,542434.0,-,Core,HEG,PMM0577,"Putative type II alternative sigma factor, sigma70 family (NCBI)",COG568,K,"DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)",PMM0577,locus_tag:sysName
PMM0578,PMED4_06271,542581.0,543246.0,-,Core,VEG,hisI,Phosphoribosyl-AMP cyclohydrolase (Katherine Huang),COG139,E,Phosphoribosyl-AMP cyclohydrolase,PMM0578,locus_tag:sysName
PMM0579,PMED4_06281,543310.0,543774.0,+,Core,VEG,PMM0579,6-pyruvoyl-tetrahydropterin synthase  (Katherine Huang),COG720,H,6-pyruvoyl-tetrahydropterin synthase,PMM0579,locus_tag:sysName
PMM0580,PMED4_06291,543828.0,546410.0,-,Core,VEG,clpB,"ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB (NCBI)",COG542,O,"ATPases with chaperone activity, ATP-binding subunit",PMM0580,locus_tag:sysName
PMM0581,PMED4_06301,546477.0,546827.0,-,Core,HEG,petE,plastocyanin (NCBI),COG3794,C,Plastocyanin,PMM0581,locus_tag:sysName
PMM0582,PMED4_06311,546886.0,547869.0,-,Core,MEG,PMM0582,Nucleoside-diphosphate-sugar epimerases  (Katherine Huang),COG451,MG,Nucleoside-diphosphate-sugar epimerases,PMM0582,locus_tag:sysName
PMM0583,PMED4_06321,547878.0,548918.0,-,Core,VEG,hemE,Uroporphyrinogen decarboxylase (URO-D) (NCBI),COG407,H,Uroporphyrinogen-III decarboxylase,PMM0583,locus_tag:sysName
PMM0584,PMED4_06331,549042.0,551306.0,-,Core,VEG,glgB,"1,4-alpha-glucan branching enzyme (NCBI)",COG296,G,"1,4-alpha-glucan branching enzyme",PMM0584,locus_tag:sysName
PMM0585,PMED4_06341,551361.0,552938.0,-,Core,MEG,PMM0585,Predicted acyl esterases  (Katherine Huang),COG2936,R,Predicted acyl esterases,PMM0585,locus_tag:sysName
PMM0586,PMED4_06351,552947.0,553213.0,-,Flexible,VEG,PMM0586,conserved hypothetical (NCBI),,,,PMM0586,locus_tag:sysName
PMM0587,PMED4_06361,553268.0,553675.0,-,Core,NEG,PMM0587,conserved hypothetical (NCBI),,,,PMM0587,locus_tag:sysName
PMM0588,PMED4_06371,553684.0,554127.0,-,Core,VEG,PMM0588,conserved hypothetical protein (NCBI),,,,PMM0588,locus_tag:sysName
PMM0589,PMED4_06381,554192.0,558136.0,+,Flexible,VEG,PMM0589,conserved hypothetical (NCBI),,,,PMM0589,locus_tag:sysName
PMM0590,PMED4_06391,558202.0,559512.0,+,Core,MEG,proA,Gamma-glutamyl phosphate reductase (NCBI),COG14,E,Gamma-glutamyl phosphate reductase,PMM0590,locus_tag:sysName
PMM0591,PMED4_06401,559522.0,559884.0,+,Core,LEG,folB,Possible dihydroneopterin aldolase (NCBI),COG1539,H,Dihydroneopterin aldolase,PMM0591,locus_tag:sysName
PMM0592,PMED4_06411,559890.0,560483.0,+,Core,VEG,PMM0592,lipase family protein (NCBI),,,,PMM0592,locus_tag:sysName
PMM0593,PMED4_06421,560476.0,562563.0,-,Core,VEG,prlC,Peptidase family M3 (NCBI),COG339,E,Zn-dependent oligopeptidases,PMM0593,locus_tag:sysName
PMM0594,PMED4_06431,562568.0,564052.0,-,Core,VEG,ndhD,putative NADH Dehydrogenase (complex I) subunit (chain 4) (NCBI),COG1008,C,NADH:ubiquinone oxidoreductase subunit 4 (chain M),PMM0594,locus_tag:sysName
PMM0595,PMED4_06441,564197.0,565144.0,-,Core,VEG,thrB,Homoserine kinase:GHMP kinases putative ATP-binding domain (NCBI),COG83,E,Homoserine kinase,PMM0595,locus_tag:sysName
PMM0596,PMED4_06451,565152.0,566189.0,-,Core,VEG,glk,Putative glucokinase (NCBI),COG837,G,Glucokinase,PMM0596,locus_tag:sysName
PMM0597,PMED4_06461,566199.0,568115.0,-,Core,VEG,thrS,Threonyl-tRNA synthetase (NCBI),COG441,J,Threonyl-tRNA synthetase,PMM0597,locus_tag:sysName
PMM0598,PMED4_06471,568119.0,569135.0,-,Core,MEG,trpS,Tryptophanyl-tRNA synthetase (NCBI),COG180,J,Tryptophanyl-tRNA synthetase,PMM0598,locus_tag:sysName
PMM0599,PMED4_06481,569125.0,569580.0,-,Core,VEG,PMM0599,conserved hypothetical protein (NCBI),,,,PMM0599,locus_tag:sysName
PMM0600,PMED4_06491,569751.0,571076.0,+,Core,MEG,PMM0600,conserved hypothetical protein (NCBI),,,,PMM0600,locus_tag:sysName
PMM0601,PMED4_06501,571112.0,572014.0,+,Core,MEG,PMM0601,"ABC transporter, substrate binding protein, possibly Mn (NCBI)",COG803,P,"ABC-type metal ion transport system, periplasmic component/surface adhesin",PMM0601,locus_tag:sysName
PMM0602,PMED4_06511,572019.0,572783.0,+,Core,MEG,PMM0602,"ABC transporter, ATP binding domain, possibly Mn transporter (NCBI)",COG1121,P,"ABC-type Mn/Zn transport systems, ATPase component",PMM0602,locus_tag:sysName
PMM0603,PMED4_06521,572795.0,573667.0,+,Core,VEG,PMM0603,"ABC transporter component, possibly Mn transport (NCBI)",COG1108,P,"ABC-type Mn2+/Zn2+ transport systems, permease components",PMM0603,locus_tag:sysName
PMM0604,PMED4_06531,573674.0,574840.0,+,Core,VEG,PMM0604,conserved hypothetical protein (NCBI),,,,PMM0604,locus_tag:sysName
PMM0605,PMED4_06541,574845.0,575183.0,-,Core,VEG,PMM0605,conserved hypothetical protein (NCBI),,,,PMM0605,locus_tag:sysName
PMM0606,PMED4_06551,575229.0,575813.0,-,Core,MEG,lepB,leader peptidase I (NCBI),COG681,U,Signal peptidase I,PMM0606,locus_tag:sysName
PMM0607,PMED4_06561,575865.0,577631.0,+,Core,VEG,menD,"Menaquinone biosynthesis protein; probable 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (NCBI)",COG1165,H,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase",PMM0607,locus_tag:sysName
PMM0608,PMED4_06571,577662.0,578519.0,+,Core,MEG,menB,Napthoate synthase (NCBI),COG447,H,Dihydroxynaphthoic acid synthase,PMM0608,locus_tag:sysName
PMM0609,PMED4_06581,578565.0,580016.0,+,Core,VEG,glgA,Putative ADPglucose--glucosyltransferase (GlgA) (NCBI),COG297,G,Glycogen synthase,PMM0609,locus_tag:sysName
PMM0610,PMED4_06591,580028.0,581398.0,+,Core,VEG,murF,"UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate--D-alanyl-D-alanyl ligase (Katherine Huang)",COG770,M,UDP-N-acetylmuramyl pentapeptide synthase,PMM0610,locus_tag:sysName
PMM0611,PMED4_06601,581401.0,582750.0,-,Core,MEG,glmU,UDP-N-acetylglucosamine pyrophosphorylase (NCBI),COG1207,M,N-acetylglucosamine-1-phosphate uridyltransferase (contains nucleotidyltransferase and I-patch acetyltransferase domains),PMM0611,locus_tag:sysName
PMM0612,PMED4_06611,582791.0,583723.0,-,Core,VEG,PMM0612,Uncharacterized conserved protein (Katherine Huang),COG4121,S,Uncharacterized conserved protein,PMM0612,locus_tag:sysName
PMM0613,PMED4_06621,583693.0,585009.0,-,Core,VEG,aroA,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase) (NCBI),COG128,E,5-enolpyruvylshikimate-3-phosphate synthase,PMM0613,locus_tag:sysName
PMM0614,PMED4_06631,585243.0,585866.0,+,Core,MEG,PMM0614,probable 2-phosphosulfolactate phosphatase (Katherine Huang),COG2045,HR,Phosphosulfolactate phosphohydrolase and related enzymes,PMM0614,locus_tag:sysName
