sysName,locus_tag,start,stop,strand,Core/Flexible,ExpressionLevel,name,desc,COG,COGFun,COGDesc,resolved_locus_tag,resolution_method
PMM0098,PMED4_01031,100958.0,102370.0,-,Core,VEG,PMM0098,possible Fe-S oxidoreductase (NCBI),COG1625,C,"Fe-S oxidoreductase, related to NifB/MoaA family",PMM0098,locus_tag:sysName
PMM0099,PMED4_01041,102557.0,103324.0,+,Core,VEG,PMM0099,conserved hypothetical protein (NCBI),,,,PMM0099,locus_tag:sysName
PMM0100,PMED4_01051,103324.0,104991.0,+,Core,VEG,nadB,L-aspartate oxidase (NCBI),COG29,H,Aspartate oxidase,PMM0100,locus_tag:sysName
PMM0101,PMED4_01061,104981.0,105916.0,-,Core,MEG,PMM0101,Predicted membrane protein (Katherine Huang),COG4243,S,Predicted membrane protein,PMM0101,locus_tag:sysName
PMM0102,PMED4_01071,106023.0,107387.0,+,Flexible,VEG,PMM0102,possible Fe-S oxidoreductase (NCBI),COG621,J,2-methylthioadenine synthetase,PMM0102,locus_tag:sysName
PMM102a,PMED4_01081,107394.0,107486.0,-,Flexible,VEG,petL,cytochrome b6f complex subunit PetL (Katherine Huang),,,,,unresolved
PMM0103,PMED4_01091,107552.0,107938.0,-,Core,VEG,PMM0103,conserved hypothetical protein (NCBI),,,,PMM0103,locus_tag:sysName
PMM0104,PMED4_01101,108003.0,109157.0,-,Core,VEG,PMM0104,Uncharacterized protein conserved in bacteria (Katherine Huang),COG3146,S,Uncharacterized protein conserved in bacteria,PMM0104,locus_tag:sysName
PMM0105,PMED4_01111,109169.0,109831.0,-,Core,VEG,ribG,RibD/ribG C-terminal domain (NCBI),COG1985,H,"Pyrimidine reductase, riboflavin biosynthesis",PMM0105,locus_tag:sysName
PMM0106,PMED4_01121,109828.0,110754.0,-,Core,HEG,PMM0106,6-pyruvoyl tetrahydropterin synthase (NCBI),COG720,H,6-pyruvoyl-tetrahydropterin synthase,PMM0106,locus_tag:sysName
PMM0107,PMED4_01131,110805.0,111362.0,+,Core,VEG,aroK,Shikimate kinase (NCBI),COG703,E,Shikimate kinase,PMM0107,locus_tag:sysName
PMM0108,PMED4_01141,111359.0,111616.0,-,Core,VEG,PMM0108,conserved hypothetical protein (NCBI),,,,PMM0108,locus_tag:sysName
PMM0109,PMED4_01151,111615.0,112325.0,+,Flexible,LEG,PMM0109,possible POLO box duplicated region. (NCBI),,,,PMM0109,locus_tag:sysName
PMM0110,PMED4_01161,112312.0,113037.0,-,Core,VEG,PMM0110,putative glutathione S-transferase (NCBI),COG625,O,Glutathione S-transferase,PMM0110,locus_tag:sysName
PMM0111,PMED4_01171,113083.0,113295.0,+,Core,VEG,PMM0111,conserved hypothetical protein (NCBI),,,,PMM0111,locus_tag:sysName
PMM0112,PMED4_01181,113301.0,113699.0,+,Core,VEG,rbfA,Ribosome-binding factor A (NCBI),COG858,J,Ribosome-binding factor A,PMM0112,locus_tag:sysName
PMM0113,PMED4_01191,113674.0,114483.0,+,Core,VEG,hemD,putative uroporphyrinogen III synthase (NCBI),COG1587,H,Uroporphyrinogen-III synthase,PMM0113,locus_tag:sysName
