Gene,Description,Cluster,0,16,28,53,R*,locus_tag,resolution_method
P9313_16611,guanylate kinase (gmk),30,-0.18,-1.44**,-0.78,-0.99,0.81,,unresolved
17651 P9313,conserved hypothetical protein,17,0.06,-0.76,-0.62,-1.23**,0.52,,unresolved
18001 P9313,,30,-0.17,-1.17**,-1.06**,-1.17**,0.98,,unresolved
P9313_18021,,35,0.15,-1.63**,-0.30,-0.01,0.51,PMT_2704,tier1:Gene
P9313_18041 (PMT1429),2Fe-2S Ferredoxin:Ferredoxin (petF),30,0.01,-1.02**,-0.71,-0.84,1.27**,PMT1429,tier1:Gene
P9313_18941+,conserved hypothetical protein,30,-0.09,-0.98,-0.75,-1.40**,0.79,PMT_2723,heuristic:Gene
P9313_19161,conserved hypothetical protein,38,0.57,0.93,1.19**,2.13**,-1.07**,PMT_2726,tier1:Gene
P9313_19261,conserved hypothetical protein,18,-0.33,1.23**,-0.10,-1.17**,-0.59,PMT_2729,tier1:Gene
P9313_19501,conserved hypothetical protein,2,-0.05,-0.15,0.24,1.43**,-0.53,PMT_2732,tier1:Gene
(PMT1554)** P9313_19551,pentapeptide repeats,4,-0.31,2.52**,2.49**,4.50**,-4.29**,PMT1554,tier1:Gene
P9313_19831 (PMT1570),conserved hypothetical protein,13,0.32,0.03,-0.25,-1.09**,0.01,PMT1570,tier1:Gene
P9313_19851 (PMT1572),conserved hypothetical protein,27,0.06,-0.81,-0.11,-1.50**,0.48,PMT1572,tier1:Gene
P9313_19981,conserved hypothetical protein,3,0.90,0.70,-0.38,1.06**,-0.22,PMT_2754,tier1:Gene
P9313_20721,conserved hypothetical protein,3,0.86,0.33,0.20,1.19**,-0.13,PMT_2769,tier1:Gene
P9313_20761,,3,-0.03,-0.80,0.04,0.55,-1.23**,PMT_2771,tier1:Gene
P9313_21301,conserved hypothetical protein,38,-0.78,0.46,0.64,1.03**,-1.52**,,unresolved
P9313_21331,,17,-0.12,-0.28,-0.58,-1.04**,1.21**,,unresolved
P9313_21571,,13,-0.03,0.31,-0.41,-1.32**,0.21,PMT_2802,tier1:Gene
P9313_21601,,39,0.09,-0.05,0.80,-1.06**,-0.19,PMT_2803,tier1:Gene
P9313_22121,conserved hypothetical protein,16,0.07,-0.70,-0.83,-1.29**,0.45,,unresolved
P9313_22981,conserved hypothetical protein,16,0.37,-0.05,-0.24,-1.16**,0.79,PMT_2824,tier1:Gene
P9313_23111 (PMT1827),hypothetical,17,-0.16,-0.04,-0.33,-1.06**,0.35,PMT1827,tier1:Gene
P9313_23481,,4,0.03,0.66,0.26,1.39**,-0.77,PMT_2832,tier1:Gene
P9313_24261 (PMT1927),"putative glycosyl transferase, group 1",27,-0.24,-1.20**,-0.05,-0.43,0.04,PMT1927,tier1:Gene
P9313_24921,conserved hypothetical protein,35,0.29,-1.94**,-0.88,0.11,0.34,PMT_2859,tier1:Gene
P9313_25471,,13,-0.26,0.15,-0.33,-1.38**,0.03,PMT_2867,tier1:Gene
P9313_28041,,17,-0.18,-0.59,-0.48,-1.09**,1.17**,PMT_2924,tier1:Gene
P9313_28051,conserved hypothetical protein,17,-0.11,-1.09**,-0.77,-1.39**,1.62**,PMT_2925,tier1:Gene
P9313_28071,conserved hypothetical protein,17,0.11,-0.44,-0.57,-1.45**,0.59,PMT_2926,tier1:Gene
P9313_28081 (PMT2240),formate and nitrite transporters,30,-0.31,-0.96,-0.66,-1.04**,1.00**,PMT2240,tier1:Gene
PMT ffs,,35,0.04,-2.02**,-0.09,1.01**,-0.25,,unresolved
tRNA-Ala2,,3,0.44,0.44,0.10,1.91**,-0.81,,unresolved
tRNA-Arg2,,3,0.45,-0.02,0.24,1.28**,-0.62,,unresolved
tRNA-Asn1,,35,-0.16,-2.62**,-0.74,-0.13,-0.26,,unresolved
tRNA-Glul,,2,-0.09,-0.06,0.06,1.02**,-0.46,,unresolved
tRNA-Leul,,35,-0.40,-1.25**,-0.63,-0.52,-0.72,,unresolved
tRNA-Thr3,,3,0.28,-0.02,0.12,1.63**,-0.98,,unresolved
ncRNA Yfr2-5 1,,1,-0.03,0.62,-1.20**,2.01**,-0.74,,unresolved
ncRNA Yfr7,,2,0.15,-0.18,-0.36,1.14**,-0.32,,unresolved
