Gene,Description,Cluster,0,12,24,48,R*,locus_tag,resolution_method
PMED4_05091 (PMM0461)**,Cytochrome f (petA),3,0.06,-0.10,-0.69,-1.06**,0.86,PMM0461,tier1:Gene
PMED4_05101 (PMM0462),Rieske iron-sulfur protein (petC),3,-0.2,-0.35,-0.71,-1.01**,0.88,PMM0462,tier1:Gene
PMED4_05111 (PMM0463),conserved hypothetical protein,19,0.11,1.25**,1.44**,1.71**,-2.04**,PMM0463,tier1:Gene
PMED4_05451 (PMM0496),Putative principal RNA polymerase sigma factor (sigA; rpoD),19,-0.51,0.02,0.37,0.62,-1.13**,PMM0496,tier1:Gene
PMED4_06311 (PMM0582),Nucleoside-diphosphate-sugar epimerases,3,-0.23,-0.31,-0.52,-0.51,1.14**,PMM0582,tier1:Gene
PMED4_06971 (PMM0647),conserved hypothetical protein,19,-0.16,0.40,0.45,0.66,-1.24**,PMM0647,tier1:Gene
PMED4_07081 (PMM1854),conserved hypothetical protein,19,0.07,0.56,0.56,1.02**,-0.87,PMM1854,tier1:Gene
PMED4_07131 (PMM1856),conserved hypothetical protein,9,-0.52,-0.95,-0.89,-1.14**,1.95**,PMM1856,tier1:Gene
PMED4_07481 (PMM1864),conserved hypothetical protein,19,0.0,0.80,0.82,1.42**,-1.34**,PMM1864,tier1:Gene
PMED4_07522,,9,-0.22,-0.63,-0.26,-0.58,1.75**,PMM2051,tier1:Gene
PMED4_07531 (PMM1868),conserved hypothetical protein,9,-0.15,-0.09,0.07,-0.27,1.87**,PMM1868,tier1:Gene
PMED4_07571 (PMM1870),conserved hypothetical protein,16,0.1,0.28,0.46,1.33**,-0.56,PMM1870,tier1:Gene
PMED4_07691 (PMM1874),conserved hypothetical protein,19,0.45,0.81,0.90,1.50**,-1.27**,PMM1874,tier1:Gene
PMED4_07741 (PMM0702),possible DUP family,19,-0.14,0.75,0.68,1.12**,-1.19**,PMM0702,tier1:Gene
PMED4_07751 (PMM1876),conserved hypothetical protein,19,-0.24,0.44,0.53,0.98,-1.14**,PMM1876,tier1:Gene
PMED4_07791 (PMM0705),"two-component response regulator, phosphate (phoB)",3,-0.06,-0.32,-0.48,-1.01**,0.43,PMM0705,tier1:Gene
PMED4_08081 (PMM0731),possible COMC family,13,0.06,0.54,0.19,0.35,-1.02**,PMM0731,tier1:Gene
PMED4_08161 (PMM1885),conserved hypothetical protein,22,0.74,-2.28**,-0.14,0.51,-0.12,PMM1885,tier1:Gene
PMED4_08531 (PMM0768),glutamyl-tRNA reductase (hemA),9,0.0,-0.41,-0.72,-0.82,1.18**,PMM0768,tier1:Gene
PMED4_08911 (PMM0805),Hypothetical (homology to Gram-negative pili assembly chaperone),19,0.09,1.74**,1.80**,2.01**,-3.66**,PMM0805,tier1:Gene
PMED4_08921 (PMM0806),"Bacterial regulatory proteins, Crp family",19,0.22,1.24**,1.51**,1.73**,-3.54**,PMM0806,tier1:Gene
PMED4_09091 (PMM0817),possible high light inducible protein (hli7),19,0.31,0.71,0.95,1.23**,-1.29**,PMM0817,tier1:Gene
PMED4_09101 (PMM0818),possible high light inducible protein (hli6),19,0.16,0.68,0.91,1.06**,-1.23**,PMM0818,tier1:Gene
PMED4_09321 (PMM0838),possible Nucleoside diphosphate kinase,19,0.12,0.08,0.49,0.69,-1.11**,PMM0838,tier1:Gene
PMED4_09651 (PMM1910),conserved hypothetical protein,16,-0.1,1.02**,1.02**,1.71**,-0.79,PMM1910,tier1:Gene
PMED4_09701 (PMM0861),possible Virion host shutoff protein,19,0.05,0.82,0.72,0.93,-1.19**,PMM0861,tier1:Gene
PMED4_09841 (PMM1915),conserved hypothetical protein,19,-0.18,0.81,0.71,1.24**,-1.44**,PMM1915,tier1:Gene
PMED4_10041 (PMM0893),"possible GTP cyclohydrolase II/3,4-dihydroxy-2-butanone 4-phosphate synthase (ribB)",19,-0.02,0.55,0.64,1.21**,-1.12**,PMM0893,tier1:Gene
PMED4_10701 (PMM0958),conserved hypothetical,19,-0.02,0.26,0.88,1.14**,-1.03**,PMM0958,tier1:Gene
PMED4_11021 (PMM1925),conserved hypothetical protein,9,0.06,-0.55,-0.39,-0.44,1.05**,PMM1925,tier1:Gene
PMED4_11221 (PMM1931),conserved hypothetical protein,9,-0.27,-0.59,-0.28,-0.43,1.09**,PMM1931,tier1:Gene
PMED4_11251 (PMM1000),conserved hypothetical protein,3,-0.07,-0.30,-0.53,-0.92,1.30**,PMM1000,tier1:Gene
PMED4_11391 (PMM1935),conserved hypothetical protein,9,0.13,-0.20,-0.36,-0.59,1.30**,PMM1935,tier1:Gene
PMED4_11531 (PMM1940),conserved hypothetical protein,19,-0.01,0.52,0.79,1.18**,-1.04**,PMM1940,tier1:Gene
PMED4_11691 (PMM1949),conserved hypothetical protein,3,-0.47,-0.52,-0.63,-0.85,2.18**,PMM1949,tier1:Gene
PMED4_11701 (PMM1028),conserved hypothetical (with homology to a Carboxylesterase),9,0.2,-0.42,-0.32,-0.61,1.94**,PMM1028,tier1:Gene
PMED4_11751 (PMM1032),"ABC transporter, substrate binding protein, possibly Mn (iral)",19,-0.16,0.69,0.95,0.86,-1.88**,PMM1032,tier1:Gene
PMED4_11781 (PMM1951),conserved hypothetical protein,3,-0.51,-0.81,-0.69,-1.29**,2.43**,PMM1951,tier1:Gene
PMED4_11861 (PMM1041),conserved hypothetical protein (with homology to a Hemagglutinin neuraminidase),19,0.01,0.60,0.44,1.03**,-1.38**,PMM1041,tier1:Gene
PMED4_12641 (PMM1118),possible high light inducible protein (hli4),19,0.38,0.92,0.96,1.10**,-1.33**,PMM1118,tier1:Gene
PMED4_12832 (PMM1961),,19,-0.36,0.09,0.47,0.56,-1.04**,PMM2061,tier1:Gene
PMED4_12871,,9,-0.13,-0.99,-0.39,-0.77,1.64**,PMM1961,tier1:Gene
PMED4_12891 (PMM1135),possible high light inducible protein (hli14),19,0.45,0.94,1.12**,1.55**,-1.46**,PMM1135,tier1:Gene
PMED4_13281 (PMM1164)**,"putative iron ABC transporter, substrate binding protein (afuA)",19,0.0,1.47**,1.59**,1.68**,-3.63**,PMM1164,tier1:Gene
PMED4_13351 (PMM1170)*,conserved hypothetical protein,19,-0.14,0.61,0.82,0.87,-1.04**,PMM1170,tier1:Gene
PMED4_13361 (PMM1171),flavodoxin (isiB),19,0.0,1.23**,1.56**,1.84**,-1.96**,PMM1171,tier1:Gene
PMED4_13941 (PMM1229),dehydrogenase El component,9,0.09,-0.17,-0.41,-0.43,1.04**,PMM1229,tier1:Gene
PMED4_14491 (PMM1283),"Integral membrane protein, interacts with FtsH",19,0.13,0.55,0.85,0.84,-1.07**,PMM1283,tier1:Gene
PMED4_14671 (PMM1973),conserved hypothetical protein,19,0.39,1.38**,1.03**,1.11**,-1.28**,PMM1973,tier1:Gene
PMED4_15201 (PMM1352)**,ferredoxin (petF),6,0.26,-1.06**,-0.73,-1.09**,1.64**,PMM1352,tier1:Gene
PMED4_15351 (PMM1365),possible MATH domain,13,0.41,1.12**,0.59,0.80,-1.02**,PMM1365,tier1:Gene
PMED4_15431 (PMM1979),conserved hypothetical protein,13,0.07,0.30,0.34,0.19,-1.03**,PMM1979,tier1:Gene
PMED4_15442,,9,-0.24,-0.77,-0.60,-0.77,1.26**,PMM2064,tier1:Gene
PMED4_15451 (PMM1980),conserved hypothetical protein (with homology to predicted protein family PM-23),19,0.13,0.73,0.63,1.04**,-0.99,PMM1980,tier1:Gene
PMED4_15481 (PMM1982),conserved hypothetical protein,19,0.32,0.56,0.97,1.11**,-1.11**,PMM1982,tier1:Gene
PMED4_15491 (PMM1983),conserved hypothetical protein,19,0.36,0.74,0.58,1.08**,-0.85,PMM1983,tier1:Gene
PMED4_15531 (PMM1986),conserved hypothetical protein,19,0.14,1.10**,1.03**,1.07**,-0.42,PMM1986,tier1:Gene
PMED4_15541 (PMM1374),possible Type I restriction modification DNA s,9,-0.09,-0.84,-0.67,-1.30**,2.08**,PMM1374,tier1:Gene
PMED4_15611 (PMM1989),conserved hypothetical protein,9,-0.14,-0.53,-0.69,-0.48,1.17**,PMM1989,tier1:Gene
PMED4_15621 (PMM1990),conserved hypothetical protein,9,-0.3,-0.59,-0.77,-0.87,2.22**,PMM1990,tier1:Gene
PMED4_15631 (PMM1991),conserved hypothetical protein,9,0.12,-0.59,-0.59,-0.96,2.20**,PMM1991,tier1:Gene
PMED4_15641 (PMM1379),putative dape gene and orf2,9,0.03,-0.29,-0.38,-0.49,1.33**,PMM1379,tier1:Gene
PMED4_15651 (PMM1992),conserved hypothetical protein,3,-0.36,-0.39,-0.71,-0.68,1.09**,PMM1992,tier1:Gene
PMED4_15652,,9,0.06,-0.82,-1.06**,-1.47**,1.96**,PMM2065,tier1:Gene
PMED4_15701 (PMM1994),conserved hypothetical protein,9,0.3,-0.26,-0.87,-1.02**,1.28**,PMM1994,tier1:Gene
PMED4_15751 (PMM1996),conserved hypothetical protein,19,-0.25,-0.03,0.75,0.98,-1.48**,PMM1996,tier1:Gene
PMED4_15762,,9,-0.2,-0.45,-0.17,-0.04,1.14**,PMM2069,tier1:Gene
PMED4_15771 (PMM1998),conserved hypothetical protein,9,-0.57,-0.48,-0.04,-0.08,1.02**,PMM1998,tier1:Gene
PMED4_15781 (PMM1999),conserved hypothetical protein,19,-0.31,0.24,1.54**,2.09**,-1.55**,PMM1999,tier1:Gene
PMED4_15801 (PMM2001),conserved hypothetical protein,1,0.02,-0.68,-1.52**,-1.16**,0.22,PMM2001,tier1:Gene
PMED4_15871 (PMM1391),possible Helix-turn-helix protein copG family,13,-0.01,0.49,0.20,0.32,-1.36**,PMM1391,tier1:Gene
PMED4_15921 (PMM2004),conserved hypothetical protein (with homology to protein family PM-15),19,0.51,0.33,0.54,1.03**,-0.92,PMM2004,tier1:Gene
PMED4_15931 (PMM1396),possible high light inducible protein (hli9),19,0.21,0.56,0.85,0.98,-1.16**,PMM1396,tier1:Gene
PMED4_15941 (PMM1397),possible high light inducible protein (hli8),19,0.28,0.68,0.93,1.17**,-1.32**,PMM1397,tier1:Gene
PMED4_15971 (PMM1400),possible Hemagglutinin-neuraminidase,19,0.23,1.42**,1.40**,1.71**,-2.37**,PMM1400,tier1:Gene
PMED4_15981 (PMM2005),conserved hypothetical protein,19,0.51,1.37**,1.47**,1.83**,-2.07**,PMM2005,tier1:Gene
PMED4_16011 (PMM1402),Conserved hypothetical protein,3,-0.23,-0.32,-0.62,-0.79,1.24**,PMM1402,tier1:Gene
PMED4_16051 (PMM1404),possible high light inducible protein (hli5),19,0.46,0.65,0.84,1.00,-1.12**,PMM1404,tier1:Gene
PMED4_16131 (PMM2010),hypothetical protein,13,-0.09,0.41,0.12,0.12,-1.06**,PMM2010,tier1:Gene
PMED4_16161 (PMM2012),conserved hypothetical protein,9,0.06,-0.45,-0.95,-1.22**,1.82**,PMM2012,tier1:Gene
PMED4_16171 (PMM1412),conserved hypothetical protein,19,-0.04,1.13**,1.67**,2.08**,-2.29**,PMM1412,tier1:Gene
PMED4_16221 (PMM2013),conserved hypothetical protein,19,-0.08,1.20**,1.01**,1.11**,-1.77**,PMM2013,tier1:Gene
PMED4_16311 (PMM1424),possible Uncharacterized protein family UPF003,19,-0.23,0.74,0.79,1.15**,-1.41**,PMM1424,tier1:Gene
PMED4_16481 (PMM1439)**,ATP synthase Epsilon subunit (atpC),9,-0.08,-0.24,-0.66,-0.70,1.10**,PMM1439,tier1:Gene
PMED4_17291 (PMM1519),Photosystem I PsaL protein (psaL),3,-0.3,-0.46,-0.67,-1.11**,1.34**,PMM1519,tier1:Gene
PMED4_17301 (PMM1520),photosystem I subunit VIII (psal),3,-0.25,-0.37,-0.53,-0.80,1.11**,PMM1520,tier1:Gene
PMED4_18731 (PMM1663)**,putative photosystem I assembly related protein Ycf37,3,-0.21,-0.15,-0.52,-0.64,1.10**,PMM1663,tier1:Gene
PMED4 asRNA 04601,,19,0.54,-0.79,1.84**,1.48**,-0.56,,unresolved
PMED4 asRNA 07401,,19,-0.22,0.21,0.82,1.23**,-1.13**,,unresolved
PMED4 ncRNA Yfr10,,3,0.02,-0.10,0.04,-0.70,1.61**,,unresolved
PMED4_ncRNA_Yfr11,,3,-0.63,-0.69,-0.78,-1.16**,1.83**,,unresolved
PMED4 ncRNA Yfr16,,9,-0.03,-1.27**,-1.15**,-0.75,1.58**,,unresolved
PMED4 ncRNA Yfr19,,9,0.19,-0.29,-0.36,-0.41,1.14**,,unresolved
PMED4 ncRNA Yfr2,,16,0.03,0.14,0.79,1.71**,-0.27,,unresolved
PMED4_ncRNA_Yfr20,,19,0.45,1.01**,0.97,1.56**,-2.21**,,unresolved
PMED4 ncRNA Yfr4,,16,0.32,0.20,0.80,1.50**,-0.12,,unresolved
PMED4 ncRNA Yfr8,,9,0.09,-0.55,-0.46,-0.43,1.70**,,unresolved
PMED4_pseudo_3,,3,-0.2,-0.28,-0.43,-0.58,1.72**,,unresolved
PMED4_pseudo_6,,4,-0.26,-0.83,-0.05,-0.54,1.61**,,unresolved
PMM_tRNA-Ser2,,19,0.13,0.29,1.19**,1.36**,-0.28,,unresolved
