Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light 4,Light 5,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 2,Darkness 3,Darkness 4,Darkness 5,Darkness 6,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu nM 4,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light 1,Light 3,Light 5,Light Glu nM 1,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 3,Darkness 5,Darkness Glu nM 1,Darkness Glu nM 3,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Alteromonas_SS120,Light avg,Light G nM avg,Light G mM avg,Darkness avg,Darkness G nM,Darkness G mM,t.test G nM/L,FC G nM/L,t.test G mM/L,FC GmM/L,t.test G nM/O,FC G nM/D,t.test G mM/O,FC G mM/D,Alteromonas_SS120
A0A359K8N1,2,2,6.556866,DNA polymerase I OS=Alteromonas sp. OX=232 GN=polA PE=3 SV=1,1896344,439687.9,4167821,1522393,7786585,2318066,8931333,3058231,9519146,996569.5,930972,4218013,558737.2,1447738,5214548,656915.2,1631531,1326427,4733505,2190310,2204803,1933564,3468893,3757965,574521.6,147622.8,112273.9,0.003469,0.003285,0.007142,0.003452,0.003715,0.002811,0.000778,0.000974,0.000346,0.001926,0.001744,0.003233,0.003542,0.003143,0.003781,0.00032,0.000303,0.000255,DNA polymerase I OS=Alteromonas sp. OX=232 GN=polA PE=3 SV=1,0.004632,0.003326,0.000699,0.002301,0.002415,0.00173,0.24,0.72,0.056,0.15,0.034,1.05,0.027,0.75,DNA polymerase I OS=Alteromonas sp. OX=232 GN=polA PE=3 SV=1
A0A359K8V9,3,3,12.61655,DUF1329 domain-containing protein OS=Alteromonas sp. OX=232 GN=DEH24_17975 PE=4 SV=1,248543.9,493579.9,1304860,306448.5,1115422,57717.04,1064522,529686.2,1492816,2829276,6017102,17483824,5235839,65882.56,396104.4,78968.93,224118.1,402368.1,2189617,243711.6,1184670,222613.6,811637.7,637819,7187555,1323835,1102947,0.000455,0.001028,0.001023,8.60E-05,0.000644,0.000441,0.00221,0.004035,0.003244,8.77E-05,0.00021,0.000981,0.000394,0.000362,0.000642,0.004007,0.002721,0.002505,DUF1329 domain-containing protein OS=Alteromonas sp. OX=232 GN=DEH24_17975 PE=4 SV=1,0.000835,0.00039,0.003163,0.000426,0.00167,0.002021,0.011,0.47,0.012,3.79,0.428,3.92,0.031,4.74,DUF1329 domain-containing protein OS=Alteromonas sp. OX=232 GN=DEH24_17975 PE=4 SV=1
A0A359K537,2,2,7.293119,Electron transfer flavoprotein subunit alpha OS=Alteromonas sp. OX=232 GN=DEH24_07385 PE=3 SV=1,190669,92653.13,54303.95,21268.3,116417.2,132516.2,599579.6,63742.59,468634.7,36449.11,183264.1,519553,1849746,30979.6,56422.47,7428.605,75797.79,60345.56,368234.6,14511.28,55903.22,22103.32,289536.3,61872.61,511234.1,92430.6,87456.36,0.000349,4.28E-05,0.000107,0.000197,7.74E-05,0.000138,2.85E-05,0.00012,0.001146,4.12E-05,1.97E-05,0.000147,2.35E-05,3.59E-05,6.23E-05,0.000285,0.00019,0.000199,Electron transfer flavoprotein subunit alpha OS=Alteromonas sp. OX=232 GN=DEH24_07385 PE=3 SV=1,0.000166,0.000138,0.000432,6.93E-05,0.000128,0.000185,0.345,0.83,0.289,2.6,0.217,1.84,0.055,2.67,Electron transfer flavoprotein subunit alpha OS=Alteromonas sp. OX=232 GN=DEH24_07385 PE=3 SV=1
A0A359K162,10,10,66.24029,Elongation factor G (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_03810 PE=4 SV=1,869565.6,1376025,1596169,780714.6,2524410,1449840,5007192,1352367,6367596,14338111,20572473,1.18E+08,34464248,521006,1448560,351283.7,421882.3,1246706,3617448,1419687,3554237,996528.4,2886556,2191790,44765872,6847461,3423080,0.001591,0.001258,0.002315,0.002159,0.001643,0.00188,0.0112,0.027336,0.021355,0.000693,0.000933,0.003038,0.002296,0.00162,0.002205,0.024957,0.014075,0.007775,Elongation factor G (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_03810 PE=4 SV=1,0.001721,0.001894,0.019964,0.001555,0.009594,0.007857,0.316,1.1,0.031,11.6,0.282,6.17,0.065,5.05,Elongation factor G (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_03810 PE=4 SV=1
A0A359KA31,4,4,16.60494,Elongation factor Ts OS=Alteromonas sp. OX=232 GN=tsf PE=3 SV=1,736948.5,593081,526402.9,216675.3,836656.3,722679.3,1194763,580969.9,1691141,2211725,6223968,9248956,4252448,309887.3,1416618,191202.7,441670.9,502315.7,5007758,506591.8,936790.4,270716.9,479399.2,575561.1,2736722,1385838,1654102,0.001348,0.000415,0.000767,0.001076,0.000706,0.000499,0.001728,0.002135,0.002635,0.000412,0.000508,0.001224,0.000819,0.00044,0.000579,0.001526,0.002849,0.003757,Elongation factor Ts OS=Alteromonas sp. OX=232 GN=tsf PE=3 SV=1,0.000844,0.00076,0.002166,0.000715,0.000848,0.002483,0.35,0.9,0.054,2.57,0.385,1.19,0.023,3.47,Elongation factor Ts OS=Alteromonas sp. OX=232 GN=tsf PE=3 SV=1
A0A359K9E1,3,3,26.93965,Enolase OS=Alteromonas sp. OX=232 GN=eno PE=3 SV=1,8974138,13324814,21689278,9149234,32758019,9894835,40380910,15303211,56272241,26535005,39143291,1.02E+08,48936176,7356835,21865549,4539795,13775636,7081449,28881571,8921978,25274459,8411186,22703948,15230677,77894771,15330492,11753489,0.016419,0.017093,0.030045,0.014736,0.018592,0.016616,0.020728,0.023617,0.030322,0.009789,0.012052,0.017258,0.014427,0.013671,0.015326,0.043426,0.031513,0.026696,Enolase OS=Alteromonas sp. OX=232 GN=eno PE=3 SV=1,0.021186,0.016648,0.024889,0.013033,0.024141,0.026465,0.211,0.79,0.09,1.17,0.263,1.85,0.049,2.03,Enolase OS=Alteromonas sp. OX=232 GN=eno PE=3 SV=1
A0A359K9B0,2,2,9.549983,Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Alteromonas sp. OX=232 GN=fabV PE=3 SV=1,1978280,2060228,3521133,594911.1,1460190,2762917,7481405,397210.2,763057.3,282315.8,645626.6,3503357,1574383,324907.1,737283.9,470809.2,1175367,424425.2,2090440,3058569,654408.3,1419081,3344883,500522.2,3297479,663517.4,395960.7,0.003619,0.002775,0.001339,0.004115,0.000483,0.000225,0.000221,0.000809,0.000976,0.000432,0.00125,0.001034,0.004946,0.002306,0.000504,0.001838,0.001364,0.000899,Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Alteromonas sp. OX=232 GN=fabV PE=3 SV=1,0.002578,0.001608,0.000668,0.000905,0.001549,0.001614,0.176,0.62,0.081,0.26,0.188,1.71,0.218,1.78,Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Alteromonas sp. OX=232 GN=fabV PE=3 SV=1
A0A359K3Z2,2,2,6.291609,Excinuclease ABC subunit UvrA (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_08725 PE=4 SV=1,819338,756959.8,1409984,700010.2,3651992,752516,4316040,1766220,7040444,149030.9,193878.2,1426576,204559,533078.7,1842452,321728.5,1157782,635705.7,701780.9,877223.3,105493.4,873873.1,3756665,1317539,102292.9,16644.25,198322.6,0.001499,0.001111,0.00335,0.001121,0.002146,0.002079,0.000116,0.000329,0.000127,0.000709,0.000854,0.001549,0.001418,0.00142,0.001326,5.70E-05,3.42E-05,0.00045,Excinuclease ABC subunit UvrA (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_08725 PE=4 SV=1,0.001987,0.001782,0.000191,0.001038,0.000934,0.000824,0.395,0.9,0.067,0.1,0.175,0.9,0.011,0.79,Excinuclease ABC subunit UvrA (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_08725 PE=4 SV=1
A0A359KAY4,2,2,8.80497,Fatty acid metabolism regulator protein OS=Alteromonas sp. OX=232 GN=fadR PE=3 SV=1,80649.88,29374.53,26226.87,12878.82,37501.67,13182.62,73477.77,17867.18,247402.6,398925.9,67928.74,1892347,373374.9,1729.616,6321.366,1130.091,3359.859,955.217,62654.51,2461.651,33220.47,4935.272,9452.747,4420.009,651201.2,69142,16751,0.000148,2.07E-05,3.44E-05,1.96E-05,2.17E-05,7.31E-05,0.000312,0.000437,0.000231,2.30E-06,3.00E-06,2.33E-06,3.98E-06,8.02E-06,4.45E-06,0.000363,0.000142,3.80E-05,Fatty acid metabolism regulator protein OS=Alteromonas sp. OX=232 GN=fadR PE=3 SV=1,6.75E-05,3.81E-05,0.000327,2.54E-06,0.000125,8.26E-05,0.309,0.56,0.041,4.84,0.054,49.22,0.102,32.47,Fatty acid metabolism regulator protein OS=Alteromonas sp. OX=232 GN=fadR PE=3 SV=1
A0A359KC41,4,4,12.53138,Fe-S cluster assembly ATPase SufC OS=Alteromonas sp. OX=232 GN=sufC PE=3 SV=1,103354,277459.6,117554.9,86223.19,158391.2,156272.5,943755.4,159601.4,1019299,422922.1,269036.5,3106351,460906.2,67100.61,164076.3,87330.83,99290.89,48093.27,249574.1,98731.71,24121.28,295515.2,78033.54,149470.8,1437849,140421.9,669282.3,0.000189,9.26E-05,0.000145,0.000233,0.000194,0.000301,0.00033,0.000717,0.000286,8.93E-05,0.000232,0.000117,0.00016,0.00048,0.00015,0.000802,0.000289,0.00152,Fe-S cluster assembly ATPase SufC OS=Alteromonas sp. OX=232 GN=sufC PE=3 SV=1,0.000142,0.000243,0.000444,0.000146,0.000477,0.00065,0.045,1.7,0.101,3.12,0.11,3.27,0.102,4.45,Fe-S cluster assembly ATPase SufC OS=Alteromonas sp. OX=232 GN=sufC PE=3 SV=1
A0A359K9V0,2,2,7.233957,Fe-S cluster assembly protein SufB (Fragment) OS=Alteromonas sp. OX=232 GN=sufB PE=3 SV=1,312758.5,311757.6,582997,192249.2,687394.8,411246.4,1394340,370717.1,1052571,548470.7,442626.2,1270017,527020.8,216211.9,612818.3,160326.6,565145.7,273527.7,2185201,622473.5,539872.3,484915,1472156,478956.8,580801.5,431999.6,244900.5,0.000572,0.000459,0.00063,0.000612,0.00045,0.000311,0.000428,0.000293,0.000327,0.000288,0.000426,0.000667,0.001007,0.000788,0.000482,0.000324,0.000888,0.000556,Fe-S cluster assembly protein SufB (Fragment) OS=Alteromonas sp. OX=232 GN=sufB PE=3 SV=1,0.000554,0.000458,0.000349,0.00046,0.000531,0.000666,0.242,0.83,0.027,0.63,0.187,1.16,0.265,1.45,Fe-S cluster assembly protein SufB (Fragment) OS=Alteromonas sp. OX=232 GN=sufB PE=3 SV=1
A0A359K8J1,3,3,19.19572,Ferric uptake regulation protein OS=Alteromonas sp. OX=232 GN=fur PE=3 SV=1,225748.4,419527,162139.1,66115.82,395302.4,243118.7,1237278,104956.4,893787.8,10180422,7949606,17721329,7679689,178791.7,567361,115605.5,812379.4,186004.4,501746.9,191046.3,1009669,96927.01,578304.1,140105.3,13340400,1882333,536615.1,0.000413,0.000128,0.000363,0.000362,0.000128,0.000264,0.007953,0.00409,0.004759,0.000238,0.000307,0.000453,0.000309,0.000158,0.000141,0.007437,0.003869,0.001219,Ferric uptake regulation protein OS=Alteromonas sp. OX=232 GN=fur PE=3 SV=1,0.000301,0.000251,0.0056,0.000333,0.002579,0.001796,0.11,0.83,0.021,18.6,0.181,7.75,0.088,5.4,Ferric uptake regulation protein OS=Alteromonas sp. OX=232 GN=fur PE=3 SV=1
A0A359K339,2,2,11.50022,Flagellin OS=Alteromonas sp. OX=232 GN=DEH24_06795 PE=3 SV=1,1605764,2423903,2461922,2224491,2675914,2532076,523363.6,2706929,7079793,2680626,7903899,2606490,4349239,1401855,2428349,989019.3,1947835,1712597,4906215,2445468,2230329,824557.7,3793162,3259444,8905641,1538454,1400639,0.002938,0.00194,0.002454,0.003771,0.003289,0.00209,0.002094,0.000602,0.002695,0.001865,0.002626,0.004174,0.003954,0.00134,0.00328,0.004965,0.003162,0.003181,Flagellin OS=Alteromonas sp. OX=232 GN=DEH24_06795 PE=3 SV=1,0.002444,0.00305,0.001797,0.002888,0.003195,0.002929,0.177,1.25,0.15,0.74,0.49,1.11,0.269,1.01,Flagellin OS=Alteromonas sp. OX=232 GN=DEH24_06795 PE=3 SV=1
A0A359K565,5,5,19.60545,Fumarate hydratase class I OS=Alteromonas sp. OX=232 GN=DEH24_11340 PE=3 SV=1,118880.9,297971.4,503747.1,67631.55,192163.9,199254.8,1633693,69550.56,99253.78,137103.4,367233.6,1397656,1008011,25716.3,64085.73,66450.71,277344.3,50464.51,580947.9,125044.7,1127587,143812.2,336225.5,53951.31,935797.2,50550.86,82519.4,0.000217,0.000397,0.000176,0.000297,8.45E-05,2.93E-05,0.000107,0.000323,0.000625,3.42E-05,0.000176,0.000123,0.000202,0.000234,5.43E-05,0.000522,0.000104,0.000187,Fumarate hydratase class I OS=Alteromonas sp. OX=232 GN=DEH24_11340 PE=3 SV=1,0.000264,0.000137,0.000351,0.000111,0.00027,0.000185,0.19,0.52,0.337,1.33,0.262,2.43,0.222,1.66,Fumarate hydratase class I OS=Alteromonas sp. OX=232 GN=DEH24_11340 PE=3 SV=1
A0A359K867,5,5,20.38241,Glucose-6-phosphate 1-dehydrogenase OS=Alteromonas sp. OX=232 GN=zwf PE=3 SV=1,16255238,35180843,64865658,27130050,80892574,21001325,1.28E+08,33906357,1.49E+08,4718804,21762499,95873092,15973167,16234052,39126326,7911751,27346286,12894592,77852999,28679011,73320637,23815703,84472037,28344193,30487412,4790234,4036861,0.02974,0.051121,0.074194,0.031277,0.041193,0.044052,0.003686,0.022129,0.009897,0.0216,0.021003,0.031425,0.046374,0.038708,0.028521,0.016997,0.009847,0.009169,Glucose-6-phosphate 1-dehydrogenase OS=Alteromonas sp. OX=232 GN=zwf PE=3 SV=1,0.051685,0.038841,0.011904,0.024676,0.028075,0.023567,0.15,0.75,0.042,0.23,0.127,1.14,0.067,0.96,Glucose-6-phosphate 1-dehydrogenase OS=Alteromonas sp. OX=232 GN=zwf PE=3 SV=1
A0A359K180,2,2,8.137974,Glucose-6-phosphate isomerase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_04200 PE=3 SV=1,41444.41,106802.7,106814.6,36176.68,108768.3,61230.87,131788.5,118854.3,90978.31,100363.7,4177924,8440476,5467624,36113.7,314938.4,31323.44,22379.74,125853,159668.3,40621.74,31471.91,64441.98,39518.02,263988.2,5173652,577487.2,214006.9,7.58E-05,8.42E-05,9.98E-05,9.12E-05,0.000144,2.69E-05,7.84E-05,0.001948,0.003388,4.81E-05,8.32E-05,0.000307,6.57E-05,0.000105,0.000266,0.002884,0.001187,0.000486,Glucose-6-phosphate isomerase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_04200 PE=3 SV=1,8.66E-05,8.75E-05,0.001805,0.000146,0.001085,0.000587,0.492,1.01,0.106,20.84,0.489,7.43,0.11,4.02,Glucose-6-phosphate isomerase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_04200 PE=3 SV=1
A0A359K582,3,3,14.96727,Glutamate synthase small subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_11000 PE=4 SV=1,351350.1,289299.4,609876.3,246251.7,996498.8,320830.1,1047966,522299.6,1582415,2765929,3374803,9118302,2566321,180833.5,816307.1,87894.26,259194.7,175854.3,1057189,315293.2,454121.1,207505.1,685033.9,328470.1,3200203,656229.3,1150829,0.000643,0.000481,0.000914,0.000478,0.000635,0.000467,0.002161,0.002105,0.00159,0.000241,0.000233,0.000429,0.00051,0.000337,0.000331,0.001784,0.001349,0.002614,Glutamate synthase small subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_11000 PE=4 SV=1,0.000679,0.000527,0.001952,0.000301,0.000817,0.001547,0.236,0.78,0.026,2.87,0.239,2.72,0.018,5.14,Glutamate synthase small subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_11000 PE=4 SV=1
A0A359K885,6,6,39.72802,Glycine dehydrogenase (decarboxylating) OS=Alteromonas sp. OX=232 GN=gcvP PE=3 SV=1,366827.7,488315.1,1196721,249553.6,685481.3,118489.7,1859723,218783.5,385146.2,2687456,3499035,13387877,1850573,157078.9,297399.6,226421.5,604361.8,163645.9,480500.9,564476,997652.1,490001.6,1380888,246713.5,3990949,403583.6,1024547,0.000671,0.000943,0.000629,0.000176,0.000266,0.000114,0.002099,0.00309,0.001147,0.000209,0.000601,0.000399,0.000913,0.000796,0.000248,0.002225,0.00083,0.002327,Glycine dehydrogenase (decarboxylating) OS=Alteromonas sp. OX=232 GN=gcvP PE=3 SV=1,0.000748,0.000185,0.002112,0.000403,0.00109,0.001301,0.005,0.25,0.051,2.82,0.21,2.7,0.07,3.23,Glycine dehydrogenase (decarboxylating) OS=Alteromonas sp. OX=232 GN=gcvP PE=3 SV=1
A0A359KAX0,3,3,9.071634,Glycine--tRNA ligase alpha subunit OS=Alteromonas sp. OX=232 GN=glyQ PE=3 SV=1,101192.6,83156.45,70961.09,30152.63,52244.46,124001.8,258109,56377.95,387803.1,908349.4,356404.4,212665.4,749845.1,19810.81,142520.9,26818.3,59088.01,74981.27,911404.3,30817.97,240784.1,35849.5,65690.01,154085.7,67730.64,289966.8,507548,0.000185,5.59E-05,4.79E-05,0.000185,6.85E-05,0.000115,0.00071,4.91E-05,0.000465,2.64E-05,7.12E-05,0.000183,4.98E-05,5.83E-05,0.000155,3.78E-05,0.000596,0.001153,Glycine--tRNA ligase alpha subunit OS=Alteromonas sp. OX=232 GN=glyQ PE=3 SV=1,9.63E-05,0.000123,0.000408,9.34E-05,8.37E-05,0.000615,0.165,1.27,0.097,4.23,0.372,0.9,0.106,6.58,Glycine--tRNA ligase alpha subunit OS=Alteromonas sp. OX=232 GN=glyQ PE=3 SV=1
A0A359K4G1,2,2,7.313265,Glycosyl transferase OS=Alteromonas sp. OX=232 GN=DEH24_09630 PE=4 SV=1,1260.878,10211.08,1351.747,827.5702,4340.782,1157.291,37113.49,13641.73,890.0907,1468.459,218413,1054702,202855.3,4968.704,1711.171,7341.067,31341.43,4365.98,38519.13,4152.216,33566.61,2695.24,4662.738,6289.811,154089.9,18073.75,28134.48,2.31E-06,1.07E-06,3.98E-06,1.72E-06,1.66E-05,2.63E-07,1.15E-06,0.000243,0.000126,6.61E-06,1.95E-05,1.06E-05,6.71E-06,4.38E-06,6.33E-06,8.59E-05,3.72E-05,6.39E-05,Glycosyl transferase OS=Alteromonas sp. OX=232 GN=DEH24_09630 PE=4 SV=1,2.45E-06,6.19E-06,0.000123,1.22E-05,3.22E-05,3.45E-05,0.297,2.52,0.114,50.35,0.145,2.63,0.054,2.82,Glycosyl transferase OS=Alteromonas sp. OX=232 GN=DEH24_09630 PE=4 SV=1
A0A359K340,5,5,26.52632,GMP synthase [glutamine-hydrolyzing] OS=Alteromonas sp. OX=232 GN=guaA PE=3 SV=1,1097998,652104.1,1331541,678827.1,2552700,1024114,2127972,1081648,7903714,12923658,2142251,14203498,2158431,365615.4,940126,288410.5,451525,397644,2402610,373176.1,925200.9,507772.2,1535195,760939.6,3949270,446347.8,409689.8,0.002009,0.001049,0.002341,0.001525,0.001314,0.002334,0.010095,0.003278,0.001337,0.000486,0.000766,0.000969,0.000603,0.000825,0.000766,0.002202,0.000917,0.000931,GMP synthase [glutamine-hydrolyzing] OS=Alteromonas sp. OX=232 GN=guaA PE=3 SV=1,0.0018,0.001724,0.004904,0.00074,0.001264,0.001216,0.381,0.96,0.182,2.72,0.468,1.71,0.194,1.64,GMP synthase [glutamine-hydrolyzing] OS=Alteromonas sp. OX=232 GN=guaA PE=3 SV=1
A0A359KCM1,2,2,12.02386,Histidine kinase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_20610 PE=4 SV=1,213268.3,234876,983226.2,408636.7,866934.4,582783,1135783,983737,2353885,5466168,1851508,2665710,1419411,233588.3,247390.4,179128.6,168887.1,370005.5,1129217,419880.8,304147.2,544954.3,929949.8,481506.9,2968043,463360.7,782706.2,0.00039,0.000775,0.000795,0.000868,0.001195,0.000695,0.00427,0.000615,0.000879,0.000311,0.000476,0.000902,0.000679,0.000886,0.000485,0.001655,0.000952,0.001778,Histidine kinase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_20610 PE=4 SV=1,0.000653,0.000919,0.001922,0.000563,0.001008,0.001128,0.142,1.41,0.217,2.94,0.349,1.79,0.035,2,Histidine kinase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_20610 PE=4 SV=1
A0A359K9M5,4,4,14.02318,Histidine--tRNA ligase OS=Alteromonas sp. OX=232 GN=hisS PE=3 SV=1,81018.95,66165.58,141547,63270.2,176494.4,630108.4,394721.4,241622.6,1518269,3217905,1824712,4946102,1888871,57055.88,204076.1,37534.1,104535.1,114597.3,511448.7,227447,179423,79992.67,72122.12,108105.8,2706806,430539.1,775332.7,0.000148,0.000112,0.000162,0.000938,0.000294,0.000448,0.002514,0.001142,0.00117,7.59E-05,9.96E-05,0.000279,0.000368,0.00013,0.000109,0.001509,0.000885,0.001761,Histidine--tRNA ligase OS=Alteromonas sp. OX=232 GN=hisS PE=3 SV=1,0.000141,0.00056,0.001609,0.000152,0.000583,0.000929,0.078,3.98,0.041,11.44,0.371,3.84,0.016,6.13,Histidine--tRNA ligase OS=Alteromonas sp. OX=232 GN=hisS PE=3 SV=1
A0A359K496,2,2,6.589949,Histidinol dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=hisD PE=3 SV=1,3399.453,2699.78,20948.55,4059.056,17675.93,14970.76,56008.48,8532.505,24268.41,748453.8,86808.48,495854.6,252536.2,1587.972,32621.56,1695.521,0,1585.696,3223.26,5614.043,11196.84,4214.797,4311.403,1280.857,40545.6,19573.2,2987.648,6.22E-06,1.65E-05,1.62E-05,2.23E-05,1.04E-05,7.17E-06,0.000585,0.000114,0.000156,2.11E-06,4.50E-06,3.86E-06,9.08E-06,6.85E-06,1.29E-06,2.26E-05,4.02E-05,6.79E-06,Histidinol dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=hisD PE=3 SV=1,1.30E-05,1.33E-05,0.000285,3.49E-06,1.02E-05,2.00E-05,0.487,1.02,0.109,21.97,0.25,2.93,0.087,5.73,Histidinol dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=hisD PE=3 SV=1
A0A359K334,2,2,12.76313,Inosine-5'-monophosphate dehydrogenase OS=Alteromonas sp. OX=232 GN=guaB PE=3 SV=1,536531.2,322986.1,194877.3,69033.31,194257.2,181997.2,1433104,126643.6,342935.4,3376444,5536533,17443100,4304681,37838.9,290260.3,76945.9,274039.6,41151.93,274917.1,69246.46,1741634,170957.1,1808678,50469.43,5478642,577869.9,502514.9,0.000982,0.000154,0.000178,0.000271,0.000154,0.000101,0.002638,0.004026,0.002667,5.03E-05,0.000204,0.0001,0.000112,0.000278,5.08E-05,0.003054,0.001188,0.001141,Inosine-5'-monophosphate dehydrogenase OS=Alteromonas sp. OX=232 GN=guaB PE=3 SV=1,0.000438,0.000175,0.00311,0.000118,0.001128,0.000922,0.182,0.4,0.027,7.1,0.271,9.53,0.064,7.8,Inosine-5'-monophosphate dehydrogenase OS=Alteromonas sp. OX=232 GN=guaB PE=3 SV=1
A0A359K4B7,2,2,6.718784,Inositol-1-monophosphatase OS=Alteromonas sp. OX=232 GN=DEH24_06020 PE=3 SV=1,209850.1,1186997,2355962,928130.6,2107579,60701.58,3188935,1735146,188526.2,371262.6,573625.1,2185156,634278.6,379718.1,1169063,285878.4,319894.1,392183.5,536784.8,610196.1,361484.4,688141.5,1620453,690254.5,779431.2,338336.5,172324.7,0.000384,0.001857,0.001933,9.04E-05,0.002108,5.57E-05,0.00029,0.000504,0.000393,0.000505,0.000759,0.000956,0.000987,0.001118,0.000695,0.000435,0.000695,0.000391,Inositol-1-monophosphatase OS=Alteromonas sp. OX=232 GN=DEH24_06020 PE=3 SV=1,0.001391,0.000751,0.000396,0.00074,0.000749,0.000826,0.211,0.54,0.08,0.28,0.245,1.01,0.148,1.12,Inositol-1-monophosphatase OS=Alteromonas sp. OX=232 GN=DEH24_06020 PE=3 SV=1
A0A359K6G9,2,2,13.66174,Isocitrate dehydrogenase OS=Alteromonas sp. OX=232 GN=DEH24_13670 PE=4 SV=1,123907.9,197932.3,344839,142267.2,442951.6,282828.2,454131.8,214366,745315.7,3565379,4522530,6193643,5568305,119777.2,164334,30653.08,133545.2,92269.06,436117.5,167052,221016.6,78354.38,272694.9,142757.3,7834556,692892.9,1083608,0.000227,0.000272,0.000406,0.000421,0.00026,0.00022,0.002785,0.00143,0.00345,0.000159,8.14E-05,0.000225,0.00027,0.000127,0.000144,0.004368,0.001424,0.002461,Isocitrate dehydrogenase OS=Alteromonas sp. OX=232 GN=DEH24_13670 PE=4 SV=1,0.000302,0.000301,0.002555,0.000155,0.001546,0.001396,0.497,1,0.029,8.47,0.349,9.96,0.046,8.99,Isocitrate dehydrogenase OS=Alteromonas sp. OX=232 GN=DEH24_13670 PE=4 SV=1
A0A359KBP7,7,7,33.26553,Ketol-acid reductoisomerase (NADP(+)) OS=Alteromonas sp. OX=232 GN=ilvC PE=3 SV=1,1519282,879299.3,1940788,490724.3,2216286,1292731,4062826,857888,3706445,9108486,38278386,72743518,37044937,519344.4,1172329,263794.9,1313862,707046.5,6361990,871813,1399344,698369.4,1999275,840724.3,48670017,11231036,4684712,0.00278,0.00153,0.002033,0.001925,0.001042,0.001094,0.007115,0.01679,0.022954,0.000691,0.0007,0.001723,0.00141,0.001135,0.000846,0.027133,0.023086,0.01064,Ketol-acid reductoisomerase (NADP(+)) OS=Alteromonas sp. OX=232 GN=ilvC PE=3 SV=1,0.002114,0.001354,0.01562,0.001038,0.009705,0.011947,0.016,0.64,0.055,7.39,0.434,9.35,0.034,11.51,Ketol-acid reductoisomerase (NADP(+)) OS=Alteromonas sp. OX=232 GN=ilvC PE=3 SV=1
A0A359K500,2,2,7.338826,Leucine--tRNA ligase OS=Alteromonas sp. OX=232 GN=leuS PE=3 SV=1,63469.11,32226.2,74093.17,22887.51,31819.64,36511.9,75609.14,26535.18,35625.92,240379.1,43149.02,2090340,759286.1,23566.98,85000.07,10092.32,3647.404,8220.335,33956.37,30737.82,11354.24,12224.58,29350.62,34830.2,294588,279010.1,28113.25,0.000116,5.84E-05,2.92E-05,5.44E-05,3.22E-05,1.05E-05,0.000188,0.000482,0.00047,3.14E-05,2.68E-05,2.00E-05,4.97E-05,1.99E-05,3.50E-05,0.000164,0.000574,6.39E-05,Leucine--tRNA ligase OS=Alteromonas sp. OX=232 GN=leuS PE=3 SV=1,6.79E-05,3.24E-05,0.00038,2.61E-05,7.30E-05,0.000235,0.058,0.48,0.061,5.6,0.191,2.8,0.13,9.02,Leucine--tRNA ligase OS=Alteromonas sp. OX=232 GN=leuS PE=3 SV=1
