Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Description,log2FC.L.LGnM,log2FC.L.LGmM,log2FC.D.LGnM,log2FC.D.LGmM,resolved_locus_tag,resolution_method
Q05ZB0,,13,13,0.009903726,0.018309,0.009873172,0.010103045,0.019344448,0.012526948,0.017173484,0.022970099,0.019968093,0.017929786,0.008043848,0.00953234,0.011039999,0.009690943,0.026750006,0.016001674,0.010296381,0.022171563,0.012695299,0.01399148,0.020037225,0.011835325,0.015826983,0.016156539,0.37936728,1.102099305,0.043986998,1.57831847,0.279814286,1.33726645,0.200700228,1.365111636,"Phycocyanin, beta subunit OS=Synechococcus sp. BL107 OX=313625 GN=BL107_08881 PE=3 SV=1",0.140254224250532,0.658388338895466,0.4192869506928162,0.4490189365795332,BL107_08881,locus_tag:Description
Q066D0,,13,13,0.007612494,0.011206245,0.012603593,0.006137367,0.011704064,0.008223298,0.007292994,0.015469642,0.012110308,0.004452874,0.007584537,0.00884804,0.006302184,0.008026312,0.006293503,0.014387822,0.011766692,0.01114383,0.010474111,0.008688243,0.011624315,0.006961817,0.006874,0.012432781,0.231371998,0.829496911,0.351144744,1.109813981,0.476954114,0.98738585,0.014514214,1.785852887,Carotenoid binding protein OS=Synechococcus sp. BL107 OX=313625 GN=BL107_14105 PE=3 SV=1,-0.2696914862116839,0.1503178827208184,-0.0183141245917262,0.8366132406287259,BL107_14105,locus_tag:Description
Q062E4,,12,12,0.002180294,0.001926216,0.002204124,0.002322819,0.003030751,0.005293847,0.018026027,0.019255771,0.003194389,0.002691983,0.002730509,0.0032136,0.004079031,0.004455917,0.0013576,0.022299025,0.006591992,0.003237495,0.002103545,0.003549139,0.013492062,0.002878698,0.003297516,0.010709504,0.091822564,1.68721845,0.04600242,6.413965556,0.347058821,1.145488768,0.126793659,3.720260041,Chaperone protein DnaK OS=Synechococcus sp. BL107 OX=313625 GN=dnaK PE=2 SV=1,0.7546467764284345,2.681216606301946,0.1959633124792147,1.8954034672336415,BL107_06744,tier1:Description
Q05Z97,,12,12,0.002795295,0.003971709,0.00716931,0.001443793,0.00521576,0.003211989,0.005287358,0.007965868,0.006724396,0.001985863,0.002094758,0.005809125,0.001537744,0.00320992,0.005212829,0.005041866,0.004430702,0.007256886,0.004645438,0.003290514,0.006659207,0.003296582,0.003320164,0.005576484,0.235215719,0.70833232,0.127760763,1.433493903,0.494626005,1.007153627,0.104241884,1.691595894,"C-phycoerythrin class II gamma chain, linker polypeptide OS=Synechococcus sp. BL107 OX=313625 GN=BL107_08946 PE=3 SV=1",-0.4975017233748456,0.519535768456797,0.0102837627949496,0.7583849636390667,BL107_08946,locus_tag:Description
Q066P7,,11,11,0.003038249,0.003105422,0.002331563,0.003426581,0.004735704,0.001874021,0.00731951,0.00928519,0.003449312,0.003001131,0.002110524,0.002855388,0.003556904,0.002050905,0.001651155,0.00549828,0.003169103,0.0031742,0.002825078,0.003345436,0.00668467,0.002655681,0.002419655,0.003947195,0.28959598,1.18419242,0.044890946,2.366190028,0.365968706,0.911123917,0.095860445,1.486320867,Dihydroxy-acid dehydratase OS=Synechococcus sp. BL107 OX=313625 GN=ilvD PE=3 SV=1,0.2439035242308765,1.242565940729428,-0.1342808144234153,0.5717455985543202,BL107_13520,tier1:Description
Q064Q4,,10,10,0.000205574,0.000105528,0.000404441,0.000157202,0.000261293,0.000318506,0.000637616,0.000536638,0.000283955,0.000273296,8.57e-05,0.00026775,0.000259033,0.000422828,0.000579184,0.000410918,0.000179703,0.00026487,0.000238514,0.000245667,0.00048607,0.000208915,0.000420348,0.000285163,0.473133159,1.029989377,0.072570176,2.037906622,0.064875263,2.012050893,0.225565149,1.364971141,Anchor polypeptide LCM OS=Synechococcus sp. BL107 OX=313625 GN=BL107_16740 PE=3 SV=1,0.0426294579633948,1.0270879479395163,1.0086667972657677,0.4488704491844578,BL107_16740,locus_tag:Description
Q060D9,,10,10,0.004782913,0.006559312,0.004520718,0.007555389,0.008439874,0.006842594,0.009431792,0.011167241,0.009531746,0.006155974,0.002959836,0.008754234,0.006595928,0.006644408,0.003031269,0.009279895,0.01203307,0.009454682,0.005287648,0.007612619,0.010043593,0.005956682,0.005423868,0.010255882,0.021098518,1.439698585,0.002528864,1.899444475,0.404287282,0.910552014,0.043059419,1.721744279,Putative nickel-containing superoxide dismutase (NISOD) OS=Synechococcus sp. BL107 OX=313625 GN=BL107_11116 PE=4 SV=1,0.5257668009435468,0.9255775394243791,-0.1351866634111915,0.7838708832605683,BL107_11116,locus_tag:Description
Q05YJ9,,10,10,0.001416174,0.001595324,0.001002759,0.000921383,0.000756316,0.001621025,0.002815437,0.002326725,0.001735375,0.001055553,0.000997481,0.000696141,0.001235151,0.001557609,0.000849243,0.00151351,0.001241782,0.001493658,0.001338085,0.001099575,0.002292512,0.000916392,0.001214001,0.001416317,0.247380174,0.821752216,0.028057606,1.713278066,0.135387729,1.324761897,0.012115548,1.545536531,Porphobilinogen deaminase OS=Synechococcus sp. BL107 OX=313625 GN=hemC PE=3 SV=1,-0.2832246530945241,0.7767593206471721,0.4057330835358679,0.6281077547912037,BL107_10212,tier1:Description
Q060X5,,10,10,0.003074201,0.003088205,0.001201653,0.003687468,0.005898091,0.039825915,0.004472847,0.0047906,0.002804446,0.001876107,0.000497986,0.045733041,0.00300282,0.04444694,0.001029698,0.003801381,0.031030752,0.001567877,0.002454686,0.016470491,0.004022631,0.016035711,0.016159819,0.012133337,0.148747953,6.709815571,0.074443483,1.638755772,0.497731785,1.007739486,0.417768309,0.756644743,Flavodoxin OS=Synechococcus sp. BL107 OX=313625 GN=BL107_08339 PE=3 SV=1,2.746273112407517,0.7126008618939321,0.0111227312666029,-0.4023120044693697,BL107_08339,locus_tag:Description
Q05ZB1,,10,10,0.013286137,0.017715923,0.00615889,0.008149814,0.008611875,0.004395478,0.011914295,0.01369117,0.011573497,0.013053409,0.011409275,0.005655779,0.014420558,0.005167658,0.00907847,0.012511614,0.007142271,0.012529495,0.012386983,0.007052389,0.012392987,0.010039487,0.009555562,0.010727793,0.107366628,0.569338686,0.499343544,1.000484705,0.448295728,0.951797802,0.411161045,1.06855984,"Phycocyanin, alpha subunit OS=Synechococcus sp. BL107 OX=313625 GN=BL107_08876 PE=3 SV=1",-0.8126409621280547,0.0006991120819174,-0.0712729720209823,0.0956677020584737,BL107_08876,locus_tag:Description
Q066K3,,10,10,0.011605677,0.00896139,0.007588962,0.008558389,0.009842361,0.01029026,0.011983274,0.010864647,0.004961031,0.009714659,0.008374426,0.009734864,0.010682931,0.01065471,0.006883332,0.017458575,0.00802408,0.006544126,0.009385343,0.00956367,0.009269651,0.00927465,0.009406991,0.010675594,0.448284424,1.019000548,0.482491852,0.987673067,0.463032175,1.014269166,0.352650164,1.15105088,Glutamine synthetase OS=Synechococcus sp. BL107 OX=313625 GN=BL107_13740 PE=3 SV=1,0.0271548273591436,-0.0178945254183411,0.020440564493314,0.2029516064512971,BL107_13740,locus_tag:Description
Q060Z1,,9,9,0.001952396,0.003107343,0.004276387,0.001725772,0.003891849,0.004951572,0.006145246,0.013214646,0.005534697,0.002139211,0.001150189,0.003993422,0.002152804,0.004393126,0.002242173,0.006619504,0.008713522,0.003699444,0.003112042,0.003523064,0.008298196,0.002427608,0.002929368,0.006344157,0.370747607,1.13207493,0.056078938,2.666479911,0.337254903,1.2066891,0.039817754,2.613337025,Elongation factor Tu OS=Synechococcus sp. BL107 OX=313625 GN=tuf PE=3 SV=1,0.178969450715577,1.4149364589378954,0.2710540177126624,1.3858931916086503,BL107_08259,tier1:Description
Q065I2,,9,9,0.005329164,0.005018986,0.005382446,0.007186865,0.007269518,0.00400546,0.012639525,0.007169141,0.010868635,0.004726621,0.006984957,0.004249263,0.007411662,0.004817215,0.004031554,0.011798637,0.006608287,0.010418686,0.005243532,0.006153948,0.010225767,0.00532028,0.005420144,0.009608537,0.223440042,1.173626395,0.018394571,1.950167804,0.471763201,1.018770301,0.036090885,1.806020745,Phosphoribulokinase OS=Synechococcus sp. BL107 OX=313625 GN=BL107_15095 PE=3 SV=1,0.2309732228752953,0.9635982673507388,0.0268288081635543,0.8528144645445372,BL107_15095,locus_tag:Description
Q065Q7,,9,9,0.001067119,0.0010764,0.001150541,0.001731051,0.00159952,0.000702791,0.002358183,0.001868702,0.001360021,0.000913616,0.000444176,0.00075016,0.001490841,0.000441126,0.000717002,0.002096469,0.001136106,0.000642838,0.00109802,0.001344454,0.001862302,0.000702651,0.00088299,0.001291804,0.244724104,1.224434709,0.028753993,1.696054299,0.313418839,1.256655345,0.129589498,1.838473355,O-acetylhomoserine/O-acetylserine sulfhydrylase OS=Synechococcus sp. BL107 OX=313625 GN=BL107_14720 PE=3 SV=1,0.2921158465737833,0.7621823583704742,0.3295890250651447,0.878508267709051,BL107_14720,locus_tag:Description
Q067B0,,9,9,0.002957295,0.003323148,0.00231881,0.00269633,0.003852273,0.003437702,0.002376315,0.002310169,0.003117317,0.002401122,0.003424155,0.002310919,0.001925507,0.004072662,0.002377782,0.001952347,0.00267929,0.002928699,0.002866418,0.003328769,0.002601267,0.002712066,0.002791984,0.002520112,0.180042475,1.161299189,0.267560323,0.907497522,0.459851006,1.029467589,0.349480163,0.929222297,Uncharacterized protein OS=Synechococcus sp. BL107 OX=313625 GN=BL107_12955 PE=4 SV=1,0.2157397059499502,-0.140034391176431,0.0418984099361424,-0.1059043223749665,BL107_12955,locus_tag:Description
Q065I1,,9,9,0.004317494,0.003957913,0.001472575,0.003191194,0.002819716,0.002003398,0.003892075,0.002177913,0.002728931,0.003971759,0.003061457,0.001504513,0.004862292,0.002116233,0.001125778,0.006017094,0.003126285,0.00373437,0.003249328,0.002671436,0.002932973,0.00284591,0.002701435,0.004292583,0.289968744,0.822150495,0.386741145,0.902639887,0.459353671,0.949234087,0.136122029,1.508334137,3-isopropylmalate dehydrogenase OS=Synechococcus sp. BL107 OX=313625 GN=leuB PE=3 SV=1,-0.2825255908622059,-0.1477775632839527,-0.0751641862403808,0.5929560601679061,BL107_15100,tier1:Description
Q063V9,,8,8,0.001146251,0.001414559,0.000870631,0.001198028,0.001530503,0.001555408,0.00249815,0.004577873,0.001366724,0.000990144,0.001054759,0.001621308,0.00092991,0.001541608,0.001059254,0.002847412,0.001050693,0.000831885,0.001143814,0.00142798,0.002814249,0.001222071,0.001176924,0.001576663,0.109146207,1.248437511,0.077315883,2.460408553,0.43846239,0.963057266,0.312133498,1.290157335,Ribose-5-phosphate isomerase A OS=Synechococcus sp. BL107 OX=313625 GN=rpiA PE=3 SV=1,0.3201236107522204,1.2988978962343096,-0.0543065077035331,0.3675470133874215,BL107_16060,tier1:Description
Q060T6,,8,8,0.000448891,0.000675129,0.002868119,0.000151531,0.000429071,0.001161926,0.000955375,0.001087966,0.003714819,0.00022815,0.000691085,0.001736938,0.000206631,0.000861286,0.001567901,0.000526079,0.001058866,0.002672874,0.001330713,0.000580843,0.001919387,0.000885391,0.000878606,0.001419273,0.208237362,0.436489767,0.322609694,1.44237426,0.495721461,0.992336615,0.266795653,1.602990086,Ribosome-recycling factor OS=Synechococcus sp. BL107 OX=313625 GN=frr PE=3 SV=1,-1.1959802629602625,0.5284455563880933,-0.0110985081310343,0.6807655028955397,BL107_10381,tier1:Description
Q061A0,,8,8,0.001384567,0.001338496,0.001660005,0.001599304,0.001264323,0.000473711,0.002510421,0.00178143,0.002026734,0.000961354,0.000443213,0.000460339,0.002070904,0.000478298,0.000775307,0.002864864,0.001371847,0.001383273,0.001461023,0.001112446,0.002106195,0.000621635,0.00110817,0.001873328,0.186876521,0.761416071,0.026280423,1.441589578,0.200236622,1.782668717,0.037653241,3.013548073,LL-diaminopimelate aminotransferase OS=Synechococcus sp. BL107 OX=313625 GN=dapL PE=3 SV=1,-0.3932430740976222,0.5276604863098255,0.8340386240242631,1.591463079269054,,unresolved
Q064T3,,8,8,0.002498374,0.002746271,0.002869883,0.002120438,0.00180907,0.002801776,0.004951496,0.001839596,0.004245711,0.003300158,0.002435874,0.002061111,0.002583642,0.002926701,0.002712014,0.002791342,0.002701923,0.003381411,0.002704842,0.002243761,0.003678934,0.002599048,0.002740786,0.002958225,0.107250007,0.82953492,0.181186496,1.360128836,0.364130615,1.054534519,0.222468455,1.138195765,10 kDa chaperonin OS=Synechococcus sp. BL107 OX=313625 GN=groS PE=3 SV=1,-0.2696253809148547,0.443743314898293,0.0766063209021379,0.186748716611943,,unresolved
