Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Accession.1,Description,log2FC.L.LGnM,log2FC.L.LGmM,log2FC.D.LGnM,log2FC.D.LGmM,resolved_locus_tag,resolution_method
Q7VA72,Pro_1595,8,7,0.000158862,0.000152901,0.000131873,0.000142103,0.000176394,0.000125452,0.001052596,0.000409338,0.000280159,0.000150349,0.000152212,0.000122665,0.000148263,0.000148252,0.000182049,0.000401729,0.00034969,0.000329872,0.000147879,0.000147983,0.000580698,0.000141742,0.000159521,0.00036043,0.497710336,1.000705447,0.072204601,3.926854485,0.147518635,1.125436866,0.000368597,2.542866726,Q7VA72,Xaa-Pro aminopeptidase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=pepP PE=3 SV=1,0.0010173860747104,1.9733741379435716,0.1704851277263883,1.3464558510262836,Pro1595,tier1:KEGG
Q7VB32,Pro_1268,11,10,9.99208e-05,0.000160696,0.000163531,0.000151549,0.000154435,0.000157132,0.000664055,0.000260632,0.000249128,0.000137669,0.000122036,0.00014213,0.000139249,0.000155964,0.000158055,0.000291407,0.000329434,0.000272907,0.000141382,0.000154372,0.000391271,0.000133945,0.000151089,0.000297916,0.283161015,1.091875863,0.072207886,2.767467063,0.057197651,1.12799258,0.000379124,2.224164631,Q7VB32,Glycine--tRNA ligase alpha subunit OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=glyQ PE=3 SV=1,0.1268088434239611,1.4685661468787954,0.1737575776370506,1.1532635792200612,Pro1268,tier1:KEGG
Q7VC29,Pro_0913,3,3,0.000363314,0.000307643,0.000280359,0.00043453,0.000280818,0.000288921,0.000520378,0.000348608,0.000515434,0.000323407,0.000367976,0.000242993,0.000414838,0.000284422,0.000232007,0.000751081,0.000678514,0.000768675,0.000317105,0.000334757,0.000461473,0.000311458,0.000310422,0.000732757,0.383360407,1.055663694,0.039370927,1.455267705,0.494070261,0.996673729,0.00038834,2.352663268,Q7VC29,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_0913 PE=4 SV=1,0.0781503041338985,0.5412845697317278,-0.0048067934644863,1.2342948452750215,Pro0913,tier1:KEGG
Q7VBY3,Pro_0959,29,29,0.000356732,0.000477087,0.000416665,0.000401204,0.000324959,0.000447713,0.000933234,0.000607012,0.000722731,0.000224908,0.000264431,0.000317693,0.000327705,0.000286681,0.00036208,0.000793801,0.000665391,0.000813803,0.000416828,0.000391292,0.000754326,0.000269011,0.000325489,0.000757665,0.31781022,0.938738248,0.014669678,1.809681404,0.089008834,1.209947303,0.000404674,2.816486602,Q7VBY3,Methionine synthase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=metH PE=4 SV=1,-0.0912051531480656,0.8557357319346629,0.2749442149741471,1.4938966087071852,Pro0959,tier1:KEGG
Q7VDX5,Pro_0240,6,6,0.000697607,0.000632223,0.000734587,0.000669309,0.000514873,0.000658443,0.001191989,0.0004456,0.000243045,0.000795187,0.000719431,0.000670764,0.000978593,0.000729047,0.000806286,0.000238987,0.000208561,0.000334326,0.000688139,0.000614209,0.000626878,0.000728461,0.000837975,0.000260625,0.135972403,0.89256465,0.421535001,0.910975829,0.126712754,1.150336967,0.000435052,0.357774377,Q7VDX5,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_0240 PE=4 SV=1,-0.1639714250661295,-0.1345153195037816,0.2020565302223107,-1.482878026387196,Pro0240,tier1:KEGG
Q7VC72,Pro_0870,3,3,6.57844e-05,1.28154e-05,1.61183e-05,7.57689e-05,5.55667e-05,1.84411e-05,3.59358e-05,3.65361e-05,2.597e-05,9.96404e-06,1.21844e-05,2.66519e-05,1.87671e-05,9.9417e-06,2.54603e-05,8.08051e-05,7.69679e-05,9.53675e-05,3.15727e-05,4.99255e-05,3.2814e-05,1.62668e-05,1.80564e-05,8.43802e-05,0.243420223,1.581288908,0.473385909,1.039315087,0.404039173,1.110014617,0.000443452,5.187269151,Q7VC72,Thioredoxin family protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_0870 PE=4 SV=1,0.6611009781077035,0.0556330994193982,0.1505786745344501,2.374975228528972,Pro0870,tier1:KEGG
Q7VDW1,Pro_0257,14,14,0.014517057,0.004648601,0.009806133,0.012725883,0.012744494,0.005034777,0.002347069,0.002756417,0.002656923,0.006275149,0.005633457,0.006727038,0.00580217,0.005377194,0.0062287,0.002553838,0.00323987,0.00293502,0.009657264,0.010168385,0.002586803,0.006211881,0.005802688,0.002909576,0.450208831,1.052926064,0.034150812,0.267860903,0.182796934,0.934127338,0.000455068,0.468388804,Q7VDW1,Photosystem II manganese-stabilizing protein PsbO OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=psbO PE=4 SV=1,0.0744041345160384,-1.9004440742306097,-0.0983088668163426,-1.0942215036911114,Pro0257,tier1:KEGG
Q7VBZ5,Pro_0947,24,24,0.000556672,0.000763858,0.000759446,0.000720486,0.000725549,0.000723889,0.002110816,0.002493963,0.001744202,0.00068717,0.000611214,0.00065564,0.000752948,0.00069207,0.000744522,0.001737702,0.00136927,0.001545297,0.000693325,0.000723308,0.002116327,0.000651341,0.000729847,0.001550756,0.341788601,1.043244799,0.001651969,3.052430035,0.027166104,1.120529285,0.000581133,2.380867204,Q7VBZ5,Leucine--tRNA ligase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=leuS PE=3 SV=1,0.0610777281971754,1.6099582274599078,0.164180354133603,1.2514871546387052,Pro0947,tier1:KEGG
Q7VC99,Pro_0843,27,27,0.001509385,0.002368625,0.002019575,0.001788714,0.001368107,0.002123622,0.003044913,0.001928409,0.002006818,0.001466308,0.001574527,0.001567681,0.00144276,0.001390418,0.001675737,0.002132022,0.00208136,0.002309402,0.001965862,0.001760147,0.002326713,0.001536172,0.001502972,0.002174261,0.284354935,0.895356665,0.228080267,1.183558863,0.371426544,0.978387755,0.000592806,1.415376423,Q7VC99,"6-phosphogluconate dehydrogenase, decarboxylating OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=gnd PE=3 SV=1",-0.1594656009730524,0.2431314587099773,-0.0315217469412403,0.5011857925443619,Pro0843,tier1:KEGG
Q7VBL4,Pro_1078,24,24,0.000867596,0.00106472,0.000898164,0.00105061,0.000836599,0.000998455,0.000801974,0.001963922,0.001386132,0.000727908,0.000841807,0.000941072,0.001041699,0.000952036,0.000865912,0.001657996,0.001863988,0.00157796,0.000943493,0.000961888,0.00138401,0.000836929,0.000953215,0.001699981,0.423089701,1.019496419,0.132984753,1.466899171,0.109391242,1.138944608,0.000599773,2.03121391,Q7VBL4,"1,4-alpha-glucan branching enzyme GlgB OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=glgB PE=3 SV=1",0.0278567078704341,0.552769709117961,0.187697584002165,1.0223421798830628,Pro1078,tier1:KEGG
