Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Accession,Description
Q7VC39,Pro_0903,49,49,0.001419847,0.001690044,0.001447136,0.00174024,0.001449698,0.00162859,0.003332256,0.004002982,0.005337316,0.001675977,0.001489792,0.001140035,0.001629055,0.0016616,0.001481834,0.005306583,0.004404249,0.00551709,0.001519009,0.001606176,0.004224185,0.001435268,0.00159083,0.005075974,0.254848085,1.057383925,0.005238058,2.780881144,0.201579337,1.108385254,0.00031745,3.536603991,Q7VC39,Protoporphyrin IX Mg-chelatase subunit OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=chlH PE=4 SV=1
Q7VAN0,Pro_1430,4,4,1.90868E-05,1.96234E-05,2.33617E-05,1.71985E-05,2.06013E-05,2.31224E-05,9.26713E-05,0.0001603,0.000118267,3.23978E-05,1.7858E-05,1.35587E-05,1.94738E-05,2.15291E-05,2.04004E-05,0.000137575,0.000119793,0.000157527,2.06907E-05,2.03074E-05,0.000123746,2.12715E-05,2.04678E-05,0.000138298,0.434496981,0.981475356,0.003223833,5.980766243,0.447622056,0.962215922,0.000340559,6.501577735,Q7VAN0,Ribonuclease Z OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=rnz PE=3 SV=1
Q7VA72,Pro_1595,8,7,0.000158862,0.000152901,0.000131873,0.000142103,0.000176394,0.000125452,0.001052596,0.000409338,0.000280159,0.000150349,0.000152212,0.000122665,0.000148263,0.000148252,0.000182049,0.000401729,0.00034969,0.000329872,0.000147879,0.000147983,0.000580698,0.000141742,0.000159521,0.00036043,0.497710336,1.000705447,0.072204601,3.926854485,0.147518635,1.125436866,0.000368597,2.542866726,Q7VA72,Xaa-Pro aminopeptidase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=pepP PE=3 SV=1
Q7VB32,Pro_1268,11,10,9.99208E-05,0.000160696,0.000163531,0.000151549,0.000154435,0.000157132,0.000664055,0.000260632,0.000249128,0.000137669,0.000122036,0.00014213,0.000139249,0.000155964,0.000158055,0.000291407,0.000329434,0.000272907,0.000141382,0.000154372,0.000391271,0.000133945,0.000151089,0.000297916,0.283161015,1.091875863,0.072207886,2.767467063,0.057197651,1.12799258,0.000379124,2.224164631,Q7VB32,Glycine--tRNA ligase alpha subunit OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=glyQ PE=3 SV=1
Q7VC29,Pro_0913,3,3,0.000363314,0.000307643,0.000280359,0.00043453,0.000280818,0.000288921,0.000520378,0.000348608,0.000515434,0.000323407,0.000367976,0.000242993,0.000414838,0.000284422,0.000232007,0.000751081,0.000678514,0.000768675,0.000317105,0.000334757,0.000461473,0.000311458,0.000310422,0.000732757,0.383360407,1.055663694,0.039370927,1.455267705,0.494070261,0.996673729,0.00038834,2.352663268,Q7VC29,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_0913 PE=4 SV=1
Q7VBY3,Pro_0959,29,29,0.000356732,0.000477087,0.000416665,0.000401204,0.000324959,0.000447713,0.000933234,0.000607012,0.000722731,0.000224908,0.000264431,0.000317693,0.000327705,0.000286681,0.00036208,0.000793801,0.000665391,0.000813803,0.000416828,0.000391292,0.000754326,0.000269011,0.000325489,0.000757665,0.31781022,0.938738248,0.014669678,1.809681404,0.089008834,1.209947303,0.000404674,2.816486602,Q7VBY3,Methionine synthase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=metH PE=4 SV=1
Q7VDX5,Pro_0240,6,6,0.000697607,0.000632223,0.000734587,0.000669309,0.000514873,0.000658443,0.001191989,0.0004456,0.000243045,0.000795187,0.000719431,0.000670764,0.000978593,0.000729047,0.000806286,0.000238987,0.000208561,0.000334326,0.000688139,0.000614209,0.000626878,0.000728461,0.000837975,0.000260625,0.135972403,0.89256465,0.421535001,0.910975829,0.126712754,1.150336967,0.000435052,0.357774377,Q7VDX5,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_0240 PE=4 SV=1
Q7VC72,Pro_0870,3,3,6.57844E-05,1.28154E-05,1.61183E-05,7.57689E-05,5.55667E-05,1.84411E-05,3.59358E-05,3.65361E-05,2.597E-05,9.96404E-06,1.21844E-05,2.66519E-05,1.87671E-05,9.9417E-06,2.54603E-05,8.08051E-05,7.69679E-05,9.53675E-05,3.15727E-05,4.99255E-05,3.2814E-05,1.62668E-05,1.80564E-05,8.43802E-05,0.243420223,1.581288908,0.473385909,1.039315087,0.404039173,1.110014617,0.000443452,5.187269151,Q7VC72,Thioredoxin family protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_0870 PE=4 SV=1
Q7VDW1,Pro_0257,14,14,0.014517057,0.004648601,0.009806133,0.012725883,0.012744494,0.005034777,0.002347069,0.002756417,0.002656923,0.006275149,0.005633457,0.006727038,0.00580217,0.005377194,0.0062287,0.002553838,0.00323987,0.00293502,0.009657264,0.010168385,0.002586803,0.006211881,0.005802688,0.002909576,0.450208831,1.052926064,0.034150812,0.267860903,0.182796934,0.934127338,0.000455068,0.468388804,Q7VDW1,Photosystem II manganese-stabilizing protein PsbO OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=psbO PE=4 SV=1
Q7VBZ5,Pro_0947,24,24,0.000556672,0.000763858,0.000759446,0.000720486,0.000725549,0.000723889,0.002110816,0.002493963,0.001744202,0.00068717,0.000611214,0.00065564,0.000752948,0.00069207,0.000744522,0.001737702,0.00136927,0.001545297,0.000693325,0.000723308,0.002116327,0.000651341,0.000729847,0.001550756,0.341788601,1.043244799,0.001651969,3.052430035,0.027166104,1.120529285,0.000581133,2.380867204,Q7VBZ5,Leucine--tRNA ligase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=leuS PE=3 SV=1
