Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Description
A5GN68,SynWH7803_1957,5,5,0.000153437,0.000105915,0.000203528,0.000129205,0.000140661,0.000226275,0.000226289,0.000701693,0.000489364,9.16713E-05,0.000150509,0.000137512,0.00010568,0.000120785,0.000133638,0.000137728,0.000807722,0.000366417,0.000154293,0.000165381,0.000472449,0.000126564,0.000120034,0.000437289,0.300305659,1.071856807,0.085544634,3.062012339,0.329087273,0.94840578,0.1141767,3.455076558,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ OS=Synechococcus sp. (strain WH7803) OX=32051 GN=fabZ PE=3 SV=1
A5GPG7,SynWH7803_2406,5,5,0.000208458,0.000142107,8.85526E-05,0.000159148,9.73255E-05,0.000124575,0.000338319,0.000283353,0.000405342,0.000256978,0.000163223,8.31284E-05,0.000212245,0.000209309,0.00011923,0.000466277,0.000334294,0.000326446,0.000146373,0.000127016,0.000342338,0.000167777,0.000180261,0.000375673,0.278637457,0.867760588,0.041772977,2.338813428,0.353249242,1.074413398,0.00496268,2.239124079,Diflavin flavoprotein A OS=Synechococcus sp. (strain WH7803) OX=32051 GN=dfa PE=3 SV=1
A5GLX5,SynWH7803_1514,5,5,0.001229405,0.000591936,0.000671763,0.001263726,0.000814051,0.000702059,0.001594628,0.001532028,0.002614983,0.001435497,0.000836399,0.000761368,0.001729196,0.000133624,0.001064588,0.002088987,0.001079139,0.002763926,0.000831034,0.000926612,0.00191388,0.001011088,0.000975803,0.001977351,0.135016329,1.115010327,0.071667234,2.303008913,0.462725526,0.965101498,0.105358725,1.955666004,"RNA-binding protein, RRM domain OS=Synechococcus sp. (strain WH7803) OX=32051 GN=rbpD PE=4 SV=1"
A5GK10,SynWH7803_0849,5,5,0.001580099,0.001576182,0.002047222,0.001255763,0.001651676,0.001770914,0.002149921,0.006041071,0.003120799,0.001179351,0.001760051,0.00282575,0.001584778,0.001914661,0.003368073,0.002438764,0.004901348,0.003919892,0.001734501,0.001559451,0.003770597,0.001921717,0.002289171,0.003753335,0.149656367,0.8990777,0.118938394,2.173879567,0.041822367,1.191210976,0.05403305,1.953114905,Uncharacterized protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_0849 PE=4 SV=1
A5GKR2,SynWH7803_1101,5,5,8.72841E-05,5.79266E-05,7.16583E-05,7.30214E-05,7.12619E-05,4.84221E-05,0.00011001,0.000132048,0.000217065,7.17417E-05,8.1E-05,9.00121E-05,7.98887E-05,4.47429E-05,0.000140559,0.000104678,0.000142063,0.000269907,7.22897E-05,6.42351E-05,0.000153041,8.09179E-05,8.83968E-05,0.000172216,0.270173807,0.888579881,0.075608629,2.117052403,0.39676137,1.092425071,0.08992561,2.128279671,Putative modulator of DNA gyrase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=tldD PE=4 SV=1
A5GK34,SynWH7803_0873,5,5,0.000142681,9.0973E-05,0.000161923,0.000136063,8.7794E-05,0.000176325,0.000189139,0.00028526,0.000280595,0.000215735,0.000111553,0.000259759,0.000130048,0.000156809,0.000246656,0.000257287,0.000224961,0.000495111,0.000131859,0.000133394,0.000251665,0.000195682,0.000177838,0.000325786,0.417765053,1.011641449,0.053464469,1.908588169,0.34196013,0.908807479,0.074069668,1.664873162,Uncharacterized protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_0873 PE=4 SV=1
A5GNH1,SynWH7803_2060,5,5,0.000658274,0.000562305,0.000482451,0.000625001,0.000634286,0.000492582,0.000755407,0.001222251,0.00122669,0.000769226,0.000656398,0.000828042,0.00057483,0.000353336,0.001157626,0.000932814,0.001354179,0.001186283,0.000567677,0.000583956,0.001068116,0.000751222,0.000695264,0.001157759,0.323640857,1.02867782,0.066358483,1.88155715,0.400719488,0.925510898,0.060595837,1.541167612,DNA-directed RNA polymerase subunit beta' OS=Synechococcus sp. (strain WH7803) OX=32051 GN=rpoC2 PE=3 SV=1
A5GP34,SynWH7803_2273,5,5,6.52737E-05,7.72613E-05,3.5401E-05,0.000112194,0.000101172,3.29964E-05,8.94808E-05,7.32166E-05,0.000153473,4.65939E-05,6.49528E-05,4.26066E-05,8.78955E-05,4.33046E-05,8.52886E-05,4.15626E-05,6.28061E-05,8.35794E-05,5.9312E-05,8.21206E-05,0.00010539,5.13844E-05,7.21629E-05,6.26494E-05,0.125297458,1.384553129,0.169102678,1.776879588,0.21534432,1.404373237,0.263991439,1.219228876,"Phytoene dehydrogenase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=crtD,pds PE=4 SV=1"
A5GIL5,SynWH7803_0354,5,5,0.0003627,0.000342316,0.000199101,0.00048922,0.000518936,0.000163027,0.000652981,0.00032754,0.000569936,0.000401458,0.000430758,0.00023019,0.000414049,0.000448725,0.000311988,0.000372623,0.000383724,0.000465081,0.000301372,0.000390394,0.000516819,0.000354135,0.000391587,0.000407143,0.149939938,1.295387813,0.104001245,1.71488444,0.117018723,1.105756165,0.309742164,1.149681715,Sulfate adenylyltransferase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=cysD PE=4 SV=1
A5GNI8,SynWH7803_2077,5,5,0.000177986,0.000226725,0.000154343,0.000318673,0.000266961,0.000229059,0.000426574,0.000244929,0.000267557,0.000288578,0.000288523,0.000123099,0.000311488,0.000110236,0.000163139,0.00031676,0.000243613,0.000253401,0.000186351,0.000271564,0.00031302,0.0002334,0.000194954,0.000271258,0.050839749,1.457272046,0.099290556,1.679730399,0.31920455,0.835279456,0.266939244,1.162202952,Transcription termination/antitermination protein NusA OS=Synechococcus sp. (strain WH7803) OX=32051 GN=nusA PE=3 SV=1
A5GIU5,SynWH7803_0434,5,5,0.000780877,0.000343423,0.000301926,0.000814513,0.000557609,0.000474355,0.000903268,0.000519981,0.000930871,0.000698614,0.000448334,0.000625825,0.000975954,0.000129076,0.00064316,0.000896261,0.000550094,0.000770313,0.000475409,0.000615492,0.000784707,0.000590924,0.00058273,0.000738889,0.062064264,1.29465904,0.096974666,1.650593267,0.483234375,0.986133774,0.016692225,1.250396303,50S ribosomal protein L3 OS=Synechococcus sp. (strain WH7803) OX=32051 GN=rplC PE=3 SV=1
A5GMV7,SynWH7803_1846,5,5,0.000451525,0.000132903,0.000200713,0.00049744,0.000113159,0.000205286,0.000582132,0.000271027,0.000430934,0.000620616,0.00013246,0.000416089,0.000519982,0.000128917,0.00025917,0.000473879,0.000263763,0.000485793,0.000261714,0.000271962,0.000428031,0.000389722,0.000302689,0.000407812,0.323173641,1.03915613,0.017567851,1.635492237,0.095749751,0.776681415,0.42499717,1.046418253,Guanylate kinase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=gmk PE=3 SV=1
A5GLL8,SynWH7803_1407,5,5,0.000148705,5.22679E-05,9.54552E-05,0.000377882,8.59008E-05,5.91217E-05,0.000311962,9.31541E-05,6.75298E-05,0.000185387,8.01014E-05,4.00517E-05,0.000311769,3.85702E-05,0.000295442,0.000184198,9.66981E-05,0.000132211,9.88095E-05,0.000174302,0.000157549,0.000101847,0.00021526,0.000137703,0.22115941,1.764016181,0.20181892,1.594467739,0.158915063,2.113569753,0.168423386,1.35205647,O-Acetyl homoserine sulfhydrylase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=cysD PE=3 SV=1
A5GJW8,SynWH7803_0807,5,5,0.000412447,0.000475513,0.00070652,0.000418653,0.000364432,0.000656741,0.000570443,0.000845387,0.001004257,0.000641437,0.000582007,0.001025377,0.000413715,0.000783522,0.001186001,0.000604873,0.000713087,0.001351337,0.000531493,0.000479942,0.000806696,0.000749607,0.000794413,0.000889765,0.133707959,0.903006782,0.02373264,1.51779058,0.38716826,1.059771817,0.156365573,1.186975385,Uncharacterized conserved secreted protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_0807 PE=4 SV=1
A5GI74,SynWH7803_0213,5,5,0.000298905,0.000161038,0.000221886,0.000428108,0.000103062,0.000250683,0.000533257,0.000198213,0.000251964,0.000880879,0.000152232,0.000391774,0.000339283,0.00018122,0.000333446,0.000472827,0.00025957,0.000352485,0.000227277,0.000260618,0.000327811,0.000474962,0.00028465,0.000361627,0.300195106,1.146698741,0.135983931,1.442345526,0.197863705,0.599310655,0.268381509,0.761381967,Galactose mutarotase related enzyme OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_0213 PE=4 SV=1
A5GHL7,SynWH7803_0006,5,5,7.2823E-05,7.88397E-05,0.000126555,0.000101129,0.000111756,0.000139268,0.000120267,0.00014182,0.000105494,0.000114337,0.0001034,6.40633E-05,0.000101833,8.26914E-05,9.4004E-05,0.000105168,0.000121361,0.000102277,9.27393E-05,0.000117384,0.000122527,9.39332E-05,9.28428E-05,0.000109602,0.028185164,1.265746136,0.183922015,1.321196446,0.475467534,0.988391959,0.185949506,1.166808087,Secreted Tetratricopeptide protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_0006 PE=4 SV=1
A5GKH8,SynWH7803_1017,5,5,0.000117327,7.26812E-05,0.000109522,0.000110561,6.93816E-05,8.1612E-05,0.000141278,0.000100387,0.000147684,9.08128E-05,5.08755E-05,0.000186735,8.73227E-05,6.62921E-05,0.000190816,0.000118412,0.000103558,0.000157634,9.98434E-05,8.71848E-05,0.000129783,0.000109474,0.00011481,0.000126534,0.120768872,0.873215112,0.009787384,1.299867565,0.216935242,1.048741414,0.276862109,1.155835155,Uncharacterized protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_1017 PE=4 SV=1
A5GME9,SynWH7803_1688,5,5,0.000251439,0.000118764,0.000121728,0.000249633,0.000134276,0.000147538,0.000278287,0.000137789,0.000218313,0.000249436,0.000132465,0.000145648,0.000336701,7.5897E-05,0.000104565,0.000434592,0.000161642,0.000128655,0.000163977,0.000177149,0.000211463,0.00017585,0.000172388,0.00024163,0.121861253,1.080330181,0.096967276,1.289588897,0.473186587,0.980312703,0.197320583,1.374068478,Ornithine carbamoyltransferase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=argF PE=3 SV=1
A5GKV6,SynWH7803_1145,5,5,0.000280302,0.000311328,0.000152833,0.000243601,0.000451527,0.000346566,0.000341802,0.000438797,0.00016699,0.000147937,0.000366797,0.000259529,9.85301E-05,8.41089E-05,0.000440349,0.00018321,0.000248472,0.000662446,0.000248154,0.000347231,0.000315863,0.000258088,0.000207663,0.000364709,0.145353925,1.39925666,0.087744964,1.272850191,0.371253724,0.804620583,0.280885876,1.413121953,"Fructose-1,6-bisphosphate aldolase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=cbbA PE=3 SV=1"
A5GHW5,SynWH7803_0104,5,5,0.000653626,0.000180511,0.000409798,0.000617484,0.000251234,0.000389683,0.000749562,0.000269223,0.000436748,0.000361285,0.000198771,0.000221264,0.000478376,0.000252388,0.000263619,0.000843399,0.000206794,0.000609574,0.000414645,0.000419467,0.000485177,0.00026044,0.000331461,0.000553256,0.44903108,1.011628948,0.042160732,1.170102942,0.046312352,1.272696706,0.090394904,2.124312064,dTDP-4-dehydrorhamnose reductase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=rfbD PE=3 SV=1
A5GJF2,SynWH7803_0641,5,5,3.91535E-05,2.58501E-05,4.52266E-05,4.57849E-05,3.90826E-05,3.97891E-05,5.75194E-05,3.29882E-05,3.48022E-05,5.03515E-05,3.20076E-05,2.23572E-05,4.1558E-05,3.30337E-05,2.25305E-05,5.14805E-05,1.66895E-05,1.41405E-05,3.67434E-05,4.15522E-05,4.17699E-05,3.49054E-05,3.23741E-05,2.74368E-05,0.235892169,1.130875501,0.304723022,1.136800502,0.252425044,0.927478939,0.128688176,0.786033326,Cob(I)alamin adenosyltransferase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=cobO PE=4 SV=1
A5GIX2,SynWH7803_0461,5,5,0.000106887,0.000124211,0.00014923,0.000118091,0.000132476,0.000106038,0.000166515,0.000108486,0.000154627,0.000239673,0.000100628,0.00019826,0.000130203,0.000103244,0.000242212,0.000219313,0.000118587,0.000205944,0.000126776,0.000118868,0.000143209,0.00017952,0.000158553,0.000181282,0.349094742,0.937625176,0.270094146,1.12962581,0.34610956,0.883205741,0.44593886,1.009811286,Oxygen-dependent coproporphyrinogen-III oxidase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=hemF PE=3 SV=1
A5GNB0,SynWH7803_1999,5,5,0.003358404,0.002236608,0.001378048,0.003342515,0.003642623,0.00177496,0.003078785,0.002494915,0.001946775,0.003380785,0.00351377,0.000782716,0.003403265,0.001075382,0.001124131,0.001345822,0.001561173,0.001670367,0.002324354,0.002920033,0.002506825,0.00255909,0.001867593,0.001525788,0.14691625,1.256277303,0.269093819,1.07850415,0.256788302,0.729787751,0.197335169,0.596222618,10 kDa chaperonin OS=Synechococcus sp. (strain WH7803) OX=32051 GN=groS PE=3 SV=1
A5GJC8,SynWH7803_0617,5,5,0.000287267,0.000210227,0.000361634,0.000302723,0.000273285,0.000357555,0.000290976,0.00031669,0.000263378,0.000344996,0.000396119,0.000127352,0.000344621,0.00043334,0.000222446,0.00052842,0.000204885,0.000251165,0.000286376,0.000311188,0.000290348,0.000289489,0.000333469,0.000328157,0.169686606,1.086640994,0.476262461,1.013870801,0.127027219,1.151922893,0.385506605,1.13357146,Single-stranded DNA-binding protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_0617 PE=4 SV=1
A5GNB3,SynWH7803_2002,5,5,0.001256588,0.00159126,0.002270311,0.001383446,0.0014852,0.002008187,0.001541864,0.001817499,0.001808613,0.001616432,0.002120338,0.001596492,0.001134551,0.001892002,0.002293288,0.001714981,0.002011854,0.001494324,0.001706053,0.001625611,0.001722659,0.001777754,0.00177328,0.001740386,0.275217006,0.952849063,0.475542016,1.00973344,0.495584207,0.997483392,0.318865061,0.978980362,Probable 30S ribosomal protein PSRP-3 OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_2002 PE=3 SV=1
A5GIU2,SynWH7803_0431,5,5,0.000603347,0.000250172,0.000470527,0.000717492,0.000298102,0.000421589,0.000614469,0.000283428,0.000438538,0.000568576,0.000259472,0.000328555,0.00066155,0.000309436,0.000437577,0.00068001,0.000303365,0.000629228,0.000441349,0.000479061,0.000445478,0.000385534,0.000469521,0.000537534,0.254663165,1.085446711,0.424654618,1.009356535,0.020676724,1.217844162,0.093275952,1.394257304,50S ribosomal protein L2 OS=Synechococcus sp. (strain WH7803) OX=32051 GN=rplB PE=3 SV=1
A5GM53,SynWH7803_1592,5,5,0.010059214,0.009462472,0.008481135,0.008267145,0.007808631,0.008120361,0.00807247,0.010889018,0.007972891,0.008744696,0.008863672,0.00979056,0.007714241,0.011373637,0.013480072,0.010730221,0.009905265,0.011295625,0.009334274,0.008065379,0.008978127,0.009132976,0.010855983,0.010643704,0.054224007,0.864060718,0.37653309,0.961845216,0.174182434,1.188657837,0.015515176,1.165414618,Thioredoxin OS=Synechococcus sp. (strain WH7803) OX=32051 GN=trxA PE=3 SV=1
A5GI32,SynWH7803_0171,5,5,0.000259905,0.000310345,0.000252835,0.000287234,0.000195968,0.000274923,0.000252372,0.000250041,0.000270647,0.00029673,0.000294201,0.000285974,0.000213801,0.0002857,0.000289326,0.000183395,0.000251616,0.000231161,0.000274362,0.000252708,0.000257687,0.000292302,0.000262942,0.000222057,0.343274721,0.921075756,0.271971044,0.939222869,0.195246335,0.899557415,0.042267244,0.759684807,Single-stranded DNA-binding protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=ssb PE=3 SV=1
A5GM17,SynWH7803_1556,5,5,0.000939767,0.000715767,0.001372307,0.000604716,0.000854735,0.001163368,0.000709599,0.000984869,0.001059413,0.00143994,0.000969988,0.001198504,0.001040214,0.000445277,0.00147101,0.001374274,0.000894502,0.001539031,0.00100928,0.000874273,0.00091796,0.001202811,0.0009855,0.001269269,0.22068923,0.866234015,0.332637703,0.909519361,0.236307337,0.819331077,0.337839062,1.055252218,Uncharacterized conserved secreted protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_1556 PE=4 SV=1
A5GJJ2,SynWH7803_0681,5,5,3.25967E-05,4.8888E-05,3.27261E-05,3.15003E-05,4.92727E-05,3.68625E-05,2.09747E-05,1.68356E-05,5.29941E-05,4.10886E-05,4.04299E-05,8.24293E-05,4.10774E-05,7.19413E-05,4.35704E-05,2.46199E-05,2.60681E-05,3.57657E-05,3.80703E-05,3.92118E-05,3.02682E-05,5.46492E-05,5.21964E-05,2.88179E-05,0.269903206,1.029985878,0.329647628,0.795060106,0.457540757,0.955116506,0.065841942,0.527324769,"Carboxysome shell polypeptide, CsoS3 OS=Synechococcus sp. (strain WH7803) OX=32051 GN=csoS3 PE=4 SV=1"
A5GN92,SynWH7803_1981,5,5,0.000203966,8.34959E-05,0.000148293,0.000194966,9.6537E-05,0.000117567,0.000184824,6.22464E-05,8.34929E-05,0.000204674,0.000101704,5.83431E-05,0.000241222,9.53904E-05,8.12616E-05,0.000416849,8.1042E-05,0.000134928,0.000145252,0.000136357,0.000110188,0.000121574,0.000139291,0.00021094,0.277176247,0.938761184,0.071285889,0.758599634,0.148067061,1.145738142,0.158335451,1.735079938,D-3-phosphoglycerate dehydrogenase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=serA PE=3 SV=1
A5GMJ5,SynWH7803_1734,4,4,0.00023125,0.000224039,0.000248442,0.000220613,0.000297538,0.000224766,0.000572389,0.000849092,0.000791723,0.00026859,0.000247893,0.000300315,0.000221968,0.00030351,0.000546464,0.00065299,0.000675568,0.000902824,0.000234577,0.000247639,0.000737735,0.000272266,0.000357314,0.000743794,0.354878717,1.055682652,0.01349465,3.144955912,0.212989751,1.31237152,0.009705987,2.731864146,Pyruvate dehydrogenase E1 component subunit alpha OS=Synechococcus sp. (strain WH7803) OX=32051 GN=pdhA PE=4 SV=1
A5GIS6,SynWH7803_0415,4,4,0.000247449,0.000200266,7.10274E-05,0.000289528,9.52929E-05,6.85076E-05,0.000665223,0.000323376,0.000609433,0.000192336,5.04926E-05,0.000109419,0.000272427,5.14801E-05,0.000237959,0.000393934,0.000322432,0.000410241,0.000172914,0.000151109,0.000532678,0.000117416,0.000187289,0.000375536,0.333069156,0.873898755,0.050095361,3.080589785,0.100459538,1.595089673,0.006390817,3.198340079,Adenylate kinase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=adk PE=3 SV=1
A5GNE9,SynWH7803_2038,4,4,4.54087E-05,1.54881E-05,2.74028E-05,2.41271E-05,7.51103E-06,1.36978E-05,7.44534E-05,3.74906E-05,0.000133861,1.62546E-05,9.11511E-06,4.24778E-05,3.40754E-05,6.7739E-06,5.89908E-05,7.30645E-05,6.67513E-05,9.93477E-05,2.94332E-05,1.5112E-05,8.19352E-05,2.26158E-05,3.328E-05,7.97212E-05,0.032683426,0.513432437,0.095917875,2.78376438,0.121618538,1.471536378,1.0847E-05,3.52501589,Adenylosuccinate lyase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=purB PE=3 SV=1
Q55346,SynWH7803_2061,4,4,0.000151692,3.66508E-05,4.41031E-05,0.000132095,4.39862E-05,3.37956E-05,0.000174078,0.000146394,0.000278566,0.000166539,4.64743E-05,1.80539E-05,0.000136505,3.53754E-05,2.92788E-05,0.000104726,0.000240478,0.000192099,7.74818E-05,6.99589E-05,0.000199679,7.70223E-05,6.70531E-05,0.000179101,0.220692167,0.902907562,0.092728648,2.577109979,0.245542423,0.8705681,0.169968523,2.32531582,DNA-directed RNA polymerase subunit gamma OS=Synechococcus sp. (strain WH7803) OX=32051 GN=rpoC1 PE=3 SV=2
A5GIN1,SynWH7803_0370,4,4,0.000107774,7.9842E-05,0.000112468,9.12414E-05,0.000108118,6.17602E-05,0.000209943,8.6324E-05,0.000406191,4.56331E-05,5.14427E-05,8.11239E-05,0.000102996,2.39267E-05,4.78817E-05,8.25414E-05,9.71089E-05,0.000376782,0.000100028,8.70397E-05,0.000234153,5.93999E-05,5.82681E-05,0.000185478,0.313668302,0.870153406,0.126573077,2.340870362,0.486345645,0.980946657,0.137774715,3.122522937,LL-diaminopimelate aminotransferase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=dapL PE=3 SV=2
A5GPG8,SynWH7803_2407,4,4,0.000950893,0.000493249,0.000471377,0.000865851,0.000426523,0.000474593,0.001260075,0.001075267,0.001655023,0.000908984,0.00050672,0.000475531,0.000825719,0.000364878,0.00071743,0.001076549,0.000728842,0.001626959,0.000638506,0.000588989,0.001330122,0.000630412,0.000636009,0.001144117,0.1034555,0.922448185,0.05788513,2.083177028,0.483429358,1.008878473,0.124435978,1.814871792,Predicted flavoprotein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_2407 PE=4 SV=1
A5GPB2,SynWH7803_2351,4,4,0.00020095,0.000107727,0.000131329,0.000226195,0.000226188,0.000125598,0.000196453,8.60613E-05,0.000496341,0.000210509,2.16767E-05,2.19322E-05,0.000226681,2.53398E-05,6.94294E-05,0.000112878,7.12007E-05,0.000145319,0.000146669,0.00019266,0.000259618,8.47058E-05,0.00010715,0.0001098,0.1715245,1.313575857,0.232506832,1.770103133,0.113639592,1.264965857,0.36825268,1.29624535,Phosphoglycerate kinase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=pgk PE=3 SV=1
A5GJU2,SynWH7803_0781,4,4,0.000207653,0.000110348,0.000104894,0.000277506,0.000176311,0.000267597,0.000260045,0.000173123,0.000301068,0.000310545,0.000229694,0.000145229,0.000331596,9.85414E-05,0.000143792,0.000199114,0.000173713,0.000185254,0.000140965,0.000240472,0.000244745,0.000228489,0.00019131,0.000186027,0.043931573,1.705892764,0.077116437,1.736210588,0.25761152,0.837280225,0.219217672,0.814159967,Uncharacterized protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_0781 PE=4 SV=1
A5GM30,SynWH7803_1569,4,4,0.000171465,0.000115331,0.000141572,0.000220084,0.000101633,0.000181105,0.000246813,0.00017065,0.000284733,0.000187338,0.000114372,0.000129181,0.00016856,0.000175551,0.000104074,0.000173254,0.00010142,0.00034107,0.000142789,0.000167608,0.000234066,0.000143631,0.000149395,0.000205248,0.164919204,1.173809219,0.03766838,1.639235587,0.427379414,1.04013478,0.249179093,1.429000436,Geranylgeranyl pyrophosphate synthase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=crtE PE=3 SV=1
A5GP03,SynWH7803_2242,4,4,0.000402826,0.000212932,0.000221488,0.000302151,0.000270647,0.000211717,0.000576392,0.000416264,0.000360016,0.000224544,0.000234835,0.000215528,0.000266886,0.000179198,0.000233794,0.000425704,0.00029961,0.000271587,0.000279082,0.000261505,0.000450891,0.000224969,0.000226626,0.0003323,0.369292062,0.937019975,0.005837101,1.615621172,0.480140096,1.007366133,0.074865258,1.477092954,Two-component system response regulator OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_2242 PE=4 SV=1
A5GNR7,SynWH7803_2156,4,4,0.000495866,0.000117934,0.000321401,0.000638491,0.000227505,0.000354785,0.000792845,0.000242332,0.0004652,0.000435207,0.000265905,0.000121046,0.000289467,0.000243813,0.000189637,0.000416883,0.000271127,0.000379373,0.000311734,0.000406927,0.000500125,0.000274053,0.000240972,0.000355794,0.049328267,1.305368195,0.03733043,1.604336434,0.323789521,0.879290872,0.226709362,1.298267909,Phycobilisome rod-core linker polypeptide cpcG (L-RC 27.8) OS=Synechococcus sp. (strain WH7803) OX=32051 GN=cpcG1 PE=3 SV=1
A5GMF0,SynWH7803_1689,4,4,0.000215794,0.000134806,0.000141818,0.00031525,0.000158696,0.000105495,0.000396523,0.000183374,0.000206319,0.000338224,0.000179177,0.000120489,0.00026216,0.000105205,0.000140039,0.000411515,0.000178829,0.000460013,0.00016414,0.000193147,0.000262072,0.00021263,0.000169135,0.000350119,0.268559454,1.176723794,0.071537343,1.596641608,0.150859744,0.795441867,0.157201484,1.646613273,ATP-dependent zinc metalloprotease FtsH OS=Synechococcus sp. (strain WH7803) OX=32051 GN=ftsH PE=3 SV=1
A5GLQ0,SynWH7803_1439,4,4,0.000428939,0.000156091,0.000155125,0.000425867,0.000202052,0.000111415,0.000324256,0.000251289,0.000570625,0.000404669,0.0001674,0.000494182,0.000601263,0.000139808,0.000310965,0.000386214,0.000257349,0.000503747,0.000246718,0.000246445,0.000382057,0.000355417,0.000350678,0.000382436,0.496263821,0.998889604,0.23297388,1.548552984,0.484808372,0.98666682,0.246541109,1.07602047,4-hydroxy-tetrahydrodipicolinate reductase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=dapB PE=3 SV=1
A5GJR7,SynWH7803_0756,4,4,0.000189822,0.000122085,0.000136325,0.000207223,0.000100966,0.000104548,0.000246192,0.000168633,0.00024186,0.000231104,9.07905E-05,0.000129075,0.000203513,6.97776E-05,0.000217715,0.000331709,0.000150612,0.000268122,0.000149411,0.000137579,0.000218895,0.000150323,0.000163669,0.000250148,0.25565579,0.920809245,0.03127942,1.465055866,0.378578064,1.08877802,0.024350689,1.66406846,"1,4-alpha-glucan branching enzyme GlgB OS=Synechococcus sp. (strain WH7803) OX=32051 GN=glgB PE=3 SV=1"
A5GHN3,SynWH7803_0022,4,4,0.000439944,0.000274163,0.000390591,0.000853042,0.000204698,0.000336242,0.000769741,0.000301772,0.000531731,0.000975695,0.000351189,0.000700497,0.000631297,0.000356845,0.000529473,0.001057848,0.000315028,0.000584055,0.000368233,0.000464661,0.000534415,0.000675794,0.000505871,0.00065231,0.302303061,1.261866227,0.099995275,1.451294934,0.11734277,0.748558706,0.361670739,0.965250159,Protein GrpE OS=Synechococcus sp. (strain WH7803) OX=32051 GN=grpE PE=3 SV=1
A5GN54,SynWH7803_1943,4,4,0.000212636,0.000243984,0.00015166,0.000234797,0.000273559,0.000151752,0.000263478,0.000461925,0.000157138,0.000132738,0.000230605,0.00020983,0.000218103,0.00021587,0.000223152,0.000255172,0.000314374,0.000166421,0.00020276,0.000220036,0.00029418,0.000191058,0.000219041,0.000245322,0.095165611,1.085204345,0.146331046,1.45087971,0.223490446,1.146468265,0.195964076,1.284023083,"Cupin, RmlC-type superfamily protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_1943 PE=4 SV=1"
A5GMI8,SynWH7803_1727,4,4,8.59197E-05,3.43926E-05,9.09127E-05,9.33294E-05,4.09709E-05,5.83181E-05,6.85258E-05,6.58551E-05,0.00016388,7.91476E-05,4.50426E-05,5.71068E-05,9.7671E-05,5.03621E-05,7.67471E-05,8.3442E-05,6.56867E-05,8.83163E-05,7.04083E-05,6.42061E-05,9.94204E-05,6.04323E-05,7.49267E-05,7.91483E-05,0.342335069,0.911911354,0.191120697,1.412054668,0.043817714,1.239845235,0.069666181,1.309701712,Uncharacterized protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_1727 PE=4 SV=1
