Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Description
A5GJL7,SynWH7803_0706,9,9,0.002018031,0.003499194,0.00099261,0.001887262,0.002750748,0.001124617,0.003485999,0.002238264,0.007811962,0.001333867,0.001146334,0.002933952,0.001076575,0.001026577,0.001884267,0.002016515,0.005578134,0.00491023,0.002169945,0.001920876,0.004512075,0.001804718,0.00132914,0.004168293,0.220293771,0.885218647,0.213858812,2.079350165,0.121231465,0.736480689,0.08228404,2.309665004,Glutathione reductase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=gor PE=3 SV=1
A5GJ26,SynWH7803_0515,9,9,0.000423364,0.000497146,0.000449342,0.000763464,0.000652171,0.000617951,0.000843062,0.00078409,0.001204645,0.000680983,0.00048193,0.000349937,0.000563813,0.0003821,0.000570817,0.001310168,0.000673263,0.001513851,0.000456617,0.000677862,0.000943932,0.000504283,0.000505577,0.001165761,0.032715728,1.48452963,0.036476367,2.067227843,0.495840347,1.002564301,0.071489193,2.311717957,30S ribosomal protein S1 OS=Synechococcus sp. (strain WH7803) OX=32051 GN=rpsA PE=4 SV=1
A5GP81,SynWH7803_2320,9,8,0.000513242,0.000277132,0.00048491,0.000392904,0.000213578,0.000495788,0.000884112,0.000312214,0.000568379,0.000515708,0.000293746,0.00086906,0.000376666,0.000184,0.000912533,0.000671545,0.000398138,0.001194549,0.000425095,0.000367424,0.000588235,0.000559505,0.000491066,0.000754744,0.134167331,0.864333644,0.129916425,1.38377512,0.175042052,0.877679822,0.04991497,1.348949743,Dipeptidyl aminopeptidase/acylaminoacyl-peptidase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_2320 PE=4 SV=1
A5GJ92,SynWH7803_0581,9,9,0.000903493,0.00122408,0.001160237,0.001123301,0.001227088,0.001158564,0.001077291,0.001779304,0.001326194,0.001157422,0.001590694,0.000894663,0.000922591,0.001944238,0.000937599,0.001228023,0.00157638,0.001071051,0.001095937,0.001169651,0.001394263,0.001214259,0.001268143,0.001291818,0.209606984,1.067261615,0.07295931,1.272211263,0.390611932,1.044375459,0.1474719,1.063873203,Uncharacterized protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_0581 PE=4 SV=1
A5GPB7,SynWH7803_2356,9,9,0.000293931,0.000228469,0.00064179,0.00032951,0.000301114,0.00042622,0.00027815,0.000494423,0.000512521,0.000257234,0.000200759,0.000506863,0.000275625,0.000250279,0.000600564,0.00025398,0.000390885,0.000543769,0.000388064,0.000352281,0.000428365,0.000321618,0.000375489,0.000396211,0.365411951,0.907792585,0.382139252,1.103851853,0.066277206,1.167499796,0.166502741,1.231929183,Uncharacterized conserved secreted protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_2356 PE=4 SV=1
A5GLD9,SynWH7803_1328,9,9,0.001691227,0.002738175,0.002516398,0.001528889,0.002939928,0.002414875,0.001941355,0.002777422,0.002899628,0.001566816,0.003019513,0.002984514,0.001493819,0.002714522,0.003317757,0.002089551,0.002482448,0.002912334,0.002315267,0.002294564,0.002539468,0.002523614,0.002508699,0.002494778,0.4355397,0.99105806,0.077273671,1.096836008,0.471773358,0.994089923,0.466832003,0.988573351,Elongation factor Ts OS=Synechococcus sp. (strain WH7803) OX=32051 GN=tsf PE=3 SV=1
A5GNL0,SynWH7803_2099,9,9,0.00064881,0.000692154,0.000773907,0.000741908,0.000805402,0.000786198,0.000689151,0.000751762,0.000781333,0.000732278,0.000892571,0.000731904,0.000686935,0.000956441,0.000834494,0.000726614,0.000656598,0.000818216,0.000704957,0.000777836,0.000740749,0.000785584,0.000825957,0.000733809,0.070986607,1.103380553,0.071622059,1.050771509,0.229118277,1.051391901,0.321592816,0.934093657,Delta-aminolevulinic acid dehydratase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=hemB PE=3 SV=1
A5GIX6,SynWH7803_0465,9,9,0.001393131,0.001574301,0.001046913,0.001237258,0.001379151,0.001337255,0.001212378,0.001721233,0.001260823,0.001056437,0.001325651,0.001503367,0.00119239,0.000672011,0.001665257,0.000950144,0.001857966,0.001714725,0.001338115,0.001317888,0.001398145,0.001295152,0.001176553,0.001507611,0.454262373,0.984884154,0.335616712,1.044861436,0.350490206,0.908428547,0.18413878,1.164042427,Ribonuclease D OS=Synechococcus sp. (strain WH7803) OX=32051 GN=rnd PE=4 SV=1
A5GJ04,SynWH7803_0493,9,9,0.10921517,0.160762586,0.134558055,0.106735004,0.168990692,0.115955277,0.109702092,0.183723603,0.127998473,0.105382937,0.130846948,0.109504069,0.113480247,0.133465864,0.1070641,0.111314106,0.161454773,0.112282756,0.134845271,0.130560325,0.140474723,0.115244651,0.118003403,0.128350545,0.318909936,0.968223239,0.29588307,1.041747495,0.230136212,1.023938225,0.137388042,1.113722364,C-phycoerythrin class II beta chain OS=Synechococcus sp. (strain WH7803) OX=32051 GN=mpeB PE=3 SV=1
A5GKS9,SynWH7803_1118,9,9,0.020359557,0.009076765,0.011114879,0.020744609,0.011750045,0.009812629,0.018046699,0.011257981,0.011023446,0.023381588,0.013337054,0.012947749,0.023025097,0.016361384,0.01177342,0.020452688,0.009715803,0.010541579,0.013517067,0.014102428,0.013442709,0.016555463,0.017053301,0.013570023,0.330932068,1.04330532,0.479752665,0.994498949,0.367904544,1.030070863,0.006805442,0.819670401,"Peroxiredoxin, AhpC/TSA family OS=Synechococcus sp. (strain WH7803) OX=32051 GN=ahpC PE=4 SV=1"
