Table S5. List of Synechococcus 7002 genes displaying ≥2-fold change in relative mRNA abundance in HCO3-- grown co-cultures  (compared to the axenic control),,,,,,,,,,,,,
,,,,,,,,,,,,,
 Locus tag,Gene abbreviation,"RPKM1 ,             Syn 7002_ax   High light, high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon
SYNPCC7002_A2352,phoA,6.47,43.4,34.53,6.67,5.26,0.80,alkaline phosphatase PhoA,Protein fate,"Degradation of proteins, peptides, and glycopeptides",Phosphate homeostasis,Periplasm,SphR
SYNPCC7002_A2655,yjiA,142.44,84.25,67.5,0.59,0.47,0.80,GTP-dependent nickel-binding protein YjiA,Regulatory functions,small molecule interactions,,Cytoplasm,
SYNPCC7002_A0134,murJ,3.78,33.19,26.68,9.09,7.14,0.80,peptidoglycan lipid II flippase MurJ,Transport and binding proteins,General,Peptidoglycan biosynthesis,Inner Membrane (13 transmembrane span),
SYNPCC7002_A1607,mraY,9.71,25.53,20.41,2.63,2.08,0.80,phospho-MurNAc-pentapeptide translocase MraY,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",Peptidoglycan biosynthesis,Inner Membrane (10 transmembrane span),
SYNPCC7002_A1570,,108.98,296.16,235.45,2.70,2.17,0.80,conserved hypothetical membrane protein,Unknown function,General,,Inner Membrane (2 transmembrane span),
SYNPCC7002_A1946,,7.01,140.42,113.02,20.00,16.67,0.80,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2824,,22.66,68.93,54.94,3.03,2.44,0.80,protein of unknown function DUF1232,Unknown function,General,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A0349,ftsH,76.07,449.35,362.59,5.88,4.76,0.81,ATP-dependent metalloprotease FtsH,Cellular processes,Cell division,Photosystem II,Thylakoid Membrane (2 transmembrane spans),
SYNPCC7002_A0556,pmgA,184.52,109.78,89.47,0.60,0.49,0.81,anti-sigma regulatory factor (Ser/Thr protein kinase) essential for photomixotrophic growth PmgA,Regulatory functions,Protein interactions,,Cytoplasm,
SYNPCC7002_A2134,,83.63,48.51,39.24,0.58,0.47,0.81,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0706,,53.95,137.87,113.02,2.56,2.08,0.82,histidinol-phosphate phosphatase,Amino acid biosynthesis,Histidine family,Histidine biosynthesis,Cytoplasm,
SYNPCC7002_A0090,,53.95,22.98,18.84,0.43,0.35,0.82,Uma2 family endonuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems - one component,Cytoplasm,
SYNPCC7002_A1827,nirA,10.25,30.64,25.11,3.03,2.44,0.82,assimilatory ferredoxin-nitrite reductase NirA,Energy metabolism,Nitrogen metabolism,Nitrogen assimilation,Cytoplasm,NtcA and NtcB
SYNPCC7002_F0044,,28.59,15.32,12.56,0.53,0.44,0.82,CRISPR-associated RNA binding protein RAMP Cmr6 family,Mobile and extrachromosomal element functions,CRISPR immunity,CRISPR immunity,Cytoplasm,
SYNPCC7002_A2407,trmD,4.32,15.32,12.56,3.57,2.94,0.82,tRNA (Guanine37-N1) -methyltransferase TrmD,Protein synthesis,tRNA and rRNA base modification,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A1993,,7.55,30.64,25.11,4.00,3.33,0.82,oxygen-responsive transcriptional regulator HxlR family,Regulatory functions,DNA interactions,,Cytoplasm,
SYNPCC7002_A2534,pixG,35.61,15.32,12.56,0.43,0.35,0.82,light-responsive two component signal transduction system response regulator PixG,Signal transduction,Two-component systems,Phototaxis,Cytoplasm,
SYNPCC7002_A1178,,16.73,7.66,6.28,0.46,0.38,0.82,S-layer like protein,Unknown function,General,,Periplasm,
SYNPCC7002_A1485,,28.06,15.32,12.56,0.55,0.45,0.82,oxidoreductase short chain dehydrogenase/reductase family,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A2334,,1.62,7.66,6.28,4.76,3.85,0.82,transpeptidase domain protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A2510,yqiK,123.55,68.93,56.51,0.56,0.46,0.82,flotillin family protein YqiK,Unknown function,General,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A1763,dgk,11.87,51.06,42.38,4.35,3.57,0.83,diacylglycerol kinase Dgk,Fatty acid and phospholipid metabolism,Biosynthesis,Glycerophospholipid metabolism,Inner Membrane (3 transmembrane span),
SYNPCC7002_A2371,bicA,194.77,479.99,400.26,2.44,2.04,0.83,medium affinity high-flux Na+/bicarbonate symporter BicA,Transport and binding proteins,Oxoanions,CO2 fixation,Inner Membrane (11 transmembrane span),CcmR
SYNPCC7002_A0830,,219.05,122.55,102.03,0.56,0.47,0.83,protein of unknown function DUF2283,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2471,,28.59,114.89,95.75,4.00,3.33,0.83,TPR repeat-containing protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2496,cagA,11.87,28.08,23.54,2.38,2.00,0.84,zinc-dependent gamma carbonic anhydrase CagA,Energy metabolism,CO2 fixation,CO2 fixation,Cytoplasm,
SYNPCC7002_A1023,fabF,60.43,158.29,133.42,2.63,2.22,0.84,3-oxoacyl-(acyl carrier protein) synthase II FabF,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Cytoplasm,
SYNPCC7002_A1141,,1848.96,1062.1,896.28,0.57,0.49,0.84,methyltransferase FkbM family protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_G0106,,123.01,63.83,53.37,0.52,0.43,0.84,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0109,prxQ-B2,36.69,20.43,17.27,0.56,0.47,0.85,thioredoxin-dependent peroxiredoxin Q PrxQ-B2,Cellular processes,Detoxification,Oxidative stress,Periplasm,
SYNPCC7002_A2118,bcsA,203.94,112.34,95.75,0.55,0.47,0.85,UDP-forming cellulose synthase BcsA,Central intermediary metabolism,Sugars,Starch and sucrose metabolism,Inner Membrane (6 transmembrane span),
SYNPCC7002_G0136,exbD,100.35,20.43,17.27,0.20,0.17,0.85,outer membrane transport energizing sytem membrane anchored component ExbD,Energy metabolism,TonB energy transduction system,Iron homeostasis,Inner Membrane (1 transmembrane span),Fur
SYNPCC7002_A1051,rplF,241.17,656.16,560.37,2.70,2.33,0.85,50S ribosomal protein L6 RplF,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,
SYNPCC7002_A0092,,25.9,74.04,62.79,2.86,2.44,0.85,conserved hypothetical protein,Unknown function,General,,Periplasm,
SYNPCC7002_A1580,,161.32,74.04,62.79,0.46,0.39,0.85,conserved hypothetical protein,Unknown function,General,,Inner Membrane Lipoprotein,
SYNPCC7002_A2392,,10.79,45.96,39.24,4.35,3.70,0.85,protein of unknown function DUF2233,Unknown function,General,,Outer Membrane,
SYNPCC7002_A0044,,5.4,12.77,10.99,2.38,2.04,0.86,uracil-DNA glycosylase superfamily protein,DNA metabolism,"DNA replication, recombination, and repair",,Cytoplasm,
SYNPCC7002_A1094,sdhB,341.52,165.95,142.84,0.49,0.42,0.86,succinate dehydrogenase iron-sulfur subunit SdhB,Energy metabolism,TCA cycle,,Cytoplasm,
SYNPCC7002_F0048,,305.37,58.72,50.23,0.19,0.16,0.86,CRISPR-associated RAMP protein Cmr2 family,Mobile and extrachromosomal element functions,CRISPR immunity,CRISPR immunity,Cytoplasm,
SYNPCC7002_A2597,,41.54,12.77,10.99,0.31,0.26,0.86,P-like pilus usher protein PapC-like,Transport and binding proteins,Porins and secretins,P-type pilus,Outer Membrane,
SYNPCC7002_A0741,,5.4,12.77,10.99,2.38,2.04,0.86,oxidoreductase aldo/keto reductase family protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A1305,,137.58,71.49,61.22,0.52,0.44,0.86,surface protein SdrI putative,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1462,,16.19,38.3,32.96,2.38,2.04,0.86,DedA family protein,Unknown function,General,,Inner Membrane (5 transmembrane span),
SYNPCC7002_A1718,,37.23,89.36,76.91,2.38,2.08,0.86,YceG family conserved hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A0985,pntC,219.05,61.28,53.37,0.28,0.24,0.87,nicotinamide nucleotide transhydrogenase alpha chain part 2 PntC,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridine nucleotides,NAD and NADP (B3) biosynthesis and salvage,Inner Membrane (2 transmembrane span),
SYNPCC7002_A0138,,22.66,61.28,53.37,2.70,2.38,0.87,penicillin-binding protein family 1A,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A0192,,113.3,30.64,26.68,0.27,0.24,0.87,Uma2 family endonuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems - one component,Cytoplasm,
SYNPCC7002_A0305,,40.46,114.89,100.46,2.86,2.50,0.87,membrane protein of unknown function DUF4079,Unknown function,General,,Inner Membrane (4 transmembrane span),
SYNPCC7002_A1209,,110.06,48.51,42.38,0.44,0.38,0.87,conserved hypothetical protein,Unknown function,General,,Periplasm,
SYNPCC7002_A2133,,243.87,91.91,80.05,0.38,0.33,0.87,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1829,panB,6.47,17.87,15.7,2.78,2.44,0.88,3-methyl-2-oxobutanoate hydroxymethyltransferase PanB,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pantothenate and coenzyme A,Pantothenate (B5) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_A1860,ppk2,45.32,17.87,15.7,0.39,0.35,0.88,polyphosphate kinase 2 Ppk2,Central intermediary metabolism,Phosphorus compounds,Phosphorus metabolism ,Cytoplasm,
SYNPCC7002_A2152,,19.96,58.72,51.8,2.94,2.56,0.88,ferredoxin (2Fe-2S),Energy metabolism,Electron transport,,Cytoplasm,
SYNPCC7002_A2770,kgd,77.69,40.85,36.1,0.53,0.47,0.88,TPP-dependent 2-oxoglutarate decarboxylase Kgd,Energy metabolism,TCA cycle,,Cytoplasm,
SYNPCC7002_G0102,,18.88,117.44,103.6,6.25,5.56,0.88,ABC-type siderophore uptake system substrate-binding component,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Periplasm,Fur
SYNPCC7002_A0609,,18.34,53.62,47.09,2.94,2.56,0.88,protein of unknown function DUF3288,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1125,,106.29,53.62,47.09,0.51,0.44,0.88,membrane protein,Unknown function,General,,Inner Membrane (2 transmembrane span),
SYNPCC7002_A2761,,63.12,35.74,31.39,0.56,0.50,0.88,von Willebrand factor type A domain-containing protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1654,hhoA,33.45,79.15,70.63,2.38,2.13,0.89,periplasmic stress-inducible serine protease HhoA,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Periplasm,
SYNPCC7002_A0376,,6.47,56.17,50.23,8.33,7.69,0.89,hypothetical protein,Unknown function,General,,Inner Membrane (5 transmembrane span),
SYNPCC7002_A1017,,129.49,68.93,61.22,0.53,0.47,0.89,conserved hypothetical protein with a C-terminal Piwi domain,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1934,,70.14,28.08,25.11,0.40,0.36,0.89,universal stress protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1179,,586.47,250.21,226.03,0.43,0.39,0.90,lipoprotein,Unknown function,General,,Inner Membrane Lipoprotein,
SYNPCC7002_A1421,,92.26,214.46,196.21,2.33,2.13,0.91,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2517,aroK,18.88,56.17,51.8,2.94,2.78,0.92,shikimate kinase AroK,Amino acid biosynthesis,Aromatic amino acid family,Chorismate biosynthesis,Cytoplasm,
SYNPCC7002_A1642,dapF,7.01,15.32,14.13,2.17,2.00,0.92,diaminopimelate epimerase DapF,Amino acid biosynthesis,Aspartate family,Lysine biosynthesis,Cytoplasm,
SYNPCC7002_A0498,pyrR,4.32,15.32,14.13,3.57,3.23,0.92, 5-amino-6-(5-phosphoribosylamino)uracil reductase PyrR,"Biosynthesis of cofactors, prosthetic groups, and carriers","Riboflavin, FMN, and FAD",Riboflavin (B2) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_G0013,,4.32,20.43,18.84,4.76,4.35,0.92,membrane protein required for alkaline condition tolerance ExoD family ,Cellular processes,Detoxification,,Inner Membrane (4 transmembrane span),
SYNPCC7002_A0893,phoX,0.54,5.11,4.71,9.09,9.09,0.92,Ca-dependent alkaline phosphatase PhoX,Central intermediary metabolism,Phosphorus compounds,Phosphorus metabolism ,Periplasm,
SYNPCC7002_F0008,addA,13.49,5.11,4.71,0.38,0.35,0.92,ATP-dependent nuclease subunit AddA,DNA metabolism,"DNA replication, recombination, and repair",,Cytoplasm,
SYNPCC7002_A2139,agpA,48.56,20.43,18.84,0.42,0.39,0.92,glycogen phosphorylase AgpA,Energy metabolism,Biosynthesis and degradation of polysaccharides,Glycogen,Cytoplasm,
SYNPCC7002_A2697,gap1,29.13,5.11,4.71,0.18,0.16,0.92,NAD-dependent glyceraldehyde-3-phosphate dehydrogenase Gap1,Energy metabolism,Glycolysis/gluconeogenesis,,Cytoplasm,
SYNPCC7002_A1002,fabB,2.16,5.11,4.71,2.38,2.17,0.92,3-oxoacyl-(acyl carrier protein) synthase II FabB,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Cytoplasm,
SYNPCC7002_A0490,rplU,250.34,599.99,552.52,2.38,2.22,0.92,50S ribosomal protein L21 RplU,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,
SYNPCC7002_A2328,serS,15.11,66.38,61.22,4.35,4.00,0.92,seryl-tRNA synthetase SerS,Protein synthesis,tRNA aminoacylation,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A0900,cikA,23.74,10.21,9.42,0.43,0.40,0.92,class II cyanobacteriochrome controlling circadium rythym CikA,Signal transduction,Two-component systems,Circadian clock,Cytoplasm,
SYNPCC7002_A2507,futA,536.29,40.85,37.67,0.08,0.07,0.92,ABC-type FeII uptake system substrate-binding component FutA,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Periplasm,
SYNPCC7002_G0086,fecE,90.64,15.32,14.13,0.17,0.16,0.92,ABC-type iron(III) dicitrate uptake system ATPase component FecE,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Cytoplasm,Fur
SYNPCC7002_A0646,,7.01,15.32,14.13,2.17,2.00,0.92,outer membrane efflux secretin,Transport and binding proteins,Porins and secretins,,Outer Membrane,
SYNPCC7002_A0156,,23.74,10.21,9.42,0.43,0.40,0.92,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0479,,288.65,153.19,141.27,0.53,0.49,0.92,VWA domain protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1487,,52.33,20.43,18.84,0.39,0.36,0.92,hypothetical protein,Unknown function,General,,Periplasm,
SYNPCC7002_A1700,,17.8,5.11,4.71,0.29,0.26,0.92,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1810,,122.47,45.96,42.38,0.38,0.35,0.92,hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),
SYNPCC7002_E0006,,0.12,10.21,9.42,100.00,100.00,0.92,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2239,,1592.68,9482.33,8829.37,5.88,5.56,0.93,acyl-CoA dehydrogenase family protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A1162,ctaC,163.48,58.72,54.94,0.36,0.34,0.94,heme-copper quinol oxidase subunit II CtaC,Energy metabolism,Electron transport,Oxidative phosphorylation,Inner Membrane (3 transmembrane span),
SYNPCC7002_A1309,thyX,81.47,33.19,31.39,0.41,0.38,0.95,flavin-dependent thymidylate synthase ThyX,"Purines, pyrimidines, nucleosides, and nucleotides",2'-Deoxyribonucleotide metabolism,,Cytoplasm,
SYNPCC7002_A0364,sigC,380.91,194.04,183.65,0.51,0.48,0.95,group 2 RNA polymerase sigma-70 subunit SigC,Regulatory functions,Protein interactions,,Cytoplasm,
SYNPCC7002_A2017,,64.2,33.19,31.39,0.52,0.49,0.95,acetyltransferase family protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A2693,murF,10.25,40.85,39.24,4.00,3.85,0.96,"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase MurF",Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan biosynthesis,Cytoplasm,Crp
SYNPCC7002_A1034,,1099.56,477.44,458.34,0.43,0.42,0.96,porin OprB family,Transport and binding proteins,Porins and secretins,,Outer Membrane,
SYNPCC7002_A2777,,202.86,86.81,83.19,0.43,0.41,0.96,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2308,mtnA,8.09,17.87,17.27,2.22,2.13,0.97,methylthioribose-1-phosphate isomerase MtnA,Amino acid biosynthesis,Aspartate family,Methionine salvage,Cytoplasm,
SYNPCC7002_A0250,ppsA,120.85,35.74,34.53,0.30,0.29,0.97,phosphoenolpyruvate synthase PpsA,Energy metabolism,Glycolysis/gluconeogenesis,Pyruvate dehydrogenase anaplerotic reactions,Cytoplasm,
SYNPCC7002_A0610,pyrFE,11.87,35.74,34.53,3.03,2.94,0.97,bifunctional orotidine 5'-phosphate decarboxylase/orotate phosphoribosyltransferase protein PyrFE,"Purines, pyrimidines, nucleosides, and nucleotides",Pyrimidine ribonucleotide biosynthesis,,Cytoplasm,
SYNPCC7002_G0155,,30.75,12.77,12.56,0.41,0.41,0.98,formylglycine-generating sulfatase enzyme,"Biosynthesis of cofactors, prosthetic groups, and carriers",Glutathione and analogs,,Cytoplasm,
SYNPCC7002_A2422,katG,43.7,12.77,12.56,0.29,0.29,0.98,bifunctional catalase/peroxidase HPI KatG,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,
SYNPCC7002_A0409,,29.67,12.77,12.56,0.43,0.42,0.98,toxin-antitoxin system PIN family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A1591,ndhP,5060.23,1628.9,1590.07,0.32,0.31,0.98,proton-translocating NADH-quinone dehydrogenase subunit P NdhP,Energy metabolism,Electron transport,Oxidative phosphorylation,Thylakoid Membrane (1 transmembrane span),
SYNPCC7002_A1973,,41,86.81,84.76,2.13,2.08,0.98,NADH dehydrogenase subunit NdhD family,Energy metabolism,Electron transport,Photosynthesis and CO2 fixation,Thylakoid Membrane (14 transmembrane spans),PedR
SYNPCC7002_A1562,lgt,17.8,43.4,42.38,2.44,2.38,0.98,prolipoprotein diacylglyceryl transferase Lgt,Protein fate,Protein modification and repair,Lipoprotein biosynthesis,Inner Membrane (7 transmembrane span),
SYNPCC7002_A0122,nudF,19.96,191.48,186.79,10.00,9.09,0.98,ADP-ribose pyrophosphatase NudF,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,,Cytoplasm,
SYNPCC7002_A0825,oppB,5.4,12.77,12.56,2.38,2.33,0.98,ABC-type oligopeptide uptake system permease component OppB,Transport and binding proteins,"Amino acids, peptides and amines",Amino acid utilization,Inner Membrane (5 transmembrane span),
SYNPCC7002_A0635,btuF,11.33,25.53,25.11,2.27,2.22,0.98,ABC-type B12/cobalamin uptake system substrate-binding component BtuF,Transport and binding proteins,Cofactors and prosthetic groups,Cobalamin (B12) biosynthesis and salvage,Inner Membrane Lipoprotein,cobalamine riboswitch
SYNPCC7002_A1483,,25.9,12.77,12.56,0.49,0.49,0.98,lipid ABC export system MFP subunit,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",Lipid export,Inner Membrane (1 transmembrane span),
SYNPCC7002_A1699,,478.56,188.93,185.22,0.40,0.39,0.98,TPR repeat-containing protein,Unknown function,General,,Periplasm,
SYNPCC7002_A1284,dncH,5.4,104.68,103.6,20.00,20.00,0.99,"1,4-dihydroxy-2-naphthoyl-CoA thioesterease DncH","Biosynthesis of cofactors, prosthetic groups, and carriers",Quinones,Vitamin K (menaquinone) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_A1603,,414.36,183.83,182.08,0.44,0.44,0.99,type IV pilin protein,Cell envelope,Surface structures,Type IV pilus,surface structure,
SYNPCC7002_A1511,,458.6,178.72,177.37,0.39,0.39,0.99,conserved uncharacterized protein,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,
SYNPCC7002_A2547,ndhB,147.29,321.69,318.64,2.17,2.17,0.99,proton-translocating NADH-quinone dehydrogenase subunit B NdhB,Energy metabolism,Electron transport,Oxidative phosphorylation,Thylakoid Membrane (14 transmembrane spans),
SYNPCC7002_A2297,nhaS1,82.01,33.19,32.96,0.40,0.40,0.99,Na+/H+ antiporter NhaS1,Transport and binding proteins,Cations and iron carrying compounds,,Inner Membrane (12 transmembrane span),
SYNPCC7002_A0669,,157.54,79.15,78.48,0.50,0.50,0.99,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1588,,258.43,112.34,111.45,0.43,0.43,0.99,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2000,ndhD1,183.98,81.7,81.62,0.44,0.44,1.00,proton-translocating NADH-quinone dehydrogenase subunit D1 NdhD1,Energy metabolism,Electron transport,Oxidative phosphorylation,Thylakoid Membrane (13 transmembrane spans),
SYNPCC7002_A1460,talA,146.21,48.51,48.66,0.33,0.33,1.00,transaldolase TalA,Energy metabolism,Pentose phosphate pathway,,Cytoplasm,
SYNPCC7002_A1045,infA,216.35,94.47,94.18,0.44,0.43,1.00,translation initiation factor IF-1 InfA,Protein synthesis,Translation factors,Initiation factors,Cytoplasm,
SYNPCC7002_A0618,deaD,60.43,158.29,158.54,2.63,2.63,1.00,ATP-dependent RNA helicase DeaD,Transcription,Degradation of RNA,RNA degradation,Cytoplasm,
SYNPCC7002_G0080,,26.44,0.12,0.12,0.00,0.00,1.00,ABC-type iron chelate uptake system ATPase component,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Cytoplasm,
SYNPCC7002_G0101,,15.65,0.12,0.12,0.01,0.01,1.00,protein of unknown function DUF1636,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2069,ahcY,111.14,247.65,251.15,2.22,2.27,1.01,S-adenosyl-L-homocysteine hydrolase AhcY,Central intermediary metabolism,Amino acids and amines,Methionine & Cysteine biosynthesis,Cytoplasm,
SYNPCC7002_A1242,,13.49,28.08,28.25,2.08,2.08,1.01,tRNA threonylcarbamoyladenosine biosynthesis protein,Protein synthesis,tRNA and rRNA base modification,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A0346,,33.45,191.48,193.07,5.88,5.88,1.01,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2691,,186.14,91.91,92.61,0.49,0.50,1.01,conserved hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_G0019,sybF,58.27,7.66,7.85,0.13,0.13,1.02,synechobactin core synthase type C group SybF,"Biosynthesis of cofactors, prosthetic groups, and carriers",Siderophores,Iron homeostasis,Cytoplasm,
SYNPCC7002_A1400,plqA,16.19,7.66,7.85,0.47,0.49,1.02,4-hydroxybenzoate solanesyltransferase PlqA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Quinones,Plastoquinone biosynthesis,Inner Membrane (9 transmembrane span),
SYNPCC7002_A2312,,19.42,7.66,7.85,0.39,0.40,1.02,toxin-antitoxin system PIN family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A1504,,171.57,74.04,75.34,0.43,0.44,1.02,Uma2 family endonuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems - one component,Cytoplasm,
SYNPCC7002_A2506,dprA,3.78,7.66,7.85,2.04,2.08,1.02,DNA protecting protein DprA,Cellular processes,DNA transformation,,Cytoplasm,
SYNPCC7002_A0194,hypE,55.57,15.32,15.7,0.28,0.28,1.02,[NiFe] hydrogenase expression/formation protein HypE,Protein fate,Protein modification and repair,Electron transfer - hydrogenase,Cytoplasm,
SYNPCC7002_A0047,pixI,268.68,625.52,640.42,2.33,2.38,1.02,positive phototaxis adaptor protein PixI,Signal transduction,Taxis,Phototaxis,Cytoplasm,
SYNPCC7002_A2365,,199.63,58.72,59.65,0.29,0.30,1.02,two component signal transduction system histidine kinase with PAS sensory domain,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_A0338,gluRO,2.7,7.66,7.85,2.86,2.94,1.02,glutamate-gated potassium channel GluRO,Transport and binding proteins,Cations and iron carrying compounds,,Inner Membrane (4 transmembrane span),
SYNPCC7002_A1221,,88.48,38.3,39.24,0.43,0.44,1.02,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1731,,15.65,7.66,7.85,0.49,0.50,1.02,hypothetical protein,Unknown function,General,,Inner Membrane (2 transmembrane span),
SYNPCC7002_A2419,,15.65,7.66,7.85,0.49,0.50,1.02,conserved hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A2847,,49.1,22.98,23.54,0.47,0.48,1.02,PLAT repeat-containing protein,Unknown function,General,,Periplasm,
SYNPCC7002_A2848,sph,26.44,7.66,7.85,0.29,0.30,1.02,endonuclease/exonuclease/phosphatase,Unknown function,Enzymes of unknown specificity,,Extracellular,
SYNPCC7002_A2859,,17.26,7.66,7.85,0.44,0.45,1.02,outer membrane protein with vWA domain,Unknown function,General,,Outer Membrane,
SYNPCC7002_F0050,,3.78,7.66,7.85,2.04,2.08,1.02,hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A0832,,30.75,71.49,73.77,2.33,2.38,1.03,acetyltransferase GNAT family,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A2314,,47.48,17.87,18.84,0.38,0.40,1.05,DNA modification methyltransferase,DNA metabolism,Restriction/modification,,Cytoplasm,
SYNPCC7002_G0011,porB,74.99,285.95,301.38,3.85,4.00,1.05,low-CO2 inducible bicarbonate porin PorB,Transport and binding proteins,Porins and secretins,CO2 fixation,Outer Membrane,CcmR
SYNPCC7002_A1140,,837.89,375.31,395.56,0.45,0.47,1.05,radical SAM domain-containing protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A1537,,11.87,28.08,29.82,2.38,2.50,1.06,intramembrane metalloprotease family M50,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Inner Membrane (8 transmembrane span),
SYNPCC7002_A2663,bfr,505.54,114.89,122.43,0.23,0.24,1.07,bacterioferritin Bfr,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Cytoplasm,
SYNPCC7002_A1730,aroE,4.32,10.21,10.99,2.38,2.56,1.08,shikimate 5-dehydrogenase AroE,Amino acid biosynthesis,Aromatic amino acid family,Aromatic amino acid biosynthesis,Cytoplasm,
SYNPCC7002_G0146,atpQ,52.87,10.21,10.99,0.19,0.21,1.08,N-type Na+ translocating ATPase complex locus membrane protein AtpQ,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Inner Membrane (2 transmembrane span),
