Table S5. List of Synechococcus 7002 genes displaying ≥2-fold change in relative mRNA abundance in HCO3-- grown co-cultures  (compared to the axenic control),,,,,,,,,,,,,
,,,,,,,,,,,,,
 Locus tag,Gene abbreviation,"RPKM1 ,             Syn 7002_ax   High light, high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon
SYNPCC7002_A1246,serA,90.64,1554.86,624.73,16.67,6.67,0.40,D-3-phosphoglycerate dehydrogenase SerA,Amino acid biosynthesis,Serine family,Serine biosynthesis,Cytoplasm,
SYNPCC7002_A1842,,35.61,229.78,92.61,6.67,2.63,0.40,cytochrome b561,Energy metabolism,Electron transport,,Inner Membrane (5 transmembrane span),
SYNPCC7002_A0506,,8.09,43.4,17.27,5.26,2.13,0.40,haloacid dehalogenase-like hydrolase,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A0523,,114.92,130.21,51.8,1.14,0.45,0.40,methyltransferase-like protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A0224,,631.79,33017.11,13401.81,50.00,20.00,0.41,Zn-dependent protease with chaperone function,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,
SYNPCC7002_A1656,proS,15.65,91.91,37.67,5.88,2.38,0.41,prolyl-tRNA synthetase ProS,Protein synthesis,tRNA aminoacylation,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A1448,,1.08,7.66,3.14,7.14,2.94,0.41,bifunctional ABC transport system permease and ATPase component,Transport and binding proteins,Unknown substrate,,Inner Membrane (5 transmembrane span),
SYNPCC7002_A2109,,16.73,7.66,3.14,0.46,0.19,0.41,hypothetical protein,Unknown function,General,,Periplasm,
SYNPCC7002_A2652,,0.54,15.32,6.28,25.00,11.11,0.41,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1796,rbcS,3366.11,18645.53,7805.95,5.56,2.33,0.42,ribulose bisphosphate carboxylase small subunit RbcS,Energy metabolism,Photosynthesis,CO2 fixation,Carboxysome Lumen,
SYNPCC7002_A2235,,32.91,232.34,97.32,7.14,2.94,0.42,Zn-dependent protease,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Inner Membrane (1 transmembrane span),
SYNPCC7002_A0288,kaiB,149.45,114.89,48.66,0.77,0.33,0.42,circadian clock oscillator protein KaiB,Signal transduction,General,Circadian clock,Cytoplasm,
SYNPCC7002_A1119,yqeG,16.73,112.34,47.09,6.67,2.78,0.42,HAD superfamily phosphatase YqeG,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_F0021,,13.49,94.47,39.24,7.14,2.94,0.42,protein of unknown function DUF559,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2727,bioD,9.17,51.06,21.98,5.56,2.38,0.43,dethiobiotin synthetase BioD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Biotin,Biotin (B7) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_A0175,cupS,934.46,4460.32,1914.99,4.76,2.04,0.43,NDH-1 complex sensory subunit CupS,Energy metabolism,CO2 fixation,CO2 fixation,Carboxysome,CcmR and Crp
SYNPCC7002_A0216,ycf39,14.03,68.93,29.82,5.00,2.13,0.43,chaperone-like protein for quinone binding in Photosystem II Ycf39,Protein fate,Protein folding and stabilization,Photosystem II,Cytoplasm,
SYNPCC7002_A1187,,6.47,33.19,14.13,5.00,2.17,0.43,hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A2237,,70.68,694.45,296.67,10.00,4.17,0.43,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2659,,116,66.38,28.25,0.57,0.24,0.43,conserved hypothetical lipoprotein,Unknown function,General,,Inner Membrane Lipoprotein,
