 Locus tag,Gene abbreviation,"RPKM1 ,             Syn 7002_ax   High light, high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon,resolved_locus_tag,resolution_method
SYNPCC7002_A2371,bicA,194.77,479.99,400.26,2.44,2.04,0.83,medium affinity high-flux Na+/bicarbonate symporter BicA,Transport and binding proteins,Oxoanions,CO2 fixation,Inner Membrane (11 transmembrane span),CcmR,SYNPCC7002_A2371,locus_tag: Locus tag
SYNPCC7002_A2727,bioD,9.17,51.06,21.98,5.56,2.38,0.43,dethiobiotin synthetase BioD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Biotin,Biotin (B7) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A2727,locus_tag: Locus tag
SYNPCC7002_A1281,bioF,23.2,56.17,37.67,2.44,1.61,0.67,8-amino-7-oxononanoate synthase BioF,"Biosynthesis of cofactors, prosthetic groups, and carriers",Biotin,Biotin (B7) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A1281,locus_tag: Locus tag
SYNPCC7002_A0084,birA,6.47,0.12,4.71,0.02,0.73,38.28,bifunctional biotin operon repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA,Protein fate,Protein modification and repair,Biotin (B7) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A0084,locus_tag: Locus tag
SYNPCC7002_A0634,btuC,8.63,35.74,17.27,4.17,2.0,0.48,ABC-type B12/cobalamin uptake system permease component BtuC,Transport and binding proteins,Cofactors and prosthetic groups,Cobalamin (B12) biosynthesis and salvage,Inner Membrane (8 transmembrane span),cobalamine riboswitch,SYNPCC7002_A0634,locus_tag: Locus tag
SYNPCC7002_A1648,btuD,8.63,40.85,18.84,4.76,2.17,0.46,ABC-type B12/cobalamin uptake system ATPase component BtuD,Transport and binding proteins,Cofactors and prosthetic groups,Cobalamin (B12) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A1648,locus_tag: Locus tag
SYNPCC7002_A0635,btuF,11.33,25.53,25.11,2.27,2.22,0.98,ABC-type B12/cobalamin uptake system substrate-binding component BtuF,Transport and binding proteins,Cofactors and prosthetic groups,Cobalamin (B12) biosynthesis and salvage,Inner Membrane Lipoprotein,cobalamine riboswitch,SYNPCC7002_A0635,locus_tag: Locus tag
SYNPCC7002_A1159,cad,20.5,2.55,4.71,0.12,0.23,1.84,lysine decarboxylase Cad,Central intermediary metabolism,Amino acids and amines,Lysine degradation,Cytoplasm,,SYNPCC7002_A1159,locus_tag: Locus tag
SYNPCC7002_A2496,cagA,11.87,28.08,23.54,2.38,2.0,0.84,zinc-dependent gamma carbonic anhydrase CagA,Energy metabolism,CO2 fixation,CO2 fixation,Cytoplasm,,SYNPCC7002_A2496,locus_tag: Locus tag
SYNPCC7002_A2505,carA,15.65,7.66,12.56,0.49,0.8,1.64,carbamoyl phosphate synthase small subunit CarA,"Purines, pyrimidines, nucleosides, and nucleotides",Pyrimidine ribonucleotide biosynthesis,,Cytoplasm,,SYNPCC7002_A2505,locus_tag: Locus tag
SYNPCC7002_A1777,cas1,7.01,17.87,10.99,2.56,1.56,0.61,CRISPR-associated endonuclease Cas1,Mobile and extrachromosomal element functions,CRISPR immunity,CRISPR immunity,Cytoplasm,,SYNPCC7002_A1777,locus_tag: Locus tag
SYNPCC7002_D0019,cas1,5.4,0.12,14.13,0.02,2.63,114.85,CRISPR-associated endonuclease Cas1,Mobile and extrachromosomal element functions,CRISPR immunity,CRISPR-mediated immunity system,Cytoplasm,,SYNPCC7002_D0019,locus_tag: Locus tag
SYNPCC7002_A1778,cas2,66.9,10.21,29.82,0.15,0.45,2.92,CRISPR-associated protein Cas2,Mobile and extrachromosomal element functions,CRISPR immunity,CRISPR immunity,Cytoplasm,,SYNPCC7002_A1778,locus_tag: Locus tag
SYNPCC7002_D0020,cas4b,6.47,0.12,10.99,0.02,1.69,89.33,CRISPR-associated RecB family exonuclease Cas4b,Mobile and extrachromosomal element functions,CRISPR immunity,CRISPR-mediated immunity system,Cytoplasm,,SYNPCC7002_D0020,locus_tag: Locus tag
SYNPCC7002_A2612,ccmK3,12.95,5.11,25.11,0.39,1.92,4.92,carboxysome major structural protein CcmK3,Cellular structures and extracellular matrix,Microcompartments,CO2 fixation,Carboxysome,,SYNPCC7002_A2612,locus_tag: Locus tag
SYNPCC7002_A1801,ccmL,133.26,457.01,687.51,3.45,5.26,1.5,carboxysome minor structural protein CcmL,Cellular structures and extracellular matrix,Microcompartments,CO2 fixation,Carboxysome,,SYNPCC7002_A1801,locus_tag: Locus tag
SYNPCC7002_A1800,ccmM,238.47,610.2,365.73,2.56,1.54,0.6,carboxysome structural protein CcmM,Cellular structures and extracellular matrix,Microcompartments,CO2 fixation,Carboxysome,,SYNPCC7002_A1800,locus_tag: Locus tag
SYNPCC7002_A1799,ccmN,64.74,25.53,59.65,0.39,0.92,2.34,carboxysome structural protein CcmN,Cellular structures and extracellular matrix,Microcompartments,CO2 fixation,Carboxysome,,SYNPCC7002_A1799,locus_tag: Locus tag
SYNPCC7002_A2332,c-des,8.63,25.53,17.27,2.94,2.0,0.68,PLP-dependent L-cyst(e)ine lyase C-DES,"Biosynthesis of cofactors, prosthetic groups, and carriers",Iron sulfur clusters,FeS cluster biogenesis and repair,Cytoplasm,,SYNPCC7002_A2332,locus_tag: Locus tag
SYNPCC7002_A1918,cdv2,187.76,416.16,339.05,2.22,1.82,0.81,cell division inhibitor SepF,Cellular processes,Cell division,,Cytoplasm,,SYNPCC7002_A1918,locus_tag: Locus tag
SYNPCC7002_A0212,chaA,118.16,43.4,70.63,0.37,0.6,1.63,calcium:proton antiporter ChaA,Transport and binding proteins,Cations and iron carrying compounds,,Inner Membrane (10 transmembrane span),,SYNPCC7002_A0212,locus_tag: Locus tag
SYNPCC7002_A0303,chaB,6.47,38.3,21.98,5.88,3.45,0.57,conserved hypothetical protein ChaB,Unknown function,General,,Inner Membrane (2 transmembrane span),,SYNPCC7002_A0303,locus_tag: Locus tag
SYNPCC7002_A2598,cheA,13.49,5.11,9.42,0.38,0.7,1.84,chemotaxis signal transduction system histidine kinase CheA,Cellular processes,Chemotaxis and motility,,Cytoplasm,,SYNPCC7002_A2598,locus_tag: Locus tag
SYNPCC7002_A2600,cheW,8.63,48.51,18.84,5.56,2.17,0.39,chemotaxis adaptor protein CheW,Cellular processes,Chemotaxis and motility,,Cytoplasm,,SYNPCC7002_A2600,locus_tag: Locus tag
SYNPCC7002_A1652,chlB,404.65,137.87,164.81,0.34,0.41,1.2,light-independent protochlorophyllide reductase subunit B ChlB,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,PedR,SYNPCC7002_A1652,locus_tag: Locus tag
SYNPCC7002_A0596,chlD,44.78,125.1,53.37,2.78,1.19,0.43,Mg-protoporphyrin IX chelatase ATPase subunit ChlD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,,SYNPCC7002_A0596,locus_tag: Locus tag
SYNPCC7002_A1018,chlH,160.24,505.52,202.49,3.13,1.27,0.4,Mg-protoporphyrin IX chelatase subunit H ChlH,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,Fur,SYNPCC7002_A1018,locus_tag: Locus tag
SYNPCC7002_A0360,chll,6.47,2.55,6.28,0.39,0.97,2.46,Mg chelatase ATPase subunit ChlI,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,,SYNPCC7002_A0360,locus_tag: Locus tag
SYNPCC7002_A2347,chlL,235.23,84.25,48.66,0.36,0.21,0.58,light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein ChlL,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,Fur,SYNPCC7002_A2347,locus_tag: Locus tag
SYNPCC7002_A2345,chlN,77.15,28.08,21.98,0.36,0.28,0.78,light-independent protochlorophyllide reductase subunit N ChlN,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,Fur,SYNPCC7002_A2345,locus_tag: Locus tag
SYNPCC7002_A2476,chlP,1064.49,490.2,802.1,0.46,0.75,1.64,geranylgeranyl hydrogenase ChlP,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,,SYNPCC7002_A2476,locus_tag: Locus tag
SYNPCC7002_F0009,chpB,2.16,30.64,9.42,14.29,4.35,0.31,toxin-antitoxin system PemK family single-stranded RNA nuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_F0009,locus_tag: Locus tag
SYNPCC7002_A0900,cikA,23.74,10.21,9.42,0.43,0.4,0.92,class II cyanobacteriochrome controlling circadium rythym CikA,Signal transduction,Two-component systems,Circadian clock,Cytoplasm,,SYNPCC7002_A0900,locus_tag: Locus tag
SYNPCC7002_A0730,cimA,49.64,22.98,15.7,0.46,0.32,0.68,(R)-citramalate synthase CimA,Amino acid biosynthesis,Pyruvate family,Branched chain amino acid biosynthesis,Cytoplasm,,SYNPCC7002_A0730,locus_tag: Locus tag
SYNPCC7002_A2353,clpB,27.52,66.38,39.24,2.44,1.43,0.59,ATP-dependent protease ATPase subunit ClpB,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,,SYNPCC7002_A2353,locus_tag: Locus tag
SYNPCC7002_A0141,clpC,461.3,191.48,282.54,0.41,0.61,1.48,ATP-dependent Clp protease ATPase subunit ClpC,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,,SYNPCC7002_A0141,locus_tag: Locus tag
SYNPCC7002_A1193,clpR,100.89,38.3,86.33,0.38,0.85,2.25,ATP-dependent protease proteolytic subunit ClpR,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,,SYNPCC7002_A1193,locus_tag: Locus tag
SYNPCC7002_A2075,clpS,24.28,10.21,14.13,0.42,0.58,1.38,ATP-dependent Clp protease adaptor protein ClpS,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,,SYNPCC7002_A2075,locus_tag: Locus tag
SYNPCC7002_A2281,clpS,8.09,0.12,20.41,0.02,2.5,165.9,ATP-dependent Clp protease adaptor protein ClpS,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,,SYNPCC7002_A2281,locus_tag: Locus tag
SYNPCC7002_A0316,coaD,19.42,7.66,20.41,0.39,1.05,2.66,phosphopantetheine adenylyltransferase CoaD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pantothenate and coenzyme A,Coenzyme A biosynthesis,Cytoplasm,,SYNPCC7002_A0316,locus_tag: Locus tag
SYNPCC7002_A2714,coaE,18.88,316.59,237.02,16.67,12.5,0.75,dephospho-CoA kinase CoaE,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pantothenate and coenzyme A,Pantothenate (B5) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A2714,locus_tag: Locus tag
SYNPCC7002_A1561,cobP,5.93,17.87,12.56,3.03,2.13,0.7,bifunctional adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase CobP,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A1561,locus_tag: Locus tag
SYNPCC7002_A1742,cobT,3.78,10.21,1.57,2.7,0.41,0.15,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase CobT,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A1742,locus_tag: Locus tag
SYNPCC7002_A2694,comGB,3.78,10.21,10.99,2.7,2.94,1.08,competence pilin export protein ComGB,Transport and binding proteins,"Nucleosides, purines and pyrimidines",DNA transformation,Inner Membrane (3 transmembrane span),,SYNPCC7002_A2694,locus_tag: Locus tag
SYNPCC7002_A2209,cpcB,5324.59,2239.1,3519.19,0.42,0.66,1.57,phycocyanin beta subunit CpcB,Energy metabolism,Photosynthesis,"Photosynthesis - antenna, phycobilisome",Cytoplasm,,SYNPCC7002_A2209,locus_tag: Locus tag
SYNPCC7002_A2214,cpcF,15.65,38.3,23.54,2.44,1.52,0.61,phycocyanin alpha subunit phycocyanobilin lyase CpcF,Energy metabolism,Photosynthesis,"Photosynthesis - antenna, phycobilisome",Cytoplasm,,SYNPCC7002_A2214,locus_tag: Locus tag
SYNPCC7002_A2772,cpcSU,12.95,5.11,12.56,0.39,0.97,2.46,similar to phycobiliprotein lyase CpcS and CpcU,"Biosynthesis of cofactors, prosthetic groups, and carriers",General,Bilin biosynthesis,Cytoplasm,,SYNPCC7002_A2772,locus_tag: Locus tag
SYNPCC7002_A2053,cpcU,96.58,329.35,144.41,3.45,1.49,0.44,bilin synthase subunit CpcU,"Biosynthesis of cofactors, prosthetic groups, and carriers",General,Bilin biosynthesis,Cytoplasm,,SYNPCC7002_A2053,locus_tag: Locus tag
SYNPCC7002_A2405,cphA,17.26,51.06,34.53,2.94,2.0,0.68,cyanophycin synthetase CphA,Cellular processes,Biosynthesis of natural products,Nitrogen assimilation and storage - cyanophycin biosynthesis,Cytoplasm,,SYNPCC7002_A2405,locus_tag: Locus tag
SYNPCC7002_A1085,crtE,26.44,63.83,37.67,2.44,1.43,0.59,geranylgeranyl diphosphate synthase type II CrtE,Metabolism of terpenoids and polyketides,Carotenoid biosynthesis,Carotenoid biosynthesis,Cytoplasm,,SYNPCC7002_A1085,locus_tag: Locus tag
SYNPCC7002_A2809,crtW,2.7,7.66,1.57,2.86,0.58,0.2,beta-carotene ketolase CrtW,Metabolism of terpenoids and polyketides,Carotenoid biosynthesis,Carotenoid biosynthesis; 3'-hydroxyechinenone,Inner Membrane (4 transmembrane span),,SYNPCC7002_A2809,locus_tag: Locus tag
SYNPCC7002_A2031,cruG,2.16,5.11,3.14,2.38,1.45,0.61,2'-O-glycosyltransferase CruG,Metabolism of terpenoids and polyketides,Carotenoid biosynthesis,"Carotenoid biosynthesis, myxoxanthophyll",Inner Membrane (4 transmembrane span),,SYNPCC7002_A2031,locus_tag: Locus tag
SYNPCC7002_A2246,cruH,9.17,2.55,6.28,0.28,0.68,2.46,rieske (2Fe-2S) domain-containing protein CruH,Metabolism of terpenoids and polyketides,Carotenoid biosynthesis,Carotenoid biosynthesis; Synechoxanthin,Cytoplasm,,SYNPCC7002_A2246,locus_tag: Locus tag
SYNPCC7002_A1161,ctaA1,149.45,20.43,56.51,0.14,0.38,2.77,heme A synthase cytochrome oxidase biogenesis protein CtaA1,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Heme biosynthesis,Inner Membrane (8 transmembrane span),,SYNPCC7002_A1161,locus_tag: Locus tag
SYNPCC7002_A1160,ctaB,83.63,40.85,31.39,0.49,0.38,0.77,heme O synthase protoheme IX farnesyltransferase CtaB,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Heme biosynthesis,Inner Membrane (6 transmembrane span),,SYNPCC7002_A1160,locus_tag: Locus tag
SYNPCC7002_A1162,ctaC,163.48,58.72,54.94,0.36,0.34,0.94,heme-copper quinol oxidase subunit II CtaC,Energy metabolism,Electron transport,Oxidative phosphorylation,Inner Membrane (3 transmembrane span),,SYNPCC7002_A1162,locus_tag: Locus tag
SYNPCC7002_A0175,cupS,934.46,4460.32,1914.99,4.76,2.04,0.43,NDH-1 complex sensory subunit CupS,Energy metabolism,CO2 fixation,CO2 fixation,Carboxysome,CcmR and Crp,SYNPCC7002_A0175,locus_tag: Locus tag
SYNPCC7002_A0862,cynD,5.4,22.98,7.85,4.35,1.45,0.34,ABC-type bispecific high affinity cyanate/nitrite uptake system ATPase component CynD,Transport and binding proteins,Anions,Nitrogen assimilation - Cyanate,Cytoplasm,NtcA,SYNPCC7002_A0862,locus_tag: Locus tag
SYNPCC7002_A0863,cynS,14.03,35.74,18.84,2.56,1.35,0.53,cyanate hydratase CynS,Cellular processes,Detoxification,Nitrogen assimilation - Cyanate,Cytoplasm,NtcA,SYNPCC7002_A0863,locus_tag: Locus tag
SYNPCC7002_A0799,cysA,7.01,20.43,9.42,2.94,1.35,0.46,sulfate/thiosulfate ABC uptake system ATPase component CysA,Transport and binding proteins,Anions,Sulfur metabolism,Cytoplasm,,SYNPCC7002_A0799,locus_tag: Locus tag
SYNPCC7002_A2769,cysG,4.86,0.12,12.56,0.03,2.56,102.09,uroporphyrin-III C-methyltransferase CysG,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A2769,locus_tag: Locus tag
SYNPCC7002_A1497,cysH,54.49,20.43,36.1,0.37,0.66,1.77,thioredoxin-dependent phosphoadenosine phosphosulfate reductase CysH,Energy metabolism,Sulfur metabolism,,Cytoplasm,,SYNPCC7002_A1497,locus_tag: Locus tag
SYNPCC7002_A0816,dacB,14.57,5.11,10.99,0.35,0.75,2.15,D-alanyl-D-alanine carboxypeptidase DacB,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan turnover,Periplasm,,SYNPCC7002_A0816,locus_tag: Locus tag
SYNPCC7002_A2145,dacC,28.59,7.66,25.11,0.27,0.88,3.28,D-alanyl-D-alanine carboxypeptidase DacC,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan turnover,Inner Membrane (1 transmembrane span),,SYNPCC7002_A2145,locus_tag: Locus tag
