 Locus tag,Gene abbreviation,"RPKM1 ,             Syn 7002_ax   High light, high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon,resolved_locus_tag,resolution_method
SYNPCC7002_G0128,folE2,3.24,12.77,1.57,4.0,0.485,0.12,Zn-independent GTP cyclohydrolase I FolE2,"Biosynthesis of cofactors, prosthetic groups, and carriers",Folic acid,Folic acid (B9) biosynthesis and salvage,Cytoplasm,Zur,SYNPCC7002_G0128,locus_tag: Locus tag
SYNPCC7002_A1742,cobT,3.78,10.21,1.57,2.703,0.415,0.15,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase CobT,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A1742,locus_tag: Locus tag
SYNPCC7002_A1166,ispF,5.4,35.74,7.85,6.667,1.449,0.22,2-C-methyl-D-erythritol 24-cyclodiphosphate synthase IspF,"Biosynthesis of cofactors, prosthetic groups, and carriers",General,Terpenoid backbone biosynthesis,Cytoplasm,,SYNPCC7002_A1166,locus_tag: Locus tag
SYNPCC7002_A1991,hox2,3.78,12.77,3.14,3.333,0.833,0.25,heme oxygenase 2 Hox2,"Biosynthesis of cofactors, prosthetic groups, and carriers",General,Bilin biosynthesis,Cytoplasm,,SYNPCC7002_A1991,locus_tag: Locus tag
SYNPCC7002_A2491,,5.93,5.11,1.57,0.862,0.265,0.31,putative HD superfamily hydrolase of NAD metabolism,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridine nucleotides,NAD and NADP (B3) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A2491,locus_tag: Locus tag
SYNPCC7002_A0278,thiS,24.28,51.06,17.27,2.083,0.709,0.34,sulfur carrier protein ThiS,"Biosynthesis of cofactors, prosthetic groups, and carriers",Thiamine,Thiamine (B1) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A0278,locus_tag: Locus tag
SYNPCC7002_G0025,sybA,40.46,17.87,6.28,0.442,0.155,0.35,diaminobutyrate-2-oxoglutarate aminotransferase SybA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Siderophores,Iron homeostasis,Cytoplasm,,SYNPCC7002_G0025,locus_tag: Locus tag
SYNPCC7002_A0616,FolQ,15.11,48.51,17.27,3.226,1.149,0.36,ADP-ribose pyrophosphatase FolQ,"Biosynthesis of cofactors, prosthetic groups, and carriers",Folic acid,Folic acid (B9) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A0616,locus_tag: Locus tag
SYNPCC7002_A0898,cobL,28.06,40.85,15.7,1.449,0.559,0.38,cobalt precorrin-6Y C15-methyltransferase (decarboxylating) CbiT,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",cobalamin (B12) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A0898,locus_tag: Locus tag
SYNPCC7002_F0006,nadR,24.82,53.62,20.41,2.174,0.82,0.38,bifunctional nicotinamide-nucleotide adenylyltransferase / ribosylnicotinamide kinase NadR,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridine nucleotides,NAD and NADP (B3) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_F0006,locus_tag: Locus tag
SYNPCC7002_A1018,chlH,160.24,505.52,202.49,3.125,1.266,0.4,Mg-protoporphyrin IX chelatase subunit H ChlH,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,Fur,SYNPCC7002_A1018,locus_tag: Locus tag
SYNPCC7002_A0067,bchB,31.29,58.72,25.11,1.887,0.8,0.43,light-independent protochlorophyllide reductase subunit BchB,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,,SYNPCC7002_A0067,locus_tag: Locus tag
SYNPCC7002_A0596,chlD,44.78,125.1,53.37,2.778,1.19,0.43,Mg-protoporphyrin IX chelatase ATPase subunit ChlD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,,SYNPCC7002_A0596,locus_tag: Locus tag
SYNPCC7002_A2727,bioD,9.17,51.06,21.98,5.556,2.381,0.43,dethiobiotin synthetase BioD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Biotin,Biotin (B7) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A2727,locus_tag: Locus tag
SYNPCC7002_A0670,vte1,3.24,17.87,7.85,5.556,2.439,0.44,"2-methyl-6-phytyl-1,4-benzoquinone cyclase Vte1","Biosynthesis of cofactors, prosthetic groups, and carriers",Quinones,Vitamin E (tocopherol) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A0670,locus_tag: Locus tag
SYNPCC7002_A1000,,7.55,17.87,7.85,2.381,1.042,0.44,Mg-protoporphyrin IX chelatase subunit H ChlH-like,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,,SYNPCC7002_A1000,locus_tag: Locus tag
SYNPCC7002_A2053,cpcU,96.58,329.35,144.41,3.448,1.493,0.44,bilin synthase subunit CpcU,"Biosynthesis of cofactors, prosthetic groups, and carriers",General,Bilin biosynthesis,Cytoplasm,,SYNPCC7002_A2053,locus_tag: Locus tag
SYNPCC7002_A0703,hggT,16.73,56.17,25.11,3.333,1.493,0.45,homogentisate phytyltransferase HggT,"Biosynthesis of cofactors, prosthetic groups, and carriers",Quinones,Vitamin E (tocopherol) biosynthesis and salvage,Inner Membrane (8 transmembrane span),,SYNPCC7002_A0703,locus_tag: Locus tag
SYNPCC7002_A0268,menB,14.57,22.98,10.99,1.587,0.752,0.48,"1,4-dihydroxy-2-naphthoate synthase MenB","Biosynthesis of cofactors, prosthetic groups, and carriers",Quinones,Menaquinone biosynthesis,Inner Membrane (1 transmembrane span),,SYNPCC7002_A0268,locus_tag: Locus tag
SYNPCC7002_A0623,suhB,15.65,7.66,17.27,0.49,1.099,2.25,myo-inositol-1-phosphate phosphatase SuhB,"Biosynthesis of cofactors, prosthetic groups, and carriers",Glutathione and analogs,Inositol phosphate metabolism,Cytoplasm,,SYNPCC7002_A0623,locus_tag: Locus tag
SYNPCC7002_A2398,ribF,16.19,10.21,23.54,0.633,1.449,2.31,bifunctional riboflavin kinase / FMN adenylyltransferase RibF,"Biosynthesis of cofactors, prosthetic groups, and carriers","Riboflavin, FMN, and FAD","Riboflavin (B2), FMN, and FAD biosynthesis and salvage",Cytoplasm,,SYNPCC7002_A2398,locus_tag: Locus tag
SYNPCC7002_A0360,chll,6.47,2.55,6.28,0.394,0.971,2.46,Mg chelatase ATPase subunit ChlI,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,,SYNPCC7002_A0360,locus_tag: Locus tag
SYNPCC7002_A2264,ribE,10.25,7.66,18.84,0.746,1.852,2.46,riboflavin synthase alpha subunit RibE,"Biosynthesis of cofactors, prosthetic groups, and carriers","Riboflavin, FMN, and FAD","Riboflavin (B2), FMN, and FAD biosynthesis and salvage",Cytoplasm,,SYNPCC7002_A2264,locus_tag: Locus tag
SYNPCC7002_A2772,cpcSU,12.95,5.11,12.56,0.394,0.971,2.46,similar to phycobiliprotein lyase CpcS and CpcU,"Biosynthesis of cofactors, prosthetic groups, and carriers",General,Bilin biosynthesis,Cytoplasm,,SYNPCC7002_A2772,locus_tag: Locus tag
SYNPCC7002_G0023,sybC,75.53,2.55,6.28,0.034,0.083,2.46,synechobactin core synthase type A group SybC,"Biosynthesis of cofactors, prosthetic groups, and carriers",Siderophores,Iron homeostasis,Cytoplasm,,SYNPCC7002_G0023,locus_tag: Locus tag
SYNPCC7002_A0308,folM,15.65,12.77,32.96,0.813,2.128,2.58,alternative dihydrofolate reductase FolM,"Biosynthesis of cofactors, prosthetic groups, and carriers",Folic acid,Folic acid (B9) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A0308,locus_tag: Locus tag
SYNPCC7002_A0316,coaD,19.42,7.66,20.41,0.394,1.053,2.66,phosphopantetheine adenylyltransferase CoaD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pantothenate and coenzyme A,Coenzyme A biosynthesis,Cytoplasm,,SYNPCC7002_A0316,locus_tag: Locus tag
SYNPCC7002_A1161,ctaA1,149.45,20.43,56.51,0.137,0.379,2.77,heme A synthase cytochrome oxidase biogenesis protein CtaA1,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Heme biosynthesis,Inner Membrane (8 transmembrane span),,SYNPCC7002_A1161,locus_tag: Locus tag
SYNPCC7002_A1100,menG,16.19,5.11,18.84,0.315,1.163,3.69,"2-heptaprenyl-1,4-naphthoquinone methyltransferase MenG","Biosynthesis of cofactors, prosthetic groups, and carriers",Quinones,Vitamin K (menaquinone) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A1100,locus_tag: Locus tag
SYNPCC7002_A2469,,25.36,7.66,29.82,0.302,1.176,3.89,NADPH-dependent FMN reductase SsuE,"Biosynthesis of cofactors, prosthetic groups, and carriers","Riboflavin, FMN, and FAD",Riboflavin (B2) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A2469,locus_tag: Locus tag
SYNPCC7002_A1113,ubiD,9.71,2.55,10.99,0.263,1.136,4.3,3-octaprenyl-4-hydroxybenzoate carboxy-lyase UbiD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Quinones,Plastoquinone biosynthesis,Cytoplasm,,SYNPCC7002_A1113,locus_tag: Locus tag
SYNPCC7002_A0306,folK,18.88,7.66,37.67,0.405,2.0,4.92,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase FolK,"Biosynthesis of cofactors, prosthetic groups, and carriers",Folic acid,Folic acid (B9) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A0306,locus_tag: Locus tag
SYNPCC7002_A2592,moaD,4.32,0.12,4.71,0.028,1.087,38.28,molybdenum cofactor biosynthesis protein MoaD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Molybdopterin and tungstate,Molybdopterin biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A2592,locus_tag: Locus tag
SYNPCC7002_A2497,ybjQ,7.01,0.12,6.28,0.018,0.893,51.05,secondary thiamine-phosphate synthase YbjQ,"Biosynthesis of cofactors, prosthetic groups, and carriers",Thiamine,Thiamine (B1) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A2497,locus_tag: Locus tag
SYNPCC7002_A2642,menC,8.09,0.12,6.28,0.015,0.775,51.05,O-succinylbenzoate synthase MenC,"Biosynthesis of cofactors, prosthetic groups, and carriers",Quinones,Vitamin K (menaquinone) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A2642,locus_tag: Locus tag
SYNPCC7002_A1690,moaE,5.4,0.12,7.85,0.023,1.449,63.81,molybdenum converting factor subunit 2 MoaE,"Biosynthesis of cofactors, prosthetic groups, and carriers",Molybdopterin and tungstate,Molybdopterin biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A1690,locus_tag: Locus tag
SYNPCC7002_A2330,,4.32,0.12,9.42,0.028,2.174,76.57,glutamine amidotransferase CobB/CobQ-like,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A2330,locus_tag: Locus tag
SYNPCC7002_G0022,sybD,110.06,0.12,10.99,0.001,0.1,89.33,N4-hydroxy-1-aminopropane O-acetyltransferase SybD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Siderophores,Iron homeostasis,Cytoplasm,,SYNPCC7002_G0022,locus_tag: Locus tag
SYNPCC7002_A2766,gshA,14.57,0.12,12.56,0.008,0.862,102.09,glutamate-cysteine ligase GshA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Glutathione and analogs,Oxidative stress,Cytoplasm,,SYNPCC7002_A2766,locus_tag: Locus tag
SYNPCC7002_A2769,cysG,4.86,0.12,12.56,0.025,2.564,102.09,uroporphyrin-III C-methyltransferase CysG,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Cytoplasm,,SYNPCC7002_A2769,locus_tag: Locus tag
SYNPCC7002_A1510,,273.54,709.77,167.95,2.564,0.613,0.24,family 4 glycosyl transferase,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Polysaccharide biosynthesis,Cytoplasm,,SYNPCC7002_A1510,locus_tag: Locus tag
SYNPCC7002_A1584,dldA,5.93,28.08,9.42,4.762,1.587,0.34,D-alanine--D-alanine ligase DdlA,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan biosynthesis,Cytoplasm,,SYNPCC7002_A1584,locus_tag: Locus tag
SYNPCC7002_A1527,mreD,21.04,89.36,34.53,4.167,1.639,0.39,rod shape-determining protein MreD,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Chromosome partitioning proteins,Inner Membrane (5 transmembrane span),,SYNPCC7002_A1527,locus_tag: Locus tag
SYNPCC7002_A1554,,9.71,30.64,12.56,3.125,1.299,0.41,mannose-1-phosphate guanyltransferase (GDP),Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Amino sugar and nucleotide sugar metabolism,Cytoplasm,,SYNPCC7002_A1554,locus_tag: Locus tag
SYNPCC7002_A0069,lpxA,7.55,35.74,15.7,4.762,2.083,0.44,acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase LpxA,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,,SYNPCC7002_A0069,locus_tag: Locus tag
SYNPCC7002_A1214,,11.87,33.19,15.7,2.778,1.316,0.47,UDP-N-acetylglucosamine 2-epimerase,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,,SYNPCC7002_A1214,locus_tag: Locus tag
SYNPCC7002_A1509,,939.86,398.29,200.92,0.424,0.214,0.5,polysaccharide biosynthesis locus family 3 acyltransferase,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Inner Membrane (10 transmembrane span),,SYNPCC7002_A1509,locus_tag: Locus tag
SYNPCC7002_A0344,,5.93,10.21,20.41,1.724,3.448,2.0,rare lipoprotein A (RlpA)-like double-psi beta-barrel domain protein,Cell envelope,General,,Periplasm,,SYNPCC7002_A0344,locus_tag: Locus tag
SYNPCC7002_A1525,mreB,40.46,17.87,36.1,0.442,0.893,2.02,rod shape-determining protein MreB,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Chromosome partitioning proteins,Cytoplasm,,SYNPCC7002_A1525,locus_tag: Locus tag
SYNPCC7002_A0260,,9.71,5.11,10.99,0.526,1.136,2.15,undecaprenyl pyrophosphate phosphatase UppP,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan biosynthesis,Inner Membrane (8 transmembrane span),,SYNPCC7002_A0260,locus_tag: Locus tag
SYNPCC7002_A0816,dacB,14.57,5.11,10.99,0.351,0.752,2.15,D-alanyl-D-alanine carboxypeptidase DacB,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan turnover,Periplasm,,SYNPCC7002_A0816,locus_tag: Locus tag
SYNPCC7002_A2390,algI,6.47,5.11,10.99,0.787,1.695,2.15,alginate o-acetyltransferase AlgI,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Inner Membrane (10 transmembrane span),,SYNPCC7002_A2390,locus_tag: Locus tag
SYNPCC7002_A2595,,494.21,148.08,321.78,0.299,0.649,2.17,P-like pilus pilin protein,Cell envelope,Surface structures,P-type pilus,Surface structure,,SYNPCC7002_A2595,locus_tag: Locus tag
SYNPCC7002_A2370,mltA,17.8,12.77,29.82,0.719,1.667,2.34,membrane-bound lytic transglycosylase A MltA,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan biosynthesis and recycling,Periplasm,,SYNPCC7002_A2370,locus_tag: Locus tag
SYNPCC7002_A0718,dgdA,34.53,15.32,36.1,0.444,1.042,2.36,digalactosyldiacylglycerol (DGDG) synthase DgdA,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,,SYNPCC7002_A0718,locus_tag: Locus tag
SYNPCC7002_A0876,,5.93,5.11,12.56,0.862,2.128,2.46,O-antigen polymerase family protein,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Inner Membrane (10 transmembrane span),,SYNPCC7002_A0876,locus_tag: Locus tag
SYNPCC7002_A1901,exoD,3.24,2.55,6.28,0.787,1.923,2.46,exopolysaccharide synthesis protein ExoD,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Polysacharide biosynthesis,Inner Membrane (4 transmembrane span),,SYNPCC7002_A1901,locus_tag: Locus tag
SYNPCC7002_A2474,sqdX,15.11,5.11,12.56,0.338,0.833,2.46,sulfoquinovosyldiacylglycerol biosynthesis protein SqdX,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Sulfoquinovosyldiacylglycerol biosynthesis,Cytoplasm,,SYNPCC7002_A2474,locus_tag: Locus tag
SYNPCC7002_A0527,dacB,4.32,2.55,7.85,0.592,1.818,3.07,D-alanyl-D-alanine carboxypeptidase DacB,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan biosynthesis and recycling,Periplasm,,SYNPCC7002_A0527,locus_tag: Locus tag
SYNPCC7002_A2804,pilA,13224.89,5062.86,16018.44,0.383,1.205,3.16,type IV pilin PilA,Cell envelope,Surface structures,Type IV pilus,Surface structure,,SYNPCC7002_A2804,locus_tag: Locus tag
SYNPCC7002_A2145,dacC,28.59,7.66,25.11,0.268,0.877,3.28,D-alanyl-D-alanine carboxypeptidase DacC,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan turnover,Inner Membrane (1 transmembrane span),,SYNPCC7002_A2145,locus_tag: Locus tag
SYNPCC7002_A0068,lpxB,6.47,2.55,10.99,0.394,1.695,4.3,lipid A disaccharide synthase LpxB,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,,SYNPCC7002_A0068,locus_tag: Locus tag
SYNPCC7002_A2633,glmU,18.88,2.55,15.7,0.135,0.833,6.15,bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase GlmU,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,UDP-N-acetylglucosamine biosynthesis,Cytoplasm,,SYNPCC7002_A2633,locus_tag: Locus tag
SYNPCC7002_A0408,,7.55,0.12,3.14,0.016,0.415,25.52,glycosyl transferase group 1,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Polysaccharide biosynthesis,Cytoplasm,,SYNPCC7002_A0408,locus_tag: Locus tag
SYNPCC7002_A1994,,7.01,0.12,9.42,0.018,1.351,76.57,polysaccharide deacetylase,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,,SYNPCC7002_A1994,locus_tag: Locus tag
SYNPCC7002_F0029,,15.65,66.38,15.7,4.167,1.0,0.24,toxin-antitoxin system PIN family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_F0029,locus_tag: Locus tag
SYNPCC7002_A0449,,36.69,63.83,17.27,1.754,0.472,0.27,Uma2 family endonuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems - one component,Cytoplasm,,SYNPCC7002_A0449,locus_tag: Locus tag
SYNPCC7002_F0009,chpB,2.16,30.64,9.42,14.286,4.348,0.31,toxin-antitoxin system PemK family single-stranded RNA nuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_F0009,locus_tag: Locus tag
SYNPCC7002_G0033,,86.86,194.04,62.79,2.222,0.725,0.32,toxin-antitoxin system HepN family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_G0033,locus_tag: Locus tag
SYNPCC7002_A1666,,259.51,14815.83,4833.0,50.0,20.0,0.33,Uma2 family endonuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems - one component,Cytoplasm,,SYNPCC7002_A1666,locus_tag: Locus tag
SYNPCC7002_F0098,,390.62,878.28,317.07,2.273,0.813,0.36,toxin-antitoxin system PIN family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_F0098,locus_tag: Locus tag
SYNPCC7002_A2600,cheW,8.63,48.51,18.84,5.556,2.174,0.39,chemotaxis adaptor protein CheW,Cellular processes,Chemotaxis and motility,,Cytoplasm,,SYNPCC7002_A2600,locus_tag: Locus tag
SYNPCC7002_F0100,,14.03,30.64,12.56,2.174,0.893,0.41,toxin-antitoxin system Fic family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_F0100,locus_tag: Locus tag
SYNPCC7002_G0053,,3.24,7.66,3.14,2.381,0.971,0.41,toxin-antitoxin system PIN family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_G0053,locus_tag: Locus tag
SYNPCC7002_A0081,atx1,28.06,71.49,29.82,2.564,1.064,0.42,copper-binding metallochaperone Atx1,Cellular processes,Non-protein molecular trafficking,,Cytoplasm,,SYNPCC7002_A0081,locus_tag: Locus tag
SYNPCC7002_A2317,,78.23,120.0,50.23,1.538,0.641,0.42,toxin-antitoxin system PIN family toxin,Cellular processes,Toxin production and resistance,toxin-antitoxin,Cytoplasm,,SYNPCC7002_A2317,locus_tag: Locus tag
SYNPCC7002_A0011,,69.06,163.4,73.77,2.381,1.064,0.45,Uma2 family endonuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems - one component,Cytoplasm,,SYNPCC7002_A0011,locus_tag: Locus tag
SYNPCC7002_G0034,,25.9,53.62,25.11,2.083,0.971,0.47,toxin-antitoxin system Mnt family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_G0034,locus_tag: Locus tag
SYNPCC7002_F0083,,39.93,58.72,28.25,1.471,0.709,0.48,toxin-antitoxin system HepN family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_F0083,locus_tag: Locus tag
SYNPCC7002_A0056,,12.95,12.77,6.28,0.99,0.485,0.49,toxin-antitoxin system Arc family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_A0056,locus_tag: Locus tag
SYNPCC7002_A1685,,486.11,165.95,337.48,0.341,0.694,2.03,toxin-antitoxin system PIN family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_A1685,locus_tag: Locus tag
SYNPCC7002_E0020,,107.37,76.59,155.4,0.714,1.449,2.03,toxin-antitoxin system Xre family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin,Cytoplasm,,SYNPCC7002_E0020,locus_tag: Locus tag
SYNPCC7002_C0013,,101.97,28.08,59.65,0.275,0.585,2.12,toxin-antitoxin system Phd family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_C0013,locus_tag: Locus tag
SYNPCC7002_A0118,gst,31.29,17.87,39.24,0.571,1.25,2.2,glutathione S-transferase Gst,Cellular processes,Detoxification,,Cytoplasm,,SYNPCC7002_A0118,locus_tag: Locus tag
SYNPCC7002_A2563,smtA,496.9,91.91,221.32,0.185,0.444,2.41,metallothionein SmtA,Cellular processes,Adaptations to atypical conditions,Zinc resistance,Cytoplasm,SmtB,SYNPCC7002_A2563,locus_tag: Locus tag
