 Locus tag,Gene abbreviation,"RPKM1 ,           Shew 3-18-1_ax   High light,      high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon,Unnamed: 14,resolved_locus_tag,resolution_method
SputW3181_0126,ctaB,16.7,28.4,11.2,1.69,0.67,0.4,protoheme IX farnesyltransferase (heme O synthase) CtaB,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",aa3-type cytochrome c oxidase (low affinity),Inner Membrane (8 transmembrane spans),,,,unresolved
SputW3181_0128,,22.3,39.2,5.6,1.75,0.25,0.14,conserved hypothetical protein in aa3 type cytochrome c oxidase locus,Energy metabolism,Electron transport,Low affinity O2 respiratory system,Inner Membrane (1 transmembrane span),,,,unresolved
SputW3181_0129,,14.0,17.6,0.0,1.26,0.01,0.01,aa3 type cytochrome c oxidase biogenesis protein Surf1-like,Energy metabolism,Electron transport,Low affinity O2 respiratory system,Inner Membrane (2 transmembrane spans),,,,unresolved
SputW3181_0131,ctaG,85.6,202.6,24.0,2.37,0.28,0.12,aa3 type cytochrome c oxidase assembly protein CtaG,Energy metabolism,Electron transport,Low affinity O2 respiratory system,Inner Membrane (1 transmembrane span),Crp,,,unresolved
SputW3181_0132,coxA,36.3,74.3,28.0,2.05,0.77,0.38,aa3 type cytochrome c oxidase subunit I CoxA,Energy metabolism,Electron transport,Low affinity O2 respiratory system,Inner Membrane (12 transmembrane spans),Crp,,,unresolved
SputW3181_0133,coxB,74.4,127.0,55.2,1.71,0.74,0.44,aa3-type cytochrome c oxidase subunit II CoxB,Energy metabolism,Electron transport,aa3-type cytochrome c oxidase (low affinity),Inner Membrane (3 transmembrane spans),Fnr,,,unresolved
SputW3181_0135,lexA,143.3,94.6,199.4,0.66,1.39,2.11,bifunctional transcriptional repressor of SOS-response/self-cleaving protease LexA,Regulatory functions,DNA interactions,UV stress,Cytoplasm,,,,unresolved
SputW3181_0142,tufB,23.3,29.7,69.7,1.28,2.99,2.34,translation elongation factor Tu TufB,Protein synthesis,Translation factors,,Cytoplasm,,,,unresolved
SputW3181_0143,secE,398.2,565.9,1205.1,1.42,3.03,2.13,preprotein translocase subunit SecE,Transport and binding proteins,Protein export,,Inner Membrane (3 transmembrane spans),,,,unresolved
SputW3181_0144,nusG,237.3,297.2,829.5,1.25,3.5,2.79,transcription antitermination protein NusG,Transcription,Transcription factors,,Cytoplasm,,,,unresolved
SputW3181_0145,rplK,664.3,965.8,2515.0,1.45,3.79,2.6,50S ribosomal protein L11 RplK,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,,,,unresolved
SputW3181_0151,rpsL,845.8,1190.0,2758.4,1.41,3.26,2.32,30S ribosomal protein S12p RpsL,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,,,,unresolved
SputW3181_0155,rpsJ,1367.8,2724.4,7276.8,1.99,5.32,2.67,30S ribosomal protein S10 RpsJ,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,,,,unresolved
SputW3181_0156,rplC,941.6,1545.2,4253.3,1.64,4.52,2.75,50S ribosomal protein L3 RplC,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,,,,unresolved
SputW3181_0157,rplD,1074.7,1507.4,3063.5,1.4,2.85,2.03,50S ribosomal protein L4 RplD,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,,,,unresolved
SputW3181_0165,rpsQ,5580.9,10705.8,2856.9,1.92,0.51,0.27,30S ribosomal protein S17 RpsQ,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,,,,unresolved
SputW3181_0167,rplX,972.3,1592.5,3877.0,1.64,3.99,2.43,50S ribosomal protein L24 RplX,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,,,,unresolved
SputW3181_0178,rpsM,2168.9,2482.6,5323.1,1.14,2.45,2.14,30S ribosomal protein S13 RpsM,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,,,,unresolved
SputW3181_0179,rpsK,1177.0,1129.2,3237.2,0.96,2.75,2.87,30S ribosomal protein S11 RpsK,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,,,,unresolved
SputW3181_0195,,204.7,208.0,60.1,1.02,0.29,0.29,protein of unknown function DUF1993,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0202,frdC,8.4,5.4,0.0,0.65,0.01,0.02,fumarate reductase membrane anchoring subunit FrdC,Energy metabolism,Electron transport,Fumarate respiration,Inner Membrane (3 transmembrane spans),,,,unresolved
SputW3181_0206,,4.7,5.4,2.4,1.16,0.52,0.44,two component signal transduction system histidine kinase,Signal transduction,Two component systems,,Inner Membrane (2 transmembrane spans),,,,unresolved
SputW3181_0207,,21.4,23.0,10.4,1.07,0.49,0.45,two component signal transduction system response regulator with winged helix family DNA binding domain,Signal transduction,Two-component systems,,Cytoplasm,,,,unresolved
SputW3181_0209,dhc,12.1,5.4,36.0,0.45,2.98,6.67,diheme cytochrome c Dhc,Energy metabolism,Electron transport,,Periplasm,,,,unresolved
SputW3181_0212,,28.8,28.4,0.0,0.98,0.0,0.0,inner membrane protein of unknown function DUF2809,Unknown function,General,,Inner Membrane (4 transmembrane spans),,,,unresolved
SputW3181_0213,,32.6,32.4,68.1,1.0,2.09,2.1,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0217,cpxR,14.0,14.9,4.8,1.06,0.34,0.32,periplasmic stress-responsive two component signal transduction system response regulator CpxR,Signal transduction,Two-component systems,Cpx pathway envelope stress response,Cytoplasm,,,,unresolved
SputW3181_0218,cpxP,19.5,12.2,41.6,0.62,2.13,3.43,periplasmic stress adaptor protein CpxP,Regulatory functions,General,Cpx pathway envelope stress response,Periplasm,,,,unresolved
SputW3181_0223,,12.1,48.6,5.6,4.02,0.46,0.12,periplasmic protein of unknown function DUF4124,Unknown function,General,,Periplasm,,,,unresolved
SputW3181_0226,,7.4,5.4,0.0,0.73,0.02,0.02,DJ-1/PpfI family protease,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,,,,unresolved
SputW3181_0227,yqhD,5.6,5.4,2.4,0.97,0.43,0.44,NADP-dependent alcohol dehydrogenase iron-containing YqhD,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,,,unresolved
SputW3181_0230,,12.1,45.9,22.4,3.8,1.85,0.49,chemotaxis signal transduction system methyl accepting sensory transducer,Signal transduction,Taxis,Arginine metabolism,Inner Membrane (2 transmembrane spans),ArgR,,,unresolved
SputW3181_0242,etfQ,44.7,21.6,60.1,0.48,1.34,2.78,electron transfer flavoprotein-ubiquinone oxidoreductase EtfQ,Energy metabolism,Electron transport,,Cytoplasm,PsrA and Crp,,,unresolved
SputW3181_0245,moaD,114.4,89.1,40.8,0.78,0.36,0.46,molybdenum cofactor biosynthesis protein D MoaD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Molybdopterin and tungsten,Molybdopterin biosynthesis,Cytoplasm,"MOCO riboswitch, NarP and Crp",,,unresolved
SputW3181_0253,,12.1,12.2,4.8,1.0,0.4,0.4,tRNA pseudouridylate synthase,Protein synthesis,tRNA and rRNA base modification,tRNA biogenesis,Cytoplasm,,,,unresolved
SputW3181_0254,yqaE,79.1,87.8,20.0,1.11,0.25,0.23,stress-induced hydrophobic peptide YqaE,Unknown function,General,Stress response,Inner Membrane (2 transmembrane spans),,,,unresolved
SputW3181_0255,,16.7,12.2,4.0,0.73,0.24,0.33,TonB-dependent ferric achromobactin receptor,Transport and binding proteins,Porins and secretins,Iron homeostasis,Outer Membrane,Fur,,,unresolved
SputW3181_0256,,23.3,29.7,62.5,1.28,2.68,2.1,RK-rich protein of unknown function DUF2986,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0258,,4.7,8.1,0.0,1.74,0.03,0.02,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0265,,5.6,4.1,0.0,0.73,0.02,0.03,hypothetical membrane protein,Unknown function,General,,Inner Membrane (3 transmembrane spans),,,,unresolved
SputW3181_0267,bipA,54.0,78.3,256.2,1.45,4.75,3.27,GTP-binding protein BipA,Regulatory functions,General,,Cytoplasm,,,,unresolved
SputW3181_0270,,2.8,1.4,5.6,0.48,2.01,4.15,iron-sulfur cluster-binding protein,Energy metabolism,Electron transport,,Inner Membrane (7 transmembrane spans),,,,unresolved
SputW3181_0271,,54.0,55.4,0.0,1.03,0.0,0.0,conserved hypothetical protein,Unknown function,General,,Inner Membrane (2 transmembrane spans),,,,unresolved
SputW3181_0278,,5.6,6.8,36.0,1.21,6.45,5.34,XRE family transcriptional repressor,Regulatory functions,DNA interactions,,Cytoplasm,,,,unresolved
SputW3181_0281,,26.1,41.9,11.2,1.61,0.43,0.27,HNH endonuclease,DNA metabolism,Degradation of DNA,DNA degradation,Cytoplasm,,,,unresolved
SputW3181_0285,fabF,9.3,10.8,4.8,1.16,0.52,0.44,3-oxoacyl-(acyl-carrier-protein) synthase II FabF,Fatty acid and phospholipid metabolism,Biosynthesis,Glycerophospholipid biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0286,fabG,9.3,8.1,32.8,0.87,3.53,4.05,3-oxoacyl-(acyl-carrier-protein) reductase FabG,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0287,,7.4,6.8,32.0,0.91,4.3,4.74,thioester dehydrase family protein,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0288,,6.5,5.4,2.4,0.83,0.37,0.44,beta-ketoacyl synthase,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0289,,7.4,10.8,0.0,1.45,0.02,0.01,fatty acid biosynthesis locus lipoprotein of unknown function DUF3261,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Outer Membrane Lipoprotein,,,,unresolved
SputW3181_0291,,3.7,5.4,0.8,1.45,0.22,0.15,MMPL family efflux pump permease component,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",Fatty acid biosynthesis,Inner Membrane (12 transmembrane spans),,,,unresolved
SputW3181_0298,,40.9,41.9,12.0,1.02,0.29,0.29,membrane protein,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Inner Membrane (5 transmembrane spans),,,,unresolved
SputW3181_0299,,27.0,35.1,13.6,1.3,0.5,0.39,acyl carrier protein,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0301,,13.0,27.0,3.2,2.07,0.25,0.12,acyltransferase family protein,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Inner Membrane (1 transmembrane span),,,,unresolved
SputW3181_0302,,8.4,9.5,4.0,1.13,0.48,0.42,conserved protein in fatty acid biosynthesis locus,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0306,,9.3,17.6,4.0,1.89,0.43,0.23,outer membrane protein with c-terminal peptidoglycan binding domain,Unknown function,General,,Outer Membrane,,,,unresolved
SputW3181_0307,,20.5,33.8,9.6,1.65,0.47,0.28,hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0312,,3.7,2.7,12.0,0.73,3.23,4.45,protein of unknown function UPF0150,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0315,,21.4,23.0,8.8,1.07,0.41,0.38,hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),,,,unresolved
SputW3181_0321,hsdR,11.2,16.2,4.8,1.45,0.43,0.3,type I restriction-modification system restriction endonuclease cleavage subunit HsdR,DNA metabolism,Restriction/modification,Restriction-modification,Cytoplasm,,,,unresolved
SputW3181_0322,,14.0,14.9,0.0,1.06,0.01,0.01,protein of unknown function DUF45,Unknown function,General,Restriction-modification,Cytoplasm,,,,unresolved
SputW3181_0330,,10.2,16.2,0.0,1.58,0.01,0.01,P4-like integrase,Mobile and extrachromosomal element functions,Prophage functions,,Cytoplasm,,,,unresolved
SputW3181_0334,folE,36.3,24.3,10.4,0.67,0.29,0.43,GTP cyclohydrolase I FolE,"Biosynthesis of cofactors, prosthetic groups, and carriers",Folic acid,Folic acid (B9) biosynthesis and salvage,Cytoplasm,,,,unresolved
SputW3181_0344,,35.4,47.3,103.3,1.34,2.92,2.18,hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0352,,5.6,5.4,1.6,0.97,0.29,0.3,heavy metal efflux pump permease component CzcA,Transport and binding proteins,Toxic compound efflux,Detoxification - heavy metals,Inner Membrane (12 transmembrane spans),,,,unresolved
SputW3181_0353,,13.0,10.8,4.8,0.83,0.37,0.44,HupE-UreJ family Ni2+ uptake permease,Transport and binding proteins,Cations and iron carrying compounds,Metal homeostasis,Inner Membrane (6 transmembrane spans),,,,unresolved
SputW3181_0354,,8.4,8.1,0.0,0.97,0.01,0.02,conserved hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),,,,unresolved
SputW3181_0361,,30.7,47.3,12.0,1.54,0.39,0.25,hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0362,,19.5,31.1,5.6,1.59,0.29,0.18,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0371,yigI,17.7,14.9,0.0,0.84,0.01,0.01,4-hydroxybenzoyl-CoA thioesterase family protein YigI,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,,,unresolved
SputW3181_0373,,7.4,16.2,7.2,2.18,0.97,0.44,GGDEF domain protein,Regulatory functions,Small molecule interactions,,Inner Membrane (1 transmembrane span),Crp,,,unresolved
SputW3181_0374,leuA,219.6,324.2,131.3,1.48,0.6,0.41,2-isopropylmalate synthase LeuA,Amino acid biosynthesis,Pyruvate family,Branched-Chain Amino Acid Biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0380,,118.2,199.9,83.3,1.69,0.7,0.42,hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0383,ftsL,179.6,113.5,262.6,0.63,1.46,2.31,cell division protein FtsL,Cellular processes,Cell division,Cell division - late,Inner Membrane (1 transmembrane span),,,,unresolved
SputW3181_0399,,14.9,16.2,0.0,1.09,0.01,0.01,BASS family sodium-dependent organic acid symporter,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",,Inner Membrane (8 transmembrane spans),Crp,,,unresolved
SputW3181_0401,,4.7,4.1,0.0,0.87,0.03,0.03,Rad51 domain protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0402,,4.7,5.4,0.0,1.16,0.03,0.02,putative periplasmic protein,Unknown function,General,,Periplasm,,,,unresolved
SputW3181_0406,,32.6,31.1,14.4,0.95,0.44,0.46,LysR family transcriptional regulator,Regulatory functions,DNA interactions,,Cytoplasm,,,,unresolved
SputW3181_0410,,26.1,35.1,0.0,1.35,0.0,0.0,RNA polymerase-binding protein DksA,Transcription,Transcription factors,Stringent response,Cytoplasm,,,,unresolved
SputW3181_0411,tnpR_ISSpu16,89.3,143.2,49.6,1.6,0.56,0.35,ISSpu16 resolvase TnpR_ISSpu16,Mobile and extrachromosomal element functions,Transposon functions,Insertion element,Cytoplasm,,,,unresolved
SputW3181_0417,pduQ,14.0,13.5,5.6,0.97,0.4,0.41,propanol dehydrogenase PduQ,Central intermediary metabolism,Polyol,Glycerol degradation,Cytoplasm,,,,unresolved
SputW3181_0419,pduO,5.6,5.4,0.0,0.97,0.02,0.02,cob(I)alamin adenosyltransferase PduO,Central intermediary metabolism,Polyol,Glycerol degradation,Cytoplasm,,,,unresolved
SputW3181_0420,pduN,10.2,9.5,0.0,0.92,0.01,0.01,propanediol utilization polyhedral body protein PduN,Central intermediary metabolism,Polyol,Glycerol degradation,Microcompartment,,,,unresolved
SputW3181_0422,pduL,5.6,4.1,10.4,0.73,1.86,2.57,phosphotransacylase PduL,Central intermediary metabolism,Polyol,glycerol utilization,Cytoplasm,,,,unresolved
SputW3181_0423,pduK,13.0,8.1,27.2,0.62,2.09,3.36,propanediol utilization polyhedral body protein PduK,Central intermediary metabolism,Polyol,Glycerol degradation,Microcompartment,,,,unresolved
SputW3181_0424,pduJ,11.2,8.1,0.0,0.73,0.01,0.02,propanediol utilization polyhedral body protein PduJ,Central intermediary metabolism,Polyol,Glycerol degradation,Microcompartment,,,,unresolved
SputW3181_0425,pduF,3.7,2.7,24.8,0.73,6.67,9.19,glycerol uptake facilitator protein PduF,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",Glycerol degradation,Inner Membrane (6 transmembrane spans),,,,unresolved
SputW3181_0426,,4.7,6.8,0.0,1.45,0.03,0.02,B12-independent glycerol dehydratase small subunit (activating subunit),Regulatory functions,Protein interactions,Glycerol degradation,Cytoplasm,,,,unresolved
SputW3181_0431,manY,8.4,9.5,0.0,1.13,0.01,0.01,phosphotransferase system (PTS) mannose-specific IIC component ManY,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",Mannose degradation,Inner Membrane (7 transmembrane spans),,,,unresolved
SputW3181_0442,tnpA_ISSpu16,4.7,2.7,7.2,0.58,1.55,2.67,ISSpu16 transposase TnpA_ISSpu16,Mobile and extrachromosomal element functions,Transposon functions,Mobile element,Cytoplasm,,,,unresolved
SputW3181_0443,trmL,8.4,9.5,96.1,1.13,11.47,10.16,tRNA (cytidine34-2'-O)-methyltransferase TrmL,Protein synthesis,tRNA and rRNA base modification,tRNA biogenesis,Cytoplasm,,,,unresolved
SputW3181_0444,,71.6,85.1,37.6,1.19,0.53,0.44,polymorphic toxin SUKH family immunity protein,Cellular processes,Toxin production and resistance,Polymorphic toxin system,Cytoplasm,,,,unresolved
SputW3181_0447,,57.7,37.8,91.3,0.66,1.58,2.41,serine peptidase family S9,Protein fate,"Degradation of proteins, peptides, and glycopeptides",peptidase,Periplasm,,,,unresolved
SputW3181_0454,flhA,4.7,4.1,1.6,0.87,0.34,0.4,lateral flagellar biosynthesis protein FlhA,Cellular processes,Motility,Flagellar motility (Swarming),Inner Membrane (7 transmembrane spans),,,,unresolved
SputW3181_0457,fliQ,7.4,5.4,0.0,0.73,0.02,0.02,lateral flagellar biosynthetic protein FliQ,Cellular processes,Motility,Flagellar motility (Swarming),Inner Membrane (2 transmembrane spans),,,,unresolved
SputW3181_0459,fliN,11.2,4.1,0.0,0.36,0.01,0.03,lateral flagellar motor switch protein FliN,Cellular processes,Motility,Flagellar motility (Swarming),Cytoplasm,,,,unresolved
SputW3181_0460,fliM,2.8,2.7,11.2,0.97,4.02,4.15,lateral flagellar motor switching and energizing component FliM,Cellular processes,Motility,Flagellar motility (Swarming),Cytoplasm,,,,unresolved
