RAST Locus Tag,NCBI Locus Tag,Main_Role,Subrole,Subsystem,Curated Product Descriptor,gene,ClustID_light,Clust name_light,ClustID_ox,Clust name_ox,LLLO-CC-M061814.14_AV,MLLO-CC-M061814.13_AV,HLLO-CC-TS040514.18_AV,Average_light_Conditions
N/A,tsl1814,Transport and binding proteins,Cations and iron carrying compounds,Sodium:hydrogen antiport MrpABCD1D2EFG,Na+/H+ antiporter complex subunit G MrpG,mrpG,3,A,4,H,1419.947602,1755.486718,1329.61894,1501.68442
N/A,tsl1815,Transport and binding proteins,Cations and iron carrying compounds,Sodium:hydrogen antiport MrpABCD1D2EFG,Na+/H+ antiporter complex subunit F MrpF,mrpF,1,D,1,E,1009.193622,2387.189702,2504.700233,1967.027852
N/A,tsl1825,Amino acid metabolism,Tyrosine metabolism,homogentisate pathway (Phe and Tyr degradation),4a-hydroxytetrahydrobiopterin dehydratase PcbD,,3,A,3,G,8452.892685,10358.1601,9050.988839,9287.347209
N/A,tsl1837,Unknown function,General,None,protein of unknown function DUF3493,,2,B,3,G,926.1193115,804.8181571,1349.189967,1026.709145
N/A,tsl1847,None,None,None,None,None,0,,0,,39.64872939,50.65892437,49.97492723,46.76086033
N/A,tsl1864,Unknown function,General,None,uncharacterized protein,,2,B,3,G,620.0138487,468.4776105,795.6884225,628.0599606
N/A,tsl1865,Regulatory functions,DNA interactions,photosynthesis and CO2 fixation,thioredoxin-responsive transcriptional regulator of photosynthesis and carbon fixation PedR,pedR,4,C,2,F,3220.119802,1221.943636,1984.197585,2142.087008
N/A,tsl1872,Fatty acid and lipid metabolism,Biosynthesis,fatty acid biosynthesis from acetyl-CoA,acyl carrier protein AcpP,acpP,1,D,3,G,33709.60299,52505.84323,69943.18744,52052.87788
N/A,tsl1887,Unknown function,General,None,hypothetical protein,,1,D,2,F,1542.082372,1786.972504,1905.954596,1745.003157
N/A,tsl1889,Regulatory functions,General,None,small redox-active disulfide protein 2,,0,,0,,61.10120441,13.81490916,17.9224353,30.94618296
N/A,tsl1908,Unknown function,General,None,lipoprotein,,1,D,2,F,6731.622618,15271.64584,16262.78312,12755.35053
N/A,tsl1936,Unknown function,General,None,protein of unknown function DUF448,,4,C,4,H,1873.440648,1678.956342,1011.818676,1521.405222
N/A,tsl1972,Unknown function,General,None,hypothetical protein,,4,C,4,H,27970.325,12534.74102,5924.859731,15476.64192
N/A,tsl1998,None,None,None,None,None,0,,0,,57.36074337,19.14514038,9.507273855,28.67105253
N/A,tsl2029,None,None,None,None,None,0,,0,,35.59919143,4.851410691,9.040281771,16.4969613
N/A,tsl2052,Energy metabolism,Photosynthesis,photosystem II other common subunits,photosystem II protein PsbM,psbM,4,C,4,H,100247.1886,56447.65635,50286.60704,68993.81732
N/A,tsl2083,Unknown function,General,None,hypothetical protein,,4,C,4,H,16215.53333,7167.719895,5469.928432,9617.727219
N/A,tsl2094,Unknown function,Enzymes of unknown specificity,None,4Fe-4S type iron-sulfur protein,,4,C,1,E,4538.350322,4125.473537,3489.079766,4050.967875
N/A,tsl2097,Unknown function,General,None,protein of unknown function DUF2839,,1,D,3,G,2303.081193,3765.561797,8625.687785,4898.110258
N/A,tsl2159,Translation,Ribosomal proteins: synthesis and modification,ribosome large subunit,LSU ribosomal protein L35 RpmI,rpmI,1,D,3,G,24681.58208,47800.0161,74727.129,49069.57573
N/A,tsl2173,None,None,None,None,None,4,C,4,H,352.2139407,90.51651525,56.12686717,166.2857744
N/A,tsl2174,Defense and invasion systems,General,polymorphic toxins,Uma2 family endonuclease toxin,,4,C,4,H,485.9997892,79.64273442,59.7249199,208.4558145
N/A,tsl2197,Unknown function,General,None,hypothetical protein,,2,B,3,G,3379.900987,1793.258915,2678.749542,2617.303148
N/A,tsl2208,Intracellular trafficking_ assembly_ and processing,Enzyme assembly,photosystem I high light stabilizing complex,high light-inducible protein HliA,hliA,1,D,4,H,549.9050124,1575.569473,2425.467022,1516.980502
N/A,tsl2213,Unknown function,General,None,conserved hypothetical protein,,4,C,4,H,17376.0965,13642.782,7510.953916,12843.27747
N/A,tsl2214,Unknown function,General,None,protein of unknown function DUF3146,,0,,0,,145.4122735,111.8698139,124.4857371,127.2559415
N/A,tsl2226,Unknown function,General,None,hypothetical protein,,4,C,0,,84.70152444,9.736038793,15.76365963,36.73374095
N/A,tsl2232,Cell structure_ growth_ and death,Toxin-antitoxin systems,None,toxin-antitoxin system Mnt family antidote,,4,C,2,F,414.5908573,403.8227806,345.8743869,388.0960083
N/A,tsl2246,Regulatory functions,DNA interactions,arsenite detoxification system ArsABCR,transcriptional regulator of arsenate resistance ArsR,arsR,4,C,4,H,1954.460755,584.0654337,119.6537055,886.0599648
N/A,tsl2250,Unknown function,General,None,hypothetical protein,,4,C,4,H,7788.612927,1942.66522,2650.036844,4127.104997
N/A,tsl2255,Transcription,Transcription factors,None,RNA-binding protein RbpB,rbpB,4,C,1,E,245996.7796,193197.2315,100873.0015,180022.3376
N/A,tsl2319,Unknown function,General,None,hypothetical protein,,4,C,2,F,1697.095956,462.2001693,647.4978572,935.5979941
N/A,tsl2331,Unknown function,General,None,protein of unknown function DUF370,,4,C,4,H,457.2305473,383.8964304,278.3453228,373.1574335
N/A,tsl2379,Unknown function,General,None,hypothetical protein,,4,C,4,H,41433.27252,3029.112236,1939.828566,15467.40444
