Locus_Tag,Main Role,Subrole,Subsystem,Product,Gene,Locus_Tag,T8A_Low_Light_AX,T8B_Low_Light_AX,T9A_Mid_Light_AX,T9B_Mid_Light_AX,T10A_High_Light_AX,T10B_High_Light_AX,M14A_Low_Light_CC,M14B_Low_Light_CC,M13A_Mid_Light_CC,M13B_Mid_Light_CC,T18A_High_Light_CC,T18B_High_Light_CC,T10A_Low_Oxygen_AX,T10B_Low_Oxygen_AX,T15A_Mid_Oxygen_AX,T15B_Mid_Oxygen_AX,T16A_High_Oxygen_AX,T16B_High_Oxygen_AX,T18A_Low_Oxygen_CC,T18B_Low_Oxygen_CC,T19A_Mid_Oxygen_CC,T19B_Mid_Oxygen_CC,T20A_High_Oxygen_CC,T20B_High_Oxygen_CC
rTEt34,None,None,None,None,None,rTEt34,19.68015499,20.42728176,18.82155086,18.78210354,18.24577815,18.36555737,19.74904616,19.19491273,19.0917798,19.32746222,18.04166383,18.61305663,18.24577815,18.36555737,19.86327551,19.94527404,18.84964488,19.90889486,18.04166383,18.61305663,18.64457385,18.40166701,18.41535156,18.91277747
rTEt35,None,None,None,None,None,rTEt35,17.80437796,18.60461729,17.23990755,16.95989235,16.21991598,16.45532544,17.49976815,17.31273867,16.9260976,17.07436613,16.98619134,17.1857466,16.21991598,16.45532544,18.04421044,18.00017486,16.48886818,18.16569301,16.98619134,17.1857466,16.90272303,16.29912513,16.39032574,16.98660093
rTEt36,None,None,None,None,None,rTEt36,18.2683103,18.9766213,17.9187983,17.56440432,17.81899781,17.43715943,18.0675529,17.83898828,17.77240742,17.88959286,17.39156235,17.78381377,17.81899781,17.43715943,18.73413769,18.28301288,17.14139547,18.80815052,17.39156235,17.78381377,17.53708771,17.29475264,17.14320955,17.86333247
rTEt37,None,None,None,None,None,rTEt37,16.25753456,17.04991058,14.95148076,14.88748613,14.3967538,14.50524017,15.88886324,15.48146161,15.20076373,15.23202615,14.89153388,15.14966567,14.3967538,14.50524017,16.5812712,16.68049744,15.06978185,16.49540541,14.89153388,15.14966567,15.11199288,15.11215064,14.92432192,15.41280962
rTEt38,None,None,None,None,None,rTEt38,16.19944175,17.43982832,15.29005521,15.73036418,14.85443765,15.10190219,16.18189807,15.90115655,15.73423233,15.35974813,15.7219302,15.7558149,14.85443765,15.10190219,17.10408015,16.93016383,15.37956394,16.75192988,15.7219302,15.7558149,15.81583296,15.62673496,15.44789393,15.52445969
rTEt39,None,None,None,None,None,rTEt39,17.71004402,18.09568028,16.57858089,16.5791196,16.43297261,16.09776148,17.47814232,17.27136922,16.7580766,16.78111337,16.46367369,16.5773623,16.43297261,16.09776148,16.50856572,16.59727458,16.36191295,16.88946864,16.46367369,16.5773623,16.77415803,16.65530524,16.5566715,16.67955685
rTEt40,None,None,None,None,None,rTEt40,18.43051844,19.55634438,17.71558147,17.6970924,16.87238831,17.16313971,18.57737785,18.14701099,17.81643403,17.68185158,17.31534012,17.50366156,16.87238831,17.16313971,18.4924688,18.29364473,17.80874882,18.665551,17.31534012,17.50366156,17.26954732,17.13116382,17.19069525,18.15247294
rTEt41,None,None,None,None,None,rTEt41,18.13888508,18.78959352,17.3046556,17.24054551,16.48150849,16.62699748,18.22746684,17.61930159,17.32792036,17.8034962,16.6052983,17.13315122,16.48150849,16.62699748,17.64494018,17.81640762,16.81744989,17.80593463,16.6052983,17.13315122,16.98113954,16.63522408,16.81784178,17.19194496
rTEt42,None,None,None,None,None,rTEt42,17.07720469,17.86217458,16.36757842,16.43128135,15.85476145,16.05497712,16.97437465,16.8578697,16.52897398,16.40844969,16.24397489,16.66174447,15.85476145,16.05497712,17.92234983,18.03767685,16.36894947,17.77541742,16.24397489,16.66174447,16.48532089,16.1634034,15.78688183,16.4765579
tll0002,Intracellular trafficking_ assembly_ and processing,Peptidases,periplasmic stress response system,heat shock peptidase HtrA,htrA,tll0002,4.932240163,4.957594607,4.594088126,4.517144409,4.164583288,4.182350917,4.99309004,5.007010636,5.055426973,4.683187717,4.45403635,4.686404468,4.164583288,4.182350917,4.805957957,4.69862249,4.914630021,5.326970296,4.45403635,4.686404468,4.88042155,5.110303637,4.626410647,4.459565925
