RAST Locus Tag,NCBI Locus Tag,Main_Role,Subrole,Subsystem,Curated Product Descriptor,gene,ClustID_ox,Clust name_ox,HLLO-CC-TS040514.18_AV,HLMO-CC-TS040514.19_AV,HLHO-CC-TS040514.20_AV,Average_ox_Conditions,resolved_locus_tag,resolution_method
fig.6666666.52381.peg.1656,SY28_RS08255,Amino acid metabolism,Histidine metabolism,histidine biosynthesis,imidazole glycerol phosphate synthase cyclase subunit HisF,hisF,0,,37.41287779,34.68132506,25.31059488,32.46826591,SY28_08260,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1657,SY28_RS08260,Translation,tRNA and rRNA base modification,23S rRNA modification factors,23S rRNA (uracil1939-C5)-methyltransferase RumA,rumA,0,,12.12389392,30.81751644,10.69941679,17.88027572,SY28_08265,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1658,SY28_RS08265,Transport and binding proteins,Unknown substrate,,TRAP-type transport system substrate-binding component,,2,F,391.6022869,311.775692,429.823336,377.7337716,SY28_08270,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1659,SY28_RS08270,Transport and binding proteins,Unknown substrate,,TRAP-type transport system fused permease component,,3,G,91.55936702,42.01436455,46.06064738,59.87812632,SY28_08275,tier1:NCBI Locus Tag
fig.6666666.52381.peg.166,SY28_RS00830,Unknown function,General,,hypothetical protein,,1,E,55.98232205,141.9818354,78.31192662,92.09202803,SY28_00830,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1660,SY28_RS08280,Unknown function,General,,NTE family protein,rssA,1,E,74.50617075,30.90100245,60.2070753,55.2047495,SY28_08285,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1661,SY28_RS08285,Amino acid metabolism,Phenylalanine_ tyrosine and tryptophan biosynthesis,tryptophan biosynthesis,indole-3-glycerol phosphate synthase TrpC,trpC,2,F,72.63016806,16.78483325,67.41172623,52.27557585,SY28_08290,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1664,SY28_RS08300,Transport and binding proteins,Unknown substrate,,ABC-type transport system ATPase component,,1,E,50.73289577,55.95742556,30.09907181,45.59646438,SY28_08305,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1666,SY28_RS08310,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,mannose degradation,mannose-6-phosphate isomerase,,1,E,74.61248111,46.84570628,57.31650023,59.59156254,SY28_08315,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1667,SY28_RS08315,Transport and binding proteins,Unknown substrate,,MFS superfamily transporter,fsr,1,E,12.46476158,16.2174721,31.69113473,20.12445614,SY28_08320,tier1:NCBI Locus Tag
