RAST Locus Tag,NCBI Locus Tag,Main_Role,Subrole,Subsystem,Curated Product Descriptor,gene,ClustID_ox,Clust name_ox,HLLO-CC-TS040514.18_AV,HLMO-CC-TS040514.19_AV,HLHO-CC-TS040514.20_AV,Average_ox_Conditions,resolved_locus_tag,resolution_method
,tll1451,Defense and invasion systems,Detoxification and inactivation,peroxide detoxification,BCP-A family peroxiredoxin PrxQ-B1,prxQ-B1,3,G,4455.337832,4230.935021,3501.043488,4062.43878,tll1451,locus_tag:NCBI Locus Tag
,tll1452,Unknown function,General,,hypothetical protein,,4,H,163.4322931,257.8199302,262.9207597,228.057661,tll1452,locus_tag:NCBI Locus Tag
,tll1453,Unknown function,General,,hypothetical protein,,4,H,1512.355424,1925.057552,2362.480267,1933.297747,tll1453,locus_tag:NCBI Locus Tag
,tll1454,Defense and invasion systems,Detoxification and inactivation,peroxide detoxification,2-Cys family peroxiredoxin,,4,H,135483.3475,236911.528,225855.9702,199416.9486,tll1454,locus_tag:NCBI Locus Tag
,tll1457,Translation,tRNA and rRNA base modification,16S and 23S rRNA modification,bifunctional 23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase TlyA,tlyA,4,H,917.4534742,1019.484458,1181.736512,1039.558148,tll1457,locus_tag:NCBI Locus Tag
,tll1458,Transport and binding proteins,Amino acids_ peptides and amines,glutathione upake system GsiABCD,ABC-type glutathione uptake system substrate-binding component GsiB,gsiB,4,H,1056.785329,1159.284474,1255.010345,1157.026716,tll1458,locus_tag:NCBI Locus Tag
,tll1462,Amino acid metabolism,Valine_ leucine and isoleucine metabolism,branched chain amino acid biosynthesis,branched-chain amino acid aminotransferase IlvE,ilvE,3,G,7229.352564,5412.461907,4332.896801,5658.237091,tll1462,locus_tag:NCBI Locus Tag
,tll1463,Unknown function,General,,protein of unknown function DUF389,,1,E,2362.80981,2459.992073,2007.078639,2276.626841,tll1463,locus_tag:NCBI Locus Tag
,tll1464,Signal transduction,General,,signal transduction protein with MEKHLA (PAS) sensory domain,,4,H,1129.585377,1422.372228,1343.8557,1298.604435,tll1464,locus_tag:NCBI Locus Tag
,tll1465,Unknown function,Enzymes of unknown specificity,,class V pyridoxal-phosphate-dependent aminotransferase,,3,G,25366.13635,25524.46954,21307.69652,24066.10081,tll1465,locus_tag:NCBI Locus Tag
,tll1466,Energy metabolism,Carbon fixation in prokaryotes,Calvin-Benson cycle_ Embden-Meyerhof pathway,NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase Gap2,gap2,3,G,52112.19796,47361.9208,35809.69232,45094.60369,tll1466,locus_tag:NCBI Locus Tag
,tll1467,Unknown function,Enzymes of unknown specificity,,radical SAM domain protein,,4,H,2056.822601,2722.198228,3775.864277,2851.628369,tll1467,locus_tag:NCBI Locus Tag
,tll1470,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism,glyoxylate formation from ribulose 1_5 P,phosphoglycolate phosphatase Gph,gph,0,,167.4930043,162.9751855,166.6897154,165.7193017,tll1470,locus_tag:NCBI Locus Tag
,tll1480,Defense and invasion systems,Restriction-modification systems,type III restriction-modification,type III restriction-modification system restriction enzyme component Res,res,3,G,366.2853001,297.7237423,309.8202499,324.6097641,tll1480,locus_tag:NCBI Locus Tag
,tll1481,,,,,,0,,155.3186487,157.0096806,191.1004144,167.8095812,,unresolved
,tll1482,Defense and invasion systems,Restriction-modification systems,type III restriction-modification,type III restriction-modification system methylation component,,3,G,2723.707707,2372.565138,2153.43472,2416.569188,TLL_RS12765,multi:NCBI Locus Tag
,tll1486,Mobile and extrachromosomal element functions,Selfish genetic elements,Insertion element,ISTel1 transposase TnpA_ISTel1,tnpA_ISTel1,2,F,1778.974055,1602.479532,1718.489392,1699.980993,,ambiguous
,tll1487,Regulatory functions,Protein interactions,serine/threonine protein kinases,serine/threonine protein kinase with FHA domain protein,,3,G,14207.12989,13222.51647,12771.03592,13400.22743,tll1487,locus_tag:NCBI Locus Tag
,tll1488,Unknown function,General,,FHA domain containing protein,,4,H,5013.891871,5607.342986,6272.790107,5631.341655,tll1488,locus_tag:NCBI Locus Tag
,tll1492,Transport and binding proteins,Cations and iron carrying compounds,iron (III) transport system AfuABC,ABC-type FeII uptake system ATPase component FutC,futC,2,F,2773.447208,2617.153359,2982.02301,2790.874526,tll1492,locus_tag:NCBI Locus Tag
,tll1493,Unknown function,General,,hypothetical protein,,3,G,14921.25633,14036.1369,13852.71548,14270.03624,tll1493,locus_tag:NCBI Locus Tag
,tll1495,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,Embden-Meyerhof pathway,glucokinase GlcK,glcK,2,F,779.7057352,672.6522147,777.1295547,743.1625015,tll1495,locus_tag:NCBI Locus Tag
,tll1496,Nucleic acid metabolism,Purine metabolism,purine (inosine-5'-phosphate) biosynthesis from ribose-5-phosphate,phosphoribosylaminoimidazole-succinocarboxamide synthase PurC,purC,3,G,3535.971627,3457.801936,3212.07474,3401.949434,tll1496,locus_tag:NCBI Locus Tag
,tll1499,Unknown function,General,,Mg protoporphyrin monomethylester oxidative cyclase auxiliary protein Ycf54,ycf54,3,G,7220.615135,4773.914833,5216.044735,5736.858234,tll1499,locus_tag:NCBI Locus Tag
,tll1504,Energy metabolism,Carbon fixation in prokaryotes,Calvin-Benson cycle,ribulose bisphosphate carboxylase small subunit RbcS,rbcS,3,G,145234.2501,152251.4371,114692.8341,137392.8404,tll1504,locus_tag:NCBI Locus Tag
,tll1505,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,photorespiration (oxidative C2 cycle),rubisco chaperone RbcX,rbcX,1,E,156667.9525,191317.7433,127983.6531,158656.4496,tll1505,locus_tag:NCBI Locus Tag
,tll1506,Energy metabolism,Carbon fixation in prokaryotes,Calvin-Benson cycle_ photorespiration,ribulose bisophosphate carboxylase large subunit RbcL,rbcL,1,E,207349.4324,227901.6817,142592.6412,192614.5851,tll1506,locus_tag:NCBI Locus Tag
