function category,Gene Name,Gene ID,Score,Log2 fold change,resolved_locus_tag,resolution_method
Two-component systems ,SYNW0808,two-component response regulator ,-6.28,-0.85,SYNW0808,locus_tag:Gene Name
Two-component systems ,SYNW2236,two-component response regulator ,-5.67,-0.81,SYNW2236,locus_tag:Gene Name
Two-component systems ,SYNW0807,two-component sensor histidine kinase,-4.9,-0.93,SYNW0807,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
Proteases,SYNW0938,endopeptidase Clp ATP-binding chain C,-7.76,-1.7,SYNW0938,locus_tag:Gene Name
Proteases,SYNW1649,ATP-dependent Clp protease proteolytic subunit 3 ,-7.41,-1.34,SYNW1649,locus_tag:Gene Name
Proteases,SYNW1648,ATP-dependent Clp protease proteolytic subunit  4,-6.83,-1.54,SYNW1648,locus_tag:Gene Name
Proteases,SYNW2176,possible serine protease,-6.52,-1.16,SYNW2176,locus_tag:Gene Name
Proteases,SYNW1503,endopeptidase Clp ATP-binding chain B ,-6.45,-1.41,SYNW1503,locus_tag:Gene Name
Proteases,SYNW1300,FtsH ATP-dependent protease homolog,-5.79,-2.18,SYNW1300,locus_tag:Gene Name
Proteases,SYNW0064,ATP-dependent Clp protease proteolytic subunit 2,-5.72,-0.87,SYNW0064,locus_tag:Gene Name
Proteases,SYNW1884,signal peptide peptidase SppA (protease IV),-4.87,-0.51,SYNW1884,locus_tag:Gene Name
Proteases,SYNW1909,Band 7 family protein,-4.82,-0.38,SYNW1909,locus_tag:Gene Name
Proteases,SYNW2140,ATP-dependent protease La (LON) domain ,-4.69,-0.8,SYNW2140,locus_tag:Gene Name
Proteases,SYNW1627,Possible  peptidase S26 family protein,-3.65,-0.28,SYNW1627,locus_tag:Gene Name
Proteases,SYNW0323,putative peptidase ,-3.29,-0.18,SYNW0323,locus_tag:Gene Name
Proteases,SYNW1301,ATP-dependent Clp protease proteolytic subunit 1,-3.21,-0.43,SYNW1301,locus_tag:Gene Name
Proteases,SYNW1476,possible endolysin,-4.22,-0.42,SYNW1476,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
Glycosyltransferases,SYNW1089,possible glycosyltransferase,-5.14,-0.18,SYNW1089,locus_tag:Gene Name
Glycosyltransferases,SYNW1370,putative glycosyltransferase family 2 ,-3.63,-0.57,SYNW1370,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
Cell wall biosynthesis,SYNW1843,putative prolipoprotein diacylglyceryl transferase,-5.21,-0.5,SYNW1843,locus_tag:Gene Name
Cell wall biosynthesis,SYNW0555,chloroplast outer envelope membrane protein homolog ,-4.52,-0.32,SYNW0555,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
Amino acid biosynthesis and metabolism,SYNW1075,serine:pyruvate/alanine:glyoxylateaminotransferase,-9.3,-0.74,SYNW1075,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW1238,putative methionine synthase,-9.22,-0.99,SYNW1238,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW2280,Tryptophan synthase betachain:Pyridoxal-5'-phosphate-dependent,-7.33,-0.64,SYNW2280,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW1586,ornithine carbamoyltransferase ,-7.32,-0.91,SYNW1586,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW1073,Glutamine synthetase glutamate--ammonia ligase,-7.21,-0.9,SYNW1073,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW0259,serine hydroxymethyltransferase (SHMT),-7.09,-0.88,SYNW0259,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW0819,dihydrodipicolinate reductase ,-5.08,-0.25,SYNW0819,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW2492,glutamine amidotransferase-phosphoribosylanthranilate transf...,-4.74,-0.28,SYNW2492,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW0936,diaminopimelate decarboxylase ,-4.03,-0.4,SYNW0936,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW0119,putative adenosylhomocysteinase,-3.85,-1.04,SYNW0119,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW1877,aminotransferase ,-3.77,-0.29,SYNW1877,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW0730,2-isopropylmalate synthase ,-3.62,-0.46,SYNW0730,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW1746,acetolactate synthase,-3.46,-0.36,SYNW1746,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW2347,lactoylglutathione lyase ,-3.32,-0.29,SYNW2347,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW2374,Glycine cleavage system P-protein,-3.26,-0.9,SYNW2374,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW1310,3-dehydroquinate synthase,-3.22,-0.23,SYNW1310,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
Co-factor biosynthesis and metabolism,SYNW1263,"possible GTP cyclohydrolase II /3,4-dihydroxy-2-butanone 4-phosphate synthase",-7.88,-0.59,SYNW1263,locus_tag:Gene Name
Co-factor biosynthesis and metabolism,SYNW1316,Quinolinate synthetase A protein,-7.57,-0.62,SYNW1316,locus_tag:Gene Name
Co-factor biosynthesis and metabolism,SYNW0816,possible 2-octaprenyl-6-methoxyphenol 4-monoxygenase; UbiH ,-6.75,-1.68,SYNW0816,locus_tag:Gene Name
Co-factor biosynthesis and metabolism,SYNW1933,possible delta-aminolevulinic acid dehydratase,-5.84,-0.67,SYNW1933,locus_tag:Gene Name
Co-factor biosynthesis and metabolism,SYNW2257,phytoene desaturase,-5.37,-0.45,SYNW2257,locus_tag:Gene Name
Co-factor biosynthesis and metabolism,SYNW1734,putative GTP cyclohydrolase I,-4.19,-0.66,SYNW1734,locus_tag:Gene Name
Co-factor biosynthesis and metabolism,SYNW1809,"glutamate-1-semialdehyde 2,1-aminomutase",-4.13,-0.4,SYNW1809,locus_tag:Gene Name
Co-factor biosynthesis and metabolism,SYNW0929,Lipoic acid synthetase ,-3.72,-0.36,SYNW0929,locus_tag:Gene Name
Co-factor biosynthesis and metabolism,SYNW1847,probable 4-hydroxybenzoate-octaprenyl transferase ,-3.6,-0.3,SYNW1847,locus_tag:Gene Name
Co-factor biosynthesis and metabolism,SYNW2309,putative glutathione synthetase ,-3.51,-0.27,SYNW2309,locus_tag:Gene Name
Co-factor biosynthesis and metabolism,SYNW0140,thiamin biosynthesis protein ,-3.43,-0.49,SYNW0140,locus_tag:Gene Name
Co-factor biosynthesis and metabolism,SYNW2468,molybdenum cofactor biosynthesis protein C ,-3.41,-0.18,SYNW2468,locus_tag:Gene Name
Co-factor biosynthesis and metabolism,SYNW1240,cobalamin biosynthetic protein CobN,-3.18,-0.46,SYNW1240,locus_tag:Gene Name
Co-factor biosynthesis and metabolism,SYNW0822,putative dihydropteroate synthase ,-3.09,-0.19,SYNW0822,locus_tag:Gene Name
,,,,,,empty
,Nucleotide biosynthesis,,,,,unresolved
,,,,,,empty
,,,,,,empty
,,,,,,empty
Energy Metabolism,SYNW0939,putative glycerol dehydrogenase ,-5.87,-1.27,SYNW0939,locus_tag:Gene Name
Energy Metabolism,SYNW2329,phosphoglycerate kinase ,-5.36,-0.99,SYNW2329,locus_tag:Gene Name
Energy Metabolism,SYNW1808,putative glycolate oxidase subunit GlcD ,-4.98,-0.44,SYNW1808,locus_tag:Gene Name
Energy Metabolism,SYNW0030,glyceraldehyde 3-phosphate dehydrogenase(NADP+) ,-4.13,-1.21,SYNW0030,locus_tag:Gene Name
Energy Metabolism,SYNW1769,inorganic pyrophosphatase ,-3.17,-0.34,SYNW1769,locus_tag:Gene Name
Energy Metabolism,SYNW1956,putative aldehyde dehydrogenase ,-3.12,-0.36,SYNW1956,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
Nitrogen metabolism,SYNW2449,urease alpha subunit ,-4.97,-0.54,SYNW2449,locus_tag:Gene Name
Nitrogen metabolism,SYNW2447,urease gamma subunit ,-4.07,-0.55,SYNW2447,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
Other metabolic functions,SYNW0092,possible carboxymethylenebutenolidase ,-6.09,-0.39,SYNW0092,locus_tag:Gene Name
Other metabolic functions,SYNW1368,possible beta-carotene ketolase ,-5.49,-0.58,SYNW1368,locus_tag:Gene Name
Other metabolic functions,SYNW0291,beta-carotene hydroxylase,-3.68,-0.53,SYNW0291,locus_tag:Gene Name
Other metabolic functions,SYNW0696,fatty acid desaturase type 2,-6.27,-0.61,SYNW0696,locus_tag:Gene Name
Other metabolic functions,SYNW2377,Delta-9 fatty acid desaturase ,-6.08,-1.23,SYNW2377,locus_tag:Gene Name
Other metabolic functions,SYNW0940,putative 2-hydroxy-6-oxohepta-24-dienoatehydrolase ,-5.13,-0.38,SYNW0940,locus_tag:Gene Name
Other metabolic functions,SYNW0227,similar to lignostilbene-alphabeta-dioxygenase and related enzymes ,-4.85,-1.2,SYNW0227,locus_tag:Gene Name
Other metabolic functions,SYNW2141,probable sterol-C-methyltransferase,-4.38,-0.62,SYNW2141,locus_tag:Gene Name
Other metabolic functions,SYNW1767,putative arsenate reductase ,-3.29,-0.39,SYNW1767,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
"Detoxification, antioxidants",SYNW0687,putative thioredoxin reductase ,-7.37,-1.59,SYNW0687,locus_tag:Gene Name
"Detoxification, antioxidants",SYNW0280,thioredoxin-like protein TxlA,-7.21,-0.27,SYNW0280,locus_tag:Gene Name
"Detoxification, antioxidants",SYNW0099,Glutathione peroxidase ,-4.23,-1.22,SYNW0099,locus_tag:Gene Name
"Detoxification, antioxidants",SYNW1280,Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergens family protein,-3.96,-0.31,SYNW1280,locus_tag:Gene Name
"Detoxification, antioxidants",SYNW1626,putative nickel-containing superoxide dismutase precursor (NISOD),-3.43,-0.75,SYNW1626,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
Photosynthesis,SYNW0303,photosystem II manganese-stabilizing polypeptide,-7.13,-0.63,SYNW0303,locus_tag:Gene Name
Photosynthesis,SYNW0927,putative photosystem II oxygen-evolving complex 23K protein PsbP,-7.02,-1.19,SYNW0927,locus_tag:Gene Name
Photosynthesis,SYNW2151,photosystem II D1 protein form II,-5.74,-2.77,SYNW2151,locus_tag:Gene Name
Photosynthesis,SYNW1982,photosystem II chlorophyll-binding protein CP47,-4.48,-1.01,SYNW1982,locus_tag:Gene Name
Photosynthesis,SYNW1065,putative photosystem II reaction center Psb28 protein,-4.04,-0.41,SYNW1065,locus_tag:Gene Name
Photosynthesis,SYNW1919,photosystem II D1 protein form II,-3.84,-1.1,SYNW1919,locus_tag:Gene Name
Photosynthesis,SYNW0676,photosystem II chlorophyll-binding protein CP43,-3.73,-1.37,SYNW0676,locus_tag:Gene Name
Photosynthesis,SYNW2403,putative high light inducible protein,-3.54,-0.49,TX72_RS12145,tier1:Gene Name
Photosynthesis,SYNW1097,geranylgeranyl hydrogenase,-3.09,-0.4,SYNW1097,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
Ferrodoxins and other iron-rich photosynthetic proteins,SYNW1277,ferredoxin,-11.86,-1.12,SYNW1277,locus_tag:Gene Name
Ferrodoxins and other iron-rich photosynthetic proteins,SYNW0751,ferredoxin--NADP reductase (FNR),-6.56,-0.95,SYNW0751,locus_tag:Gene Name
Ferrodoxins and other iron-rich photosynthetic proteins,SYNW0318,Ferredoxin thioredoxin reductase catalytic beta chain,-6.07,-1.92,SYNW0318,locus_tag:Gene Name
Ferrodoxins and other iron-rich photosynthetic proteins,SYNW0624,possible 3Fe-4S ferredoxin,-3.19,-0.6,SYNW0624,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
"Electron transport, cytochrome b6f complex",SYNW1967,apocytochrome b6,-9.29,-1.19,SYNW1967,locus_tag:Gene Name
"Electron transport, cytochrome b6f complex",SYNW1841,Cytochrome b6/f complex subunit (Rieske iron-sulfur protein) ,-8.7,-1.0,SYNW1841,locus_tag:Gene Name
"Electron transport, cytochrome b6f complex",SYNW1842,apocytochrome f,-8.06,-1.35,SYNW1842,locus_tag:Gene Name
"Electron transport, cytochrome b6f complex",SYNW1966,cytochrome b6-f complex subunit 4 (17 kd polypeptide),-3.61,-0.76,SYNW1966,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
NADH dehydrogenase,SYNW1873,NADH dehydrogenase I chain 2 (or N),-6.6,-0.93,SYNW1873,locus_tag:Gene Name
NADH dehydrogenase,SYNW2262,NADH dehydrogenase I chain 5 (or L),-5.86,-0.71,SYNW2262,locus_tag:Gene Name
NADH dehydrogenase,SYNW2273,NADH dehydrogenase I chain I (or NdhI),-5.0,-0.46,SYNW2273,locus_tag:Gene Name
NADH dehydrogenase,SYNW2274,NADH dehydrogenase I chain 1 (or H),-4.69,-0.68,SYNW2274,locus_tag:Gene Name
NADH dehydrogenase,SYNW2165,putative NADH dehydrogenase transport associated ,-4.62,-0.37,SYNW2165,locus_tag:Gene Name
NADH dehydrogenase,SYNW0207,NADH dehydrogenase I chain 3 (or A),-4.61,-0.51,SYNW0207,locus_tag:Gene Name
NADH dehydrogenase,SYNW0208,NADH dehydrogenase I chain B or NdhK,-4.28,-0.61,SYNW0208,locus_tag:Gene Name
NADH dehydrogenase,SYNW2299,NADH dehydrogenase I chain 7 (or D),-4.15,-0.47,SYNW2299,locus_tag:Gene Name
NADH dehydrogenase,SYNW1482,putative NADH dehydrogenase I chain 4 (or M),-3.52,-0.29,SYNW1482,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
Transcriptional regulators,SYNW1592,Possible AraC-type regulatory protein,-5.82,-0.5,SYNW1592,locus_tag:Gene Name
Transcriptional regulators,SYNW0220,putative pleiotropic regulatory protein ,-4.72,-0.44,SYNW0220,locus_tag:Gene Name
Transcriptional regulators,SYNW2401,Ferric uptake regulator family ,-3.57,-0.18,SYNW2401,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
Transcription,SYNW1232,Possible type 3  alternative RNA polymerase sigma factor,-6.46,-1.33,SYNW1232,locus_tag:Gene Name
Transcription,SYNW0102,Type II alternative RNA polymerase sigma factor sigma-70 family,-5.35,-1.84,SYNW0102,locus_tag:Gene Name
Transcription,SYNW0926,similar to membrane bound transcriptional regulator,-6.01,-0.48,SYNW0926,locus_tag:Gene Name
Transcription,SYNW0600,N utilization substance protein A,-3.55,-0.49,SYNW0600,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
Translation,SYNW2288,probable pseudouridine synthase ,-7.34,-1.0,SYNW2288,locus_tag:Gene Name
Translation,SYNW2378,50S ribosomal protein L9 ,-6.04,-0.74,SYNW2378,locus_tag:Gene Name
Translation,SYNW2136,30S ribosomal protein S7 ,-5.18,-0.59,SYNW2136,locus_tag:Gene Name
Translation,SYNW0134,tmRNA binding protein SmpB,-3.74,-0.14,SYNW0134,locus_tag:Gene Name
Translation,SYNW0686,translation initiation factor IF-1 ,-3.47,-0.44,SYNW0686,locus_tag:Gene Name
Translation,SYNW2137,elongation factor EF-G,-3.44,-0.81,SYNW2137,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
Post-translational modification and protein folding,SYNW1021,peptide methionine sulfoxide reductase ,-10.09,-1.35,SYNW1021,locus_tag:Gene Name
Post-translational modification and protein folding,SYNW1618,signal recognition particle protein (SRP54),-6.15,-0.65,SYNW1618,locus_tag:Gene Name
Post-translational modification and protein folding,SYNW0338,putative methionine sulfoxide reductase family,-5.27,-0.59,SYNW0338,locus_tag:Gene Name
Post-translational modification and protein folding,SYNW0065,Possible FKBP-type peptidyl-prolyl cis-trans isomerase,-4.0,-0.33,SYNW0065,locus_tag:Gene Name
Post-translational modification and protein folding,SYNW1625,FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase),-3.79,-0.38,SYNW1625,locus_tag:Gene Name
Post-translational modification and protein folding,SYNW0011,signal recognition particle docking protein FtsY,-3.25,-0.23,SYNW0011,locus_tag:Gene Name
Post-translational modification and protein folding,SYNW0324,putative formylmethionine deformylase,-3.18,-0.14,SYNW0324,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
"Protein folding, chaperones",SYNW2365,putative small heat shock protein ,-8.83,-1.6,SYNW2365,locus_tag:Gene Name
"Protein folding, chaperones",SYNW2508,Molecular chaperone DnaK2 heat shock protein hsp70-2,-7.81,-1.78,SYNW2508,locus_tag:Gene Name
"Protein folding, chaperones",SYNW0023,putative heat shock protein GrpE,-6.87,-0.74,SYNW0023,locus_tag:Gene Name
"Protein folding, chaperones",SYNW1854,60 kD chaperonin 2 GroEL homolog 2 ,-5.8,-1.24,SYNW1854,locus_tag:Gene Name
"Protein folding, chaperones",SYNW0024,DnaJ protein ,-5.45,-0.84,SYNW0024,locus_tag:Gene Name
"Protein folding, chaperones",SYNW1934,DnaJ3 protein,-5.14,-0.83,SYNW1934,locus_tag:Gene Name
"Protein folding, chaperones",SYNW0514,GroEL  chaperonin ,-3.86,-0.85,SYNW0514,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
"DNA replication, recombination, and repair",SYNW0077,excinuclease ABC subunit B ,-4.85,-0.26,SYNW0077,locus_tag:Gene Name
"DNA replication, recombination, and repair",SYNW0612,possible deoxyribonuclease similar to TatD ,-4.76,-0.36,SYNW0612,locus_tag:Gene Name
"DNA replication, recombination, and repair",SYNW0219,probable deoxyribodipyrimidine photolyase ,-4.73,-0.4,SYNW0219,locus_tag:Gene Name
"DNA replication, recombination, and repair",SYNW0702,DNA polymerase I ,-4.55,-0.13,SYNW0702,locus_tag:Gene Name
"DNA replication, recombination, and repair",SYNW1196,possible modulator of DNA gyrase,-4.2,-0.47,SYNW1196,locus_tag:Gene Name
"DNA replication, recombination, and repair",SYNW1032,DNA polymerase III alpha subunit ,-4.12,-0.74,SYNW1032,locus_tag:Gene Name
"DNA replication, recombination, and repair",SYNW1197,putative modulator of DNA gyrase; TldD ,-3.69,-0.67,SYNW1197,locus_tag:Gene Name
"DNA replication, recombination, and repair",SYNW0224,probable deoxyribodipyrimidine photolyase ,-3.35,-0.74,SYNW0224,locus_tag:Gene Name
"DNA replication, recombination, and repair",SYNW1346,phage integrase family,-3.19,-0.24,SYNW1346,locus_tag:Gene Name
"DNA replication, recombination, and repair",SYNW2062,RecA bacterial DNA recombination protein,-3.09,-0.58,SYNW2062,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
Cell division and other cellular processes,SYNW1832,homologous to C-terminus of pilT2 protein  ,-12.38,-0.87,SYNW1832,locus_tag:Gene Name
Cell division and other cellular processes,SYNW1587,cell division protein FtsH3,-8.59,-2.47,SYNW1587,locus_tag:Gene Name
Cell division and other cellular processes,SYNW0305,cell division protein FtsH2,-4.43,-2.06,SYNW0305,locus_tag:Gene Name
Cell division and other cellular processes,SYNW2266,Putative sugar-phosphate nucleotidyl transferase,-4.29,-0.36,SYNW2266,locus_tag:Gene Name
Cell division and other cellular processes,SYNW0859,cell death suppressor protein Lls1 homolog ,-4.27,-0.44,SYNW0859,locus_tag:Gene Name
Cell division and other cellular processes,SYNW1608,putative circadian phase modifier CpmA homolog ,-3.61,-0.3,SYNW1608,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
Uncategorized,SYNW1687,NifU-like protein ,-6.9,-0.94,SYNW1687,locus_tag:Gene Name
Uncategorized,SYNW1932,possible ring-cleaving dioxygenase ,-6.1,-0.3,SYNW1932,locus_tag:Gene Name
Uncategorized,SYNW2524,possible protein kinase: ABC1 family,-5.81,-0.82,SYNW2524,locus_tag:Gene Name
Uncategorized,SYNW1684,GTP-binding protein LepA,-5.48,-0.44,SYNW1684,locus_tag:Gene Name
Uncategorized,SYNW1198,phytochrome-regulated gene homologue,-5.45,-0.79,SYNW1198,locus_tag:Gene Name
Uncategorized,SYNW1072,SAM (and some other nucleotide) binding motif:Generic methyl-transferase,-5.13,-1.32,SYNW1072,locus_tag:Gene Name
Uncategorized,SYNW1191,TerC family protein,-4.85,-0.97,SYNW1191,locus_tag:Gene Name
Uncategorized,SYNW2227,possible porin,-3.84,-0.73,SYNW2227,locus_tag:Gene Name
Uncategorized,SYNW1709,putative CO2 hydration protein ChpX,-3.61,-0.19,SYNW1709,locus_tag:Gene Name
Uncategorized,SYNW1735,putative short-chain dehydrogenase ,-3.55,-0.54,SYNW1735,locus_tag:Gene Name
Uncategorized,SYNW0369,weak similarity to phage integrase family,-3.43,-0.22,SYNW0369,locus_tag:Gene Name
Uncategorized,SYNW0945,possible kinase,-3.41,-0.27,SYNW0945,locus_tag:Gene Name
Uncategorized,SYNW1715,putative Carboxysome shell polypeptide CsoS3,-3.39,-0.57,SYNW1715,locus_tag:Gene Name
Uncategorized,SYNW1037,putative membrane protein ,-3.24,-0.17,SYNW1037,locus_tag:Gene Name
Uncategorized,SYNW0015,Uncharacterized protein family UPF0034 ,-3.15,-0.13,SYNW0015,locus_tag:Gene Name
,,,,,,empty
,,,,,,empty
Conserved hypothetical and hypothetical ORFs,SYNW0878,hypothetical,-14.17,-1.13,SYNW0878,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1356,hypothetical,-13.25,-1.02,SYNW1356,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1511,conserved hypothetical,-11.23,-1.45,SYNW1511,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0722,conserved hypothetical protein,-10.83,-0.76,SYNW0722,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1443,hypothetical,-9.81,-3.48,SYNW1443,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0856,conserved hypothetical protein,-9.63,-0.98,SYNW0856,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1033,conserved hypothetical protein,-9.27,-0.88,SYNW1033,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0903,conserved hypothetical protein,-9.16,-1.01,SYNW0903,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1821,conserved hypothetical protein,-9.09,-1.03,SYNW1821,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1504,conserved hypothetical protein,-8.72,-0.53,SYNW1504,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2313,conserved hypothetical protein,-7.8,-1.29,SYNW2313,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0670,conserved hypothetical protein,-7.43,-1.19,SYNW0670,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1855,conserved hypothetical protein,-7.34,-0.9,SYNW1855,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0623,conserved hypothetical protein,-6.82,-1.24,SYNW0623,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1817,conserved hypothetical protein,-6.7,-0.33,SYNW1817,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0404,conserved hypothetical protein similar to GumB protein ,-6.58,-0.38,SYNW0404,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0250,conserved hypothetical protein,-6.47,-0.55,SYNW0250,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2150,conserved hypothetical protein,-6.35,-0.59,SYNW2150,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0879,hypothetical,-6.35,-0.88,SYNW0879,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1444,hypothetical,-6.33,-2.17,SYNW1444,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0265,conserved hypothetical protein,-6.1,-0.85,SYNW0265,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0189,conserved hypothetical protein,-6.06,-0.23,SYNW0189,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1395,hypothetical,-5.95,-1.03,SYNW1395,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2451,conserved hypothetical protein,-5.86,-0.34,SYNW2451,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1312,conserved hypothetical protein,-5.82,-1.07,SYNW1312,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2148,conserved hypothetical protein,-5.72,-0.42,SYNW2148,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2243,hypothetical,-5.72,-0.88,SYNW2243,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2436,conserved hypothetical protein,-5.63,-0.85,SYNW2436,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0946,conserved hypothetical protein,-5.62,-0.46,SYNW0946,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0139,conserved hypothetical protein,-5.61,-0.41,SYNW0139,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1791,conserved hypothetical protein,-5.6,-0.34,SYNW1791,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1355,conserved hypothetical protein,-5.57,-0.6,SYNW1355,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0129,conserved hypothetical protein,-5.53,-0.44,SYNW0129,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1369,conserved hypothetical protein,-5.45,-1.43,SYNW1369,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0974,conserved hypothetical protein,-5.31,-0.62,SYNW0974,locus_tag:Gene Name
