gene_id,logFC,AveExpr,pvalue,padj,Assay,contrast1,resolved_locus_tag,resolution_method
TX50_RS01670,0.0049453413867439,1139.33948964588,0.9848486494566951,0.989510079153628,RNA,P2vsP1_rna,PMM0321,tier1:gene_id
TX50_RS01675,-0.7789876851863893,51.11180032460933,0.0539485434195921,0.0829391643435755,RNA,P2vsP1_rna,PMM0322,tier1:gene_id
TX50_RS01680,-1.1415951974930594,130.99555466802315,0.0001436589829448,0.000380963864514,RNA,P2vsP1_rna,PMM0323,tier1:gene_id
TX50_RS01685,-1.023646261388957,2323.191404172632,8.218912450859439e-08,3.719610500376729e-07,RNA,P2vsP1_rna,PMM0324,tier1:gene_id
TX50_RS01690,-2.1413225541342054,6373.941766575707,1.3863255386864217e-11,1.1611260507278582e-10,RNA,P2vsP1_rna,PMM0325,tier1:gene_id
TX50_RS01695,-0.4064372195390721,5927.82355681693,0.1585389617298516,0.2129576329186903,RNA,P2vsP1_rna,PMM0326,tier1:gene_id
TX50_RS01700,1.8979725432992924,953.2585465538704,9.334581475877384e-07,3.5698988247621974e-06,RNA,P2vsP1_rna,PMM0327,tier1:gene_id
TX50_RS01730,-4.233040685301586,340.4379692866858,5.403292503181439e-24,3.1254670073090138e-22,RNA,P2vsP1_rna,PMM0328,tier1:gene_id
TX50_RS01735,-4.6211279351197385,239.38907889277647,3.570284497688022e-20,1.0833764926591033e-18,RNA,P2vsP1_rna,PMM0329,tier1:gene_id
TX50_RS01740,-3.214803385018488,170.88950968183525,4.993805337797262e-11,3.757534016366964e-10,RNA,P2vsP1_rna,PMM0330,tier1:gene_id
TX50_RS01745,-2.6390554192708007,216.29965440163951,1.8630450698286945e-13,1.948303064549669e-12,RNA,P2vsP1_rna,PMM0331,tier1:gene_id
TX50_RS01750,-1.6407572876157024,3.428193756819495,0.1261738052272744,0.1749421074724232,RNA,P2vsP1_rna,PMM0332,tier1:gene_id
TX50_RS01755,1.397283264709399,315.24118064804674,1.107177247091307e-05,3.427065358471587e-05,RNA,P2vsP1_rna,PMM0333,tier1:gene_id
TX50_RS01760,3.6260850558508992,195.5898285979244,,,RNA,P2vsP1_rna,PMM0334,tier1:gene_id
TX50_RS01765,-0.9764366543717798,201.8136676159323,0.0143757958037716,0.0253666330150441,RNA,P2vsP1_rna,PMM0335,tier1:gene_id
TX50_RS01770,5.016074153075532,7959.578352455129,2.2442296334982282e-13,2.33374665820518e-12,RNA,P2vsP1_rna,PMM0336,tier1:gene_id
TX50_RS01775,4.404923755200296,304.8420159019965,6.507675217730579e-06,2.0876441643014387e-05,RNA,P2vsP1_rna,PMM0337,tier1:gene_id
TX50_RS01780,6.278731081746498,2172.0670793060044,3.289902110167708e-09,1.867978161325285e-08,RNA,P2vsP1_rna,PMM1813,tier1:gene_id
TX50_RS01785,2.8436643709563776,1833.8111999806736,6.582899239285277e-10,4.275419821725282e-09,RNA,P2vsP1_rna,PMM0338,tier1:gene_id
TX50_RS01790,-3.47945719993075,701.6670055021134,1.536910750511071e-11,1.2814512608990958e-10,RNA,P2vsP1_rna,PMM1814,tier1:gene_id
TX50_RS01795,4.0629636077521205,1088.047586307137,1.5013847848806383e-16,2.6467268922038684e-15,RNA,P2vsP1_rna,PMM0339,tier1:gene_id
TX50_RS01800,0.6618681659631048,189.9988008647108,0.0119042322910189,0.0212485380623684,RNA,P2vsP1_rna,PMM0340,tier1:gene_id
TX50_RS01805,2.2176555116439647,224.71451941477028,4.773935231137353e-09,2.6616126845889286e-08,RNA,P2vsP1_rna,PMM0341,tier1:gene_id
TX50_RS01810,2.858056483863054,390.8557005092942,2.061565387432255e-12,1.929419727476272e-11,RNA,P2vsP1_rna,PMM0342,tier1:gene_id
TX50_RS01815,0.9580619248389476,248.6303090160588,0.006120911099168,0.0115965265553327,RNA,P2vsP1_rna,PMM1816,tier1:gene_id
TX50_RS01820,0.8271668845488541,317.95707540216847,0.0172838257160895,0.0299553945697394,RNA,P2vsP1_rna,PMM0343,tier1:gene_id
TX50_RS01825,0.0250313787223845,80.32087831338752,0.9484195855568164,0.960691995717122,RNA,P2vsP1_rna,PMM0344,tier1:gene_id
TX50_RS01830,-0.1651139376450331,371.8796935692629,0.6785196783821593,0.7306224111026043,RNA,P2vsP1_rna,PMM0345,tier1:gene_id
TX50_RS01835,-2.5914367066091426,132.366774841319,7.705242508251591e-10,4.935087848710622e-09,RNA,P2vsP1_rna,PMM0346,tier1:gene_id
TX50_RS01840,2.951382820361075,564.7683678558996,4.8452795202714165e-17,9.245992156724114e-16,RNA,P2vsP1_rna,PMM0347,tier1:gene_id
TX50_RS01845,4.180174728276323,21025.080785412338,1.872294805350394e-45,3.4656176847035786e-42,RNA,P2vsP1_rna,PMM0348,tier1:gene_id
TX50_RS01850,1.081157014544013,46.998685590317855,0.0027130406062766,0.0054943524750745,RNA,P2vsP1_rna,PMM0349,tier1:gene_id
TX50_RS01855,-1.0821629105118542,16.34380206189133,0.0950168211682538,0.1369751837869453,RNA,P2vsP1_rna,PMM0350,tier1:gene_id
