baseMean,log2FoldChange (positive means more highly expressed in mitomycin C treatment),lfcSE,stat,pvalue,padj,gene,resolved_locus_tag,resolution_method
702.2548861,-0.405886794,0.169967506,-2.388025833,0.016939151,0.020615007,MIT0604_00107,EW14_0107,tier1:gene
757.0171989,-2.430369129,0.16710959,-14.54356468,6.42e-48,3.03e-47,MIT0604_00108,EW14_0108,tier1:gene
954.9792351,-2.291328858,0.108770306,-21.06575714,1.64e-98,1.51e-97,MIT0604_00109,EW14_0109,tier1:gene
133.7797338,-1.312491755,0.280484033,-4.679381349,2.88e-06,4.47e-06,MIT0604_00110,EW14_0110,tier1:gene
897.0023745,1.382007385,0.114964573,12.02115872,2.75e-33,9.61e-33,MIT0604_00111,EW14_0111,tier1:gene
409.2419508,-2.349510663,0.323804238,-7.255960189,3.99e-13,8.27e-13,MIT0604_00112,EW14_0112,tier1:gene
602.3310962,0.88047642,0.148283414,5.937794369,2.89e-09,5.16e-09,MIT0604_00113,EW14_0113,tier1:gene
2251.587335,-0.362262287,0.120769843,-2.999608834,0.002703265,0.003475869,MIT0604_00114,EW14_0114,tier1:gene
3707.191649,0.38986847,0.097909346,3.981933147,6.84e-05,9.85e-05,MIT0604_00115,EW14_0115,tier1:gene
1539.893835,0.569217433,0.132202214,4.305657348,1.66e-05,2.49e-05,MIT0604_00116,EW14_0116,tier1:gene
256.4773694,-0.427692679,0.128034759,-3.340441952,0.000836,0.001114724,MIT0604_00117,EW14_0117,tier1:gene
934.0684563,-0.237851625,0.137228093,-1.733257522,0.083049907,0.095938578,MIT0604_00118,EW14_0118,tier1:gene
611.1273836,0.214820147,0.128814143,1.667675168,0.095380228,0.109441326,MIT0604_00119,EW14_0119,tier1:gene
450.3644293,0.894539298,0.114007433,7.846324385,4.28e-15,9.38e-15,MIT0604_00120,EW14_0120,tier1:gene
719.8953247,0.379728538,0.096039354,3.953884755,7.69e-05,0.00011,MIT0604_00121,EW14_0121,tier1:gene
10.01692725,3.315015716,0.905081862,3.662669483,0.00025,0.000346,MIT0604_00122,EW14_0122,tier1:gene
215.018202,0.949523795,0.157908738,6.013117485,1.82e-09,3.29e-09,MIT0604_00123,EW14_0123,tier1:gene
372.0760581,1.564708271,0.138731088,11.27871402,1.67e-29,5.26e-29,MIT0604_00124,EW14_0124,tier1:gene
1525.515121,-1.244335842,0.112671824,-11.04389541,2.35e-28,7.19e-28,MIT0604_00125,EW14_RS00585,tier1:gene
1796.85693,-1.707790565,0.147800998,-11.55466192,6.99e-31,2.29e-30,MIT0604_00126,EW14_0126,tier1:gene
121.7391562,-2.542940079,0.411243026,-6.183545775,6.27e-10,1.15e-09,MIT0604_00127,,unresolved
154.3101314,0.01161802,0.174880669,0.066433989,0.947032311,0.951214495,MIT0604_00128,EW14_0128,tier1:gene
632.1234951,3.465678029,0.190188508,18.22233148,3.43e-74,2.3000000000000002e-73,MIT0604_00129,EW14_0129,tier1:gene
1511.172802,-0.464817515,0.105304928,-4.414014823,1.01e-05,1.53e-05,MIT0604_00130,EW14_0130,tier1:gene
7045.598072,-1.658802322,0.136917073,-12.11537965,8.76e-34,3.11e-33,MIT0604_00131,EW14_0131,tier1:gene
201.5927318,0.185032407,0.141629203,1.3064566,0.191397329,0.213161225,MIT0604_00132,EW14_0132,tier1:gene
189.1493287,1.564305449,0.31452649,4.973525277,6.57e-07,1.05e-06,MIT0604_00133,EW14_0133,tier1:gene
179.8348026,0.334257084,0.21345433,1.565941923,0.117362214,0.133541107,MIT0604_00134,EW14_0134,tier1:gene
806.0269814,2.357144125,0.13631458,17.29194428,5.409999999999999e-67,3.31e-66,MIT0604_00135,EW14_0135,tier1:gene
513.7830203,-0.674881267,0.156389205,-4.315395481,1.59e-05,2.39e-05,MIT0604_00136,EW14_0136,tier1:gene
592.2179867,-0.304893762,0.134225578,-2.271502686,0.023116565,0.027917173,MIT0604_00137,EW14_0137,tier1:gene
617.1324887,1.518862406,0.1101275,13.7918541,2.8500000000000004e-43,1.2199999999999999e-42,MIT0604_00138,EW14_0138,tier1:gene
1306.224335,0.735920039,0.172646821,4.262575081,2.02e-05,3e-05,MIT0604_00139,EW14_0139,tier1:gene
4142.217717,0.458073097,0.181517429,2.52357639,0.011616782,0.014316407,MIT0604_00140,EW14_0140,tier1:gene
688.1173064,-2.488489434,0.147039336,-16.92397085,3e-64,1.77e-63,MIT0604_00141,EW14_0141,tier1:gene
