mit0604_id,locus_tag
MIT0604_00239,EW14_0239
MIT0604_00240,EW14_0240
MIT0604_00241,EW14_0241
MIT0604_00242,EW14_0242
MIT0604_00243,EW14_0243
MIT0604_00244,EW14_0244
MIT0604_00245,EW14_0245
MIT0604_00246,EW14_0246
MIT0604_00247,EW14_0247
MIT0604_00248,EW14_0248
MIT0604_00249,EW14_0249
MIT0604_00250,EW14_0250
MIT0604_00251,EW14_0251
MIT0604_00252,EW14_0252
MIT0604_00253,EW14_0253
MIT0604_00254,EW14_0254
MIT0604_00255,EW14_0255
MIT0604_00256,EW14_0256
MIT0604_00257,EW14_0257
MIT0604_00258,EW14_0258
MIT0604_00259,EW14_0259
MIT0604_00260,EW14_0260
MIT0604_00261,EW14_0261
MIT0604_00262,EW14_0262
MIT0604_00263,EW14_0263
MIT0604_00264,EW14_0264
MIT0604_00265,EW14_0265
MIT0604_00266,EW14_0266
MIT0604_00267,EW14_0267
MIT0604_00268,EW14_0268
MIT0604_00269,EW14_0269
MIT0604_00270,EW14_0270
MIT0604_00271,EW14_0271
MIT0604_00272,EW14_0272
MIT0604_00273,EW14_0273
MIT0604_00274,EW14_0274
MIT0604_00275,EW14_0275
MIT0604_00276,EW14_0276
MIT0604_00277,EW14_0277
MIT0604_00278,EW14_0278
MIT0604_00279,EW14_0279
MIT0604_00280,EW14_0280
MIT0604_00282,EW14_0282
MIT0604_00283,EW14_0283
MIT0604_00285,EW14_0285
MIT0604_00286,EW14_0286
MIT0604_00287,EW14_0287
MIT0604_00288,EW14_0288
MIT0604_00289,EW14_0289
MIT0604_00290,EW14_0290
MIT0604_00291,EW14_0291
MIT0604_00292,EW14_0292
MIT0604_00293,EW14_0293
MIT0604_00294,EW14_0294
MIT0604_00295,EW14_0295
MIT0604_00296,EW14_0296
MIT0604_00297,EW14_0297
MIT0604_00298,EW14_0298
MIT0604_00299,EW14_0299
MIT0604_00300,EW14_0300
MIT0604_00301,EW14_0301
MIT0604_00302,EW14_0302
MIT0604_00303,EW14_0303
MIT0604_00304,EW14_0304
MIT0604_00305,EW14_0305
MIT0604_00306,EW14_0306
MIT0604_00307,EW14_0307
MIT0604_00308,EW14_0308
MIT0604_00309,EW14_0309
MIT0604_00310,EW14_0310
MIT0604_00311,EW14_0311
MIT0604_00312,EW14_0312
MIT0604_00313,EW14_0313
MIT0604_00314,EW14_0314
MIT0604_00315,EW14_0315
MIT0604_00316,EW14_0316
MIT0604_00317,EW14_0317
MIT0604_00318,EW14_0318
MIT0604_00319,EW14_0319
MIT0604_00320,EW14_0320
MIT0604_00321,EW14_0321
MIT0604_00322,EW14_0322
MIT0604_00323,EW14_0323
MIT0604_00324,EW14_0324
MIT0604_00325,EW14_0325
MIT0604_00326,EW14_0326
MIT0604_00327,EW14_0327
MIT0604_00328,EW14_0328
MIT0604_00329,EW14_0329
MIT0604_00330,EW14_0330
MIT0604_00331,EW14_0331
MIT0604_00332,EW14_0332
MIT0604_00333,EW14_0333
MIT0604_00334,EW14_0334
MIT0604_00335,EW14_0335
MIT0604_00336,EW14_0336
MIT0604_00337,EW14_0337
MIT0604_00338,EW14_0338
MIT0604_00339,EW14_0339
MIT0604_00340,EW14_0340
MIT0604_00341,EW14_0341
MIT0604_00342,EW14_0342
MIT0604_00343,EW14_0343
MIT0604_00344,EW14_0344
MIT0604_00345,EW14_0345
MIT0604_00346,EW14_0346
MIT0604_00347,EW14_0347
MIT0604_00348,EW14_0348
MIT0604_00349,EW14_0349
MIT0604_00350,EW14_0350
MIT0604_00351,EW14_0351
MIT0604_00352,EW14_0352
MIT0604_00353,EW14_0353
MIT0604_00354,EW14_0354
MIT0604_00355,EW14_0355
MIT0604_00356,EW14_0356
MIT0604_00357,EW14_0357
MIT0604_00358,EW14_0358
MIT0604_00359,EW14_0359
MIT0604_00360,EW14_0360
MIT0604_00361,EW14_0361
MIT0604_00362,EW14_0362
MIT0604_00363,EW14_0363
MIT0604_00364,EW14_0364
MIT0604_00365,EW14_0365
MIT0604_00366,EW14_0366
MIT0604_00367,EW14_0367
MIT0604_00368,EW14_0368
MIT0604_00369,EW14_0369
MIT0604_00370,EW14_0370
MIT0604_00371,EW14_0371
MIT0604_00372,EW14_0372
MIT0604_00373,EW14_0373
MIT0604_00374,EW14_0374
MIT0604_00375,EW14_0375
MIT0604_00376,EW14_0376
MIT0604_00377,EW14_0377
MIT0604_00378,EW14_0378
MIT0604_00379,EW14_0379
MIT0604_00380,EW14_0380
MIT0604_00381,EW14_0381
MIT0604_00382,EW14_0382
MIT0604_00383,EW14_0383
MIT0604_00384,EW14_0384
MIT0604_00385,EW14_0385
MIT0604_00386,EW14_0386
MIT0604_00387,EW14_0387
MIT0604_00388,EW14_0388
MIT0604_00389,EW14_0389
MIT0604_00390,EW14_0390
MIT0604_00391,EW14_0391
MIT0604_00392,EW14_0392
MIT0604_00393,EW14_0393
MIT0604_00394,EW14_0394
MIT0604_00395,EW14_0395
MIT0604_00396,EW14_0396
