locus_tag,number,log2_fold_change,standard_deviation,standard_error,p_value,category,definition,time_point,resolved_locus_tag,resolution_method
PMM0034,2,-0.09,0.89,0.63,0.71,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0034,locus_tag:locus_tag
PMM0035,2,2.04,1.39,0.99,0.22,Hydrogenase,soluble hydrogenase small subunit,12h,PMM0035,locus_tag:locus_tag
PMM0037,2,1.19,0.33,0.24,0.55,Purine ribonucleotide biosynthesis,Glutamine amidotransferase class-I:GMP synthase,12h,PMM0037,locus_tag:locus_tag
PMM0043,2,-0.98,1.23,0.87,0.14,Other,flavoprotein,12h,PMM0043,locus_tag:locus_tag
PMM0046,2,-1.93,0.52,0.37,0.01,Interconversions and salvage of nucleosides and nucleotides Nucleoside diphosphate kinase,,12h,PMM0046,locus_tag:locus_tag
PMM0048,2,0.54,0.01,0.0,0.87,Aminoacyl tRNA synthetases and tRNA modification,Glutamyl-tRNA (Gln) amidotransferase subunit B,12h,PMM0048,locus_tag:locus_tag
PMM0051,2,0.83,0.16,0.11,0.72,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0051,locus_tag:locus_tag
PMM0055,2,0.88,1.12,0.79,0.68,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0055,locus_tag:locus_tag
PMM0056,2,-1.09,2.52,1.78,0.86,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0056,locus_tag:locus_tag
PMM0058,2,3.06,0.22,0.15,0.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0058,locus_tag:locus_tag
PMM0059,2,0.52,0.37,0.26,1.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0059,locus_tag:locus_tag
PMM0060,2,-0.41,0.32,0.23,0.57,"Fatty acid, phospholipid and sterol metabolism","acetyl-CoA carboxylase, biotin carboxylase subunit",12h,PMM0060,locus_tag:locus_tag
PMM0061,2,-0.44,1.0,0.71,0.46,Other,"YGGT family, conserved hypothetical integral membrane protein",12h,PMM0061,locus_tag:locus_tag
PMM0062,2,-2.04,0.53,0.37,0.0,Photosystem II,photosystem II PsbX protein,12h,PMM0062,locus_tag:locus_tag
PMM0063,2,1.82,0.14,0.1,0.89,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0063,locus_tag:locus_tag
PMM0064,2,1.71,1.19,0.84,0.46,Adaptations and atypical conditions,possible high light inducible protein,12h,PMM0064,locus_tag:locus_tag
PMM0068,2,0.43,0.25,0.17,0.95,Regulatory functions,putative formylmethionine deformylase,12h,PMM0068,locus_tag:locus_tag
PMM0073,2,-0.26,0.45,0.31,0.68,Transport and binding proteins,"ABC transporter, membrane component",12h,PMM0073,locus_tag:locus_tag
PMM0075,2,1.95,1.06,0.75,0.05,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0075,locus_tag:locus_tag
PMM0078,2,-0.92,0.11,0.08,0.39,Other,possible 4'-phosphopantetheinyl transferase family protein,12h,PMM0078,locus_tag:locus_tag
PMM0079,2,-1.86,0.23,0.16,0.0,Transport and binding proteins,putative bacterioferritin comigratory (BCP) protein,12h,PMM0079,locus_tag:locus_tag
PMM0081,2,1.48,1.51,1.06,0.49,Serine family / Sulfur assimilation,Phosphoadenosine phosphosulfate reductase,12h,PMM0081,locus_tag:locus_tag
PMM0082,2,3.47,2.3,1.63,0.0,Regulatory functions,"putative NADH dehydrogenase, transport associated",12h,PMM0082,locus_tag:locus_tag
PMM0083,2,-0.8,1.01,0.71,0.23,Regulatory functions,"putative sodium/sulfate transporter, DASS family",12h,PMM0083,locus_tag:locus_tag
PMM0085,2,0.55,0.54,0.38,1.0,Regulatory functions,"putative potassium channel, VIC family",12h,PMM0085,locus_tag:locus_tag
PMM0086,2,-0.01,2.04,1.45,0.71,Conserved hypothetical protein,Conserved hypothetical protein,12h,PMM0086,locus_tag:locus_tag
PMM0087,2,2.87,1.77,1.25,0.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0087,locus_tag:locus_tag
PMM0088,2,1.77,0.94,0.67,0.19,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0088,locus_tag:locus_tag
PMM0091,2,1.28,1.46,1.03,0.36,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0091,locus_tag:locus_tag
PMM0092,2,2.26,1.76,1.24,0.19,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0092,locus_tag:locus_tag
PMM0093,2,-0.68,0.13,0.09,1.0,Adaptations and atypical conditions,possible high light inducible protein,12h,PMM0093,locus_tag:locus_tag
PMM0095,2,-0.61,1.4,0.99,0.35,Other,similar to serum resistance locus BrkB,12h,PMM0095,locus_tag:locus_tag
PMM0099,2,1.68,1.07,0.76,0.22,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0099,locus_tag:locus_tag
PMM0101,2,0.93,0.34,0.24,0.56,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0101,locus_tag:locus_tag
PMM0103,2,1.79,0.56,0.4,0.19,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0103,locus_tag:locus_tag
PMM0105,2,1.05,0.53,0.37,0.37,Riboflavin,RibD/ribG C-terminal domain,12h,PMM0105,locus_tag:locus_tag
PMM0106,2,0.76,0.27,0.19,0.97,Other,6-pyruvoyl tetrahydropterin synthase,12h,PMM0106,locus_tag:locus_tag
PMM0111,2,-0.06,0.64,0.45,0.73,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0111,locus_tag:locus_tag
PMM0114,2,-0.79,2.06,1.46,0.19,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0114,locus_tag:locus_tag
PMM0115,2,0.28,0.75,0.53,0.85,Carotenoid,zeta-carotene desaturase,12h,PMM0115,locus_tag:locus_tag
PMM0116,2,0.46,0.6,0.43,0.8,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0116,locus_tag:locus_tag
PMM0117,2,2.1,0.18,0.13,0.01,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0117,locus_tag:locus_tag
PMM0120,2,1.65,1.06,0.75,0.11,Cell division,putative cell division inhibitor,12h,PMM0120,locus_tag:locus_tag
PMM0121,2,0.59,0.43,0.3,0.76,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0121,locus_tag:locus_tag
PMM0123,2,0.65,0.62,0.44,1.0,Serine family / Sulfur assimilation,O-acetylserine (thiol)-lyase A,12h,PMM0123,locus_tag:locus_tag
PMM0124,2,1.03,1.55,1.1,0.85,Conserved hypothetical protein,conserved hypothetical protein in cyanobacteria,12h,PMM0124,locus_tag:locus_tag
PMM0125,2,-0.12,0.26,0.18,0.72,Transport and binding proteins,"possible ABC transporter, ATP-binding component",12h,PMM0125,locus_tag:locus_tag
PMM0126,2,0.52,0.49,0.34,0.85,Other,possible Herpesvirus UL6 like,12h,PMM0126,locus_tag:locus_tag
PMM0128,2,0.16,0.15,0.1,0.81,Regulatory functions,two-component response regulator,12h,PMM0128,locus_tag:locus_tag
PMM0132,2,-1.1,0.03,0.02,0.25,Other,cyanobacterial conserved hypothetical,12h,PMM0132,locus_tag:locus_tag
PMM0133,2,2.05,0.32,0.23,0.02,Radiation sensitivity,putative DNA repair protein RadA,12h,PMM0133,locus_tag:locus_tag
PMM0134,2,-1.66,1.09,0.77,0.11,Regulatory functions,two-component response regulator,12h,PMM0134,locus_tag:locus_tag
PMM0136,2,-1.05,1.72,1.22,0.12,"Fatty acid, phospholipid and sterol metabolism",3-oxoacyl-[acyl-carrier-protein] synthase III,12h,PMM0136,locus_tag:locus_tag
PMM0137,2,0.32,0.41,0.29,1.0,"Fatty acid, phospholipid and sterol metabolism",Malonyl coenzyme A-acyl carrier protein transacylase,12h,PMM0137,locus_tag:locus_tag
PMM0138,2,0.66,0.03,0.02,0.86,"Fatty acid, phospholipid and sterol metabolism",putative 1-acyl-sn-glycerol-3-phosphate acyltransferase,12h,PMM0138,locus_tag:locus_tag
PMM0139,2,-0.17,3.0,2.12,0.71,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0139,locus_tag:locus_tag
PMM0143,2,1.41,0.25,0.17,0.25,Carotenoid,Squalene and phytoene synthases,12h,PMM0143,locus_tag:locus_tag
PMM0144,2,1.68,0.41,0.29,0.19,Carotenoid,phytoene desaturase,12h,PMM0144,locus_tag:locus_tag
PMM0145,2,2.07,0.33,0.23,0.04,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0145,locus_tag:locus_tag
PMM0146,2,1.89,0.08,0.05,0.11,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0146,locus_tag:locus_tag
PMM0147,2,-0.01,0.04,0.03,0.69,Regulatory functions,putative Rubisco transcriptional regulator,12h,PMM0147,locus_tag:locus_tag
PMM0149,2,0.91,0.12,0.08,1.0,NADH dehydrogenase,putative NADH Dehydrogenase (complex I) subunit (chain 5),12h,PMM0149,locus_tag:locus_tag
PMM0150,2,1.71,0.14,0.1,0.19,NADH dehydrogenase,putative NADH dehydrogenase subunit (chain 4),12h,PMM0150,locus_tag:locus_tag
PMM0153,2,-1.82,0.65,0.46,0.03,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0153,locus_tag:locus_tag
PMM0154,2,-0.58,0.29,0.21,0.42,Regulatory functions,"Bacterial regulatory protein, LuxR family",12h,PMM0154,locus_tag:locus_tag
PMM0159,2,0.92,0.37,0.26,1.0,NADH dehydrogenase,putative NADH Dehydrogenase subunit,12h,PMM0159,locus_tag:locus_tag
PMM0160,2,2.66,0.59,0.42,0.0,NADH dehydrogenase,putative respiratory-chain NADH dehydrogenase subunit,12h,PMM0160,locus_tag:locus_tag
PMM0163,2,-0.73,0.05,0.04,0.49,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0163,locus_tag:locus_tag
PMM0164,2,1.56,0.36,0.26,0.28,Aromatic amino acid family,"Tryptophan synthase, beta chain:Pyridoxal-5'-phosphate-depend...",12h,PMM0164,locus_tag:locus_tag
PMM0166,2,-0.93,1.19,0.84,0.49,Serine family / Sulfur assimilation,Adenylylsulfate kinase,12h,PMM0166,locus_tag:locus_tag
PMM0172,2,1.24,0.37,0.26,0.34,NADH dehydrogenase,putative NADH dehydrogenase subunit,12h,PMM0172,locus_tag:locus_tag
PMM0179,2,1.26,1.73,1.22,0.95,Other,Glutaredoxin,12h,PMM0179,locus_tag:locus_tag
PMM0180,2,0.54,1.74,1.23,1.0,Protein modification and translation factors,peptide chain release factor RF-2,12h,PMM0180,locus_tag:locus_tag
PMM0184,2,1.6,0.61,0.43,0.28,Aromatic amino acid family,para-aminobenzoate synthase component II,12h,PMM0184,locus_tag:locus_tag
PMM0195,2,-0.11,1.01,0.72,0.66,Other,Phosphoglycerate kinase,12h,PMM0195,locus_tag:locus_tag
PMM0200,2,-0.5,0.01,0.01,0.64,Degradation of RNA,possible ribonuclease HI,12h,PMM0200,locus_tag:locus_tag
PMM0201,2,-2.45,0.0,0.0,0.0,Ribosomal proteins,50S ribosomal protein L7/L12,12h,PMM0201,locus_tag:locus_tag
PMM0202,2,-2.54,0.58,0.41,0.0,Ribosomal proteins,50S ribosomal protein L10,12h,PMM0202,locus_tag:locus_tag
PMM0203,2,-2.46,0.22,0.16,0.0,Ribosomal proteins,50S ribosomal protein L1,12h,PMM0203,locus_tag:locus_tag
PMM0204,2,-1.53,0.79,0.56,0.0,Ribosomal proteins,50S ribosomal protein L11,12h,PMM0204,locus_tag:locus_tag
PMM0205,2,1.15,0.38,0.27,0.71,"RNA synthesis, modification, and DNA transcription","transcription antitermination protein, NusG",12h,PMM0205,locus_tag:locus_tag
PMM0206,2,-1.11,0.31,0.22,0.24,Protein and peptide secretion,"putative preprotein translocase, SecE subunit",12h,PMM0206,locus_tag:locus_tag
PMM0208,2,-0.04,0.84,0.6,0.78,Other,Enolase,12h,PMM0208,locus_tag:locus_tag
PMM0209,2,-0.83,0.94,0.66,0.34,Other,possible kinase,12h,PMM0209,locus_tag:locus_tag
PMM0211,2,0.33,0.88,0.63,0.76,Other,FAD-dependent pyridine nucleotide-disulphide oxidoreductase,12h,PMM0211,locus_tag:locus_tag
PMM0212,2,3.02,0.23,0.16,0.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0212,locus_tag:locus_tag
PMM0213,2,2.02,0.33,0.24,0.01,Transport and binding proteins,putative sodium-dependent bicarbonate transporter,12h,PMM0213,locus_tag:locus_tag
PMM0214,2,-2.59,0.49,0.35,0.0,Regulatory functions,putative sulfate transporter,12h,PMM0214,locus_tag:locus_tag
PMM0218,2,-0.12,0.22,0.15,0.65,Other,GTP1/OBG family,12h,PMM0218,locus_tag:locus_tag
PMM0219,2,0.17,0.57,0.4,0.86,Conserved hypothetical protein,conserved hypothetical,12h,PMM0219,locus_tag:locus_tag
PMM0220,2,1.95,0.05,0.03,1.0,Other,No Cyanobase Name,12h,PMM0220,locus_tag:locus_tag
PMM0223,2,2.84,0.21,0.15,0.08,Photosystem II,Photosystem II PsbA protein (D1),12h,PMM0223,locus_tag:locus_tag
PMM0224,2,1.54,0.84,0.59,0.17,Aromatic amino acid family,Chorismate synthase,12h,PMM0224,locus_tag:locus_tag
PMM0226,2,0.03,0.74,0.53,0.65,Cell division,cell division protein FtsH2,12h,PMM0226,locus_tag:locus_tag
PMM0228,2,-0.4,1.4,0.99,0.42,Photosystem II,Photosystem II manganese-stabilizing protein,12h,PMM0228,locus_tag:locus_tag
PMM0231,2,-1.01,1.5,1.06,1.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0231,locus_tag:locus_tag
PMM0235,2,0.98,1.5,1.06,0.3,Aminoacyl tRNA synthetases and tRNA modification,Glutamyl-tRNA(Gln) amidotransferase subunit C,12h,PMM0235,locus_tag:locus_tag
PMM0237,2,-0.3,1.41,1.0,0.67,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0237,locus_tag:locus_tag
PMM0239,2,-1.41,0.03,0.02,0.08,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0239,locus_tag:locus_tag
PMM0242,2,0.33,0.7,0.5,1.0,Thiamine,thioredoxin-like protein TxlA,12h,PMM0242,locus_tag:locus_tag
PMM0243,2,0.45,0.94,0.67,0.8,Pyrimidine ribonucleotide biosynthesis,possible Thy1 protein homolog,12h,PMM0243,locus_tag:locus_tag
PMM0244,2,0.71,0.11,0.08,1.0,Purine ribonucleotide biosynthesis,dCTP Deaminase,12h,PMM0244,locus_tag:locus_tag
PMM0245,2,1.73,0.81,0.57,0.08,"Cobalamin, heme, phycobilin and porphyrin",cob(I)alamin adenosyltransferase,12h,PMM0245,locus_tag:locus_tag
PMM0246,2,1.71,1.56,1.1,0.26,Transport and binding proteins,"Global nitrogen regulatory protein, CRP family of transcriptional regulators",12h,PMM0246,locus_tag:locus_tag
PMM0251,2,-2.46,0.06,0.04,0.0,Photosystem II,Photosystem II PsbH protein,12h,PMM0251,locus_tag:locus_tag
PMM0252,2,1.68,0.27,0.19,0.3,Photosystem II,Photosystem II reaction centre N protein (psbN),12h,PMM0252,locus_tag:locus_tag
PMM0253,2,0.53,0.24,0.17,0.64,Photosystem II,photosystem II reaction center PsbI protein,12h,PMM0253,locus_tag:locus_tag
PMM0254,2,0.59,1.24,0.88,1.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0254,locus_tag:locus_tag
PMM0258,2,1.89,0.96,0.68,0.03,Other,Serine hydroxymethyltransferase (SHMT),12h,PMM0258,locus_tag:locus_tag
PMM0259,2,0.56,1.64,1.16,0.64,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0259,locus_tag:locus_tag
PMM0260,2,1.47,1.58,1.12,0.5,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0260,locus_tag:locus_tag
PMM0263,2,2.27,0.09,0.07,1.0,Transport and binding proteins,Ammonium transporter family,12h,PMM0263,locus_tag:locus_tag
PMM0264,2,-1.8,0.22,0.16,0.01,Murein sacculus and peptidoglycan,LytB protein homolog,12h,PMM0264,locus_tag:locus_tag
PMM0265,2,-0.66,0.23,0.16,0.49,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0265,locus_tag:locus_tag
PMM0267,2,-1.81,1.02,0.72,0.11,Other,probable esterase,12h,PMM0267,locus_tag:locus_tag
PMM0268,2,-0.25,0.13,0.09,0.92,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0268,locus_tag:locus_tag
PMM0272,2,-3.34,0.67,0.47,0.0,Photosystem II,Photosystem II protein PsbK,12h,PMM0272,locus_tag:locus_tag
PMM0273,2,-1.81,1.74,1.23,0.04,Other,probable oxidoreductase,12h,PMM0273,locus_tag:locus_tag
PMM0275,2,0.11,0.33,0.23,0.88,Pyrimidine ribonucleotide biosynthesis,Orotate phosphoribosyltransferase,12h,PMM0275,locus_tag:locus_tag
PMM0278,2,-0.13,0.0,0.0,0.75,Other,Phosphotransferase superclass,12h,PMM0278,locus_tag:locus_tag
PMM0279,2,-1.18,0.45,0.32,0.26,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0279,locus_tag:locus_tag
PMM0282,2,-0.17,1.35,0.95,0.52,"Fatty acid, phospholipid and sterol metabolism",enoyl-[acyl-carrier-protein] reductase,12h,PMM0282,locus_tag:locus_tag
PMM0284,2,-1.6,0.92,0.65,0.0,Regulatory functions,putative pleiotropic regulatory protein,12h,PMM0284,locus_tag:locus_tag
PMM0286,2,0.02,0.87,0.62,0.8,Other,NUDIX hydrolase,12h,PMM0286,locus_tag:locus_tag
PMM0289,2,1.44,0.76,0.54,0.29,Transport and binding proteins,possible ABC transporter,12h,PMM0289,locus_tag:locus_tag
PMM0290,2,0.9,0.81,0.57,0.71,Transport and binding proteins,"possible ABC transporter, ATP binding component",12h,PMM0290,locus_tag:locus_tag
PMM0293,2,1.41,0.02,0.01,0.45,NADH dehydrogenase,putative respiratory-chain NADH dehydrogenase subunit,12h,PMM0293,locus_tag:locus_tag
PMM0294,2,1.69,0.23,0.16,0.21,NADH dehydrogenase,putative NADH Dehydrogenase (complex I) subunit (chain 3),12h,PMM0294,locus_tag:locus_tag
PMM0295,2,-1.27,1.33,0.94,0.45,Other,probable rubredoxin,12h,PMM0295,locus_tag:locus_tag
PMM0296,2,-1.61,0.86,0.61,0.05,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0296,locus_tag:locus_tag
PMM0297,2,-0.21,0.12,0.08,0.81,Photosystem II,Cytochrome b559 alpha-subunit,12h,PMM0297,locus_tag:locus_tag
PMM0298,2,-0.1,0.05,0.03,0.85,Photosystem II,Cytochrome b559 beta-subunit,12h,PMM0298,locus_tag:locus_tag
PMM0299,2,-0.06,0.22,0.15,0.69,Photosystem II,photosystem II PsbL protein,12h,PMM0299,locus_tag:locus_tag
PMM0300,2,-0.32,0.43,0.3,0.54,Photosystem II,photosytem II PsbJ protein,12h,PMM0300,locus_tag:locus_tag
PMM0301,2,1.36,0.45,0.32,0.41,Other,5'-methylthioadenosine phosphorylase,12h,PMM0301,locus_tag:locus_tag
PMM0305,2,-1.72,1.4,0.99,0.0,Phycobilisome,Phycobilisome protein,12h,PMM0305,locus_tag:locus_tag
PMM0306,2,-3.32,0.23,0.16,0.0,Phycobilisome,phycoerythrin linker protein CpeS homolog,12h,PMM0306,locus_tag:locus_tag
PMM0307,2,-3.12,0.51,0.36,0.0,Conserved hypothetical protein,hypothetical,12h,PMM0307,locus_tag:locus_tag
PMM0308,2,-0.12,0.26,0.19,0.71,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0308,locus_tag:locus_tag
PMM0309,2,1.57,1.52,1.08,0.19,Other,possible Pollen allergen,12h,PMM0309,locus_tag:locus_tag
PMM0311,2,-1.49,0.32,0.23,0.02,Aspartate family,S-adenosylmethionine synthetase,12h,PMM0311,locus_tag:locus_tag
PMM0312,2,-2.38,0.0,0.0,0.0,Ribosomal proteins,"30S ribosomal protein S1, homolog A",12h,PMM0312,locus_tag:locus_tag
PMM0313,2,-0.66,0.38,0.27,0.64,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0313,locus_tag:locus_tag
PMM0314,2,-1.63,0.35,0.25,0.01,Photosystem II,Photosystem II PsbT protein,12h,PMM0314,locus_tag:locus_tag
PMM0315,2,-1.13,0.3,0.21,0.96,Photosystem II,Photosystem II PsbB protein (CP47),12h,PMM0315,locus_tag:locus_tag
PMM0316,2,0.89,0.8,0.57,0.99,Soluble electron carriers,possible ferredoxin,12h,PMM0316,locus_tag:locus_tag
PMM0317,2,-1.4,2.09,1.48,0.0,Photosystem II,possible Photosystem II reaction center M protein (PsbM),12h,PMM0317,locus_tag:locus_tag
PMM0318,2,-0.98,1.65,1.17,0.03,"Cobalamin, heme, phycobilin and porphyrin",putative protein methyltransferase,12h,PMM0318,locus_tag:locus_tag
PMM0321,2,0.28,0.31,0.22,1.0,Cell division,putative septum site-determining protein MinD,12h,PMM0321,locus_tag:locus_tag
PMM0324,2,-0.14,0.98,0.69,1.0,Detoxification,PDZ domain (also known as DHR or GLGF):Tail specific protease...,12h,PMM0324,locus_tag:locus_tag
PMM0325,2,-0.41,0.72,0.51,0.88,Cytochrome b6/f complex,Cytochrome b6,12h,PMM0325,locus_tag:locus_tag
PMM0326,2,0.62,0.76,0.54,0.97,Cytochrome b6/f complex,PetD protein (subunit IV of the Cytochrome b6f complex),12h,PMM0326,locus_tag:locus_tag
PMM0327,2,-0.43,0.08,0.06,0.51,Other,putative neutral invertase-like protein,12h,PMM0327,locus_tag:locus_tag
PMM0328,2,-0.86,0.2,0.14,0.42,"DNA replication, recombination, and repair",Formamidopyrimidine-DNA glycolase (FAPY-DNA glycolase),12h,PMM0328,locus_tag:locus_tag
PMM0329,2,-2.52,0.13,0.09,0.0,Photosystem I,Photosystem I PsaE protein (subunit IV),12h,PMM0329,locus_tag:locus_tag
PMM0333,2,0.16,0.6,0.42,0.79,Other,GCN5-related N-acetyltransferase,12h,PMM0333,locus_tag:locus_tag
PMM0334,2,4.37,0.06,0.04,0.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0334,locus_tag:locus_tag
PMM0336,2,2.32,0.38,0.27,0.0,Conserved hypothetical protein,conserved hypothetical,12h,PMM0336,locus_tag:locus_tag
PMM0337,2,8.66,0.91,0.64,0.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0337,locus_tag:locus_tag
PMM0338,2,0.42,2.04,1.44,1.0,Conserved hypothetical protein,conserved hypothetical,12h,PMM0338,locus_tag:locus_tag
PMM0339,2,1.25,0.88,0.62,0.63,Carotenoid,Bacterial-type phytoene dehydrogenase,12h,PMM0339,locus_tag:locus_tag
PMM0341,2,2.1,0.55,0.39,0.01,Conserved hypothetical protein,conserved hypothetical,12h,PMM0341,locus_tag:locus_tag
PMM0342,2,1.61,0.48,0.34,0.12,Other,possible Helper component proteinase,12h,PMM0342,locus_tag:locus_tag
PMM0343,2,1.49,1.27,0.9,0.2,Other,mttA/Hcf106 family,12h,PMM0343,locus_tag:locus_tag
PMM0345,2,-0.84,0.07,0.05,0.29,Transport and binding proteins,putative bacterioferritin comigratory protein,12h,PMM0345,locus_tag:locus_tag
PMM0346,2,-4.87,1.5,1.06,0.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0346,locus_tag:locus_tag
PMM0347,2,-0.58,0.37,0.26,0.52,Conserved hypothetical protein,conserved hypothetical,12h,PMM0347,locus_tag:locus_tag
PMM0348,2,-2.28,0.25,0.18,0.05,Other,possible Spectrin repeat,12h,PMM0348,locus_tag:locus_tag
PMM0350,2,-0.67,0.53,0.38,1.0,Regulatory functions,possible TIR domain,12h,PMM0350,locus_tag:locus_tag
PMM0356,2,-1.54,0.83,0.59,0.11,"Fatty acid, phospholipid and sterol metabolism",Alpha/beta hydrolase fold:Esterase/lipase/thioesterase family...,12h,PMM0356,locus_tag:locus_tag
PMM0363,2,1.46,0.07,0.05,0.22,Regulatory functions,possible MarR family,12h,PMM0363,locus_tag:locus_tag
PMM0364,2,3.43,0.56,0.39,0.0,Other,possible Malic enzyme,12h,PMM0364,locus_tag:locus_tag
PMM0365,2,4.49,0.36,0.26,0.0,Other,possible DsrE-like protein,12h,PMM0365,locus_tag:locus_tag
PMM0366,2,1.17,0.09,0.07,0.39,Transport and binding proteins,Type-1 copper (blue) domain,12h,PMM0366,locus_tag:locus_tag
PMM0367,2,1.3,0.97,0.68,0.74,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0367,locus_tag:locus_tag
PMM0368,2,2.72,1.12,0.79,0.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0368,locus_tag:locus_tag
PMM0370,2,3.85,0.6,0.42,0.0,Transport and binding proteins,"putative cyanate ABC transporter, substrate binding protein",12h,PMM0370,locus_tag:locus_tag
PMM0371,2,0.52,0.67,0.47,0.69,Transport and binding proteins,putative cyanate ABC transporter,12h,PMM0371,locus_tag:locus_tag
PMM0373,2,1.71,0.48,0.34,0.22,Other,Cyanate lyase,12h,PMM0373,locus_tag:locus_tag
PMM0374,2,1.55,1.44,1.02,0.43,Other,mttA/Hcf106 family,12h,PMM0374,locus_tag:locus_tag
PMM0377,2,1.81,0.0,0.0,0.06,Conserved hypothetical protein,hypothetical,12h,PMM0377,locus_tag:locus_tag
PMM0378,2,2.07,1.02,0.72,0.71,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0378,locus_tag:locus_tag
