locus_tag,number,log2_fold_change,standard_deviation,standard_error,p_value,category,definition,time_point,resolved_locus_tag,resolution_method
PMM0220,2,1.67,0.7,0.49,1.0,Other,No Cyanobase Name,24h,PMM0220,locus_tag:locus_tag
PMM0223,2,2.47,0.37,0.26,0.0,Photosystem II,Photosystem II PsbA protein (D1),24h,PMM0223,locus_tag:locus_tag
PMM0224,2,0.43,0.95,0.67,1.0,Aromatic amino acid family,Chorismate synthase,24h,PMM0224,locus_tag:locus_tag
PMM0226,2,0.18,0.13,0.09,0.77,Cell division,cell division protein FtsH2,24h,PMM0226,locus_tag:locus_tag
PMM0228,2,-0.73,0.83,0.58,0.14,Photosystem II,Photosystem II manganese-stabilizing protein,24h,PMM0228,locus_tag:locus_tag
PMM0231,2,-2.76,0.4,0.28,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0231,locus_tag:locus_tag
PMM0235,2,-0.52,1.04,0.73,0.72,Aminoacyl tRNA synthetases and tRNA modification,Glutamyl-tRNA(Gln) amidotransferase subunit C,24h,PMM0235,locus_tag:locus_tag
PMM0237,2,-0.21,0.06,0.04,0.75,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0237,locus_tag:locus_tag
PMM0239,2,-1.69,0.52,0.36,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0239,locus_tag:locus_tag
PMM0242,2,1.14,0.66,0.46,0.2,Thiamine,thioredoxin-like protein TxlA,24h,PMM0242,locus_tag:locus_tag
PMM0243,2,0.16,0.59,0.42,1.0,Pyrimidine ribonucleotide biosynthesis,possible Thy1 protein homolog,24h,PMM0243,locus_tag:locus_tag
PMM0244,2,0.06,0.22,0.15,0.6,Purine ribonucleotide biosynthesis,dCTP Deaminase,24h,PMM0244,locus_tag:locus_tag
PMM0245,2,1.58,0.4,0.28,0.04,"Cobalamin, heme, phycobilin and porphyrin",cob(I)alamin adenosyltransferase,24h,PMM0245,locus_tag:locus_tag
PMM0246,2,2.17,1.7,1.2,0.0,Transport and binding proteins,"Global nitrogen regulatory protein, CRP family of transcriptional regulators",24h,PMM0246,locus_tag:locus_tag
PMM0251,2,-2.79,0.26,0.18,0.0,Photosystem II,Photosystem II PsbH protein,24h,PMM0251,locus_tag:locus_tag
PMM0252,2,2.28,0.23,0.16,0.0,Photosystem II,Photosystem II reaction centre N protein (psbN),24h,PMM0252,locus_tag:locus_tag
PMM0253,2,0.28,0.54,0.38,1.0,Photosystem II,photosystem II reaction center PsbI protein,24h,PMM0253,locus_tag:locus_tag
PMM0254,2,-0.13,0.11,0.08,0.61,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0254,locus_tag:locus_tag
PMM0258,2,1.81,0.56,0.39,0.02,Other,Serine hydroxymethyltransferase (SHMT),24h,PMM0258,locus_tag:locus_tag
PMM0259,2,0.28,0.69,0.49,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0259,locus_tag:locus_tag
PMM0260,2,1.27,2.31,1.64,0.4,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0260,locus_tag:locus_tag
PMM0263,2,2.26,0.23,0.16,1.0,Transport and binding proteins,Ammonium transporter family,24h,PMM0263,locus_tag:locus_tag
PMM0264,2,-1.32,0.69,0.49,0.09,Murein sacculus and peptidoglycan,LytB protein homolog,24h,PMM0264,locus_tag:locus_tag
PMM0265,2,-1.03,0.56,0.4,0.19,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0265,locus_tag:locus_tag
PMM0267,2,-1.67,0.16,0.12,0.06,Other,probable esterase,24h,PMM0267,locus_tag:locus_tag
PMM0268,2,0.06,0.12,0.09,0.88,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0268,locus_tag:locus_tag
PMM0272,2,-4.18,1.09,0.77,0.0,Photosystem II,Photosystem II protein PsbK,24h,PMM0272,locus_tag:locus_tag
PMM0273,2,-1.1,0.5,0.35,0.14,Other,probable oxidoreductase,24h,PMM0273,locus_tag:locus_tag
PMM0275,2,-1.17,0.96,0.68,0.04,Pyrimidine ribonucleotide biosynthesis,Orotate phosphoribosyltransferase,24h,PMM0275,locus_tag:locus_tag
PMM0278,2,0.03,0.1,0.07,0.91,Other,Phosphotransferase superclass,24h,PMM0278,locus_tag:locus_tag
PMM0279,2,-0.79,1.38,0.98,0.19,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0279,locus_tag:locus_tag
PMM0282,2,0.41,1.5,1.06,0.7,"Fatty acid, phospholipid and sterol metabolism",enoyl-[acyl-carrier-protein] reductase,24h,PMM0282,locus_tag:locus_tag
PMM0284,2,-1.39,0.24,0.17,0.05,Regulatory functions,putative pleiotropic regulatory protein,24h,PMM0284,locus_tag:locus_tag
PMM0286,2,-1.23,0.26,0.18,0.13,Other,NUDIX hydrolase,24h,PMM0286,locus_tag:locus_tag
PMM0289,2,1.24,0.13,0.1,0.21,Transport and binding proteins,possible ABC transporter,24h,PMM0289,locus_tag:locus_tag
PMM0290,2,1.16,0.33,0.23,0.33,Transport and binding proteins,"possible ABC transporter, ATP binding component",24h,PMM0290,locus_tag:locus_tag
PMM0293,2,0.82,0.24,0.17,0.5,NADH dehydrogenase,putative respiratory-chain NADH dehydrogenase subunit,24h,PMM0293,locus_tag:locus_tag
PMM0294,2,1.32,0.75,0.53,0.27,NADH dehydrogenase,putative NADH Dehydrogenase (complex I) subunit (chain 3),24h,PMM0294,locus_tag:locus_tag
PMM0295,2,-0.84,0.43,0.3,0.21,Other,probable rubredoxin,24h,PMM0295,locus_tag:locus_tag
PMM0296,2,-1.56,0.42,0.3,0.01,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0296,locus_tag:locus_tag
PMM0297,2,-0.52,0.26,0.18,0.86,Photosystem II,Cytochrome b559 alpha-subunit,24h,PMM0297,locus_tag:locus_tag
PMM0298,2,-0.69,0.26,0.19,0.87,Photosystem II,Cytochrome b559 beta-subunit,24h,PMM0298,locus_tag:locus_tag
PMM0299,2,-1.15,0.23,0.16,0.06,Photosystem II,photosystem II PsbL protein,24h,PMM0299,locus_tag:locus_tag
PMM0300,2,-1.16,0.01,0.01,0.16,Photosystem II,photosytem II PsbJ protein,24h,PMM0300,locus_tag:locus_tag
PMM0301,2,1.82,0.08,0.06,0.04,Other,5'-methylthioadenosine phosphorylase,24h,PMM0301,locus_tag:locus_tag
PMM0305,2,-2.06,1.49,1.05,0.03,Phycobilisome,Phycobilisome protein,24h,PMM0305,locus_tag:locus_tag
PMM0306,2,-3.8,1.16,0.82,0.0,Phycobilisome,phycoerythrin linker protein CpeS homolog,24h,PMM0306,locus_tag:locus_tag
PMM0307,2,-3.44,0.68,0.48,0.0,Conserved hypothetical protein,hypothetical,24h,PMM0307,locus_tag:locus_tag
PMM0308,2,0.95,0.7,0.49,0.51,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0308,locus_tag:locus_tag
PMM0309,2,0.04,0.54,0.38,1.0,Other,possible Pollen allergen,24h,PMM0309,locus_tag:locus_tag
PMM0311,2,-1.65,0.74,0.53,0.01,Aspartate family,S-adenosylmethionine synthetase,24h,PMM0311,locus_tag:locus_tag
PMM0312,2,-1.75,0.43,0.31,0.0,Ribosomal proteins,"30S ribosomal protein S1, homolog A",24h,PMM0312,locus_tag:locus_tag
PMM0313,2,-0.59,0.47,0.33,0.55,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0313,locus_tag:locus_tag
PMM0314,2,-1.53,0.4,0.28,0.02,Photosystem II,Photosystem II PsbT protein,24h,PMM0314,locus_tag:locus_tag
PMM0315,2,-1.1,0.36,0.26,0.95,Photosystem II,Photosystem II PsbB protein (CP47),24h,PMM0315,locus_tag:locus_tag
PMM0316,2,1.19,0.76,0.53,0.37,Soluble electron carriers,possible ferredoxin,24h,PMM0316,locus_tag:locus_tag
PMM0317,2,-1.93,0.78,0.55,0.0,Photosystem II,possible Photosystem II reaction center M protein (PsbM),24h,PMM0317,locus_tag:locus_tag
PMM0318,2,-1.55,1.18,0.84,0.0,"Cobalamin, heme, phycobilin and porphyrin",putative protein methyltransferase,24h,PMM0318,locus_tag:locus_tag
PMM0321,2,-0.27,0.33,0.23,0.51,Cell division,putative septum site-determining protein MinD,24h,PMM0321,locus_tag:locus_tag
PMM0324,2,-0.54,1.55,1.09,0.41,Detoxification,PDZ domain (also known as DHR or GLGF):Tail specific protease...,24h,PMM0324,locus_tag:locus_tag
PMM0325,2,-0.82,0.58,0.41,1.0,Cytochrome b6/f complex,Cytochrome b6,24h,PMM0325,locus_tag:locus_tag
PMM0326,2,0.37,0.11,0.08,1.0,Cytochrome b6/f complex,PetD protein (subunit IV of the Cytochrome b6f complex),24h,PMM0326,locus_tag:locus_tag
PMM0327,2,0.11,0.05,0.04,0.72,Other,putative neutral invertase-like protein,24h,PMM0327,locus_tag:locus_tag
PMM0328,2,-1.81,0.46,0.33,0.0,"DNA replication, recombination, and repair",Formamidopyrimidine-DNA glycolase (FAPY-DNA glycolase),24h,PMM0328,locus_tag:locus_tag
PMM0329,2,-2.13,0.33,0.23,0.0,Photosystem I,Photosystem I PsaE protein (subunit IV),24h,PMM0329,locus_tag:locus_tag
PMM0333,2,1.01,0.96,0.68,0.34,Other,GCN5-related N-acetyltransferase,24h,PMM0333,locus_tag:locus_tag
PMM0334,2,2.84,1.79,1.27,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0334,locus_tag:locus_tag
PMM0336,2,1.33,0.38,0.27,0.27,Conserved hypothetical protein,conserved hypothetical,24h,PMM0336,locus_tag:locus_tag
PMM0337,2,8.45,0.19,0.14,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0337,locus_tag:locus_tag
PMM0338,2,0.55,0.29,0.2,0.89,Conserved hypothetical protein,conserved hypothetical,24h,PMM0338,locus_tag:locus_tag
PMM0339,2,0.41,0.7,0.5,1.0,Carotenoid,Bacterial-type phytoene dehydrogenase,24h,PMM0339,locus_tag:locus_tag
PMM0341,2,1.3,0.16,0.11,0.19,Conserved hypothetical protein,conserved hypothetical,24h,PMM0341,locus_tag:locus_tag
PMM0342,2,1.21,0.05,0.04,0.36,Other,possible Helper component proteinase,24h,PMM0342,locus_tag:locus_tag
PMM0343,2,0.98,1.21,0.85,0.68,Other,mttA/Hcf106 family,24h,PMM0343,locus_tag:locus_tag
PMM0345,2,0.19,0.03,0.02,0.8,Transport and binding proteins,putative bacterioferritin comigratory protein,24h,PMM0345,locus_tag:locus_tag
PMM0346,2,-6.53,2.46,1.74,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0346,locus_tag:locus_tag
PMM0347,2,0.09,0.22,0.16,0.58,Conserved hypothetical protein,conserved hypothetical,24h,PMM0347,locus_tag:locus_tag
PMM0348,2,-0.77,1.08,0.77,0.97,Other,possible Spectrin repeat,24h,PMM0348,locus_tag:locus_tag
PMM0350,2,-1.37,1.82,1.29,0.57,Regulatory functions,possible TIR domain,24h,PMM0350,locus_tag:locus_tag
PMM0351,2,1.24,1.76,1.24,0.33,"Cobalamin, heme, phycobilin and porphyrin","possible Small, acid-soluble spore proteins, a",24h,PMM0351,locus_tag:locus_tag
PMM0356,2,-2.27,0.86,0.61,0.0,"Fatty acid, phospholipid and sterol metabolism",Alpha/beta hydrolase fold:Esterase/lipase/thioesterase family...,24h,PMM0356,locus_tag:locus_tag
PMM0363,2,1.66,0.48,0.34,0.04,Regulatory functions,possible MarR family,24h,PMM0363,locus_tag:locus_tag
PMM0364,2,3.47,0.67,0.47,0.0,Other,possible Malic enzyme,24h,PMM0364,locus_tag:locus_tag
PMM0365,2,4.11,0.31,0.22,0.0,Other,possible DsrE-like protein,24h,PMM0365,locus_tag:locus_tag
PMM0366,2,1.49,0.35,0.25,0.1,Transport and binding proteins,Type-1 copper (blue) domain,24h,PMM0366,locus_tag:locus_tag
PMM0367,2,1.12,1.06,0.75,0.61,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0367,locus_tag:locus_tag
PMM0368,2,2.58,0.42,0.3,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0368,locus_tag:locus_tag
PMM0370,2,3.84,0.29,0.21,0.0,Transport and binding proteins,"putative cyanate ABC transporter, substrate binding protein",24h,PMM0370,locus_tag:locus_tag
