Synonym,Product,Expression 9313+1A3 ,Expression med 4,Expression 9313+1A3 ,Expression med 4,qValue 9313+1A3  vs med 4,fold change 9313+1A3/med4+1A3
AMHOT1A3_single_01596,abortive infection protein,29,43,29.01,43.01,0.102566432,0.674494304
AMHOT1A3_single_00432,glutaredoxin,29,44,29.01,44.01,0.122646563,0.659168371
AMHOT1A3_single_02002,isocitrate dehydrogenase (NADP(+)),29,7,29.01,7.01,0.144415393,4.138373752
AMHOT1A3_single_00612,acetyltransferase,29,38,29.01,38.01,0.159074376,0.763220205
AMHOT1A3_single_00546,"sigma S (sigma 38) factor of RNA polymerase, major sigma factor during stationary phase",29,40,29.01,40.01,0.159266789,0.725068733
AMHOT1A3_single_01244,hypothetical protein,29,38,29.01,38.01,0.179337035,0.763220205
AMHOT1A3_single_00601,transposase,29,34,29.01,34.01,0.245855104,0.852984416
AMHOT1A3_single_00291,chemotaxis protein CheY,29,36,29.01,36.01,0.282521451,0.805609553
AMHOT1A3_single_00359,membrane-bound lytic transglycosylase-like protein,29,29,29.01,29.01,0.360259381,1
AMHOT1A3_single_00317,two-component system sensor kinase/response regulator fusion protein,29,27,29.01,27.01,0.386406835,1.074046649
AMHOT1A3_single_00703,4-hydroxythreonine-4-phosphate dehydrogenase,29,26,29.01,26.01,0.394050807,1.115340254
AMHOT1A3_single_01063,chemotaxis-specific protein-glutamate methyltransferase,29,33,29.01,33.01,0.408863433,0.878824599
AMHOT1A3_single_00202,hypothetical protein,29,28,29.01,28.01,0.417222399,1.035701535
AMHOT1A3_single_01555,outer membrane protein RomA,29,25,29.01,25.01,0.43365376,1.159936026
AMHOT1A3_single_00035,smg protein,29,25,29.01,25.01,0.437309971,1.159936026
AMHOT1A3_single_00950,glucose-1-phosphate uridylyltransferase,29,23,29.01,23.01,0.464512691,1.260756193
AMHOT1A3_single_01817,hypothetical protein,29,24,29.01,24.01,0.470046991,1.208246564
AMHOT1A3_single_02005,Flagellar protein YcgR,29,23,29.01,23.01,0.512863405,1.260756193
AMHOT1A3_single_00928,Flagellar hook-length control protein FliK,29,20,29.01,20.01,0.537915658,1.449775112
AMHOT1A3_single_01510,glyoxalase family protein,29,18,29.01,18.01,0.580263963,1.610771793
AMHOT1A3_single_01434,ADP-ribose pyrophosphatase,29,13,29.01,13.01,0.613094281,2.229823213
AMHOT1A3_single_00360,penicillin-binding protein 1B,28,43,28.01,43.01,0.090245166,0.651243897
AMHOT1A3_single_01871,rare lipoprotein A,28,40,28.01,40.01,0.113043817,0.700074981
AMHOT1A3_single_01013,flagellar basal body P-ring protein,28,39,28.01,39.01,0.151753505,0.71802102
AMHOT1A3_single_01220,amino acid ABC transporter/signal transduction system substrate-binding protein,28,29,28.01,29.01,0.299543262,0.965529128
AMHOT1A3_single_00986,acetyl-CoA carboxylase carboxyltransferase subunit alpha,28,28,28.01,28.01,0.324951791,1
AMHOT1A3_single_01198,sodium-type flagellar protein MotY,28,28,28.01,28.01,0.331583463,1
AMHOT1A3_single_01867,lipoyl synthase,28,25,28.01,25.01,0.406194596,1.119952019
AMHOT1A3_single_01250,cytochrome c assembly protein,28,24,28.01,24.01,0.427598349,1.166597251
AMHOT1A3_single_01893,signal transduction protein,28,24,28.01,24.01,0.447064024,1.166597251
AMHOT1A3_single_00280,hypothetical protein,28,22,28.01,22.01,0.466897142,1.272603362
AMHOT1A3_single_01409,NAD kinase,28,22,28.01,22.01,0.49377913,1.272603362
AMHOT1A3_single_00535,proline dipeptidase,28,21,28.01,21.01,0.511167105,1.333174679
AMHOT1A3_single_01995,CheY-like receiver protein,28,17,28.01,17.01,0.667130949,1.646678424
AMHOT1A3_single_01066,chemotaxis protein CheW,28,7,28.01,7.01,0.761396495,3.995720399
AMHOT1A3_single_01735,AIG2-like family protein,27,51,27.01,51.01,0.020633456,0.529504019
AMHOT1A3_single_01903,proline/sodium symporter,27,44,27.01,44.01,0.04899818,0.613724154
AMHOT1A3_single_00090,hypothetical protein,27,45,27.01,45.01,0.059916964,0.600088869
AMHOT1A3_single_00401,type IV pilus biogenesis protein PilM,27,40,27.01,40.01,0.117749385,0.67508123
AMHOT1A3_single_01741,3-hydroxyacyl-CoA dehydrogenase,27,39,27.01,39.01,0.138440273,0.692386568
AMHOT1A3_single_00969,methionine aminopeptidase,27,35,27.01,35.01,0.158867615,0.771493859
AMHOT1A3_single_02025,hypothetical protein,27,35,27.01,35.01,0.188845283,0.771493859
AMHOT1A3_single_00461,hypothetical protein,27,32,27.01,32.01,0.23826015,0.843798813
AMHOT1A3_single_01094,peptide ABC transporter ATP-binding protein,27,32,27.01,32.01,0.260926155,0.843798813
AMHOT1A3_single_01608,hypothetical protein,27,35,27.01,35.01,0.267864422,0.771493859
AMHOT1A3_single_00111,heme biosynthesis protein,27,32,27.01,32.01,0.277392325,0.843798813
AMHOT1A3_single_00869,hypothetical protein,27,27,27.01,27.01,0.351018333,1
AMHOT1A3_single_01038,flagellar regulatory protein C,27,23,27.01,23.01,0.435076813,1.173837462
AMHOT1A3_single_01329,multidrug resistance protein,27,22,27.01,22.01,0.474605099,1.227169468
AMHOT1A3_single_01512,"homogentisate 1,2-dioxygenase",27,23,27.01,23.01,0.500323974,1.173837462
AMHOT1A3_single_00495,hypothetical protein,27,22,27.01,22.01,0.503605971,1.227169468
AMHOT1A3_single_01265,tRNA (guanine-N(1)-)-methyltransferase,27,17,27.01,17.01,0.568342953,1.587889477
AMHOT1A3_single_01359,molybdenum cofactor biosynthesis protein A,27,12,27.01,12.01,0.68755431,2.248959201
AMHOT1A3_single_00845,hypothetical protein,27,17,27.01,17.01,0.876699293,1.587889477
AMHOT1A3_single_00834,arginase family protein,27,16,27.01,16.01,0.967229147,1.687070581
AMHOT1A3_single_00667,Peptidase family M49,26,38,26.01,38.01,0.087609314,0.684293607
AMHOT1A3_single_01149,arginyl-tRNA ligase,26,39,26.01,39.01,0.120176874,0.666752115
AMHOT1A3_single_01806,hypothetical protein,26,35,26.01,35.01,0.177282266,0.742930591
AMHOT1A3_single_00140,ribosomal protein S6 modification protein,26,30,26.01,30.01,0.268753837,0.866711096
AMHOT1A3_single_01696,invasin domain-containing protein,26,25,26.01,25.01,0.395096641,1.039984006
AMHOT1A3_single_01698,DNA topoisomerase I subunit omega,26,24,26.01,24.01,0.399520731,1.083298626
AMHOT1A3_single_00020,3-methyladenine DNA glycosylase,26,20,26.01,20.01,0.471239005,1.299850075
AMHOT1A3_single_00630,chemotaxis transducer,26,21,26.01,21.01,0.476967568,1.237981913
AMHOT1A3_single_00284,Outer membrane efflux protein,26,19,26.01,19.01,0.527055104,1.368227249
AMHOT1A3_single_00978,membrane-associated zinc metalloprotease,26,13,26.01,13.01,0.657003968,1.99923136
AMHOT1A3_single_02028,L-serine dehydratase 1,26,19,26.01,19.01,1,1.368227249
AMHOT1A3_single_01125,thioesterase family protein,25,48,25.01,48.01,0.014081194,0.520933139
AMHOT1A3_single_01469,50S ribosomal protein L25/general stress protein Ctc,25,41,25.01,41.01,0.157911126,0.609851256
AMHOT1A3_single_00102,hypothetical protein,25,6,25.01,6.01,0.29158533,4.161397671
AMHOT1A3_single_00938,surface lipoprotein,25,27,25.01,27.01,0.302547715,0.925953351
AMHOT1A3_single_01012,flagellar basal body L-ring protein,25,28,25.01,28.01,0.303806598,0.892895395
AMHOT1A3_single_01949,short-chain dehydrogenase,25,32,25.01,32.01,0.312604733,0.781318338
AMHOT1A3_single_00292,two-component sensor CheA,25,26,25.01,26.01,0.331024509,0.961553249
AMHOT1A3_single_03967,tryptophan halogenase,25,23,25.01,23.01,0.401190067,1.086918731
AMHOT1A3_single_02036,dihydrolipoamide acetyltransferase,25,22,25.01,22.01,0.436265736,1.136301681
AMHOT1A3_single_00736,cytochrome B,25,22,25.01,22.01,0.437713433,1.136301681
AMHOT1A3_single_00096,hypothetical protein,25,20,25.01,20.01,0.471403354,1.249875062
AMHOT1A3_single_00585,TPR domain-containing protein,25,18,25.01,18.01,0.522841717,1.388672959
AMHOT1A3_single_01632,phenylalanyl-tRNA synthetase subunit alpha,25,21,25.01,21.01,0.534600718,1.190385531
AMHOT1A3_single_04087,hypothetical protein,25,16,25.01,16.01,0.574720177,1.562148657
AMHOT1A3_single_00037,double-stranded RNA-binding protein,25,15,25.01,15.01,0.593416834,1.666222518
AMHOT1A3_single_00166,ATP-dependent DNA helicase,25,15,25.01,15.01,0.595978331,1.666222518
AMHOT1A3_single_00118,DNA-directed RNA polymerase subunit omega,25,11,25.01,11.01,0.983691028,2.271571299
AMHOT1A3_single_00860,phage integrase family site specific recombinase,25,13,25.01,13.01,0.984285919,1.92236741
AMHOT1A3_single_01099,phage shock protein A,25,16,25.01,16.01,1,1.562148657
AMHOT1A3_single_01965,succinate dehydrogenase catalytic subunit,24,37,24.01,37.01,0.092980049,0.648743583
AMHOT1A3_single_00988,diguanylate cyclase,24,34,24.01,34.01,0.102286674,0.705968833
AMHOT1A3_single_01016,flagellar hook-associated protein FlgL,24,33,24.01,33.01,0.138440273,0.727355347
AMHOT1A3_single_01486,23S rRNA ribose 2'-O-ribose methyltransferase,24,39,24.01,39.01,0.139278521,0.615483209
AMHOT1A3_single_00220,mannose-sensitive agglutinin biogenesis protein MshI,24,31,24.01,31.01,0.181232841,0.774266366
AMHOT1A3_single_00492,Rho-binding antiterminator,24,34,24.01,34.01,0.233409731,0.705968833
AMHOT1A3_single_01121,biopolymer transport protein,24,30,24.01,30.01,0.289777331,0.800066644
AMHOT1A3_single_01256,Tellurite resistance protein TerB,24,24,24.01,24.01,0.308725358,1
AMHOT1A3_single_01861,hypothetical protein,24,30,24.01,30.01,0.311105507,0.800066644
AMHOT1A3_single_00875,"two component transcriptional regulator, winged helix family protein",24,24,24.01,24.01,0.360515313,1
AMHOT1A3_single_00326,Twin-arginine translocation pathway signal,24,26,24.01,26.01,0.381335779,0.923106498
AMHOT1A3_single_00583,sirohydrochlorin ferrochelatase,24,5,24.01,5.01,0.386406835,4.79241517
AMHOT1A3_single_00652,phosphate ABC transporter substrate-binding protein,24,8,24.01,8.01,0.394833217,2.997503121
AMHOT1A3_single_00815,ECF subfamily RNA polymerase sigma-24 factor,24,21,24.01,21.01,0.417182381,1.142789148
AMHOT1A3_single_01471,ribose-phosphate pyrophosphokinase,24,23,24.01,23.01,0.439780178,1.043459365
AMHOT1A3_single_00655,RNA polymerase sigma factor,24,21,24.01,21.01,0.44525631,1.142789148
AMHOT1A3_single_00013,chromosomal replication initiator protein dnaA,24,20,24.01,20.01,0.448130474,1.19990005
AMHOT1A3_single_01004,chemotaxis protein,24,20,24.01,20.01,0.458587567,1.19990005
AMHOT1A3_single_01634,integration host factor subunit alpha,24,19,24.01,19.01,0.474932993,1.263019463
AMHOT1A3_single_01335,asparaginyl-tRNA ligase,24,18,24.01,18.01,0.480844291,1.333148251
AMHOT1A3_single_01938,hypothetical protein,24,18,24.01,18.01,0.508678329,1.333148251
AMHOT1A3_single_00574,pseudouridylate synthase,24,16,24.01,16.01,0.535120981,1.499687695
AMHOT1A3_single_00229,pilin protein,24,17,24.01,17.01,0.539068307,1.411522634
AMHOT1A3_single_01084,carbon storage regulator,24,15,24.01,15.01,0.555833792,1.599600266
AMHOT1A3_single_01666,isovaleryl-CoA dehydrogenase,24,14,24.01,14.01,0.600476724,1.713775874
AMHOT1A3_single_00606,hypothetical protein,24,7,24.01,7.01,0.791483159,3.42510699
AMHOT1A3_single_01760,two-component member protein,24,11,24.01,11.01,0.796688526,2.180744777
AMHOT1A3_single_01852,isocitrate dehydrogenase,24,9,24.01,9.01,0.823449779,2.66481687
AMHOT1A3_single_00228,hypothetical protein,24,8,24.01,8.01,0.894225758,2.997503121
AMHOT1A3_single_00563,RNA pyrophosphohydrolase,24,8,24.01,8.01,1,2.997503121
AMHOT1A3_single_01704,formate dehydrogenase oxidoreductase protein,24,11,24.01,11.01,1,2.180744777
AMHOT1A3_single_01277,chemotaxis protein CheY/response regulator receiver domain-containing protein,23,43,23.01,43.01,0.020184476,0.534991862
AMHOT1A3_single_01079,transcriptional regulator BetI,23,4,23.01,4.01,0.069511242,5.738154613
AMHOT1A3_single_00321,"oxidoreductase, Gfo/Idh/MocA family protein",23,36,23.01,36.01,0.095242465,0.63898917
AMHOT1A3_single_01123,TPR domain-containing protein,23,33,23.01,33.01,0.167678194,0.697061497
AMHOT1A3_single_01835,hypothetical protein,23,30,23.01,30.01,0.239860402,0.766744419
AMHOT1A3_single_01773,amidohydrolase,23,5,23.01,5.01,0.270534582,4.592814371
AMHOT1A3_single_00816,hypothetical protein,23,24,23.01,24.01,0.335976594,0.958350687
AMHOT1A3_single_01874,rRNA large subunit methyltransferase,23,18,23.01,18.01,0.490350007,1.277623542
AMHOT1A3_single_00478,NAD-dependent aldehyde dehydrogenase,23,18,23.01,18.01,0.510704311,1.277623542
AMHOT1A3_single_00256,oxidative damage protection protein,23,24,23.01,24.01,0.531186887,0.958350687
AMHOT1A3_single_00963,hypothetical protein,23,6,23.01,6.01,0.602313345,3.828618968
AMHOT1A3_single_01603,translation initiation factor 3,23,13,23.01,13.01,0.61741258,1.768639508
AMHOT1A3_single_01022,flagellar hook-associated 2-like protein,23,10,23.01,10.01,0.631326465,2.298701299
AMHOT1A3_single_01898,hypothetical protein,23,11,23.01,11.01,0.703032062,2.089918256
AMHOT1A3_single_00894,Di-heme cytochrome c peroxidase,22,44,22.01,44.01,0.014539556,0.500113611
AMHOT1A3_single_01076,carbonic anhydrase,22,42,22.01,42.01,0.017283166,0.523922876
AMHOT1A3_single_04091,hypothetical protein,22,41,22.01,41.01,0.028865429,0.536698366
AMHOT1A3_single_00786,extracellular ligand-binding receptor,22,41,22.01,41.01,0.032887868,0.536698366
AMHOT1A3_single_01564,aldehyde dehydrogenase subunit III,22,32,22.01,32.01,0.136364137,0.687597626
AMHOT1A3_single_01388,YciI-like protein,22,31,22.01,31.01,0.143207106,0.709771042
AMHOT1A3_single_00298,methyl-accepting chemotaxis protein,22,26,22.01,26.01,0.246008713,0.846212995
AMHOT1A3_single_01216,excinuclease ABC subunit B,22,23,22.01,23.01,0.313932083,0.956540635
AMHOT1A3_single_00558,bifunctional proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase,22,23,22.01,23.01,0.322529589,0.956540635
AMHOT1A3_single_01452,hypothetical protein,22,5,22.01,5.01,0.334756891,4.393213573
AMHOT1A3_single_01939,sulfate transport protein CysZ,22,23,22.01,23.01,0.370159176,0.956540635
AMHOT1A3_single_00071,2-amino-3-ketobutyrate coenzyme A ligase,22,23,22.01,23.01,0.382804157,0.956540635
AMHOT1A3_single_01428,dihydrodipicolinate reductase,22,20,22.01,20.01,0.401738135,1.099950025
AMHOT1A3_single_01312,2-dehydropantoate 2-reductase,22,19,22.01,19.01,0.410577861,1.157811678
AMHOT1A3_single_01212,Na(+)-translocating NADH-quinone reductase subunit E,22,18,22.01,18.01,0.44525631,1.222098834
AMHOT1A3_single_01062,chemotaxis protein cheA,22,17,22.01,17.01,0.467680151,1.293944738
AMHOT1A3_single_01347,(alpha)-aspartyl dipeptidase,22,16,22.01,16.01,0.516599047,1.374765771
AMHOT1A3_single_02054,BNR repeat-containing protein,22,15,22.01,15.01,0.557875548,1.466355763
AMHOT1A3_single_01733,diguanylate cyclase,22,14,22.01,14.01,0.574720177,1.5710207
AMHOT1A3_single_00030,16S rRNA methyltransferase B,22,13,22.01,13.01,0.585927122,1.691775557
AMHOT1A3_single_00380,"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase",22,13,22.01,13.01,0.594229147,1.691775557
AMHOT1A3_single_00787,Exonuclease,22,6,22.01,6.01,0.62614622,3.662229617
AMHOT1A3_single_00246,pmbA protein,22,10,22.01,10.01,0.68854231,2.198801199
AMHOT1A3_single_01222,Glutamate carboxypeptidase II,22,9,22.01,9.01,0.70288284,2.442841287
AMHOT1A3_single_01029,hypothetical protein,22,9,22.01,9.01,0.769227254,2.442841287
AMHOT1A3_single_00080,intracellular signaling protein,22,7,22.01,7.01,1,3.139800285
AMHOT1A3_single_00052,hypothetical protein,21,42,21.01,42.01,0.012344826,0.500119019
AMHOT1A3_single_00348,Na+/H+ antiporter,21,37,21.01,37.01,0.032724339,0.56768441
AMHOT1A3_single_01887,ATP-dependent metalloprotease FtsH,21,32,21.01,32.01,0.086117336,0.656357388
AMHOT1A3_single_00735,Ubiquinol-cytochrome C reductase iron-sulfur subunit,21,35,21.01,35.01,0.097824144,0.600114253
AMHOT1A3_single_00328,iron-containing alcohol dehydrogenase,21,35,21.01,35.01,0.10651952,0.600114253
AMHOT1A3_single_00255,A/G-specific adenine glycosylase,21,31,21.01,31.01,0.123834286,0.67752338
AMHOT1A3_single_00159,methyl-accepting chemotaxis protein,21,22,21.01,22.01,0.302706181,0.954566106
AMHOT1A3_single_00980,OmpH family outer membrane protein,21,4,21.01,4.01,0.304429513,5.239401496
AMHOT1A3_single_01188,PrkA family serine protein kinase,21,21,21.01,21.01,0.340323903,1
AMHOT1A3_single_01646,hypoxanthine phosphoribosyltransferase,21,21,21.01,21.01,0.346420586,1
AMHOT1A3_single_01100,phage shock protein B,21,18,21.01,18.01,0.436265736,1.166574125
AMHOT1A3_single_00016,DNA gyrase subunit B,21,19,21.01,19.01,0.497253202,1.105207785
AMHOT1A3_single_00479,dioxygenase,21,15,21.01,15.01,0.537915658,1.399733511
AMHOT1A3_single_01320,topoisomerase IV subunit B,21,13,21.01,13.01,0.555825488,1.614911606
AMHOT1A3_single_01934,ECF subfamily RNA polymerase sigma-24 factor,21,13,21.01,13.01,0.588904229,1.614911606
AMHOT1A3_single_00395,3-dehydroquinate synthase,21,12,21.01,12.01,0.605863599,1.74937552
AMHOT1A3_single_00459,ATP-dependent RNA helicase RhlB,21,10,21.01,10.01,0.666293243,2.098901099
AMHOT1A3_single_00334,type II secretory protein GspE,21,10,21.01,10.01,0.684638036,2.098901099
AMHOT1A3_single_00863,"peptidase M56, BlaR1",21,9,21.01,9.01,0.793809523,2.331853496
AMHOT1A3_single_01459,amino acid permease,21,9,21.01,9.01,0.896758261,2.331853496
AMHOT1A3_single_01726,4-amino-4-deoxychorismate lyase,21,7,21.01,7.01,0.978702455,2.997146933
AMHOT1A3_single_00579,transcriptional regulator; also ATP-binding protein of a transport system,21,6,21.01,6.01,0.981850754,3.495840266
AMHOT1A3_single_01398,transcriptional regulator,21,8,21.01,8.01,1,2.622971286
AMHOT1A3_single_00121,tRNA guanosine-2'-O-methyltransferase,21,7,21.01,7.01,1,2.997146933
AMHOT1A3_single_01024,hypothetical protein,21,6,21.01,6.01,1,3.495840266
AMHOT1A3_single_01186,SpoVR family protein,21,0,21.01,0.01,1,2101
AMHOT1A3_single_00755,ABC transporter ATP-binding protein,20,30,20.01,30.01,0.126684842,0.666777741
AMHOT1A3_single_00383,succinylglutamic semialdehyde dehydrogenase,20,30,20.01,30.01,0.159501971,0.666777741
AMHOT1A3_single_00448,acetolactate synthase III large subunit,20,25,20.01,25.01,0.183986144,0.800079968
AMHOT1A3_single_01253,hypothetical protein,20,23,20.01,23.01,0.253040162,0.869621904
AMHOT1A3_single_01884,NAD-dependent epimerase/dehydratase,20,20,20.01,20.01,0.341446406,1
AMHOT1A3_single_01101,phage shock protein C,20,17,20.01,17.01,0.429498781,1.176366843
AMHOT1A3_single_01602,threonyl-tRNA ligase,20,17,20.01,17.01,0.43797938,1.176366843
AMHOT1A3_single_01203,RNA chaperone/anti-terminator,20,17,20.01,17.01,0.456331856,1.176366843
AMHOT1A3_single_00023,methyltransferase-like protein,20,16,20.01,16.01,0.483807448,1.249843848
AMHOT1A3_single_00901,response regulator,20,13,20.01,13.01,0.547771112,1.538047656
AMHOT1A3_single_01565,transcriptional regulator,20,14,20.01,14.01,0.55760346,1.428265525
AMHOT1A3_single_01689,hypothetical protein,20,13,20.01,13.01,0.563583495,1.538047656
AMHOT1A3_single_00906,oxygen-independent coproporphyrinogen III oxidase,20,11,20.01,11.01,0.617424802,1.817438692
AMHOT1A3_single_01611,capsular polysaccharide biosynthesis protein,20,8,20.01,8.01,0.750682312,2.498127341
AMHOT1A3_single_01838,phosphoenolpyruvate synthase,20,7,20.01,7.01,0.799857375,2.854493581
AMHOT1A3_single_00593,DNA topoisomerase IV subunit B,20,0,20.01,0.01,1,2001
AMHOT1A3_single_01962,"succinate dehydrogenase, cytochrome b subunit",20,0,20.01,0.01,1,2001
AMHOT1A3_single_01935,hypothetical protein,19,32,19.01,32.01,0.045002014,0.593876913
AMHOT1A3_single_01583,Signal transduction histidine kinase,19,36,19.01,36.01,0.098312736,0.527908914
AMHOT1A3_single_00530,hypothetical protein,19,4,19.01,4.01,0.132723305,4.740648379
AMHOT1A3_single_00100,metallo-beta-lactamase family protein,19,27,19.01,27.01,0.138946507,0.703813402
AMHOT1A3_single_01406,SmpA/OmlA protein,19,4,19.01,4.01,0.157657533,4.740648379
AMHOT1A3_single_01166,fatty acid desaturase,19,27,19.01,27.01,0.158867615,0.703813402
AMHOT1A3_single_01908,polynucleotide phosphorylase/polyadenylase,19,26,19.01,26.01,0.189994193,0.730872741
AMHOT1A3_single_00968,"UTP-GlnB uridylyltransferase, GlnD",19,24,19.01,24.01,0.204909043,0.791753436
AMHOT1A3_single_01883,hypothetical protein,19,23,19.01,23.01,0.224776224,0.826162538
AMHOT1A3_single_00115,response regulator containing a CheY-like receiver domain and a GGDEF domain protein,19,25,19.01,25.01,0.246435067,0.760095962
AMHOT1A3_single_01187,hypothetical protein,19,21,19.01,21.01,0.255740073,0.904807235
AMHOT1A3_single_01805,hypothetical protein,19,22,19.01,22.01,0.258842991,0.863698319
AMHOT1A3_single_00775,transglutaminase,19,22,19.01,22.01,0.266286355,0.863698319
AMHOT1A3_single_00918,2-isopropylmalate synthase,19,32,19.01,32.01,0.303542848,0.593876913
AMHOT1A3_single_01714,RNase E,19,20,19.01,20.01,0.319306292,0.950024988
AMHOT1A3_single_01751,hypothetical protein,19,17,19.01,17.01,0.419180836,1.117577895
AMHOT1A3_single_01654,signal transduction protein,19,16,19.01,16.01,0.427538746,1.187382886
AMHOT1A3_single_01787,peptidase S41,19,19,19.01,19.01,0.460180326,1
AMHOT1A3_single_01692,sensory box/GGDEF/EAL domain-containing protein,19,15,19.01,15.01,0.481592547,1.266489007
AMHOT1A3_single_01718,hypothetical protein,19,15,19.01,15.01,0.483585837,1.266489007
AMHOT1A3_single_00481,nuclease,19,15,19.01,15.01,0.507122191,1.266489007
AMHOT1A3_single_00400,type IV pilus biogenesis protein PilN,19,17,19.01,17.01,0.54913486,1.117577895
AMHOT1A3_single_00584,ATP-dependent RNA helicase,19,19,19.01,19.01,0.568051924,1
AMHOT1A3_single_00219,mannose-sensitive agglutinin biogenesis protein MshI,19,12,19.01,12.01,0.568408577,1.582847627
AMHOT1A3_single_00294,Pas/Pac sensor containing methyl-accepting chemotaxis sensory transducer,19,11,19.01,11.01,0.607276668,1.726612171
AMHOT1A3_single_00337,50S ribosomal protein L4,19,11,19.01,11.01,0.624801843,1.726612171
AMHOT1A3_single_00319,Twin-arginine translocation pathway signal,19,13,19.01,13.01,0.637034935,1.461183705
AMHOT1A3_single_00344,50S ribosomal protein L29,19,7,19.01,7.01,0.684370345,2.711840228
AMHOT1A3_single_01286,two-component system response regulator,19,8,19.01,8.01,0.848495331,2.373283396
AMHOT1A3_single_00917,3-isopropylmalate dehydrogenase,19,11,19.01,11.01,0.870683431,1.726612171
AMHOT1A3_single_00540,GTPase CgtA,19,8,19.01,8.01,0.92636656,2.373283396
AMHOT1A3_single_01640,beta-hexosaminidase,19,0,19.01,0.01,1,1901
AMHOT1A3_single_01037,sensory box sensor histidine kinase in two-component regulatory system,18,36,18.01,36.01,0.017489263,0.50013885
AMHOT1A3_single_01687,ribonuclease H,18,31,18.01,31.01,0.031404304,0.580780393
AMHOT1A3_single_00340,30S ribosomal protein S19,18,30,18.01,30.01,0.064921345,0.600133289
AMHOT1A3_single_01752,LysR family transcriptional regulator,18,30,18.01,30.01,0.075312939,0.600133289
AMHOT1A3_single_00687,long-chain-fatty-acid--CoA ligase,18,29,18.01,29.01,0.085906759,0.620820407
AMHOT1A3_single_01886,23S rRNA methyltransferase J,18,27,18.01,27.01,0.090188388,0.666790078
AMHOT1A3_single_02618,SerB protein,18,34,18.01,34.01,0.093241454,0.529550132
AMHOT1A3_single_00212,SSS family solute/sodium (Na+) symporter,18,26,18.01,26.01,0.109506883,0.69242599
AMHOT1A3_single_01493,MoxR protein,18,22,18.01,22.01,0.206884002,0.818264425
AMHOT1A3_single_01997,Enoyl-CoA hydratase/isomerase family protein,18,22,18.01,22.01,0.21911446,0.818264425
AMHOT1A3_single_00119,"bifunctional (p)ppGpp synthetase II/guanosine-3,5-bis pyrophosphate 3-pyrophosphohydrolase",18,20,18.01,20.01,0.247941331,0.900049975
AMHOT1A3_single_01978,glycosidase,18,18,18.01,18.01,0.349094222,1
AMHOT1A3_single_00069,hypothetical protein,18,17,18.01,17.01,0.357895846,1.058788948
AMHOT1A3_single_01885,RNA binding protein,18,16,18.01,16.01,0.408269077,1.124921924
AMHOT1A3_single_01582,response regulator,18,14,18.01,14.01,0.457820975,1.28551035
AMHOT1A3_single_00204,aldose 1-epimerase,18,14,18.01,14.01,0.484820986,1.28551035
AMHOT1A3_single_00644,acyl-CoA dehydrogenase,18,14,18.01,14.01,0.496893761,1.28551035
AMHOT1A3_single_00934,cytochrome c biogenesis factor,18,6,18.01,6.01,0.53397176,2.996672213
AMHOT1A3_single_01572,"Xanthine and CO dehydrogenase maturation factor, XdhC/CoxF family protein",18,4,18.01,4.01,0.553884073,4.49127182
AMHOT1A3_single_01676,Inosine monophosphate dehydrogenase-like protein,18,11,18.01,11.01,0.579164284,1.635785649
AMHOT1A3_single_00858,putative plasmid stabilization element ParE,18,11,18.01,11.01,0.589144871,1.635785649
AMHOT1A3_single_01966,2-oxoglutarate dehydrogenase E1 component,18,10,18.01,10.01,0.609469417,1.799200799
AMHOT1A3_single_00565,permease,18,0,18.01,0.01,1,1801
AMHOT1A3_single_00299,chemotaxis protein CheY,18,9,18.01,9.01,1,1.998890122
AMHOT1A3_single_01272,uroporphyrin-III C/tetrapyrrole (corrin/porphyrin) methyltransferase,18,6,18.01,6.01,1,2.996672213
AMHOT1A3_single_01264,16S rRNA-processing protein RimM,18,8,18.01,8.01,1,2.248439451
AMHOT1A3_single_01445,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",17,34,17.01,34.01,0.014164028,0.500147016
AMHOT1A3_single_01056,flagellar biosynthesis protein FlhA,17,32,17.01,32.01,0.016020731,0.531396439
AMHOT1A3_single_00339,50S ribosomal protein L2,17,30,17.01,30.01,0.028706987,0.566811063
AMHOT1A3_single_01000,hypothetical protein,17,27,17.01,27.01,0.099320002,0.629766753
AMHOT1A3_single_00389,ribulose-phosphate 3-epimerase,17,25,17.01,25.01,0.110984295,0.680127949
AMHOT1A3_single_01972,tryptophan halogenase,17,24,17.01,24.01,0.144176923,0.70845481
AMHOT1A3_single_00230,MSHA pilin protein MshA,17,24,17.01,24.01,0.198099498,0.70845481
AMHOT1A3_single_00372,glutamate-1-semialdehyde aminotransferase,17,20,17.01,20.01,0.259619239,0.850074963
AMHOT1A3_single_00499,regulatory protein,17,19,17.01,19.01,0.292797387,0.894792215
AMHOT1A3_single_01224,Yip1 domain protein,17,19,17.01,19.01,0.302205163,0.894792215
AMHOT1A3_single_01089,cytosolic long-chain acyl-CoA thioester hydrolase family protein,17,17,17.01,17.01,0.313932083,1
AMHOT1A3_single_01361,response regulator receiver protein,17,17,17.01,17.01,0.324668096,1
AMHOT1A3_single_01763,transcription elongation factor NusA,17,15,17.01,15.01,0.398632634,1.133244504
