Synonym,Product,Expression 9313+1A3 ,Expression med 4,Expression 9313+1A3 ,Expression med 4,qValue 9313+1A3  vs med 4,fold change 9313+1A3/med4+1A3
AMHOT1A3_single_00658,hypothetical protein,3566,2786,3566.01,2786.01,0.58157528,1.27997028
AMHOT1A3_single_00490,hypothetical protein,3514,3044,3514.01,3044.01,0.582608699,1.154401595
AMHOT1A3_single_02814,quaternary ammonium permease,3396,874,3396.01,874.01,0.164415362,3.885550509
AMHOT1A3_single_00909,lipoprotein,3236,8953,3236.01,8953.01,0.139707135,0.361443805
AMHOT1A3_single_02045,hypothetical protein,3236,4771,3236.01,4771.01,1,0.678265189
AMHOT1A3_single_01562,hypothetical protein,2949,2278,2949.01,2278.01,0.726572585,1.294555336
AMHOT1A3_single_03816,cytochrome o ubiquinol oxidase protein,2551,3161,2551.01,3161.01,0.703942512,0.807023704
AMHOT1A3_single_03518,"Secreted protein, containing von Willebrand factor (vWF) type A domain",2433,2615,2433.01,2615.01,0.685552452,0.930401796
AMHOT1A3_single_01248,hypothetical protein,2309,1495,2309.01,1495.01,0.744571812,1.544477963
AMHOT1A3_single_01238,hypothetical protein,2276,3722,2276.01,3722.01,0.892925664,0.611500238
AMHOT1A3_single_02855,hypothetical protein,2244,1614,2244.01,1614.01,0.578124445,1.390332154
AMHOT1A3_single_04101,hydrogenase assembly chaperone HypC/HupF,2194,1512,2194.01,1512.01,0.75360554,1.451055218
AMHOT1A3_single_00215,glycerol-3-phosphate regulon repressor,2106,2293,2106.01,2293.01,0.634923911,0.918447804
AMHOT1A3_single_02365,DNA polymerase-like protein,2102,1647,2102.01,1647.01,0.588904229,1.276258189
AMHOT1A3_single_00410,sensory box/GGDEF family protein,2073,1036,2073.01,1036.01,0.786859868,2.000955589
AMHOT1A3_single_00813,hypothetical protein,2009,2570,2009.01,2570.01,0.6583456,0.781712912
AMHOT1A3_single_00885,Ribonuclease Y,1949,1965,1949.01,1965.01,0.635217323,0.991857548
AMHOT1A3_single_00811,phosphate permease,1888,2286,1888.01,2286.01,0.396539904,0.825897525
AMHOT1A3_single_03765,hypothetical protein,1793,1416,1793.01,1416.01,0.919929646,1.266241058
AMHOT1A3_single_00868,hypothetical protein,1716,1985,1716.01,1985.01,0.4697039,0.86448431
AMHOT1A3_single_02197,hypothetical protein,1714,2745,1714.01,2745.01,0.280223534,0.624409383
AMHOT1A3_single_00551,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",1684,3278,1684.01,3278.01,0.152438579,0.513729366
AMHOT1A3_single_02291,4Fe-4S ferredoxin,1680,1133,1680.01,1133.01,0.757499203,1.482784794
AMHOT1A3_single_03715,cysteine/glutathione ABC transporter membrane/ATP-binding protein,1672,1347,1672.01,1347.01,0.588085618,1.24127512
AMHOT1A3_single_01190,glutaredoxin like protein,1566,2569,1566.01,2569.01,0.994032172,0.60957723
AMHOT1A3_single_02857,sortase,1532,2703,1532.01,2703.01,0.205592953,0.566779257
AMHOT1A3_single_01458,transcription negative regulator,1468,795,1468.01,795.01,0.788605189,1.846530232
AMHOT1A3_single_01595,rpiR-family transcriptional regulatory protein,1354,1707,1354.01,1707.01,0.916692235,0.793205664
AMHOT1A3_single_01266,50S ribosomal protein L19,1293,1152,1293.01,1152.01,0.623403073,1.122394771
AMHOT1A3_single_01072,hypothetical protein,1260,1462,1260.01,1462.01,0.791987733,0.86183405
AMHOT1A3_single_00825,IMPACT family member yigz,1248,839,1248.01,839.01,0.920970228,1.487479291
AMHOT1A3_single_00045,deacylase,1227,1345,1227.01,1345.01,0.631065639,0.91226831
AMHOT1A3_single_02426,Na+/dicarboxylate symporter,1225,634,1225.01,634.01,0.772563763,1.932161953
AMHOT1A3_single_01612,hypothetical protein,1173,1152,1173.01,1152.01,0.527817775,1.018229008
AMHOT1A3_single_03305,hypothetical protein,1168,598,1168.01,598.01,0.66099702,1.953161318
AMHOT1A3_single_01273,acetyltransferase-like protein,1165,1775,1165.01,1775.01,0.32288785,0.656339964
AMHOT1A3_single_00087,hypothetical protein,1149,788,1149.01,788.01,0.68854231,1.458116014
AMHOT1A3_single_01955,glutathione S-transferase,1141,1777,1141.01,1777.01,0.261780835,0.64209543
AMHOT1A3_single_00057,DNA repair protein RadC,1094,642,1094.01,642.01,0.765385287,1.704038878
AMHOT1A3_single_03481,hypothetical protein,1077,710,1077.01,710.01,0.553181,1.516894128
AMHOT1A3_single_01205,aminopeptidase,1065,822,1065.01,822.01,0.603412891,1.295616842
AMHOT1A3_single_00200,hypothetical protein,1055,1506,1055.01,1506.01,1,0.700533197
AMHOT1A3_single_03019,integral membrane sensor signal transduction histidine kinase,1041,662,1041.01,662.01,0.764207585,1.572498905
AMHOT1A3_single_01568,membrane protein,1008,795,1008.01,795.01,0.731981345,1.267921158
AMHOT1A3_single_00036,DNA topoisomerase,989,1583,989.01,1583.01,0.263290391,0.624765478
AMHOT1A3_single_00217,hypothetical protein,982,1144,982.01,1144.01,0.474317562,0.858392846
AMHOT1A3_single_02884,sensory box histidine kinase/response regulator,976,314,976.01,314.01,0.1983216,3.108213114
AMHOT1A3_single_00526,hypothetical protein,949,678,949.01,678.01,0.737335692,1.399699119
AMHOT1A3_single_00910,WD-40 repeat-containing protein,943,308,943.01,308.01,0.485694079,3.061621376
AMHOT1A3_single_02436,halomucin,942,587,942.01,587.01,0.728373737,1.604759714
AMHOT1A3_single_02416,hypothetical protein,939,494,939.01,494.01,0.764207585,1.900791482
AMHOT1A3_single_04011,hypothetical protein,936,676,936.01,676.01,0.569352073,1.384609695
AMHOT1A3_single_01943,flagellar biosynthesis protein FlhF,913,1051,913.01,1051.01,0.44525631,0.868697729
AMHOT1A3_single_01713,Phosphotransferase enzyme family protein,909,1234,909.01,1234.01,0.335727663,0.736630984
AMHOT1A3_single_02152,iron-sulfur cluster-binding protein,908,745,908.01,745.01,0.722570619,1.21878901
AMHOT1A3_single_01194,TonB-dependent outer membrane receptor,901,446,901.01,446.01,0.776436455,2.020156499
AMHOT1A3_single_01815,ABC transporter ATP-binding protein,898,875,898.01,875.01,0.516599047,1.026285414
AMHOT1A3_single_00883,"putative transcriptional regulator, XRE family protein",887,1051,887.01,1051.01,0.412330319,0.84395962
AMHOT1A3_single_03776,nickel transporter ATP-binding protein NikE,881,478,881.01,478.01,0.970295721,1.843078597
AMHOT1A3_single_00731,response regulator,875,620,875.01,620.01,0.8679756,1.411283689
AMHOT1A3_single_01719,50S ribosomal protein L32,873,294,873.01,294.01,0.127861717,2.969320771
AMHOT1A3_single_00387,"P-aminobenzoate synthetase, component II",871,355,871.01,355.01,0.292229461,2.453480184
AMHOT1A3_single_03164,"two component transcriptional regulator, winged helix family protein",844,841,844.01,841.01,0.584620621,1.00356714
AMHOT1A3_single_00729,hypothetical protein,841,479,841.01,479.01,0.621310891,1.75572535
AMHOT1A3_single_01912,hypothetical protein,833,933,833.01,933.01,0.474071873,0.892820013
AMHOT1A3_single_01570,transthyretin,831,436,831.01,436.01,0.828529201,1.905942524
AMHOT1A3_single_00951,late competence protein,817,1019,817.01,1019.01,0.388951434,0.801768383
AMHOT1A3_single_00512,hypothetical protein,814,520,814.01,520.01,0.980237649,1.565373743
AMHOT1A3_single_01374,hypothetical protein,811,822,811.01,822.01,0.516472346,0.986618168
AMHOT1A3_single_00270,ribonuclease H-like protein,807,841,807.01,841.01,0.539844615,0.959572419
AMHOT1A3_single_01381,sugar nucleotide epimerase,782,593,782.01,593.01,0.951417966,1.318713007
