pmed4_id,gene_name,gene_description,peak_time_transcript_h,peak_time_protein_h,protein_transcript_lag_h,transcript_amplitude_log2,protein_amplitude_log2,transcript_protein_amplitude_ratio,resolved_locus_tag,resolution_method
PMED4_05681,tal,Transaldolase (NCBI),15.8,21.0,5.6,3.88,1.02,3.8,PMM0519,tier1:pmed4_id
PMED4_05701,frr,Ribosome recycling factor (NCBI),18.7,21.0,1.8,1.18,0.34,3.5,PMM0521,tier1:pmed4_id
PMED4_05751,ilvH,Acetolactate synthase large subunit (NCBI),16.9,22.0,5.1,1.56,0.26,6.0,PMM0526,tier1:pmed4_id
PMED4_05791,"rps1b,","rpsA320, Sn brpib1osomal protein S1 homolog B, putative Nbp1",1.8,19.8,18.0,0.58,0.18,3.2,PMM0530,tier1:pmed4_id
PMED4_05811,,conserved hypothetical protein (NCBI),12.3,11.8,23.5,0.62,0.58,1.1,PMM0532,tier1:pmed4_id
PMED4_05921,chlL,Protochlorophyllide reductase iron-sulfur ATP-binding,14.0,2.2,12.2,0.74,1.22,0.6,PMM0543,tier1:pmed4_id
PMED4_05931,chlB,Light-independent protochlorophyllide reductase subunit,18.3,24.0,5.6,2.6,0.64,4.1,PMM0544,tier1:pmed4_id
PMED4_05941,chlN,Light-independent protochlorophyllide reductase subunit,18.0,3.3,9.2,2.66,1.04,2.6,PMM0545,tier1:pmed4_id
PMED4_05981,ccmK,carboxysome shell protein CsoS1 (NCBI),4.8,12.9,8.1,2.68,0.3,8.9,PMM0549,tier1:pmed4_id
PMED4_05991,rbcL,"Ribulose bisphosphate carboxylase, large chain (NCBI)",4.3,13.0,9.1,5.2,0.32,16.3,PMM0550,tier1:pmed4_id
PMED4_06001,rbcS,"Ribulose bisphosphate carboxylase, small chain (NCBI)",4.0,12.8,8.4,4.82,0.4,12.1,PMM0551,tier1:pmed4_id
PMED4_06011,csoS2,carboxysome shell protein CsoS2 (NCBI),4.0,14.0,10.0,4.8,0.36,13.3,PMM0552,tier1:pmed4_id
PMED4_06091,hisG,possible ATP phosphoribosyltransferase (NCBI),2.7,7.0,4.4,1.24,0.26,4.8,PMM0560,tier1:pmed4_id
PMED4_06251,,conserved hypothetical protein (NCBI),14.9,18.3,3.5,5.32,1.46,3.6,PMM0576,tier1:pmed4_id
PMED4_06261,,"Putative type II alternative sigma factor, sigma70 family",14.3,11.5,21.2,4.94,0.6,8.2,PMM0577,tier1:pmed4_id
PMED4_06321,hemE,Uroporphyrinogen decarboxylase (URO-D) (NCBI),4.7,10.5,5.8,1.96,0.3,6.5,PMM0583,tier1:pmed4_id
