gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2785712493	426	3	426	0.0e+00	645.4	TIGR00713	glutamate-1-semialdehyde-2,1-aminomutase
2785712494	337	7	317	5.9e-97	310.4	TIGR00670	aspartate carbamoyltransferase
2785712496	379	50	371	1.8e-59	187.2	TIGR01730	RND family efflux transporter, MFP subunit
2785712500	761	12	747	0.0e+00	1175.8	TIGR01062	DNA topoisomerase IV, A subunit, proteobacterial
2785712502	722	179	295	8.5e-11	29.2	TIGR00229	PAS domain S-box
2785712502	722	295	457	1.0e-41	129.5	TIGR00254	diguanylate cyclase (GGDEF) domain
2785712504	489	5	489	0.0e+00	831.4	TIGR03240	succinylglutamate-semialdehyde dehydrogenase
2785712505	345	3	341	0.0e+00	470.5	TIGR03243	arginine and ornithine succinyltransferase subunits
2785712505	345	3	341	0.0e+00	480.2	TIGR03244	arginine N-succinyltransferase
2785712506	402	11	396	0.0e+00	485.8	TIGR00707	transaminase, acetylornithine/succinylornithine family
2785712506	402	3	399	0.0e+00	703.3	TIGR03246	succinylornithine transaminase family
2785712508	194	1	191	1.1e-80	256	TIGR00566	glutamine amidotransferase of anthranilate synthase or aminodeoxychorismate synthase
2785712509	335	3	331	4.7e-119	383.5	TIGR00233	tryptophanyl-tRNA synthetase
2785712510	225	5	216	4.0e-100	319.5	TIGR01163	ribulose-phosphate 3-epimerase
2785712511	242	1	240	1.3e-47	148.4	TIGR02001	conserved hypothetical protein, proteobacterial
2785712514	293	6	271	3.5e-95	304.7	TIGR00571	DNA adenine methylase (dam)
2785712516	355	13	354	4.3e-121	390.2	TIGR01357	3-dehydroquinate synthase
2785712518	590	178	587	0.0e+00	510.4	TIGR02515	type IV pilus secretin (or competence protein) PilQ
2785712522	355	9	350	6.9e-77	244.7	TIGR01175	type IV pilus assembly protein PilM
2785712523	887	65	817	0.0e+00	537.1	TIGR02074	penicillin-binding protein, 1A family
2785712534	436	8	436	0.0e+00	580.7	TIGR01890	amino-acid N-acetyltransferase
2785712535	460	3	457	0.0e+00	627.3	TIGR00838	argininosuccinate lyase
2785712536	401	6	400	0.0e+00	469.2	TIGR00032	argininosuccinate synthase
2785712537	303	3	302	1.5e-98	315.7	TIGR00658	ornithine carbamoyltransferase
2785712538	281	5	233	7.5e-61	191.6	TIGR00761	acetylglutamate kinase
2785712539	337	2	337	4.7e-114	367.1	TIGR01850	N-acetyl-gamma-glutamyl-phosphate reductase, common form
2785712540	136	2	132	3.9e-58	181.6	TIGR00160	methylglyoxal synthase
2785712548	154	1	154	1.5e-66	209.2	TIGR00185	tRNA (cytidine(34)-2'-O)-methyltransferase
2785712551	687	62	687	2.6e-88	283	TIGR01785	TonB-dependent heme/hemoglobin receptor family protein
2785712554	392	39	367	5.3e-55	172.6	TIGR01730	RND family efflux transporter, MFP subunit
2785712556	469	18	459	9.4e-60	188.6	TIGR01845	efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family
2785712559	169	17	162	5.1e-64	200.6	TIGR00809	protein-export chaperone SecB
