gene_oid	gene_length	feature_type	start_coord	end_coord
2785715435	486	cleavage	19	20
2785715440	253	cleavage	22	23
2785715441	151	cleavage	25	26
2785715443	481	cleavage	21	22
2785715444	170	cleavage	41	42
2785715445	839	cleavage	28	29
2785715448	272	cleavage	31	32
2785715452	766	cleavage	26	27
2785715453	198	cleavage	27	28
2785715458	882	cleavage	28	29
2785715460	391	cleavage	31	32
2785715466	192	cleavage	22	23
2785715479	101	cleavage	19	20
2785715486	251	cleavage	21	22
2785715491	95	cleavage	22	23
2785715504	276	cleavage	22	23
2785715515	470	cleavage	22	23
2785715516	807	cleavage	28	29
2785715517	368	cleavage	27	28
2785715518	758	cleavage	19	20
2785715538	278	cleavage	22	23
2785715539	135	cleavage	25	26
2785715542	772	cleavage	26	27
2785715557	296	cleavage	31	32
2785715576	1069	cleavage	26	27
2785715583	168	cleavage	19	20
2785715595	329	cleavage	31	32
2785715598	387	cleavage	25	26
2785715602	825	cleavage	21	22
2785715603	281	cleavage	28	29
2785715609	815	cleavage	25	26
2785715610	180	cleavage	18	19
2785715611	205	cleavage	25	26
2785715612	534	cleavage	24	25
2785715629	269	cleavage	23	24
2785715630	476	cleavage	26	27
2785715682	556	cleavage	30	31
2785715687	566	cleavage	34	35
2785715690	787	cleavage	29	30
2785715691	93	cleavage	23	24
2785715693	214	cleavage	22	23
2785715697	472	cleavage	39	40
2785715698	341	cleavage	35	36
2785715700	256	cleavage	30	31
2785715701	5754	cleavage	24	25
2785715707	214	cleavage	25	26
2785715716	274	cleavage	23	24
2785715721	705	cleavage	19	20
2785715723	1111	cleavage	27	28
2785715724	181	cleavage	21	22
2785715728	35	cleavage	20	21
2785715753	212	cleavage	20	21
2785715791	277	cleavage	25	26
2785715792	176	cleavage	25	26
2785715797	457	cleavage	26	27
2785715801	458	cleavage	37	38
2785715802	258	cleavage	26	27
2785715803	763	cleavage	24	25
2785715806	737	cleavage	26	27
2785715808	295	cleavage	23	24
2785715826	688	cleavage	23	24
2785715830	436	cleavage	28	29
2785715854	248	cleavage	22	23
2785715867	293	cleavage	22	23
2785715873	449	cleavage	20	21
2785715884	398	cleavage	22	23
2785715887	333	cleavage	36	37
2785715891	370	cleavage	26	27
2785715895	681	cleavage	20	21
2785715896	362	cleavage	26	27
2785715907	133	cleavage	21	22
2785715916	802	cleavage	28	29
2785715919	981	cleavage	29	30
2785715920	627	cleavage	22	23
2785715922	850	cleavage	23	24
