alt_id,locus_tag,source_col,source_csv,paper
A9601_00701,A9601_00701,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00711,A9601_00711,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00721,A9601_00721,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00731,A9601_00731,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00741,A9601_00741,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00751,A9601_00751,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00761,A9601_00761,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00771,A9601_00771,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00781,A9601_00781,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00791,A9601_00791,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00801,A9601_00801,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00811,A9601_00811,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00821,A9601_00821,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00831,A9601_00831,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00841,A9601_00841,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00851,A9601_00851,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00861,A9601_00861,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00871,A9601_00871,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00881,A9601_00881,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00911,A9601_00911,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00921,A9601_00921,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00931,A9601_00931,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00941,A9601_00941,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00951,A9601_00951,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00961,A9601_00961,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00981,A9601_00981,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_00991,A9601_00991,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_01001,A9601_01001,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_01011,A9601_01011,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_01021,A9601_01021,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_01041,A9601_01041,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_01051,A9601_01051,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_01061,A9601_01061,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_01071,A9601_01071,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_01081,A9601_01081,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_01091,A9601_01091,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
A9601_01101,A9601_01101,locus_tag,de_genes_salt_acclimated_vs_sea_water_with_locus_tag.csv,Al-Hosani 2015
