Accession,Peptide count,Unique peptides,Confidence score,Anova (p),Max fold change,Highest mean condition,Lowest mean condition,Description,log2_fold_change,resolved_locus_tag,resolution_method
1::PURL_PROMA,6,6,277.03,0.003540704,1.293138138,Control,Azaserine,Phosphoribosylformylglycinamidine synthase subunit PurL OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=purL PE=3 SV=2,-0.370876397625091,Pro0003,tier1:Description
1::NDK_PROMA,6,6,405.65,0.003588546,1.483640126,Control,Azaserine,Nucleoside diphosphate kinase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=ndk PE=3 SV=2,-0.5691411920950898,Pro0050,tier1:Description
1::Q7VDE0_PROMA,6,5,192.86,0.003594429,1.573671449,Control,Azaserine,AbrB family transciptional regulator OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0439 PE=4 SV=1,-0.6541343665279521,Pro0439,tier1:Description
1::Q7VEB8_PROMA,7,6,295.27,0.003670432,2.240474169,Control,Azaserine,Phosphoadenylyl-sulfate reductase (thioredoxin) OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=cysH PE=4 SV=1,-1.16380409338601,Pro0095,tier1:Description
1::RPOB_PROMA,55,54,3344.5,0.003689511,2.013162225,Control,Azaserine,DNA-directed RNA polymerase subunit beta OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=rpoB PE=3 SV=1,-1.0094634324544736,Pro1640,tier1:Description
1::Q7VE86_PROMA,13,13,561.71,0.003711995,2.140125913,Control,Azaserine,6-pyruvoyl-tetrahydropterin synthase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0127 PE=4 SV=1,-1.0976956792043782,Pro0127,tier1:Description
1::Q7V9F6_PROMA,4,4,263.72,0.003781644,2.825545627,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1877 PE=4 SV=1,-1.4985294860618517,Pro1877,tier1:Description
1::YCF3_PROMA,14,13,583.28,0.00389261,1.91969468,Control,Azaserine,Photosystem I assembly protein Ycf3 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=ycf3 PE=3 SV=1,-0.9408768741356835,Pro0154,multi:Description
1::Q7VBM4_PROMA,24,24,1153.28,0.00397531,1.945845865,Control,Azaserine,Zn-dependent oligopeptidase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=dcp PE=3 SV=1,-0.9603974353980014,Pro1068,tier1:Description
1::RPOC2_PROMA,74,70,4728.7,0.004092783,2.074907017,Control,Azaserine,DNA-directed RNA polymerase subunit beta' OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=rpoC2 PE=3 SV=1,-1.053046686281879,Pro1638,multi:Description
1::RBFA_PROMA,5,5,220.34,0.004103326,2.022814536,Control,Azaserine,Ribosome-binding factor A OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=rbfA PE=3 SV=1,-1.0163640508606926,Pro0132,tier1:Description
1::Q7VD02_PROMA,3,3,99.84,0.004115989,1.592967369,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0587 PE=4 SV=1,-0.6717167144061957,Pro0587,tier1:Description
1::Q7VCE1_PROMA,12,12,549.1,0.004133888,2.453460043,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0799 PE=4 SV=1,-1.294817775895582,Pro0799,tier1:Description
1::Q7VDR7_PROMA,6,6,293.38,0.00416576,2.535671171,Control,Azaserine,Signal transduction histidine kinase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=caeS PE=4 SV=1,-1.3423676671150724,Pro0301,tier1:Description
1::Q7VBA9_PROMA,3,3,106.47,0.004266696,2.092982305,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1188 PE=4 SV=1,-1.0655601144619151,Pro1188,tier1:Description
1::CH601_PROMA,36,34,2371.31,0.004292214,1.526364269,Control,Azaserine,60 kDa chaperonin 1 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=groL1 PE=3 SV=1,-0.6100993044828825,Pro1589,multi:Description
1::Q7VDA5_PROMA,5,4,325.29,0.004418086,2.238389229,Control,Azaserine,Cyanobacteria-specific protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0478 PE=4 SV=1,-1.162460925466594,Pro0478,tier1:Description
1::ISPG_PROMA,17,16,1139.94,0.004421214,2.032078223,Control,Azaserine,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin) OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=ispG PE=3 SV=1,-1.0229559384103195,Pro1015,tier1:Description
1::Q7VC76_PROMA,10,9,749.38,0.00444277,1.797369088,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0866 PE=4 SV=1,-0.8458866952981812,Pro0866,tier1:Description
1::Q7VDS6_PROMA,2,2,220.44,0.004523796,2.563435088,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0292 PE=4 SV=1,-1.358078365881814,Pro0292,tier1:Description
1::PNP_PROMA,54,53,3179.92,0.004641595,1.787970251,Control,Azaserine,Polyribonucleotide nucleotidyltransferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=pnp PE=3 SV=1,-0.8383227325548888,Pro0332,tier1:Description
1::Q7VDM5_PROMA,17,16,999.32,0.004741288,1.995716614,Control,Azaserine,Ribosomal protein S1 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=rpsA PE=4 SV=1,-0.9969068766859432,Pro0351,tier1:Description
1::RS17_PROMA,4,4,202.34,0.004766942,1.37616574,Control,Azaserine,30S ribosomal protein S17 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=rpsQ PE=3 SV=1,-0.4606542330317456,Pro1703,tier1:Description
1::Q7VBU8_PROMA,4,4,210.57,0.004778145,2.56929125,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0994 PE=4 SV=1,-1.3613704406918534,Pro0994,tier1:Description
1::RPOA_PROMA,15,15,1206.38,0.004800841,1.722953686,Control,Azaserine,DNA-directed RNA polymerase subunit alpha OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=rpoA PE=3 SV=1,-0.7848839215999156,Pro1689,tier1:Description
1::Q7V9S1_PROMA,12,12,574.48,0.004825697,1.952614268,Control,Azaserine,Galactose mutarotase related enzyme OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=galM PE=4 SV=1,-0.9654069780999928,Pro1756,tier1:Description
1::Q7V9I8_PROMA,4,4,257.19,0.004909581,2.46714189,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1845 PE=4 SV=1,-1.3028406901466627,Pro1845,tier1:Description
1::Q7VEI6_PROMA,6,6,442.98,0.004938735,2.497994242,Control,Azaserine,Biotin carboxyl carrier protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=accB PE=4 SV=1,-1.320770151466439,Pro0027,tier1:Description
1::Q7VDW2_PROMA,23,22,1071.22,0.005084337,2.308593172,Control,Azaserine,Sulfate adenylyltransferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=MET3 PE=4 SV=1,-1.2070139589715654,Pro0256,tier1:Description
1::RS4_PROMA,11,11,567.58,0.005137201,1.321091973,Control,Azaserine,30S ribosomal protein S4 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=rpsD PE=3 SV=1,-0.4017309089557141,Pro0409,tier1:Description
1::Q7TV91_PROMA,12,12,606.07,0.005140416,1.841027056,Control,Azaserine,HEAT-like repeat containing protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1634 PE=4 SV=1,-0.8805108288986849,Pro1634,tier1:Description
1::PROA_PROMA,20,19,1127.19,0.005197118,1.71227468,Control,Azaserine,Gamma-glutamyl phosphate reductase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=proA PE=3 SV=1,-0.7759141548272107,Pro1071,tier1:Description
1::Q7VDL6_PROMA,7,7,287.19,0.005208143,2.308564957,Control,Azaserine,Putative translation factor (SUA5) OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=SUA5 PE=4 SV=1,-1.2069963266360717,Pro0360,tier1:Description
1::Q7VC27_PROMA,6,6,422.42,0.005343835,1.827376592,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0915 PE=4 SV=1,-0.8697739801195725,Pro0915,tier1:Description
1::Q7VDC8_PROMA,7,7,346.37,0.005395538,1.623573156,Control,Azaserine,Short-chain dehydrogenase/reductase family enzyme OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=fabG PE=3 SV=1,-0.6991723919665268,Pro0452,tier1:Description
1::Q7VCA0_PROMA,22,22,1459.36,0.005483607,1.674456163,Control,Azaserine,Glucose-1-phosphate adenylyltransferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=glgC PE=3 SV=1,-0.7436926070088857,Pro0842,tier1:Description
1::Q7VD06_PROMA,4,4,168.97,0.005600816,1.794486486,Control,Azaserine,6-pyruvoyl-tetrahydropterin synthase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0583 PE=4 SV=1,-0.8435710584818281,Pro0583,tier1:Description
1::Q7VCQ7_PROMA,7,5,541.33,0.005613272,2.432564686,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0683 PE=4 SV=1,-1.2824781692121865,Pro0683,tier1:Description
1::RL1_PROMA,12,12,726.86,0.005621459,1.663845423,Control,Azaserine,50S ribosomal protein L1 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=rplA PE=3 SV=1,-0.7345214083407251,Pro0229,tier1:Description
1::Q7VAS7_PROMA,8,8,418.51,0.005705552,1.896448304,Control,Azaserine,FAD/FMN-containing dehydrogenase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=glcD PE=4 SV=1,-0.9233000451995914,Pro0805,tier1:Description
1::RPOC1_PROMA,35,34,1869.3,0.005846162,2.029997496,Control,Azaserine,DNA-directed RNA polymerase subunit gamma OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=rpoC1 PE=3 SV=2,-1.0214779478485745,Pro1639,multi:Description
1::Q7VCD0_PROMA,2,2,146.8,0.005885423,2.138530861,Control,Azaserine,Secreted pentapeptide repeats protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0810 PE=4 SV=1,-1.0966200268029307,Pro0810,tier1:Description
1::ISPH_PROMA,10,10,407.54,0.00606198,2.561873448,Control,Azaserine,4-hydroxy-3-methylbut-2-enyl diphosphate reductase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=ispH PE=3 SV=1,-1.3571992108660529,,unresolved
1::Q7VAY9_PROMA,10,10,474.59,0.006125499,1.7500267,Control,Azaserine,UDP-glucose 4-epimerase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=galE PE=3 SV=1,-0.8073769332940284,Pro1314,tier1:Description
1::ASPA_PROMA,4,4,210.22,0.006437588,3.487759871,Control,Azaserine,Probable aspartoacylase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0251 PE=3 SV=2,-1.802300715331872,Pro0251,tier1:Description
1::Q7VC94_PROMA,4,4,178.71,0.006534319,1.661972896,Control,Azaserine,Uncharacterized membrane protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0848 PE=4 SV=1,-0.7328968543554071,Pro0848,tier1:Description
1::Q7VDY1_PROMA,3,3,132.33,0.006664436,1.60951437,Control,Azaserine,Lactoylglutathione lyase family enzyme OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=gloA PE=4 SV=1,-0.6866254574836185,Pro0234,tier1:Description
1::Q7VD72_PROMA,6,6,238.44,0.006743896,2.448702946,Control,Azaserine,Arsenate reductase related protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=arsC PE=4 SV=1,-1.2920177700938094,Pro0511,tier1:Description
1::RS19_PROMA,5,5,319.38,0.00674648,1.707853589,Control,Azaserine,30S ribosomal protein S19 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=rpsS PE=3 SV=1,-0.7721843007913131,Pro1708,tier1:Description
1::Q7VC96_PROMA,4,4,230.83,0.006780117,2.973564277,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0846 PE=4 SV=1,-1.5721932615580316,Pro0846,tier1:Description
1::Q7VE98_PROMA,9,9,407.37,0.006787043,3.743141689,Control,Azaserine,Inositol monophosphatase family protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0115 PE=4 SV=1,-1.904249659551997,Pro0115,tier1:Description
1::ISPE_PROMA,10,10,403.57,0.006911537,1.466167903,Control,Azaserine,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=ispE PE=3 SV=1,-0.5520503278611382,Pro0764,tier1:Description
1::Q7VEC0_PROMA,7,7,254.63,0.006924183,1.370399152,Control,Azaserine,Peroxiredoxin OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=ccp PE=4 SV=1,-0.4545961637982878,Pro0093,tier1:Description
1::Q7VDQ0_PROMA,7,7,305.36,0.007055656,2.165338698,Control,Azaserine,"7, 8-dihydro-6-hydroxymethylpterin-pyrophosphokinase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=folK PE=4 SV=1",-1.1145927061100034,Pro0318,tier1:Description
1::Q7VB77_PROMA,9,9,477.6,0.007152749,1.992919162,Control,Azaserine,Glutathione peroxidase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=ctuE PE=3 SV=1,-0.9948831918894736,Pro1221,tier1:Description
1::HEM3_PROMA,21,21,1109.14,0.007158604,1.898993966,Control,Azaserine,Porphobilinogen deaminase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=hemC PE=3 SV=1,-0.9252353213717144,Pro0494,tier1:Description
1::MURE_PROMA,7,7,199.61,0.00742016,3.077405343,Control,Azaserine,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=murE PE=3 SV=1",-1.6217144819624747,Pro0412,tier1:Description
1::Q7VA09_PROMA,3,3,199.98,0.007432997,1.74305164,Control,Azaserine,Prephenate dehydratase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=pheA PE=4 SV=1,-0.8016153116714656,Pro1660,tier1:Description
1::Q7VA12_PROMA,14,14,823.6,0.007534968,1.793509148,Control,Azaserine,Ribonucleases G/E OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=cafA PE=4 SV=1,-0.8427851039464415,Pro1657,tier1:Description
1::Q7VCL1_PROMA,6,4,253.42,0.007558623,2.341441922,Control,Azaserine,"Predicted hydrolase, HAD superfamily OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0729 PE=4 SV=1",-1.2273972533341204,Pro0729,tier1:Description
1::Q7VDA0_PROMA,7,7,257.8,0.007625344,2.555892816,Control,Azaserine,Exonuclease III OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=xthA PE=4 SV=1,-1.3538273366497031,Pro0483,tier1:Description
1::Q7VAB8_PROMA,4,4,199.59,0.007961947,2.12036593,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1546 PE=4 SV=1,-1.0843132647126972,Pro1546,tier1:Description
1::Q7VED3_PROMA,4,4,195.34,0.008219011,4.575899237,Control,Azaserine,HIT family hydrolase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=hit PE=4 SV=1,-2.194055283785676,Pro0080,tier1:Description
1::RS16_PROMA,7,6,395.27,0.008390018,1.426452607,Control,Azaserine,30S ribosomal protein S16 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=rpsP PE=3 SV=1,-0.512431815071125,Pro1359,tier1:Description
1::THF1_PROMA,6,6,320.07,0.008622213,1.834629532,Control,Azaserine,Protein Thf1 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=thf1 PE=3 SV=1,-0.875488768078864,,unresolved
1::Q7VBK7_PROMA,5,5,205.51,0.008631424,2.319116932,Control,Azaserine,Glutaredoxin OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1085 PE=3 SV=1,-1.2135755638232937,Pro1085,tier1:Description
1::Q7VAQ6_PROMA,9,9,762.94,0.008704624,2.355590889,Control,Azaserine,Bacterial nucleoid DNA-binding protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=himA PE=3 SV=1,-1.2360889985648869,Pro1401,tier1:Description
1::Q7VC40_PROMA,5,3,158.83,0.00870555,2.525975067,Control,Azaserine,Dihydropteroate synthase and related enzymes OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=folP PE=4 SV=1,-1.3368403988669613,Pro0123,tier1:Description
1::Q7V9Q2_PROMA,5,5,200.65,0.008759597,1.932621576,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1777 PE=4 SV=1,-0.9505591730506644,Pro1777,tier1:Description
1::GATB_PROMA,19,19,811.26,0.008778224,1.677262827,Control,Azaserine,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=gatB PE=3 SV=1,-0.74610877685651,Pro0052,tier1:Description
1::G3XCS7_PROMA,18,17,1613.0,0.008802701,1.471721397,Control,Azaserine,Cell division protein FtsZ OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=ftsZ PE=3 SV=1,-0.5575045890522242,Pro1383,tier1:Description
1::Q7VA86_PROMA,7,5,442.44,0.008889862,1.358446681,Control,Azaserine,GTP cyclohydrolase I OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=folE PE=4 SV=1,-0.4419579409250115,Pro0537,tier1:Description
1::HISZ_PROMA,13,13,546.62,0.008904092,1.387790041,Control,Azaserine,ATP phosphoribosyltransferase regulatory subunit OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=hisZ PE=3 SV=1,-0.4727893188381141,Pro0936,tier1:Description
1::Q7VEC3_PROMA,15,15,961.07,0.008941688,1.789057145,Control,Azaserine,Phosphoglucomutase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=pgm PE=4 SV=1,-0.8391994698333247,Pro0090,tier1:Description
1::Q7VD88_PROMA,13,12,794.5,0.00900975,1.747257429,Control,Azaserine,RNA polymerase sigma factor SigA OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=rpoD PE=3 SV=1,-0.8050921807682319,Pro0495,tier1:Description
1::ILVD_PROMA,23,23,1115.14,0.009055186,1.704011303,Control,Azaserine,Dihydroxy-acid dehydratase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=ilvD PE=3 SV=1,-0.7689349052397865,Pro0847,tier1:Description
1::ARGC_PROMA,17,17,882.52,0.009187873,1.890029457,Control,Azaserine,N-acetyl-gamma-glutamyl-phosphate reductase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=argC PE=3 SV=1,-0.9184087197038328,Pro0944,tier1:Description
1::TAL_PROMA,14,13,598.39,0.009193926,1.726542559,Control,Azaserine,Transaldolase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=tal PE=3 SV=1,-0.787885896833346,Pro0519,tier1:Description
1::Q7VD18_PROMA,9,9,409.24,0.009446117,1.5333157,Control,Azaserine,Dihydroorotase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=pyrC PE=3 SV=1,-0.6166547693601251,Pro0514,tier1:Description
1::Q7VE14_PROMA,2,2,84.48,0.009452494,1.353282686,Control,Azaserine,O-succinylbenzoate-CoA synthase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=menC PE=4 SV=1,-0.4364632340607726,Pro0200,tier1:Description
1::Q7VDX5_PROMA,5,5,261.69,0.009532932,1.663403794,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0240 PE=4 SV=1,-0.7341384277279721,Pro0240,tier1:Description
1::Q7VEA2_PROMA,3,3,114.76,0.00954445,1.647550223,Control,Azaserine,Exodeoxyribonuclease 7 large subunit OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=xseA PE=3 SV=1,-0.7203224442127906,Pro0111,tier1:Description
1::Q7VD69_PROMA,11,11,467.44,0.009703922,2.358247569,Control,Azaserine,Dihydroorotase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=pyrC PE=4 SV=1,-1.237715180497589,Pro0514,tier1:Description
1::SYV_PROMA,29,29,1233.45,0.009806832,1.84900415,Control,Azaserine,Valine--tRNA ligase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=valS PE=3 SV=1,-0.8867484628046837,Pro1844,tier1:Description
1::Q7VAP6_PROMA,3,3,145.04,0.009908701,1.737021794,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1411 PE=4 SV=1,-0.7966158553139775,Pro1411,tier1:Description
1::Q7VBQ1_PROMA,22,21,1116.75,0.010188556,1.648096366,Control,Azaserine,Acetyl-coenzyme A synthetase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=acs PE=3 SV=1,-0.720800600946925,Pro1041,tier1:Description
1::Q7VEC7_PROMA,12,12,531.16,0.010211061,2.456619377,Control,Azaserine,ABC-type transport system involved in Fe-S cluster assembly permease component OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=sufB PE=4 SV=1,-1.2966743471374904,Pro0084,tier1:Description
1::GLYA_PROMA,9,9,448.72,0.010361208,2.194404797,Control,Azaserine,Serine hydroxymethyltransferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=glyA PE=3 SV=1,-1.1338296810540898,Pro0290,tier1:Description
1::GLGB_PROMA,20,20,1012.15,0.010381514,1.903838947,Control,Azaserine,"1,4-alpha-glucan branching enzyme GlgB OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=glgB PE=3 SV=1",-0.9289114407299712,Pro1078,tier1:Description
1::MTAP_PROMA,16,15,937.08,0.010521298,3.23092189,Control,Azaserine,S-methyl-5'-thioadenosine phosphorylase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=mtnP PE=3 SV=1,-1.6919458727723256,Pro0332,tier1:Description
1::Q7VCW1_PROMA,10,10,403.73,0.01075048,2.425965752,Control,Azaserine,DNA helicase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0629 PE=4 SV=1,-1.2785591836948118,Pro0629,tier1:Description
1::Q7VDY4_PROMA,10,10,712.38,0.010904363,1.54583318,Control,Azaserine,Transcription termination/antitermination protein NusG OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=nusG PE=3 SV=1,-0.6283846379093734,Pro0231,tier1:Description
1::FBSB_PROMA,24,24,1619.9,0.011142543,2.243534672,Control,Azaserine,"D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0840 PE=3 SV=1",-1.1657734798626815,Pro0840,tier1:Description
1::Q7VEB0_PROMA,10,10,468.52,0.011281515,1.648489684,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0103 PE=4 SV=1,-0.7211448588684101,Pro0103,tier1:Description
1::Q7VA00_PROMA,3,3,105.98,0.011324064,1.927305455,Control,Azaserine,Uncharacterized YCII family conserved protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1669 PE=4 SV=1,-0.9465852397658214,Pro1669,tier1:Description
1::AROQ_PROMA,5,5,361.28,0.01169194,1.778966306,Control,Azaserine,3-dehydroquinate dehydratase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=aroQ PE=3 SV=1,-0.8310391859130839,Pro0384,tier1:Description
1::Q7VDH3_PROMA,26,25,1681.98,0.01175688,1.941310335,Control,Azaserine,Cysteine synthase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=cysK PE=3 SV=1,-0.957030763583662,Pro0143,tier1:Description
1::Q7VDU4_PROMA,4,4,111.82,0.01214115,1.721509603,Control,Azaserine,dCTP deaminase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=dcd PE=4 SV=1,-0.7836742286347159,Pro0274,tier1:Description
1::Q7VCE6_PROMA,4,3,159.06,0.012287007,2.43431565,Control,Azaserine,Fe2+/Zn2+ uptake regulation protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=fur PE=4 SV=1,-1.2835162498774857,Pro0794,tier1:Description
1::Q7VD68_PROMA,13,13,627.92,0.01240569,1.789540891,Control,Azaserine,Phosphoglycerate mutase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=gpmB PE=4 SV=1,-0.8395895097050734,Pro0515,tier1:Description
1::CH10_PROMA,8,8,687.09,0.012428501,1.623630623,Control,Azaserine,10 kDa chaperonin OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=groS PE=3 SV=1,-0.6992234558119556,Pro1590,tier1:Description
1::RL24_PROMA,9,9,472.61,0.01242947,1.375900162,Control,Azaserine,50S ribosomal protein L24 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=rplX PE=3 SV=1,-0.4603757890711702,Pro1701,tier1:Description
1::Q7VCX4_PROMA,33,30,1742.34,0.012544145,1.92903039,Control,Azaserine,AbrB family trancriptional regulator fused to LRR containing domain OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0616 PE=4 SV=1,-0.9478758718250336,Pro0616,tier1:Description
1::Q7VBP5_PROMA,13,13,571.1,0.013070587,1.697828199,Control,Azaserine,3-polyprenyl-4-hydroxybenzoate decarboxylase elated enzyme OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=ubiD PE=4 SV=1,-0.7636904818647848,Pro1047,tier1:Description
1::Q7VB53_PROMA,20,20,1204.59,0.013468938,1.694441198,Control,Azaserine,Thioredoxin reductase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=trxB PE=3 SV=1,-0.7608095720088306,Pro0239,tier1:Description
1::Q7VBB4_PROMA,4,4,297.16,0.013797333,1.543080047,Control,Azaserine,Uncharacterized conserved protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1183 PE=4 SV=1,-0.6258129033957156,Pro1183,tier1:Description
