Accession,Peptide count,Unique peptides,Confidence score,Anova (p),Max fold change,Highest mean condition,Lowest mean condition,Description,log2_fold_change,resolved_locus_tag,resolution_method
1::Q7VBY0_PROMA,6,6,313.54,0.001273023,1.406891515,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0962 PE=4 SV=1,-0.4925110870637094,Pro0962,tier1:Description
1::IF3_PROMA,9,9,568.02,0.001284648,1.40243398,Control,Azaserine,Translation initiation factor IF-3 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=infC PE=3 SV=1,-0.4879328571310747,Pro1798,tier1:Description
1::MNMA_PROMA,4,4,139.11,0.001339117,3.896728514,Control,Azaserine,tRNA-specific 2-thiouridylase MnmA OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=mnmA PE=3 SV=1,-1.962263422102414,Pro1365,tier1:Description
1::DXR_PROMA,22,22,945.05,0.001345578,2.269249853,Control,Azaserine,1-deoxy-D-xylulose 5-phosphate reductoisomerase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=dxr PE=3 SV=1,-1.1822154639415965,Pro1236,tier1:Description
1::Q7VA67_PROMA,7,7,390.57,0.001349674,1.856553233,Control,Azaserine,Alanine dehydrogenase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=ald PE=3 SV=1,-0.8926266822188162,Pro1600,tier1:Description
1::Q7VC31_PROMA,6,6,502.13,0.001361854,2.599629704,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0911 PE=4 SV=1,-1.378306137773349,Pro0911,tier1:Description
1::MINE_PROMA,6,6,403.18,0.001390131,2.201372432,Control,Azaserine,Cell division topological specificity factor OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=minE PE=3 SV=1,-1.1384032435237643,Pro0362,tier1:Description
1::Q7VEG8_PROMA,18,18,1036.07,0.001393069,2.213617323,Control,Azaserine,Diflavin flavoprotein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=dfa1 PE=4 SV=1,-1.1464058391347751,Pro0045,tier1:Description
1::Q7VA40_PROMA,2,2,60.18,0.001458522,3.472192483,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1627 PE=4 SV=1,-1.7958469266338732,Pro1627,tier1:Description
1::Q7VCG7_PROMA,10,10,410.18,0.001478288,2.381980206,Control,Azaserine,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0773 PE=4 SV=1,-1.252161424610805,Pro0773,tier1:Description
1::TRPD_PROMA,20,19,1155.86,0.001536411,2.183780125,Control,Azaserine,Anthranilate phosphoribosyltransferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=trpD PE=3 SV=1,-1.1268276050943349,Pro0744,tier1:Description
1::Q7VD56_PROMA,2,2,79.53,0.001571739,1.563876391,Control,Azaserine,Thermonuclease homolog OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0527 PE=4 SV=1,-0.6451264863417225,Pro0527,tier1:Description
1::SYDND_PROMA,25,24,1029.96,0.001575885,2.151499683,Control,Azaserine,Aspartate--tRNA(Asp/Asn) ligase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=aspS PE=3 SV=1,-1.1053426277208676,Pro1852,tier1:Description
1::NDHO_PROMA,4,4,128.81,0.001597394,1.801466209,Control,Azaserine,NAD(P)H-quinone oxidoreductase subunit O OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=ndhO PE=3 SV=1,-0.8491715906682065,Pro0141,multi:Description
1::SYR_PROMA,15,13,565.15,0.001639685,2.05731389,Control,Azaserine,Arginine--tRNA ligase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=argS PE=3 SV=1,-1.040761926579684,Pro0212,tier1:Description
1::TPIS_PROMA,6,6,485.06,0.001687366,2.523203607,Control,Azaserine,Triosephosphate isomerase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=tpiA PE=3 SV=1,-1.3352566276210915,Pro0901,tier1:Description
