refseq_locus,log2fc_2h,padj_2h,log2fc_4h,padj_4h
TX50_RS08155,-1.84928,0.08506876,-1.3443617,0.14861523
TX50_RS08160,-0.3186593,0.1199155,-0.3079053,0.08485031
TX50_RS08165,1.41594676,1.93218314271499e-07,0.83928773,2.64104265242598e-08
TX50_RS08170,1.47687152,3.59393515962533e-07,1.07627044,1.89744669487229e-20
TX50_RS08175,0.06298995,0.78719393,-0.1191729,0.49840195
TX50_RS08180,-0.2580638,0.30421226,0.02794828,0.90644923
TX50_RS08185,0.19929374,0.8744683,2.11645845,2.75412935570792e-05
TX50_RS08190,0.32841771,0.18238409,0.19895763,0.37427444
TX50_RS08195,-1.3783559,9.07273381565541e-08,-1.1464498,6.87465715382809e-09
TX50_RS08200,-1.0052688,8.15354122427418e-08,-1.3954766,1.88376605245982e-20
TX50_RS08205,-0.1116895,0.57677246,-0.4712495,0.00043928
TX50_RS08210,0.7509857,0.00010991,0.55037941,4.22981612921874e-06
TX50_RS08215,0.43472197,0.06443252,0.14100212,0.28537009
TX50_RS08220,-1.2256304,5.29370541723459e-05,-0.9518806,8.71675923062173e-07
TX50_RS08225,-0.1575532,0.41781821,-0.2016755,0.22245827
TX50_RS08230,-0.6414242,3.26412235207151e-05,-0.7602745,2.69249869183458e-11
TX50_RS08235,-0.5930067,0.00189802,-1.0689764,5.98067095759116e-20
TX50_RS08240,-0.1529061,0.41255214,-0.4300909,0.00031044
TX50_RS08245,-1.7410925,2.35664712426661e-13,-2.871614,4.54699541030079e-37
TX50_RS08250,-1.2185961,9.91888287332308e-15,-1.6804963,2.98452207402394e-48
TX50_RS08255,-0.889636,1.96392867046186e-07,-1.4989666,8.20958443147994e-26
TX50_RS08260,-0.4783264,0.00726582,-0.8937582,2.93183444111882e-12
TX50_RS08265,-0.3045589,0.09059432,-0.5987813,4.57788643396498e-05
TX50_RS08270,-0.2795558,0.13083297,-0.5620338,1.48393456119441e-06
TX50_RS08275,-1.160628,8.53007980593936e-12,-1.3909603,9.76297366039758e-26
TX50_RS08280,-1.0417028,4.15326820147026e-10,-1.5002105,5.46061751228786e-42
TX50_RS08285,-0.6615755,0.00044264,-1.0635866,8.32615947535446e-18
TX50_RS08290,-1.0091202,1.40098526852641e-08,-1.3345521,1.07279578705666e-19
TX50_RS08295,-0.9141162,9.40622327938166e-07,-1.2305603,6.09789620062791e-21
TX50_RS08300,-0.6482198,0.00083496,-1.2001069,4.99554767697902e-16
TX50_RS08305,-0.8080362,3.42780802113001e-07,-1.2542887,1.88545097608756e-26
TX50_RS08310,-0.8306733,1.96335758515055e-07,-1.2844533,3.0269809416444e-17
TX50_RS08315,-0.7287701,1.01811179747644e-05,-1.1469852,8.21371467290603e-18
TX50_RS08320,-0.5072064,0.0036022,-0.9515838,3.30724314079881e-14
TX50_RS08325,-0.2383373,0.15993442,-0.572988,1.02102180079024e-05
TX50_RS08330,-0.1467892,0.48525472,-0.5090196,0.00061705
TX50_RS08335,-0.3171227,0.05375792,-0.7205962,4.67719385632149e-08
TX50_RS08340,0.08965161,0.62975833,-0.1157563,0.41078183
TX50_RS08345,0.15273503,0.49491834,0.21818568,0.18243019
TX50_RS08350,-0.4845468,0.04798788,-0.2941713,0.14179575
TX50_RS08355,-0.3140467,0.69731665,-1.4502619,0.07158721
TX50_RS08360,-0.791002,0.00069759,-0.5115423,0.01253305
TX50_RS08365,0.07048204,0.89558607,1.27660802,9.44404407794916e-21
TX50_RS08370,-0.34422,0.45334641,0.06456687,0.76195945
TX50_RS08375,-0.4790749,0.06443252,-0.5420438,0.03858207
TX50_RS08380,0.43478579,0.07511922,0.85797485,4.03991641443896e-08
TX50_RS08385,-0.1866387,0.35363555,-0.3436158,0.02680166
TX50_RS08390,-0.4584164,0.06582332,-0.6282484,0.00225052
TX50_RS08395,0.40339092,0.04720364,0.58421146,8.89742605068225e-05
TX50_RS08400,0.2686108,0.19438792,0.1050761,0.50959492
TX50_RS08405,0.41112887,0.04293302,0.21790338,0.10789925
TX50_RS08410,0.5143353,0.00587201,0.59172739,0.00013848
TX50_RS08415,0.29226678,0.25790413,-0.1009027,0.68574982
TX50_RS08420,0.0837637,0.77210833,0.25543186,0.23918171
TX50_RS08425,-1.3426994,0.17861744,-1.692049,0.1393698
TX50_RS08430,-0.7890932,0.0007171,-0.8657859,1.20452552419922e-05
TX50_RS08435,0.38373967,0.08992844,0.61819254,4.40475629723585e-07
TX50_RS08440,-0.4999585,0.01051219,-0.5279566,0.0011777
TX50_RS08445,-0.3903301,0.02736122,-0.469478,0.00471217
TX50_RS08450,1.07958826,0.00182447,0.67331025,0.00022662
TX50_RS08455,-0.6667071,0.0067996,-0.3844115,0.07496503
TX50_RS08460,-0.256997,0.29150006,-0.3891531,0.06157958
TX50_RS08465,1.44701378,3.68734974835039e-10,2.01040657,1.1204183656044e-67
