refseq_locus,log2fc_2h,padj_2h,log2fc_4h,padj_4h,resolved_locus_tag,resolution_method
TX50_RS04060,0.14118212,0.47603832,-0.2807366,0.06440272,PMM0759,tier1:refseq_locus
TX50_RS04065,0.31966286,0.1104442,0.25331922,0.08085698,PMM0760,tier1:refseq_locus
TX50_RS04070,-0.1052741,0.74641938,-0.1342924,0.61461284,PMM0761,tier1:refseq_locus
TX50_RS04075,-0.025096,0.90223041,-0.1278922,0.30107721,PMM0762,tier1:refseq_locus
TX50_RS04080,0.27751641,0.32320398,-0.1000764,0.7051016,PMM0763,tier1:refseq_locus
TX50_RS04085,0.30705004,0.40462613,0.18696669,0.61931919,PMM0764,tier1:refseq_locus
TX50_RS04090,-0.3495426,0.11926786,-0.7639642,4.78575708173155e-11,PMM0765,tier1:refseq_locus
TX50_RS04095,-0.1927519,0.44172218,-0.1936388,0.15670903,PMM0766,tier1:refseq_locus
TX50_RS04100,0.18818671,0.59072283,-0.3920599,0.02279195,PMM0767,tier1:refseq_locus
TX50_RS04105,-0.8731285,1.27902879541826e-05,-1.402134,1.3643070287300702e-20,PMM0768,tier1:refseq_locus
TX50_RS04110,-0.0316468,0.8740152,-0.0891347,0.53039325,PMM0769,tier1:refseq_locus
TX50_RS04115,-1.3259536,0.01593177,-0.2939459,0.11931582,PMM0770,tier1:refseq_locus
TX50_RS04120,-0.676263,0.07934965,-1.1991189,0.00044632,PMM0771,tier1:refseq_locus
TX50_RS04125,-0.6137093,0.1008257,-1.1227421,5.68901281530903e-07,PMM0772,tier1:refseq_locus
TX50_RS04130,-0.0680532,0.90666166,0.46723042,0.12292101,PMM0773,tier1:refseq_locus
TX50_RS04135,-0.6134957,0.0280793,-0.785519,2.85005708638614e-09,PMM0774,tier1:refseq_locus
TX50_RS04140,1.22014007,0.0001377,2.37196289,4.4879952925465305e-19,PMM0775,tier1:refseq_locus
TX50_RS04145,0.97679036,7.50655107990842e-05,0.80588721,0.0003868,PMM0776,tier1:refseq_locus
TX50_RS04150,0.65812845,0.00068366,0.97951043,7.50717657043668e-15,PMM0777,tier1:refseq_locus
TX50_RS04155,-0.0760634,0.72750087,-0.0172384,0.91612553,PMM0778,tier1:refseq_locus
TX50_RS04160,1.33602438,0.00036286,0.87402845,0.00386212,PMM0779,tier1:refseq_locus
TX50_RS04165,-0.4865425,0.04639539,-0.5691538,0.00553437,PMM0780,tier1:refseq_locus
TX50_RS04170,-0.6847209,0.00522432,-1.0193085,1.38563067400298e-17,PMM0781,tier1:refseq_locus
TX50_RS04175,-0.2458018,0.31310737,-0.4007907,0.01814124,PMM0782,tier1:refseq_locus
TX50_RS04180,0.33466194,0.40527894,-0.5850154,0.00489964,PMM0783,tier1:refseq_locus
TX50_RS04185,0.95881398,0.00071642,0.61412643,2.30541977130767e-05,PMM0784,tier1:refseq_locus
TX50_RS04190,0.49077534,0.06868122,-0.0590275,0.78967427,PMM0785,tier1:refseq_locus
TX50_RS04195,0.14795348,0.57970392,-0.0799753,0.68473484,PMM0786,tier1:refseq_locus
TX50_RS04200,0.03001026,0.92547837,-0.1228206,0.62757622,PMM0787,tier1:refseq_locus
TX50_RS04205,-0.2422358,0.39785516,-0.255446,0.31148493,PMM0788,tier1:refseq_locus
TX50_RS04210,-0.2137585,0.71063176,0.29617731,0.34982148,PMM0789,tier1:refseq_locus
TX50_RS04215,2.05368417,3.82868054911926e-24,2.5390844,7.8727565162281e-76,PMM0790,tier1:refseq_locus
TX50_RS04220,1.55168928,1.9539661249632e-13,1.94754297,5.06341513599084e-26,PMM0791,tier1:refseq_locus
TX50_RS04225,0.36738818,0.10738538,0.37630096,0.04117783,PMM0792,tier1:refseq_locus
TX50_RS04230,0.23401981,0.37936853,0.5756058,0.00410154,PMM0793,tier1:refseq_locus
TX50_RS04235,0.65497573,0.00019826,0.99823724,6.16190242365291e-13,PMM0794,tier1:refseq_locus
TX50_RS04240,2.12815782,5.31714362314409e-22,3.04609201,2.6914267201438803e-144,PMM0795,tier1:refseq_locus
TX50_RS04245,0.41558604,0.06260412,0.32086348,0.05233229,PMM0796,tier1:refseq_locus
TX50_RS04250,1.03465775,7.65862003363762e-07,1.00656497,2.66716117242046e-09,PMM0797,tier1:refseq_locus
TX50_RS04255,0.26395753,0.58460456,0.76948349,0.01948566,PMM0798,tier1:refseq_locus
TX50_RS04260,0.72870688,0.0068495,0.48774498,0.00110112,PMM0799,tier1:refseq_locus
TX50_RS04265,0.60490919,0.01044298,0.64359791,0.00018576,PMM0800,tier1:refseq_locus
TX50_RS04270,0.3253877,0.18952685,0.04367021,0.80688601,PMM0801,tier1:refseq_locus
TX50_RS04275,-0.2837668,0.22757354,-0.0290949,0.89128859,PMM0802,tier1:refseq_locus
TX50_RS04280,0.56807586,0.08593257,0.38687108,0.03763538,PMM0803,tier1:refseq_locus
TX50_RS04285,3.0527993,1.2854258372668602e-25,4.1700878,2.45751120581851e-233,PMM0804,tier1:refseq_locus
TX50_RS04290,-0.4085814,0.71072788,1.52151687,2.03883819025724e-15,PMM0805,tier1:refseq_locus
TX50_RS04295,-1.4841667,0.00173685,-0.2029467,0.2267277,PMM0806,tier1:refseq_locus
TX50_RS04305,1.25971951,4.49181554912263e-07,1.43847311,6.59904828139403e-20,PMM0807,tier1:refseq_locus
TX50_RS04310,1.077767,0.00661556,0.7127529,4.21030025250898e-07,PMM0808,tier1:refseq_locus
TX50_RS04315,0.67400771,0.09484123,0.36239995,0.24198188,PMM0809,tier1:refseq_locus
TX50_RS04320,0.69976781,0.32780133,-0.2523152,0.69606216,PMM1891,tier1:refseq_locus
TX50_RS04325,-1.382943,7.6547427955495e-08,-1.9829586,1.04346054423167e-17,PMM0810,tier1:refseq_locus
TX50_RS04330,1.25407479,1.3244720499444802e-09,1.54596125,2.0676287329085002e-20,PMM1892,tier1:refseq_locus
TX50_RS04335,1.32755457,0.00152024,1.71759544,2.07616994752311e-07,PMM0811,tier1:refseq_locus
TX50_RS04340,0.69427671,0.00982359,1.4759056,2.98222761134186e-11,PMM0812,tier1:refseq_locus
TX50_RS04345,0.10901923,0.77623884,-1.0454713,3.73208473694041e-10,PMM0813,tier1:refseq_locus
TX50_RS04350,-0.7371622,0.00055188,-0.9702381,4.9016936411981305e-09,PMM0814,tier1:refseq_locus
TX50_RS04355,-1.7258535,1.0692300430171e-14,-1.0686948,2.11645152854547e-05,PMM1894,tier1:refseq_locus
TX50_RS04360,-1.6791081,0.00022274,-0.1756474,0.69884361,PMM1896,tier1:refseq_locus
TX50_RS04370,-0.759653,0.11280573,0.6855844,0.17838948,PMM0816,tier1:refseq_locus
TX50_RS04375,-0.4718443,0.34357825,0.95231563,0.06158134,PMM0817,tier1:refseq_locus
TX50_RS04380,0.17683645,0.76216286,1.66994162,2.75424046344622e-08,PMM0818,tier1:refseq_locus
TX50_RS04385,1.36242508,4.29115988509532e-05,2.48123593,9.77936576721139e-76,PMM0819,tier1:refseq_locus
TX50_RS04390,1.49860142,0.00455025,1.44399319,0.00116973,PMM0820,tier1:refseq_locus
TX50_RS04395,-0.1228005,0.84841044,0.83938768,0.29768443,,unresolved
TX50_RS04400,-0.6513192,0.0072757,-0.5346732,0.00243922,PMM0821,tier1:refseq_locus
TX50_RS04405,-1.0287711,0.00029143,-0.48154,0.06220986,PMM0822,tier1:refseq_locus
TX50_RS04410,-0.4405436,0.12339959,0.02817953,0.90760909,PMM0823,tier1:refseq_locus
TX50_RS04415,-0.2799702,0.16354781,-0.4043842,0.00907028,PMM0824,tier1:refseq_locus
