Strain,Protein ID,UniProt Annotation,Prokka Annotation,Predicted Sucellular Localization,COGcategory,"Spectral Counts Per Biovolume, Cells","Spectral Counts Per Biovolume, Vesicles",Log2(vesicle/cell counts),resolved_locus_tag,resolution_method
MIT9313,Q7V614,Q7V614_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1367 PE=4 SV=1,hypothetical protein,Unknown,S,2.02e-08,1.3e-08,-0.635340556,PMT1367,tier1:Protein ID
MIT9313,Q7V5N1,Q7V5N1_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1521 PE=4 SV=1,hypothetical protein,Unknown,S,1.27e-08,7.27e-09,-0.806164825,PMT1521,tier1:Protein ID
MIT9313,Q7V7U1,Q7V7U1_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0642 PE=4 SV=1,hypothetical protein,Outer membrane,M,1.5e-08,8.16e-09,-0.875570833,PMT0642,tier1:Protein ID
MIT9313,Q7TUQ6,Q7TUQ6_PROMM Possible Protein phosphatase 2C OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1619 PE=4 SV=1,protein phosphatase,Extracellular,S,2.81e-07,1.46e-07,-0.943155482,PMT1619,tier1:Protein ID
MIT9313,Q7V8Q0,Q7V8Q0_PROMM Possible porin OS=Prochlorococcus marinus (strain MIT 9313) GN=som PE=3 SV=1,porin,Outside cytoplasm,M,1.29e-07,6.61e-08,-0.96890564,PMT0284,tier1:Protein ID
MIT9313,Q7V569,Q7V569_PROMM Possible N-acetylmuramoyl-L-alanine amidase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1705 PE=4 SV=1,N-acetylmuramoyl-L-alanine amidase,Unknown,S,8.23e-09,4.19e-09,-0.974600208,PMT1705,tier1:Protein ID
MIT9313,Q7V416,"Q7V416_PROMM Possible Tripartite transporter component (TRAP-T family), substrate binding protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2161 PE=3 SV=1",C4-dicarboxylate ABC transporter,Unknown,Q,2.24e-09,1.1e-09,-1.026130509,PMT2161,tier1:Protein ID
MIT9313,Q7V8B8,Q7V8B8_PROMM Conserved hypothetical OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0441 PE=4 SV=1,hypothetical protein,Unknown,S,8.98e-09,4.41e-09,-1.026130509,PMT0441,tier1:Protein ID
MIT9313,Q7V8P8,"Q7V8P8_PROMM Putative iron ABC transporter, substrate binding protein OS=Prochlorococcus marinus (strain MIT 9313) GN=futA1,sfuA PE=4 SV=1",iron ABC transporter substrate-binding protein,Periplasm,P,1.37e-07,6.48e-08,-1.079123597,PMT0287,tier1:Protein ID
MIT9313,Q7V676,Q7V676_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1297 PE=4 SV=1,glutamyl-tRNA(Gln) amidotransferase subunit A,Cytoplasm,J,5.24e-09,2.42e-09,-1.111019406,PMT1297,tier1:Protein ID
MIT9313,Q7V8B6,Q7V8B6_PROMM Conserved hypothetical OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0443 PE=4 SV=1,hypothetical protein,Unknown,S,1.35e-08,6.17e-09,-1.125666182,PMT0443,tier1:Protein ID
MIT9313,Q7V6Z2,Q7V6Z2_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0985 PE=4 SV=1,hypothetical protein,Inner membrane,S,2.09e-08,9.26e-09,-1.178133602,PMT_0985,tier1:Protein ID
MIT9313,Q7V495,Q7V495_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2068 PE=4 SV=1,Inactivated Zn-dependent hydrolase of the beta-lactamase fold protein,Inner membrane,S,1.15e-07,5.09e-08,-1.178133603,PMT2068,tier1:Protein ID
MIT9313,Q7V4H2,Q7V4H2_PROMM Possible porin OS=Prochlorococcus marinus (strain MIT 9313) GN=som PE=3 SV=1,porin,Extracellular,M,3.43e-07,1.49e-07,-1.201420455,PMT0284,tier1:UniProt Annotation
MIT9313,Q7V5N0,Q7V5N0_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1522 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,2.77e-08,1.15e-08,-1.272109751,PMT1522,tier1:Protein ID
MIT9313,Q7V8Y9,Q7V8Y9_PROMM Possible RND family outer membrane efflux protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0182 PE=4 SV=1,RND transporter,Outer membrane,M,1.95e-08,7.71e-09,-1.334252804,PMT0182,tier1:Protein ID
MIT9313,B9ES51,B9ES51_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2666 PE=4 SV=1,hypothetical protein,Unknown,S,1.65e-08,5.73e-09,-1.522088003,PMT_2666,tier1:Protein ID
MIT9313,Q7V3Y3,"Q7V3Y3_PROMM ABC transporter, substrate binding protein, possibly Mn OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2203 PE=3 SV=1",ABC transporter substrate-binding protein,Inner membrane,P,1.72e-08,5.95e-09,-1.531770557,PMT2203,tier1:Protein ID
MIT9313,Q7V8A3,Q7V8A3_PROMM Conserved hypothetical OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0459 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,4.41e-08,1.52e-08,-1.537214696,PMT0459,tier1:Protein ID
MIT9313,Q7V819,"Q7V819_PROMM ABC transporter substrate binding protein, glycine betaine/proline family OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0555 PE=4 SV=1",glycine/betaine ABC transporter substrate-binding protein,Outside cytoplasm,E,1.5e-08,5.07e-09,-1.561462242,PMT0555,tier1:Protein ID
MIT9313,Q7V5L7,Q7V5L7_PROMM Conserved hypothetical OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1536 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,9.13e-08,2.78e-08,-1.716553517,PMT1536,tier1:Protein ID
MIT9313,Q7V7U9,Q7V7U9_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0634 PE=4 SV=1,cupin,Unknown,S,2.99e-09,8.82e-10,-1.763096103,PMT0634,tier1:Protein ID
MIT9313,Q7V3V9,"Q7V3V9_PROMM Putative urea ABC transporter, substrate binding protein OS=Prochlorococcus marinus (strain MIT 9313) GN=urtA PE=4 SV=1",urea ABC transporter substrate-binding protein,Unknown,E,4.26e-08,1.23e-08,-1.788631196,PMT2229,tier1:Protein ID
MIT9313,Q7V6X7,Q7V6X7_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1004 PE=4 SV=1,cupin,Unknown,S,2.77e-08,7.94e-09,-1.802624467,PMT1004,tier1:Protein ID
MIT9313,Q7TUR6,"Q7TUR6_PROMM Serine proteases, trypsin family OS=Prochlorococcus marinus (strain MIT 9313) GN=hhoA PE=4 SV=1",serine protease,Periplasm,O,2.39e-08,6.61e-09,-1.856205508,PMT1512,tier1:Protein ID
MIT9313,Q7V5Z2,Q7V5Z2_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1391 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,5.09e-08,1.39e-08,-1.873279021,PMT1391,tier1:Protein ID
MIT9313,Q7V5L9,Q7V5L9_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1534 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,5.99e-09,1.54e-09,-1.955741182,PMT1534,tier1:Protein ID
MIT9313,Q7V744,Q7V744_PROMM Bacterial outer membrane protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0915 PE=3 SV=1,hypothetical protein,Inner membrane,M,5.24e-09,1.32e-09,-1.985488525,PMT_0915,tier1:Protein ID
MIT9313,Q7V5F0,Q7V5F0_PROMM Conserved hypothetical OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1612 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,2.24e-08,5.51e-09,-2.026130509,PMT1612,tier1:Protein ID
MIT9313,Q7V628,Q7V628_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1352 PE=4 SV=1,hypothetical protein,Unknown,S,8.98e-09,2.2e-09,-2.026130509,PMT1352,tier1:Protein ID
MIT9313,Q7V486,Q7V486_PROMM Proline-rich region OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2080 PE=4 SV=1,hypothetical protein,Unknown,S,1.27e-08,3.09e-09,-2.043204023,PMT2080,tier1:Protein ID
MIT9313,Q7V6P8,Q7V6P8_PROMM Possible cAMP phosphodiesterases class-II OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1098 PE=4 SV=1,cAMP phosphodiesterase,Outside cytoplasm,S,3.74e-08,9.04e-09,-2.049400288,PMT1098,tier1:Protein ID
MIT9313,Q7V3R8,Q7V3R8_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2273 PE=4 SV=1,putative membrane protein,Outside cytoplasm,S,8.23e-09,1.98e-09,-2.05260272,PMT2273,tier1:Protein ID
MIT9313,Q7V6N0,Q7V6N0_PROMM Putative lycopene beta cyclase OS=Prochlorococcus marinus (strain MIT 9313) GN=crtL1 PE=4 SV=1,lycopene cyclase,Inner membrane,I,2.99e-09,6.61e-10,-2.178133602,PMT1123,tier1:Protein ID
MIT9313,Q7V696,Q7V696_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1274 PE=4 SV=1,hypothetical protein,Inner membrane,S,2.84e-08,6.17e-09,-2.203668695,PMT1274,tier1:Protein ID
MIT9313,Q7V487,Q7V487_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2079 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,1.12e-08,2.42e-09,-2.21055508,PMT_2079,tier1:Protein ID
MIT9313,Q7V8R1,Q7V8R1_PROMM Putative penicillin binding protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0271 PE=4 SV=1,carboxypeptidase,Inner membrane,M,2.77e-08,5.95e-09,-2.217661966,PMT0271,tier1:Protein ID
MIT9313,Q7V794,Q7V794_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0860 PE=4 SV=1,putative protein family PM-24,Unknown,S,8.23e-09,1.76e-09,-2.222527722,PMT_0860,tier1:Protein ID
MIT9313,Q7V5Z0,Q7V5Z0_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1393 PE=4 SV=1,hypothetical protein,Cytoplasm,S,3.82e-08,8.16e-09,-2.22606808,PMT1393,tier1:Protein ID
MIT9313,Q7V6Z5,Q7V6Z5_PROMM Outer membrane efflux protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0980 PE=4 SV=1,transporter,Outer membrane,S,7.48e-09,1.54e-09,-2.277669276,PMT0980,tier1:Protein ID
MIT9313,Q7V4Q9,Q7V4Q9_PROMM Possible ABC transporter OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1888 PE=4 SV=1,mammalian cell entry protein,Unknown,Q,5.99e-09,1.1e-09,-2.441168008,PMT1888,tier1:Protein ID
MIT9313,Q7TUQ8,Q7TUQ8_PROMM Acid phosphatase OS=Prochlorococcus marinus (strain MIT 9313) GN=phoN PE=3 SV=1,acid phosphatase,Periplasm,I,1.5e-08,2.65e-09,-2.500061698,PMT1569,tier1:Protein ID
MIT9313,Q7V5M9,Q7V5M9_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1523 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,1.11e-07,1.87e-08,-2.572873687,PMT1523,tier1:Protein ID
MIT9313,Q7V7K0,Q7V7K0_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0744 PE=4 SV=1,LPS export ABC transporter periplasmic protein LptC,Cytoplasm,S,2.77e-08,4.41e-09,-2.650621374,PMT0744,tier1:Protein ID
MIT9313,Q7V4Y0,Q7V4Y0_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1804 PE=4 SV=1,putative protein family PM-1,Unknown,S,7.48e-09,1.1e-09,-2.763096103,PMT1804,tier1:Protein ID
MIT9313,Q7V761,"Q7V761_PROMM ABC transporter for amino acids, substrate binding protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0897 PE=4 SV=1",amino acid ABC transporter substrate-binding protein,Periplasm,E,1.65e-08,2.42e-09,-2.763096103,PMT0897,tier1:Protein ID
MIT9313,Q7V6I2,Q7V6I2_PROMM Peptidyl-prolyl cis-trans isomerase OS=Prochlorococcus marinus (strain MIT 9313) GN=ppiB PE=3 SV=1,peptidyl-prolyl cis-trans isomerase,Periplasm,O,6.73e-09,8.82e-10,-2.933021105,PMT1177,tier1:Protein ID
MIT9313,Q7V8Y2,Q7V8Y2_PROMM Possible LysM domain OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0190 PE=4 SV=1,peptidoglycan-binding protein LysM,Outside cytoplasm,M,7.18e-08,9.26e-09,-2.955741181,PMT0190,tier1:Protein ID
MIT9313,Q7V7V0,Q7V7V0_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0633 PE=4 SV=1,hypothetical protein,Unknown,S,6.73e-09,6.61e-10,-3.348058604,PMT0633,tier1:Protein ID
MIT9313,Q7V8U4,Q7V8U4_PROMM Putative L-cysteine/cystine lyase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0233 PE=4 SV=1,L-cysteine/cystine lyase,Cytoplasm,E,2.24e-09,2.2e-10,-3.348058604,PMT0233,tier1:Protein ID
MIT9313,Q7V4U1,Q7V4U1_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1849 PE=4 SV=1,hypothetical protein,Unknown,S,2.39e-08,2.2e-09,-3.441168008,PMT1849,tier1:Protein ID
MIT9313,Q7U3A1,"Q7U3A1_PROMM Serine proteases, trypsin family:PDZ domain OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1188 PE=4 SV=1",serine protease,Periplasm,O,8.15e-08,7.05e-09,-3.531280428,PMT1188,tier1:Protein ID
MIT9313,Q7TV53,Q7TV53_PROMM Possible Peptidase family M20/M25/M40 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0285 PE=4 SV=1,hypothetical protein,Unknown,S,7.03e-08,5.73e-09,-3.617245237,PMT0285,tier1:Protein ID
MIT9313,Q7V923,Q7V923_PROMM Single-stranded DNA-binding protein OS=Prochlorococcus marinus (strain MIT 9313) GN=ssb PE=3 SV=1,single-stranded DNA-binding protein,Cytoplasm,L,1.42e-08,1.1e-09,-3.689095521,PMT0141,tier1:Protein ID
MIT9313,Q7V5D0,Q7V5D0_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1634 PE=4 SV=1,putative membrane protein,Unknown,S,8.98e-09,6.61e-10,-3.763096103,PMT1634,tier1:Protein ID
MIT9313,Q7V7H8,Q7V7H8_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0768 PE=4 SV=1,hypothetical protein,Unknown,S,2.99e-09,2.2e-10,-3.763096103,,unresolved
MIT9313,Q7TUM0,Q7TUM0_PROMM Possible Pectate lyase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1985 PE=4 SV=1,pectate lyase,Inner membrane,S,2.99e-09,2.2e-10,-3.763096103,PMT1985,tier1:Protein ID
MIT9313,Q7TV85,"Q7TV85_PROMM Acetyl-CoA carboxylase, biotin carboxyl carrier protein OS=Prochlorococcus marinus (strain MIT 9313) GN=accB PE=4 SV=1",acetyl-CoA carboxylase biotin carboxyl carrier protein subunit,Unknown,I,3.14e-08,1.98e-09,-3.985488524,PMT0032,tier1:Protein ID
MIT9313,Q7V743,Q7V743_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0916 PE=4 SV=1,hypothetical protein,Unknown,S,2.09e-08,1.32e-09,-3.985488525,PMT_0916,tier1:Protein ID
MIT9313,Q7V8R8,Q7V8R8_PROMM Possible pilin OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0263 PE=4 SV=1,pilin,Unknown,U,2.62e-08,1.54e-09,-4.085024198,PMT_0263,tier1:Protein ID
MIT9313,Q7V713,Q7V713_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0951 PE=4 SV=1,hypothetical protein,Unknown,S,3.74e-09,2.2e-10,-4.085024199,PMT0951,tier1:Protein ID
MIT9313,Q7V6M7,Q7V6M7_PROMM Putative IMP dehydrogenase OS=Prochlorococcus marinus (strain MIT 9313) GN=guaB PE=4 SV=1,guanosine monophosphate reductase,Cytoplasm,F,1.17e-07,6.61e-09,-4.141607726,PMT1126,tier1:Protein ID
MIT9313,Q7V536,RL16_PROMM 50S ribosomal protein L16 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplP PE=3 SV=1,50S ribosomal protein L16,Cytoplasm,J,1.2e-08,6.61e-10,-4.178133602,PMT1739,tier1:UniProt Annotation
MIT9313,Q7V4J6,ACP_PROMM Acyl carrier protein OS=Prochlorococcus marinus (strain MIT 9313) GN=acpP PE=3 SV=1,acyl carrier protein,Cytoplasm,S,2.17e-08,1.1e-09,-4.299149003,PMT1955,tier1:UniProt Annotation
MIT9313,Q7V6B2,Q7V6B2_PROMM Signal peptidase I OS=Prochlorococcus marinus (strain MIT 9313) GN=lepB PE=3 SV=1,signal peptidase I,Inner membrane,U,1.35e-08,6.61e-10,-4.348058604,PMT0407,tier1:UniProt Annotation
MIT9313,Q7V8T7,Q7V8T7_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0241 PE=4 SV=1,Nif11-like leader peptide family natural product precursor,Unknown,S,5.24e-09,2.2e-10,-4.570451025,PMT_0241,tier1:Protein ID
MIT9313,Q7V651,Q7V651_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1326 PE=4 SV=1,transcriptional regulator,Unknown,S,3.44e-08,1.32e-09,-4.701695559,PMT1326,tier1:Protein ID
MIT9313,Q7V4B7,Q7V4B7_PROMM Two-component response regulator OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2043 PE=4 SV=1,DNA-binding response regulator,Cytoplasm,T,8.15e-08,3.09e-09,-4.723925506,PMT2043,tier1:Protein ID
MIT9313,Q7TV08,Q7TV08_PROMM Possible Gonadotropin-releasing hormone OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0630 PE=4 SV=1,gonadotropin-releasing hormone,Cytoplasm,S,5.99e-09,2.2e-10,-4.763096104,PMT0630,tier1:Protein ID
MIT9313,Q7V7M0,Q7V7M0_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0721 PE=4 SV=1,hypothetical protein,Cytoplasm,D,3.07e-08,1.1e-09,-4.798720013,PMT0721,tier1:Protein ID
MIT9313,Q7V8V7,Q7V8V7_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0216 PE=4 SV=1,hypothetical protein,Cytoplasm,S,1.68e-07,5.95e-09,-4.821989792,PMT0216,tier1:Protein ID
MIT9313,Q7V5Y9,Q7V5Y9_PROMM Bacterial DNA-binding protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1395 PE=3 SV=1,DNA-binding protein,Cytoplasm,L,1.5e-07,5.29e-09,-4.829185294,PMT1395,tier1:Protein ID
MIT9313,Q7V9C8,DNAJ_PROMM Chaperone protein DnaJ OS=Prochlorococcus marinus (strain MIT 9313) GN=dnaJ PE=3 SV=1,molecular chaperone DnaJ,Cytoplasm,O,8.23e-08,2.87e-09,-4.844016098,PMT0022,tier1:UniProt Annotation
MIT9313,Q7V7W8,Q7V7W8_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0613 PE=4 SV=1,Nif11-like leader peptide family natural product precursor,Unknown,S,1.27e-08,4.41e-10,-4.850558945,PMT_0613,tier1:Protein ID
MIT9313,Q7TUP0,Q7TUP0_PROMM Alanine racemase OS=Prochlorococcus marinus (strain MIT 9313) GN=alr PE=3 SV=1,alanine racemase,Cytoplasm,M,1.27e-08,4.41e-10,-4.850558945,PMT1763,tier1:Protein ID
MIT9313,Q7V5A8,Q7V5A8_PROMM Ferredoxin OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1664 PE=4 SV=1,ferredoxin,Cytoplasm,C,2.62e-08,8.82e-10,-4.89237912,PMT1664,tier1:Protein ID
MIT9313,Q7V4G6,Y1986_PROMM UPF0367 protein PMT_1986 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1986 PE=3 SV=1,hypothetical protein,Cytoplasm,S,1.35e-08,4.41e-10,-4.933021104,PMT1986,tier1:UniProt Annotation
