Compound Name,Analytical Fraction,MIT9312 cells,MIT9313 cells,MIT9312 vesicles,MIT9313 vesicles,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,metabolite_id,resolution_method
Sucrose,HILICNeg,"0.39 (0.0069), n=3","1.7 (1.2), n=3",nd,nd,,,,,kegg.compound:C00089,name_match
Sulfoacetic Acid,HILICNeg,"0.0014 (0.00027), n=3","0.0025 (0.0017), n=3",nd,nd,,,,,kegg.compound:C14179,name_match
Thiamine monophosphate,RPAqPos,"1.8e-05 (6.9e-06), n=2","3.1e-05 (2.2e-05), n=3",nd,nd,,,,,kegg.compound:C01081,name_match
Threonine,HILICPos,"0.0042 (0.00054), n=3","0.022 (0.017), n=3",nd,nd,,,,,kegg.compound:C00188,name_match
trans Hydroxyl proline,HILICPos,"0.00015 (2.5e-05), n=3","0.0013 (0.001), n=3",nd,nd,,,,,kegg.compound:C01157,name_match
trans Retinal,RPOrgPos,"0.00013 (1.7e-05), n=3","0.0015 (0.001), n=3","0.0032 (0.00022), n=2","0.0021 (0.00065), n=3",,,,,kegg.compound:C00376,name_match
Tryptophan,RPAqPos,"0.0043 (0.0014), n=3","0.027 (0.034), n=3","0.012 (NA), n=1",nd,,,,,kegg.compound:C00525,name_match
Tyrosine,HILICPos,"0.0062 (0.00084), n=3","0.015 (0.011), n=3",nd,nd,,,,,chebi:173245,name_match
UDP-glucosamine,HILICNeg,"0.0025 (0.00038), n=3","0.0056 (0.0043), n=3",nd,nd,,,,,kegg.compound:C02200,name_match
UDP-glucose,HILICNeg,"0.00014 (7.4e-05), n=3","0.00093 (0.00082), n=3",nd,nd,,,,,kegg.compound:C00029,name_match
Uridine,HILICNeg,"0.0025 (0.00081), n=3",nd,nd,nd,,,,,kegg.compound:C00299,name_match
Vitamin B2,RPAqPos,"2.4e-06 (4.5e-08), n=2","2.8e-05 (1.5e-05), n=2",nd,nd,,,,,chebi:176838,name_match
Vitamin B3,RPAqPos,"0.0014 (6e-04), n=3",nd,nd,nd,,,,,kegg.compound:C03150,name_match
Vitamin B5,RPAqPos,"5.6e-05 (1.7e-05), n=3","0.00079 (0.00089), n=3",nd,nd,,,,,chebi:176840,name_match
Vitamin K1,RPOrgPos,"2.5e-05 (1.7e-05), n=3","5.8e-05 (4.9e-05), n=3","0.0033 (0.0014), n=3","0.032 (0.01), n=3",,,,,kegg.compound:C02059,name_match
Xanthine,RPAqPos,"4.6e-05 (2.2e-05), n=3","2.4e-05 (NA), n=1",nd,nd,,,,,kegg.compound:C00385,name_match
